# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;škeriaca sa tvár;škeriaca sa tvár|tvár|úškľabok|úškrn
🥵;rozhorúčená tvár;horúčka|horúco|pot|potenie|rozhorúčená tvár|úpal
🥶;mrznúca tvár;cencúľ|chladno|mráz|mrznúca tvár|zima
🥴;malátna tvár;malátna tvár|omámený|opilec|opitý|podnapitý|závrat
😵;tvár so závratom;tvár|tvár so závratom|závrat
😵‍💫;tvár so špirálovými očami;hypnóza|problém|špirála|tvár so špirálovými očami|závrat
🤯;vybuchujúca hlava;nechápem|šokovaná|vybuchujúca hlava
🤠;tvár s kovbojským klobúkom;klobúk|kovboj|kovbojka|tvár|tvár s kovbojským klobúkom
🥳;oslavujúca tvár;oslava|oslavujúca tvár|párty|večierok|žúr
🥸;maskovaná tvár;inkognito|maska|maskovaná tvár|nos|okuliare|prestrojenie|tvár
😎;smejúca sa tvár s okuliarmi;okuliare|slnko|smejúca sa tvár s okuliarmi|super|tvár|úsmev
🤓;vedátor;bifľloš|čudák|šprták|tvár|vedátor
🧐;tvár s monoklom;staromódna|tvár|tvár s monoklom
😕;zmätená tvár;neviem|tvár|zmätená|zmätok
🫤;tvár so šikmými ústami;ach|neistá|pochybovačná|sklamanie|tvár so šikmými ústami
😟;ustaraná tvár;obavy|tvár|ustaraná
🙁;trochu zamračená tvár;trochu zamračená tvár|tvár|zamračená
☹️;zamračená tvár;tvár|zamračená
😮;tvár s otvorenými ústami;otvorené|súcit|tvár|tvár s otvorenými ústami|ústa
😯;umlčaná tvár;ohromená|prekvapená|tvár|umlčaná
😲;udivená tvár;absolútne|šokovaná|tvár|udivená
😳;zapýrená tvár;sčervenená|tvár|zapýrená
🥺;prosebná tvár;prosebná tvár|prosím|psie oči|zľutovanie
🥹;tvár zadržujúca slzy;nahnevaná|odolávanie|plač|pyšná|smútok|tvár zadržujúca slzy
😦;zamračená tvár s otvorenými ústami;otvorené|tvár|ústa|zamračená|zamračená tvár s otvorenými ústami
😧;utrápená tvár;tvár|utrápená
😨;vystrašená tvár;bojazlivá|strach|tvár|vystrašená
😰;znepokojená tvár s potom;náhliť|otvorené|pot|tvár|ústa|znepokojená tvár s potom
😥;sklamaná, ale uvoľnená tvár;ale uvoľnená tvár|sklamaná|sklamaná, ale uvoľnená tvár|tvár|uf|uvoľnená
😢;plačúca tvár;plač|plačúca tvár|plakať|slza|smutná|tvár
😭;nariekajúca tvár;nariekajúca tvár|nariekať|plač|slza|smutná|tvár
😱;tvár kričiaca od strachu;strach|tvár|tvár kričiaca od strachu|vydesená|výkrik|vystrašená
😖;tvár v rozpakoch;popletená|tvár|tvár v rozpakoch
😣;urputná tvár;tvár|urputná tvár|vydržať|vytrvať
😞;sklamaná tvár;sklamaná|tvár
😓;skľúčená tvár s potom;deprimovaná|pot|skľúčená|skľúčená tvár s potom|tvár
😩;ustatá tvár;tvár|unavená|ustatá
😫;unavená tvár;tvár|únava|unavená
🥱;zívajúca tvár;unavený|unudený|zívajúca tvár|zívať|znudený
😤;tvár s parou z nosa;triumf|tvár|tvár s parou z nosa|víťazná
😡;podráždená tvár;hnev|nahnevaná|nazlostená|podráždená tvár|trucujúca|tvár|zlosť
😠;nahnevaná tvár;hnev|nahnevaná|nazlostená|tvár|zlosť
🤬;nadávajúca tvár;nadávajúca tvár|nadávať|nadávky
😈;smejúca sa tvár s rohmi;rohy|rozprávka|smejúca sa tvár s rohmi|tvár|úsmev
👿;nahnevaná tvár s rohmi;čert|démon|diabol|nahnevaná tvár s rohmi|rozprávka|tvár
💀;lebka;lebka|rozprávka|smrť|tvár
☠️;lebka s prekríženými kosťami;lebka|lebka s prekríženými kosťami|skrížené hnáty|smrť|tvár
💩;hovienko;hnoj|hovienko|hovno|tvár
🤡;tvár klauna;klaun|tvár|tvár klauna
👹;obluda;netvor|obluda|rozprávka|tvár
👺;škrat;netvor|obluda|rozprávka|škrat|tvár
👻;duch;duch|netvor|rozprávka|strašidlo|tvár
👽;mimozemšťan;mimozemšťan|tvár|ufón|vesmír
👾;mimozemská príšera;mimozemská príšera|mimozemšťan|netvor|obluda|vesmír|votrelec
🤖;robot;netvor|robot|tvár
😺;škeriaca sa mačka;mačka|otvorené|škeriaca sa mačka|tvár|úsmev|ústa
😸;škeriaca sa mačka s prižmúrenými očami;mačka|oko|škeriaca sa mačka s prižmúrenými očami|tvár|úškľabok|úškrn|úsmev
😹;mačka plače od smiechu;mačka|mačka plače od smiechu|slza|smiech|tvár
😻;smejúca sa mačka so srdiečkami;láska|mačka|oko|smejúca sa mačka so srdiečkami|srdce|tvár|úsmev
😼;mačka s úškľabkom;ironická|mačka|mačka s úškľabkom|tvár|úsmev|uštipačná
😽;bozkávajúca mačka;bozk|bozkávajúca mačka|mačka|oko|tvár
🙀;vyčerpaná mačka;mačka|prekvapená|tvár|ustatá|vyčerpaná mačka
😿;plačúca mačka;mačka|plač|plačúca mačka|slza|smutná|tvár
😾;podráždená mačka;mačka|podráždená|trucujúca|tvár
🙈;nevidím zlo;gesto|nevidím|opica|tvár|zakázané|zlé|zlo
🙉;nepočujem zlo;gesto|nepočujem|opica|tvár|zakázané|zlé|zlo
🙊;nehovorím zlo;gesto|nehovorím|opica|tvár|zakázané|zlé|zlo
💌;ľúbostný list;láska|list|ľúbostný list|pošta|srdce
💘;srdce so šípom;kupido|šíp|srdce|srdce so šípom
💝;srdce so stuhou;srdce|srdce so stuhou|stuha|valentín
💖;ligotavé srdce;ligotanie|ligotavé srdce|radosť|srdce|trblietanie
💗;rastúce srdce;nervózne|pulz|radosť|rastúce srdce|srdce
💓;tlčúce srdce;pulz|srdce|tlčúce srdce|tlkot
💞;krúžiace srdcia;krúžiace|krúžiace srdcia|srdce
💕;dve srdcia;dve srdcia|láska|srdce
💟;ozdoba v tvare srdca;ozdoba v tvare srdca|srdce
❣️;výkričník v tvare srdca;interpunkcia|srdce|výkričník v tvare srdca|znak|zvolanie
💔;zlomené srdce;srdce|zlomené|zlomiť
❤️‍🔥;horiace srdce;horiace srdce|láska|oheň|srdce|túžba
❤️‍🩹;srdce s obväzom;dobre|lepšie|srdce s obväzom|uzdravovať sa|zdravšie|zotavovať sa
❤️;červené srdce;červené|srdce
🩷;ružové srdce;láska|páči|roztomilé|ružové|srdce
🧡;oranžové srdce;oranžové|srdce
💛;žlté srdce;srdce|žlté
💚;zelené srdce;srdce|zelené
💙;modré srdce;modré|srdce
🩵;svetlomodré srdce;azúrové|sivozelené|srdce|svetlomodré
💜;fialové srdce;fialové|srdce
🤎;hnedé srdce;hnedé|srdce
🖤;čierne srdce;čierne|podlosť|srdce|zlo
🩶;sivé srdce;šedé|sivé|srdce|strieborné
🤍;biele srdce;biele|srdce
💋;odtlačok pier;bozk|odtlačok pier|pery
💯;sto bodov;100|plný počet|sto|sto bodov
💢;symbol hnevu;hnev|komiks|symbol hnevu|zlosť
💥;zrážka;buch|bum|komiks|zrážka
💫;mám závrat;hviezdičky|komiks|mám závrat|závrat
💦;kvapky potu;komiks|kvapky|kvapky potu|pot
💨;utekám;bežať|komiks|trieliť|utekám|utekať
🕳️;jama;diera|jama|kanál
💬;reč;bublina|hovoriť|komiks|reč
👁️‍🗨️;oko v bubline;bublina|dialóg|oko|oko v bubline|reč
🗨️;ľavá bublina;dialóg|komiks|ľavá bublina|reč
🗯️;hnev;bublina|hnev|komiks|zlosť
💭;myšlienka;bublina|komiks|myšlienka
💤;chŕ;chŕ|komiks|spánok

[people_body]
👋;mávajúca ruka;mávajúca ruka|mávať|ruka
	👋🏻;mávajúca ruka: svetlý tón pleti;mávajúca ruka|mávajúca ruka: svetlý tón pleti|mávať|ruka|svetlý tón pleti
	👋🏼;mávajúca ruka: stredne svetlý tón pleti;mávajúca ruka|mávajúca ruka: stredne svetlý tón pleti|mávať|ruka|stredne svetlý tón pleti
	👋🏽;mávajúca ruka: stredný tón pleti;mávajúca ruka|mávajúca ruka: stredný tón pleti|mávať|ruka|stredný tón pleti
	👋🏾;mávajúca ruka: stredne tmavý tón pleti;mávajúca ruka|mávajúca ruka: stredne tmavý tón pleti|mávať|ruka|stredne tmavý tón pleti
	👋🏿;mávajúca ruka: tmavý tón pleti;mávajúca ruka|mávajúca ruka: tmavý tón pleti|mávať|ruka|tmavý tón pleti
🤚;zdvihnutá ruka spakruky;ruka|spakruky|zdvihnutá
	🤚🏻;zdvihnutá ruka spakruky: svetlý tón pleti;ruka|spakruky|svetlý tón pleti|zdvihnutá|zdvihnutá ruka spakruky: svetlý tón pleti
	🤚🏼;zdvihnutá ruka spakruky: stredne svetlý tón pleti;ruka|spakruky|stredne svetlý tón pleti|zdvihnutá|zdvihnutá ruka spakruky: stredne svetlý tón pleti
	🤚🏽;zdvihnutá ruka spakruky: stredný tón pleti;ruka|spakruky|stredný tón pleti|zdvihnutá|zdvihnutá ruka spakruky: stredný tón pleti
	🤚🏾;zdvihnutá ruka spakruky: stredne tmavý tón pleti;ruka|spakruky|stredne tmavý tón pleti|zdvihnutá|zdvihnutá ruka spakruky: stredne tmavý tón pleti
	🤚🏿;zdvihnutá ruka spakruky: tmavý tón pleti;ruka|spakruky|tmavý tón pleti|zdvihnutá|zdvihnutá ruka spakruky: tmavý tón pleti
🖐️;roztiahnutá ruka;prst|roztiahnutá|ruka
	🖐🏻;roztiahnutá ruka: svetlý tón pleti;prst|roztiahnutá|roztiahnutá ruka: svetlý tón pleti|ruka|svetlý tón pleti
	🖐🏼;roztiahnutá ruka: stredne svetlý tón pleti;prst|roztiahnutá|roztiahnutá ruka: stredne svetlý tón pleti|ruka|stredne svetlý tón pleti
	🖐🏽;roztiahnutá ruka: stredný tón pleti;prst|roztiahnutá|roztiahnutá ruka: stredný tón pleti|ruka|stredný tón pleti
	🖐🏾;roztiahnutá ruka: stredne tmavý tón pleti;prst|roztiahnutá|roztiahnutá ruka: stredne tmavý tón pleti|ruka|stredne tmavý tón pleti
	🖐🏿;roztiahnutá ruka: tmavý tón pleti;prst|roztiahnutá|roztiahnutá ruka: tmavý tón pleti|ruka|tmavý tón pleti
✋;zdvihnutá ruka;ruka|stáť|stop|zdvihnutá ruka
	✋🏻;zdvihnutá ruka: svetlý tón pleti;ruka|stáť|stop|svetlý tón pleti|zdvihnutá ruka|zdvihnutá ruka: svetlý tón pleti
	✋🏼;zdvihnutá ruka: stredne svetlý tón pleti;ruka|stáť|stop|stredne svetlý tón pleti|zdvihnutá ruka|zdvihnutá ruka: stredne svetlý tón pleti
	✋🏽;zdvihnutá ruka: stredný tón pleti;ruka|stáť|stop|stredný tón pleti|zdvihnutá ruka|zdvihnutá ruka: stredný tón pleti
	✋🏾;zdvihnutá ruka: stredne tmavý tón pleti;ruka|stáť|stop|stredne tmavý tón pleti|zdvihnutá ruka|zdvihnutá ruka: stredne tmavý tón pleti
	✋🏿;zdvihnutá ruka: tmavý tón pleti;ruka|stáť|stop|tmavý tón pleti|zdvihnutá ruka|zdvihnutá ruka: tmavý tón pleti
🖖;vulkánsky pozdrav;prst|ruka|spock|vulkán|vulkánsky pozdrav
	🖖🏻;vulkánsky pozdrav: svetlý tón pleti;prst|ruka|spock|svetlý tón pleti|vulkán|vulkánsky pozdrav|vulkánsky pozdrav: svetlý tón pleti
	🖖🏼;vulkánsky pozdrav: stredne svetlý tón pleti;prst|ruka|spock|stredne svetlý tón pleti|vulkán|vulkánsky pozdrav|vulkánsky pozdrav: stredne svetlý tón pleti
	🖖🏽;vulkánsky pozdrav: stredný tón pleti;prst|ruka|spock|stredný tón pleti|vulkán|vulkánsky pozdrav|vulkánsky pozdrav: stredný tón pleti
	🖖🏾;vulkánsky pozdrav: stredne tmavý tón pleti;prst|ruka|spock|stredne tmavý tón pleti|vulkán|vulkánsky pozdrav|vulkánsky pozdrav: stredne tmavý tón pleti
	🖖🏿;vulkánsky pozdrav: tmavý tón pleti;prst|ruka|spock|tmavý tón pleti|vulkán|vulkánsky pozdrav|vulkánsky pozdrav: tmavý tón pleti
🫱;ruka doprava;doprava|ruka|vpravo
	🫱🏻;ruka doprava: svetlý tón pleti;doprava|ruka|ruka doprava: svetlý tón pleti|svetlý tón pleti|vpravo
	🫱🏼;ruka doprava: stredne svetlý tón pleti;doprava|ruka|ruka doprava: stredne svetlý tón pleti|stredne svetlý tón pleti|vpravo
	🫱🏽;ruka doprava: stredný tón pleti;doprava|ruka|ruka doprava: stredný tón pleti|stredný tón pleti|vpravo
	🫱🏾;ruka doprava: stredne tmavý tón pleti;doprava|ruka|ruka doprava: stredne tmavý tón pleti|stredne tmavý tón pleti|vpravo
	🫱🏿;ruka doprava: tmavý tón pleti;doprava|ruka|ruka doprava: tmavý tón pleti|tmavý tón pleti|vpravo
🫲;ruka doľava;doľava|ruka|vľavo
	🫲🏻;ruka doľava: svetlý tón pleti;doľava|ruka|ruka doľava: svetlý tón pleti|svetlý tón pleti|vľavo
	🫲🏼;ruka doľava: stredne svetlý tón pleti;doľava|ruka|ruka doľava: stredne svetlý tón pleti|stredne svetlý tón pleti|vľavo
	🫲🏽;ruka doľava: stredný tón pleti;doľava|ruka|ruka doľava: stredný tón pleti|stredný tón pleti|vľavo
	🫲🏾;ruka doľava: stredne tmavý tón pleti;doľava|ruka|ruka doľava: stredne tmavý tón pleti|stredne tmavý tón pleti|vľavo
	🫲🏿;ruka doľava: tmavý tón pleti;doľava|ruka|ruka doľava: tmavý tón pleti|tmavý tón pleti|vľavo
🫳;ruka dlaňou nadol;heš|pustiť|ruka dlaňou nadol|zahodiť
	🫳🏻;ruka dlaňou nadol: svetlý tón pleti;heš|pustiť|ruka dlaňou nadol|ruka dlaňou nadol: svetlý tón pleti|svetlý tón pleti|zahodiť
	🫳🏼;ruka dlaňou nadol: stredne svetlý tón pleti;heš|pustiť|ruka dlaňou nadol|ruka dlaňou nadol: stredne svetlý tón pleti|stredne svetlý tón pleti|zahodiť
	🫳🏽;ruka dlaňou nadol: stredný tón pleti;heš|pustiť|ruka dlaňou nadol|ruka dlaňou nadol: stredný tón pleti|stredný tón pleti|zahodiť
	🫳🏾;ruka dlaňou nadol: stredne tmavý tón pleti;heš|pustiť|ruka dlaňou nadol|ruka dlaňou nadol: stredne tmavý tón pleti|stredne tmavý tón pleti|zahodiť
	🫳🏿;ruka dlaňou nadol: tmavý tón pleti;heš|pustiť|ruka dlaňou nadol|ruka dlaňou nadol: tmavý tón pleti|tmavý tón pleti|zahodiť
🫴;ruka dlaňou nahor;chytiť|mávať|poď|ponúkať|ruka dlaňou nahor
	🫴🏻;ruka dlaňou nahor: svetlý tón pleti;chytiť|mávať|poď|ponúkať|ruka dlaňou nahor|ruka dlaňou nahor: svetlý tón pleti|svetlý tón pleti
	🫴🏼;ruka dlaňou nahor: stredne svetlý tón pleti;chytiť|mávať|poď|ponúkať|ruka dlaňou nahor|ruka dlaňou nahor: stredne svetlý tón pleti|stredne svetlý tón pleti
	🫴🏽;ruka dlaňou nahor: stredný tón pleti;chytiť|mávať|poď|ponúkať|ruka dlaňou nahor|ruka dlaňou nahor: stredný tón pleti|stredný tón pleti
	🫴🏾;ruka dlaňou nahor: stredne tmavý tón pleti;chytiť|mávať|poď|ponúkať|ruka dlaňou nahor|ruka dlaňou nahor: stredne tmavý tón pleti|stredne tmavý tón pleti
	🫴🏿;ruka dlaňou nahor: tmavý tón pleti;chytiť|mávať|poď|ponúkať|ruka dlaňou nahor|ruka dlaňou nahor: tmavý tón pleti|tmavý tón pleti
🫷;ruka tlačiaca vľavo;čakať|high five|ruka tlačiaca vľavo|stop|tlačiť|vľavo|zákaz
	🫷🏻;ruka tlačiaca vľavo: svetlý tón pleti;čakať|high five|ruka tlačiaca vľavo|ruka tlačiaca vľavo: svetlý tón pleti|stop|svetlý tón pleti|tlačiť|vľavo|zákaz
	🫷🏼;ruka tlačiaca vľavo: stredne svetlý tón pleti;čakať|high five|ruka tlačiaca vľavo|ruka tlačiaca vľavo: stredne svetlý tón pleti|stop|stredne svetlý tón pleti|tlačiť|vľavo|zákaz
	🫷🏽;ruka tlačiaca vľavo: stredný tón pleti;čakať|high five|ruka tlačiaca vľavo|ruka tlačiaca vľavo: stredný tón pleti|stop|stredný tón pleti|tlačiť|vľavo|zákaz
	🫷🏾;ruka tlačiaca vľavo: stredne tmavý tón pleti;čakať|high five|ruka tlačiaca vľavo|ruka tlačiaca vľavo: stredne tmavý tón pleti|stop|stredne tmavý tón pleti|tlačiť|vľavo|zákaz
	🫷🏿;ruka tlačiaca vľavo: tmavý tón pleti;čakať|high five|ruka tlačiaca vľavo|ruka tlačiaca vľavo: tmavý tón pleti|stop|tlačiť|tmavý tón pleti|vľavo|zákaz
🫸;ruka tlačiaca vpravo;čakať|high five|ruka tlačiaca vpravo|stop|tlačiť|vpravo|zákaz
	🫸🏻;ruka tlačiaca vpravo: svetlý tón pleti;čakať|high five|ruka tlačiaca vpravo|ruka tlačiaca vpravo: svetlý tón pleti|stop|svetlý tón pleti|tlačiť|vpravo|zákaz
	🫸🏼;ruka tlačiaca vpravo: stredne svetlý tón pleti;čakať|high five|ruka tlačiaca vpravo|ruka tlačiaca vpravo: stredne svetlý tón pleti|stop|stredne svetlý tón pleti|tlačiť|vpravo|zákaz
	🫸🏽;ruka tlačiaca vpravo: stredný tón pleti;čakať|high five|ruka tlačiaca vpravo|ruka tlačiaca vpravo: stredný tón pleti|stop|stredný tón pleti|tlačiť|vpravo|zákaz
	🫸🏾;ruka tlačiaca vpravo: stredne tmavý tón pleti;čakať|high five|ruka tlačiaca vpravo|ruka tlačiaca vpravo: stredne tmavý tón pleti|stop|stredne tmavý tón pleti|tlačiť|vpravo|zákaz
	🫸🏿;ruka tlačiaca vpravo: tmavý tón pleti;čakať|high five|ruka tlačiaca vpravo|ruka tlačiaca vpravo: tmavý tón pleti|stop|tlačiť|tmavý tón pleti|vpravo|zákaz
👌;výborne;ok|ruka|výborne
	👌🏻;výborne: svetlý tón pleti;ok|ruka|svetlý tón pleti|výborne|výborne: svetlý tón pleti
	👌🏼;výborne: stredne svetlý tón pleti;ok|ruka|stredne svetlý tón pleti|výborne|výborne: stredne svetlý tón pleti
	👌🏽;výborne: stredný tón pleti;ok|ruka|stredný tón pleti|výborne|výborne: stredný tón pleti
	👌🏾;výborne: stredne tmavý tón pleti;ok|ruka|stredne tmavý tón pleti|výborne|výborne: stredne tmavý tón pleti
	👌🏿;výborne: tmavý tón pleti;ok|ruka|tmavý tón pleti|výborne|výborne: tmavý tón pleti
🤌;štipka;málo|prsty|štipka|trocha|troška
	🤌🏻;štipka: svetlý tón pleti;málo|prsty|štipka|štipka: svetlý tón pleti|svetlý tón pleti|trocha|troška
	🤌🏼;štipka: stredne svetlý tón pleti;málo|prsty|štipka|štipka: stredne svetlý tón pleti|stredne svetlý tón pleti|trocha|troška
	🤌🏽;štipka: stredný tón pleti;málo|prsty|štipka|štipka: stredný tón pleti|stredný tón pleti|trocha|troška
	🤌🏾;štipka: stredne tmavý tón pleti;málo|prsty|štipka|štipka: stredne tmavý tón pleti|stredne tmavý tón pleti|trocha|troška
	🤌🏿;štipka: tmavý tón pleti;málo|prsty|štipka|štipka: tmavý tón pleti|tmavý tón pleti|trocha|troška
🤏;málo;malé množstvo|málo|trocha|troška
	🤏🏻;málo: svetlý tón pleti;malé množstvo|málo|málo: svetlý tón pleti|svetlý tón pleti|trocha|troška
	🤏🏼;málo: stredne svetlý tón pleti;malé množstvo|málo|málo: stredne svetlý tón pleti|stredne svetlý tón pleti|trocha|troška
	🤏🏽;málo: stredný tón pleti;malé množstvo|málo|málo: stredný tón pleti|stredný tón pleti|trocha|troška
	🤏🏾;málo: stredne tmavý tón pleti;malé množstvo|málo|málo: stredne tmavý tón pleti|stredne tmavý tón pleti|trocha|troška
	🤏🏿;málo: tmavý tón pleti;malé množstvo|málo|málo: tmavý tón pleti|tmavý tón pleti|trocha|troška
✌️;víťazstvo;ruka|v|víťazstvo
	✌🏻;víťazstvo: svetlý tón pleti;ruka|svetlý tón pleti|v|víťazstvo|víťazstvo: svetlý tón pleti
	✌🏼;víťazstvo: stredne svetlý tón pleti;ruka|stredne svetlý tón pleti|v|víťazstvo|víťazstvo: stredne svetlý tón pleti
	✌🏽;víťazstvo: stredný tón pleti;ruka|stredný tón pleti|v|víťazstvo|víťazstvo: stredný tón pleti
	✌🏾;víťazstvo: stredne tmavý tón pleti;ruka|stredne tmavý tón pleti|v|víťazstvo|víťazstvo: stredne tmavý tón pleti
	✌🏿;víťazstvo: tmavý tón pleti;ruka|tmavý tón pleti|v|víťazstvo|víťazstvo: tmavý tón pleti
🤞;držím palce;držať|držím palce|palce|ruka|šťastie
	🤞🏻;držím palce: svetlý tón pleti;držať|držím palce|držím palce: svetlý tón pleti|palce|ruka|šťastie|svetlý tón pleti
	🤞🏼;držím palce: stredne svetlý tón pleti;držať|držím palce|držím palce: stredne svetlý tón pleti|palce|ruka|šťastie|stredne svetlý tón pleti
	🤞🏽;držím palce: stredný tón pleti;držať|držím palce|držím palce: stredný tón pleti|palce|ruka|šťastie|stredný tón pleti
	🤞🏾;držím palce: stredne tmavý tón pleti;držať|držím palce|držím palce: stredne tmavý tón pleti|palce|ruka|šťastie|stredne tmavý tón pleti
	🤞🏿;držím palce: tmavý tón pleti;držať|držím palce|držím palce: tmavý tón pleti|palce|ruka|šťastie|tmavý tón pleti
🫰;ruka s prekríženým ukazovákom a palcom;drahé|láska|lusknutie|peniaze|ruka s prekríženým ukazovákom a palcom|srdce
	🫰🏻;ruka s prekríženým ukazovákom a palcom: svetlý tón pleti;drahé|láska|lusknutie|peniaze|ruka s prekríženým ukazovákom a palcom|ruka s prekríženým ukazovákom a palcom: svetlý tón pleti|srdce|svetlý tón pleti
