# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|चेहरा|दाँत दिखाता चेहरा
😮‍💨;सांस छोड़ता हुआ चेहरा;सांस छोड़ता हुआ चेहरा
🤥;झूठ बोलता चेहरा;चेहरा|झूठ|झूठ बोलता चेहरा|पिनोकिओ
🫨;थरथराता चेहरा;कंपकपाना|चेहरा|थरथराता चेहरा|थरथराना|धक्का|भूकंप
🙂‍↔️;इनकार का इशारा करता हुआ सिर;इनकार|इनकार का इशारा करता हुआ सिर|नहीं
🙂‍↕️;हामी भरने का इशारा करता हुआ सिर;हां|हामी भरना|हामी भरने का इशारा करता हुआ सिर
😌;चिंतामुक्त चेहरा;चिंतामुक्त|चेहरा
😔;निरुत्साहित चेहरा;चेहरा|निरुत्साहित|विचारमग्न
😪;उनींदा चेहरा;उनींदा|चेहरा
🤤;लार टपकता चेहरा;चेहरा|लार टपकता चेहरा|लार टपकना
😴;सोया हुआ चेहरा;चेहरा|सोता हुआ चेहरा|सोया हुआ चेहरा
😷;चिकित्सा मास्क वाला चेहरा;चिकित्सा मास्क|चिकित्सा मास्क वाला चेहरा|चेहरा|ठंड|नकाब|मास्क वाला चेहरा
🤒;थर्मामीटर वाला चेहरा;चेहरा|थर्मामीटर|थर्मामीटर वाला चेहरा|बीमार
🤕;सिर पर पट्टी वाला चेहरा;चेहरा|चोट|दुर्घटनाग्रस्त|सिर पर पट्टी|सिर पर पट्टी वाला चेहरा
🤢;उल्टी करता चेहरा;उल्टी|उल्टी करता चेहरा|चेहरा
🤮;उल्टी करता हुआ चेहरा;उबकाई|उल्टी|उल्टी करता हुआ चेहरा
🤧;छींकता चेहरा;चेहरा|छींक|छींकता चेहरा
🥵;गर्मी से लाल चेहरा;गर्म|गर्मी से लाल चेहरा|तपता हुआ चेहरा|बुखार|लू लगना
🥶;ठंड से जमा हुआ चेहरा;जमा हुआ|ठंड से जमा हुआ चेहरा|ठंड से सुन्न|ठंडा|नीला-चेहरा
🥴;चकराया हुआ चेहरा;चकराया हुआ चेहरा
😵;चक्कर खाता चेहरा;चक्कर|चक्कर खाता चेहरा|चेहरा
😵‍💫;घुमावदार आँखों वाला चेहरा;घुमावदार आँखों वाला चेहरा
🤯;विस्फोट करता हुआ सर;विस्फोट करता हुआ सर|हैरान
🤠;काउबॉय हैट के साथ चेहरा;काउगर्ल|काउबॉय|काउबॉय हैट के साथ चेहरा|चेहरा|टोपी
🥳;उत्सवी चेहरा;उत्सव|उत्सवी चेहरा|जलसा|जश्न|टोपी|पार्टी
🥸;छिपाया हुआ चेहरा;गुप्त|चश्मा|चेहरा|छद्म वेष|छिपाया हुआ चेहरा|नाक
😎;धूप के चश्मे के साथ मुस्काता चेहरा;चश्मे के साथ मुस्काना|चेहरा|धूप के चश्मे के साथ मुस्काता चेहरा|धूप के चश्मे वाला मुस्काता चेहरा|मुस्काना
🤓;मूर्खता के भाव वाला चेहरा;चेहरा|बेवकूफी के भाव वाला चेहरा|मूर्खता के भाव वाला चेहरा
🧐;एक आँख में चश्मा पहने चेहरा;उबाऊ|एक आँख में चश्मा पहने चेहरा|भरा हुआ
😕;परेशान चेहरा;असमंजस में|चेहरा|परेशान चेहरा|भ्रमित चेहरा
🫤;तिरछे मुंह वाला चेहरा;अनिश्चित|उदास|उलझन|ऊंह|तिरछे मुंह वाला चेहरा
😟;चिंतित चेहरा;चिंतित|चेहरा
🙁;कम क्रोधित चेहरा;कम क्रोधित चेहरा|चेहरा
☹️;अधिक क्रोधित चेहरा;अधिक क्रोधित चेहरा|चेहरा
😮;खुले मुँह वाला चेहरा;खुला मुंह|खुले मुँह वाला चेहरा|चेहरा|मुंह
😯;आश्चर्यचकित चेहरा;अचंभित|अवाक|आश्चर्यचकित|चेहरा|निस्तब्ध चेहरा
😲;पूरी तरह स्तंभित चेहरा;चेहरा|झटका|पूरी तरह स्तंभित|पूरी तरह स्तंभित चेहरा|भौंचक|हैरान चेहरा
😳;विस्मित चेहरा;उत्तेजित|चेहरा|विस्मय|विस्मित चेहरा
🥺;करुण चेहरा;करुण|करुण चेहरा|दयनीय|मासूम
🥹;आंसू रोकता चेहरा;आंसू रोकता चेहरा|उदास|गर्व|गुस्सा|रोना|विरोध
😦;खुले मुँह वाला त्यौरी चढ़ाता चेहरा;खुला मुंह|खुले मुँह वाला त्यौरी चढ़ाता चेहरा|खुले मुंह से त्यौरी चढ़ाना|चेहरा|त्यौरी|त्यौरी चढ़ाना
😧;दुखी चेहरा;चेहरा|दुखमय|दुखी चेहरा|पीड़ा
😨;डरा हुआ चेहरा;चेहरा|डरा|डरा हुआ चेहरा|भयभीत
😰;ठंडे पसीने वाला नीला चेहरा;खुला मुंह|घबराया चेहरा|चेहरा|ठंडा पसीना|ठंडे पसीने वाला नीला चेहरा
😥;निराश लेकिन चिंतामुक्त चेहरा;आह!|चिंतामुक्त|चेहरा|निराश|निराश और चिंतामुक्त|निराश लेकिन चिंतामुक्त चेहरा
😢;रोता चेहरा;आंसू|चेहरा|दुखी|रोता चेहरा|रोना
😭;ज़ोर–ज़ोर से रोता चेहरा;आंसू|चेहरा|ज़ोर–ज़ोर से रोता चेहरा|ज़ोर–ज़ोर से रोना|रोता हुआ|रोना
😱;डर से चिल्लाता चेहरा;चेहरा|डर|डर से चिल्लाता चेहरा|डर से चिल्लाना|डरा हुआ|डरा हुआ चेहरा|भयभीत
😖;हैरान चेहरा;चेहरा|भौंचक|हैरान चेहरा
😣;हठी चेहरा;चांटा मारो|चेहरा|मैंने चांटा मारा चेहरा|हठ|हठी चेहरा
😞;निराश चेहरा;चेहरा|निराश|निराशा
😓;ठंडे पसीने वाला उदास चेहरा;चेहरा|ठंडा पसीना|ठंडे पसीने वाला उदास चेहरा
😩;घबराया चेहरा;घबराया|चेहरा|थका हुआ
😫;थका चेहरा;चेहरा|थका चेहरा|थका हुआ
🥱;उबासी लेता चेहरा;उबासी|उबासी लेता चेहरा|ऊँघना|ऊबना|जम्हाई|थकान
😤;विजयी मुद्रा वाला चेहरा;चेहरा|जीत गया चेहरा|मैं जीता|विजय|विजयी मुद्रा|विजयी मुद्रा वाला चेहरा
😡;खीझ में लाल चेहरा;खीझ|खीझ में लाल चेहरा|गुस्सा|चेहरा|पागलपन|लाल चेहरा
😠;गुस्सैल चेहरा;गुस्सा|गुस्सैल चेहरा|चेहरा|पागल
🤬;मुँह पर निशान वाला चेहरा;कसम|मुँह पर निशान वाला चेहरा|शपथ|सौगंध
😈;सींग वाली मुस्कान वाला चेहरा;चेहरा|मुस्कान|सींग|सींग वाली मुस्कान|सींग वाली मुस्कान वाला चेहरा
👿;शैतान चेहरा;चेहरा|पिशाच|राक्षस|शैतान
💀;खोपड़ी;खोपड़ी|चेहरा|परी कथा|शरीर
☠️;खतरे या मौत का निशान;खतरे या मौत का निशान|खोपड़ी
💩;मल का ढेर;ढेर|पू|मल|मल का ढेर|विष्ठा
🤡;जोकर चेहरा;चेहरा|जोकर
👹;जापानी राक्षस;चेहरा|जापानी राक्षस|दैत्य|परी कथा|राक्षस
👺;जापानी पिशाच;चेहरा|जापानी पिशाच|टेंगू|दैत्य|परी कथा|पिशाच
👻;भूत;चेहरा|परी कथा|प्रेत|भूत
👽;परग्रह प्राणी;एलियन|चेहरा|परग्रह प्राणी|परी कथा|यूएफ़ओ
👾;परग्रह दैत्य;एलियन दैत्य|चेहरा|दैत्य|परग्रह दैत्य|परी कथा|यूएफ़ओ
🤖;रोबोट चेहरा;चेहरा|राक्षस|रोबोट
😺;मुस्काती आँखों वाली बिल्ली का चेहरा;खुला|चेहरा|बिल्ली|बिल्ली का चेहरा|मुस्काती आँखों वाली बिल्ली का चेहरा|मुस्काती बिल्ली का चेहरा|मुंह
😸;दाँत दिखाती और मुस्काती आँखों वाली बिल्ली का चेहरा;खिसियाती बिल्ली वाला चेहरा|चेहरा|दाँत दिखाती और मुस्काती आँखों वाली बिल्ली का चेहरा|दांत निकालना|बिल्ली|बिल्ली का चेहरा
😹;खुशी के आँसू वाली बिल्ली का चेहरा;खुशी के आंसू|खुशी के आँसू वाली बिल्ली का चेहरा|चेहरा|बिल्ली|बिल्ली का चेहरा
😻;दिल जैसी आँखों वाली मुस्काती बिल्ली;आंखें|चेहरा|दिल|दिल जैसी आँखों वाली मुस्काती बिल्ली|प्यार|प्यार में|बिल्ली|बिल्ली का चेहरा|मुस्काती बिल्ली का चेहरा
😼;व्यंग्यपूर्ण मुस्कान वाली बिल्ली का चेहरा;चेहरा|टेढ़ा|बिल्ली|बिल्ली का चेहरा|बिल्ली का टेढ़ा चेहरा|व्यंग्यपूर्ण मुस्कान|व्यंग्यपूर्ण मुस्कान वाली बिल्ली का चेहरा
😽;आँखें बंद करके चूमती बिल्ली का चेहरा;आंखें|आँखें बंद करके चूमती बिल्ली का चेहरा|चुंबन|चूमती बिल्ली|चूमना|चेहरा|बंद|बिल्ली
🙀;आश्चर्यचकित बिल्ली का चेहरा;आश्चर्यचकित बिल्ली का चेहरा|चेहरा|बिल्ली|सच में आश्चर्यचकित|सुस्त बिल्ली का चेहरा|हे भगवान
😿;रोती बिल्ली का चेहरा;चेहरा|बिल्ली|बिल्ली का चेहरा|रोता हुआ|रोती बिल्ली का चेहरा|रोना
😾;खीझभरी बिल्ली का चेहरा;खीझना|खीझभरी बिल्ली का चेहरा|चेहरा|बिल्ली|बिल्ली का चेहरा
🙈;बुरा मत देखो, गांधी जी का बन्दर;गांधी जी का बन्दर|बंदर|बुरा मत देखो|बुरा मत देखो बंदर|बुरा मत देखो, गांधी जी का बन्दर
🙉;बुरा मत सुनो, गांधी जी का बन्दर;गांधी जी का बन्दर|बंदर|बुरा मत सुनो|बुरा मत सुनो बंदर|बुरा मत सुनो, गांधी जी का बन्दर
🙊;बुरा मत बोलो, गांधी जी का बन्दर;गांधी जी का बन्दर|बंदर|बुरा मत बोलो|बुरा मत बोलो बंदर|बुरा मत बोलो, गांधी जी का बन्दर
💌;प्रेमपत्र;दिल|दिल के चिह्न वाला पत्र|पत्र|प्यार|प्रेमपत्र
💘;दिल और तीर;तीर|दिल|दिल और तीर|प्यार|भावना
💝;रिबन वाला दिल;दिल|भावना|रिबन|रिबन वाला दिल|वैलेंटाइन
💖;रोमांचित दिल;चमकदार दिल|चमकना|प्यार|भावना|रोमांचित|रोमांचित दिल
💗;बढ़ता हुआ दिल;घबराया|दिल|प्यार|बढ़ता हुआ दिल|भावना|रोमांचित
💓;धड़कता दिल;दिल|धड़कता दिल|धड़कन|धड़कना|प्यार|भावना
💞;घूमते दिल;आकर्षक|कावाई|घूमते दिल|घूमना|दिल|प्यार|प्यारा|भावना
💕;दो दिल;दो दिल|प्यार|प्रेमी|भावना
💟;दिल की सजावट;दिल|दिल की सजावट
❣️;विस्मय चिह्न वाला दिल;गहना|विस्मय चिह्न वाला दिल
💔;टूटा दिल;टूटना|टूटा दिल|टूटा हुआ|दिल|भावना
❤️‍🔥;दिल जलना;दिल जलना
❤️‍🩹;दिल बहलाना;ठीक|ठीक होना|दिल की मरम्मत|दिल बहलाना|सुधरना|स्वस्थ
❤️;लाल दिल;दिल|लाल दिल
🩷;गुलाबी दिल;गुलाबी|दिल|पसंद|प्यार|प्यारा
🧡;नारंगी दिल;नारंगी दिल
💛;पीला दिल;दिल|पीला|भावना
💚;हरा दिल;दिल|भावना|हरा
💙;नीला दिल;दिल|नीला|भावना
🩵;हल्का नीला दिल;टील|दिल|साइऐन|हल्का नीला|हल्का नीला दिल
💜;बैंगनी दिल;दिल|बैंगनी|भावना
🤎;भूरा दिल;दिल|भूरा
🖤;काला दिल;काला|दिल|बुराई|शैतान
🩶;स्लेटी दिल;दिल|रजत|स्लेट|स्लेटी
🤍;सफ़ेद दिल;दिल|सफ़ेद
💋;चुंबन का निशान;चुंबन का चिह्न|चुंबन का निशान|प्यार|होंठ
💯;100 अंक;100|अंक|पूरे अंक|सौ अंक
💢;गुस्से का चिह्न;कॉमिक|गुस्सा|गुस्से का चिह्न|गुस्सैल|भावना
💥;टक्कर;कॉमिक|टक्कर|टक्कर का चिह्न|भावना
💫;तारे दिखना;कॉमिक|चक्कर|तारे|तारे दिखना|भावना
💦;पसीने की बूंदें;कॉमिक|पसीना|पसीने की बूंदें|पसीनेदार|भावना
💨;दौड़ना;कॉमिक|तेज़ दौड़|दौड़|दौड़ना|भागना|भावना
🕳️;छिद्र;गड्ढा|छिद्र
💬;संवाद बुलबुला;कॉमिक|गुब्बारा|बुलबुला|बोलने का गुब्बारा|वाक बुलबुला|संवाद
👁️‍🗨️;स्पीच बबल में आंख;आंख|गवाह|स्पीच बबल|स्पीच बबल में आंख
🗨️;बायाँ स्पीच बबल;बायाँ स्पीच बबल|बोली|संवाद
🗯️;दायाँ गुस्से वाला बबल;गुब्बारा|गुस्सा|दायाँ गुस्से वाला बबल|पागल|बबल
💭;विचार बुलबुला;कॉमिक|बुलबुला|विचार|विचार गुब्बारा
💤;उनींदा;Zzz|उनींदा|कॉमिक|खर्राटे भरना|भावना|सोना

[people_body]
👋;हाथ हिलाना;हाथ|हिलाना
	👋🏻;हाथ हिलाना: गोरी त्वचा;गोरी त्वचा|हाथ|हाथ हिलाना: गोरी त्वचा|हिलाना
	👋🏼;हाथ हिलाना: हल्की गोरी त्वचा;हल्की गोरी त्वचा|हाथ|हाथ हिलाना: हल्की गोरी त्वचा|हिलाना
	👋🏽;हाथ हिलाना: गेहुँआ त्वचा;गेहुँआ त्वचा|हाथ|हाथ हिलाना: गेहुँआ त्वचा|हिलाना
	👋🏾;हाथ हिलाना: हल्की साँवली त्वचा;हल्की साँवली त्वचा|हाथ|हाथ हिलाना: हल्की साँवली त्वचा|हिलाना
	👋🏿;हाथ हिलाना: साँवली त्वचा;साँवली त्वचा|हाथ|हाथ हिलाना: साँवली त्वचा|हिलाना
🤚;उठे हुए हाथ के पीछे का भाग;उठा|उठे हुए हाथ के पीछे का भाग|पिछला हाथ
	🤚🏻;उठे हुए हाथ के पीछे का भाग: गोरी त्वचा;उठा|उठे हुए हाथ के पीछे का भाग|उठे हुए हाथ के पीछे का भाग: गोरी त्वचा|गोरी त्वचा|पिछला हाथ
	🤚🏼;उठे हुए हाथ के पीछे का भाग: हल्की गोरी त्वचा;उठा|उठे हुए हाथ के पीछे का भाग|उठे हुए हाथ के पीछे का भाग: हल्की गोरी त्वचा|पिछला हाथ|हल्की गोरी त्वचा
	🤚🏽;उठे हुए हाथ के पीछे का भाग: गेहुँआ त्वचा;उठा|उठे हुए हाथ के पीछे का भाग|उठे हुए हाथ के पीछे का भाग: गेहुँआ त्वचा|गेहुँआ त्वचा|पिछला हाथ
	🤚🏾;उठे हुए हाथ के पीछे का भाग: हल्की साँवली त्वचा;उठा|उठे हुए हाथ के पीछे का भाग|उठे हुए हाथ के पीछे का भाग: हल्की साँवली त्वचा|पिछला हाथ|हल्की साँवली त्वचा
	🤚🏿;उठे हुए हाथ के पीछे का भाग: साँवली त्वचा;उठा|उठे हुए हाथ के पीछे का भाग|उठे हुए हाथ के पीछे का भाग: साँवली त्वचा|पिछला हाथ|साँवली त्वचा
🖐️;फैली हुई अँगुलियों वाला उठा हुआ हाथ;फैली हुई अँगुलियों वाला उठा हुआ हाथ|बस|रोकना|हाथ का पंजा
	🖐🏻;फैली हुई अँगुलियों वाला उठा हुआ हाथ: गोरी त्वचा;गोरी त्वचा|फैली हुई अँगुलियों वाला उठा हुआ हाथ|फैली हुई अँगुलियों वाला उठा हुआ हाथ: गोरी त्वचा|बस|रोकना|हाथ का पंजा
	🖐🏼;फैली हुई अँगुलियों वाला उठा हुआ हाथ: हल्की गोरी त्वचा;फैली हुई अँगुलियों वाला उठा हुआ हाथ|फैली हुई अँगुलियों वाला उठा हुआ हाथ: हल्की गोरी त्वचा|बस|रोकना|हल्की गोरी त्वचा|हाथ का पंजा
	🖐🏽;फैली हुई अँगुलियों वाला उठा हुआ हाथ: गेहुँआ त्वचा;गेहुँआ त्वचा|फैली हुई अँगुलियों वाला उठा हुआ हाथ|फैली हुई अँगुलियों वाला उठा हुआ हाथ: गेहुँआ त्वचा|बस|रोकना|हाथ का पंजा
	🖐🏾;फैली हुई अँगुलियों वाला उठा हुआ हाथ: हल्की साँवली त्वचा;फैली हुई अँगुलियों वाला उठा हुआ हाथ|फैली हुई अँगुलियों वाला उठा हुआ हाथ: हल्की साँवली त्वचा|बस|रोकना|हल्की साँवली त्वचा|हाथ का पंजा
	🖐🏿;फैली हुई अँगुलियों वाला उठा हुआ हाथ: साँवली त्वचा;फैली हुई अँगुलियों वाला उठा हुआ हाथ|फैली हुई अँगुलियों वाला उठा हुआ हाथ: साँवली त्वचा|बस|रोकना|साँवली त्वचा|हाथ का पंजा
✋;उठा हुआ हाथ;उठा हुआ हाथ
	✋🏻;उठा हुआ हाथ: गोरी त्वचा;उठा हुआ हाथ|उठा हुआ हाथ: गोरी त्वचा|गोरी त्वचा
	✋🏼;उठा हुआ हाथ: हल्की गोरी त्वचा;उठा हुआ हाथ|उठा हुआ हाथ: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	✋🏽;उठा हुआ हाथ: गेहुँआ त्वचा;उठा हुआ हाथ|उठा हुआ हाथ: गेहुँआ त्वचा|गेहुँआ त्वचा
	✋🏾;उठा हुआ हाथ: हल्की साँवली त्वचा;उठा हुआ हाथ|उठा हुआ हाथ: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	✋🏿;उठा हुआ हाथ: साँवली त्वचा;उठा हुआ हाथ|उठा हुआ हाथ: साँवली त्वचा|साँवली त्वचा
🖖;सेल्यूट का एक तरीका;रोमन अग्निदेवता|वल्कन सेल्यूट|विश्वकर्मा|सेल्यूट का एक तरीका
	🖖🏻;सेल्यूट का एक तरीका: गोरी त्वचा;गोरी त्वचा|रोमन अग्निदेवता|वल्कन सेल्यूट|विश्वकर्मा|सेल्यूट का एक तरीका|सेल्यूट का एक तरीका: गोरी त्वचा
	🖖🏼;सेल्यूट का एक तरीका: हल्की गोरी त्वचा;रोमन अग्निदेवता|वल्कन सेल्यूट|विश्वकर्मा|सेल्यूट का एक तरीका|सेल्यूट का एक तरीका: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	🖖🏽;सेल्यूट का एक तरीका: गेहुँआ त्वचा;गेहुँआ त्वचा|रोमन अग्निदेवता|वल्कन सेल्यूट|विश्वकर्मा|सेल्यूट का एक तरीका|सेल्यूट का एक तरीका: गेहुँआ त्वचा
	🖖🏾;सेल्यूट का एक तरीका: हल्की साँवली त्वचा;रोमन अग्निदेवता|वल्कन सेल्यूट|विश्वकर्मा|सेल्यूट का एक तरीका|सेल्यूट का एक तरीका: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	🖖🏿;सेल्यूट का एक तरीका: साँवली त्वचा;रोमन अग्निदेवता|वल्कन सेल्यूट|विश्वकर्मा|साँवली त्वचा|सेल्यूट का एक तरीका|सेल्यूट का एक तरीका: साँवली त्वचा
🫱;दाहिनी ओर हाथ;दायां|दाहिनी ओर|दाहिनी ओर हाथ|हाथ
	🫱🏻;दाहिनी ओर हाथ: गोरी त्वचा;गोरी त्वचा|दायां|दाहिनी ओर|दाहिनी ओर हाथ|दाहिनी ओर हाथ: गोरी त्वचा|हाथ
	🫱🏼;दाहिनी ओर हाथ: हल्की गोरी त्वचा;दायां|दाहिनी ओर|दाहिनी ओर हाथ|दाहिनी ओर हाथ: हल्की गोरी त्वचा|हल्की गोरी त्वचा|हाथ
	🫱🏽;दाहिनी ओर हाथ: गेहुँआ त्वचा;गेहुँआ त्वचा|दायां|दाहिनी ओर|दाहिनी ओर हाथ|दाहिनी ओर हाथ: गेहुँआ त्वचा|हाथ
	🫱🏾;दाहिनी ओर हाथ: हल्की साँवली त्वचा;दायां|दाहिनी ओर|दाहिनी ओर हाथ|दाहिनी ओर हाथ: हल्की साँवली त्वचा|हल्की साँवली त्वचा|हाथ
	🫱🏿;दाहिनी ओर हाथ: साँवली त्वचा;दायां|दाहिनी ओर|दाहिनी ओर हाथ|दाहिनी ओर हाथ: साँवली त्वचा|साँवली त्वचा|हाथ
🫲;बाईं ओर हाथ;बाई ओर|बाईं ओर हाथ|बायां|हाथ
	🫲🏻;बाईं ओर हाथ: गोरी त्वचा;गोरी त्वचा|बाई ओर|बाईं ओर हाथ|बाईं ओर हाथ: गोरी त्वचा|बायां|हाथ
	🫲🏼;बाईं ओर हाथ: हल्की गोरी त्वचा;बाई ओर|बाईं ओर हाथ|बाईं ओर हाथ: हल्की गोरी त्वचा|बायां|हल्की गोरी त्वचा|हाथ
	🫲🏽;बाईं ओर हाथ: गेहुँआ त्वचा;गेहुँआ त्वचा|बाई ओर|बाईं ओर हाथ|बाईं ओर हाथ: गेहुँआ त्वचा|बायां|हाथ
