# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;laia naeratusega nägu;irve|laia naeratusega nägu|naeratus|nägu
😟;murelik nägu;murelik|nägu
🙁;veidi kulmu kortsutav nägu;kulmukortsutus|nägu|veidi kulmu kortsutav nägu
☹️;kulmu kortsutav nägu;kulmu kortsutav nägu|kulmukortsutus|nägu
😮;avatud suuga nägu;avatud|avatud suuga nägu|kaastunne|lahti|nägu|suu
😯;vaigistatud nägu;hämmingus|nägu|üllatunud|vaigistatud
😲;hämmastunud nägu;ehmunud|hämmastunud nägu|hämmastus|löödud|nägu
😳;punastav nägu;nägu|punastamine|punastav nägu
🥺;anuv nägu;anuv nägu|halastust ootav|kutsikasilmad|paluv
🥹;pisaraid tagasi hoidev nägu;kurb|nuttev|pisaraid tagasi hoidev nägu|trotslik|uhke|vihane
😦;avatud suuga mossitav nägu;avatud|avatud suuga mossitav nägu|mossis|nägu|suu
😧;ahastuses nägu;ahastus|ahastuses nägu|nägu
😨;hirmunud nägu;hirm|hirmunud nägu|hirmus|kartlik|nägu
😰;külma higiga kaetud ja avatud suuga nägu;avatud|higi|külm|külma higiga kaetud ja avatud suuga nägu|nägu|sinine|suu
😥;pettunud, kuid kergendust tundev nägu;kergendus|kuid kergendust tundev nägu|leevendus|nägu|pettunud|pettunud, kuid kergendust tundev nägu
😢;nuttev nägu;kurb|nägu|nutt|nuttev nägu|pisar
😭;valjusti nuttev nägu;kurb|nägu|nutmine|nutt|pisar|valjusti nuttev nägu
😱;hirmunult karjuv nägu;hirm|hirmul|hirmunud|hirmunult karjuv nägu|karje|munch|nägu
😖;kimbatuses nägu;kimbatus|kimbatuses nägu|nägu
😣;sihikindel nägu;kannatamine|nägu|sihikindel nägu
😞;pettunud nägu;kergendus|leevendus|nägu|pettunud
😓;külma higiga kaetud nägu;higi|külm|külma higiga kaetud nägu|nägu
😩;rammestunud nägu;nägu|rammestunud|väsinud
😫;väsinud nägu;nägu|väsinud
🥱;haigutav nägu;haigutamine|haigutav nägu|haigutus|igav|väsinud
😤;ninast auru ajav nägu;aur|nägu|nina|ninast auru ajav nägu
😡;mossitav nägu;mossitav|nägu|punane|tige|viha|vihane
😠;tige nägu;nägu|tige|vihane
🤬;suul olevate sümbolitega nägu;suul olevate sümbolitega nägu|vandumine
😈;sarviline naerunägu;fantaasia|muinasjutt|naeratus|nägu|sarved|sarviline naerunägu
👿;deemon;deemon|fantaasia|kurat|muinasjutt|nägu|paharet|saatan
💀;kolp;kolp|kondid|luud|muinasjutt|nägu|pealuu|surm
☠️;kolp ja sääreluud;koletis|kolp|kolp ja sääreluud|kondid|luud|pealuu|surm
💩;kakahunnik;kaka|kakahunnik|koletis|koll|koomiks|nägu|sõnnik
🤡;klouninägu;kloun|klouninägu|nägu
👹;sookoll;fantaasia|koletis|koll|muinasjutt|nägu|olend|sookoll
👺;mäekoll;fantaasia|koletis|koll|mäekoll|muinasjutt|nägu|olend
👻;kummitus;kummitus|muinasjutt|nägu|olend|tont|viirastus
👽;tulnukas;fantaasia|maaväline|nägu|olend|tulnukas
👾;tulnukkoletis;koletis|maaväline|nägu|olend|tulnukas|tulnukkoletis|ufo
🤖;robot;koletis|nägu|robot|roboti nägu
😺;avatud suuga naeratav kass;avatud suuga naeratav kass|kass|lahti|naeratus|nägu|suu
😸;lõbusate silmadega irvitav kass;irve|kass|lõbusate silmadega irvitav kass|naeratus|nägu|silm
😹;rõõmupisarais kass;kass|nägu|pisar|rõõm|rõõmupisarais kass
😻;südamekujuliste silmadega naeratav kass;armastus|kass|naeratus|nägu|süda|südamekujuliste silmadega naeratav kass
😼;virilalt naeratav kass;irooniline|kass|naeratus|nägu|viril|virilalt naeratav kass
😽;suletud silmadega suudlev kass;kass|nägu|silm|suletud silmadega suudlev kass|suudlus
🙀;üllatunud kass;kass|nägu|ootamatu|üllatunud|üllatus
😿;nuttev kass;kass|kurb|nägu|nutt|nuttev kass|pisar
😾;mossitav kass;kass|mossis|mossitav kass|nägu
🙈;kaetud silmadega ahv;ahv|kaetud silmadega ahv|keelatud|keeld|kuri|nägu|vaatamine
🙉;kaetud kõrvadega ahv;ahv|kaetud kõrvadega ahv|keelatud|keeld|kuri|kuulamine|nägu
🙊;kaetud suuga ahv;ahv|kaetud suuga ahv|keelatud|keeld|kuri|nägu|rääkimine
💌;armastuskiri;armastus|armastuskiri|kiri|romantika|süda
💘;noolega süda;nool|noolega süda|romantika|süda
💝;lindiga süda;lindiga süda|lint|sõbrapäev|süda
💖;sädelev süda;elevil|sädelev süda|sära|süda
💗;kasvav süda;kasvav|närviline|põnev|pulss|süda
💓;tukslev süda;löök|pulss|süda|tukslev süda
💞;pöörlevad südamed;pöörlev|pöörlevad südamed|süda
💕;kaks südant;armastus|kaks südant|süda
💟;südamekujuline kaunistus;süda|südamekujuline kaunistus
❣️;südamega hüüumärk;hüüumärk|kirjavahemärk|märk|süda|südamega hüüumärk
💔;murtud süda;murtud|süda
❤️‍🔥;leegitsev süda;armastus|kirg|leegitsev süda|põlev|püha süda|süda
❤️‍🩹;tervenev süda;hästi|kosumine|paranemine|taastumine|tervem|tervenemine|tervenev süda
❤️;punane süda;punane süda|süda
🩷;roosa süda;armas|armastus|meeldib|roosa|süda
🧡;oranž süda;oranž|oranž süda
💛;kollane süda;kollane|süda
💚;roheline süda;roheline|süda
💙;sinine süda;sinine|süda
🩵;helesinine süda;helesinine|rohekassinine|sinakasroheline|süda
💜;lilla süda;lilla|süda
🤎;pruun süda;pruun|süda
🖤;must süda;kuri|must|süda
🩶;hall süda;hall|hõbedane|paehall|süda
🤍;valge süda;süda|valge
💋;suudluse jälg;huuled|musi|romantika|süda|suudluse jälg
💯;sada punkti;100|punkt|sada|sada punkti|täis
💢;viha sümbol;koomiks|tige|viha sümbol|vihane
💥;piraki;koomiks|piraki
💫;peadpööritav;koomiks|peadpööritav|täht
💦;higipiisad;higi|higipiisad|koomiks|piisad
💨;kiirustamine;jooksmine|kiirustamine|koomiks
🕳️;auk;auk
💬;jutumull;dialoog|jutt|jutumull|koomiks|mull
👁️‍🗨️;silm jutumullis;dialoog|jutumull|silm|silm jutumullis|tunnistaja
🗨️;jutumull suunaga vasakule;dialoog|jutt|jutumull suunaga vasakule
🗯️;vihamull suunaga paremale;mull|tige|vihamull suunaga paremale|vihane
💭;mõttemull;koomiks|mõte|mõttemull|mull
💤;zzz;koomiks|uni|zzz

[people_body]
👋;lehvitav käsi;käsi|keha|lehvitav käsi|lehvitus
	👋🏻;lehvitav käsi: hele nahatoon;hele nahatoon|käsi|keha|lehvitav käsi|lehvitav käsi: hele nahatoon|lehvitus
	👋🏼;lehvitav käsi: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|lehvitav käsi|lehvitav käsi: keskmiselt hele nahatoon|lehvitus
	👋🏽;lehvitav käsi: keskmine nahatoon;käsi|keha|keskmine nahatoon|lehvitav käsi|lehvitav käsi: keskmine nahatoon|lehvitus
	👋🏾;lehvitav käsi: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|lehvitav käsi|lehvitav käsi: keskmiselt tume nahatoon|lehvitus
	👋🏿;lehvitav käsi: tume nahatoon;käsi|keha|lehvitav käsi|lehvitav käsi: tume nahatoon|lehvitus|tume nahatoon
🤚;tõstetud käsi;käsi|tõstetud
	🤚🏻;tõstetud käsi: hele nahatoon;hele nahatoon|käsi|tõstetud|tõstetud käsi: hele nahatoon
	🤚🏼;tõstetud käsi: keskmiselt hele nahatoon;käsi|keskmiselt hele nahatoon|tõstetud|tõstetud käsi: keskmiselt hele nahatoon
	🤚🏽;tõstetud käsi: keskmine nahatoon;käsi|keskmine nahatoon|tõstetud|tõstetud käsi: keskmine nahatoon
	🤚🏾;tõstetud käsi: keskmiselt tume nahatoon;käsi|keskmiselt tume nahatoon|tõstetud|tõstetud käsi: keskmiselt tume nahatoon
	🤚🏿;tõstetud käsi: tume nahatoon;käsi|tõstetud|tõstetud käsi: tume nahatoon|tume nahatoon
🖐️;harali sõrmedega käsi;harali|harali sõrmedega käsi|käsi|keha|sõrm
	🖐🏻;harali sõrmedega käsi: hele nahatoon;harali|harali sõrmedega käsi|harali sõrmedega käsi: hele nahatoon|hele nahatoon|käsi|keha|sõrm
	🖐🏼;harali sõrmedega käsi: keskmiselt hele nahatoon;harali|harali sõrmedega käsi|harali sõrmedega käsi: keskmiselt hele nahatoon|käsi|keha|keskmiselt hele nahatoon|sõrm
	🖐🏽;harali sõrmedega käsi: keskmine nahatoon;harali|harali sõrmedega käsi|harali sõrmedega käsi: keskmine nahatoon|käsi|keha|keskmine nahatoon|sõrm
	🖐🏾;harali sõrmedega käsi: keskmiselt tume nahatoon;harali|harali sõrmedega käsi|harali sõrmedega käsi: keskmiselt tume nahatoon|käsi|keha|keskmiselt tume nahatoon|sõrm
	🖐🏿;harali sõrmedega käsi: tume nahatoon;harali|harali sõrmedega käsi|harali sõrmedega käsi: tume nahatoon|käsi|keha|sõrm|tume nahatoon
✋;ülestõstetud käsi;käsi|keha|ülestõstetud käsi
	✋🏻;ülestõstetud käsi: hele nahatoon;hele nahatoon|käsi|keha|ülestõstetud käsi|ülestõstetud käsi: hele nahatoon
	✋🏼;ülestõstetud käsi: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|ülestõstetud käsi|ülestõstetud käsi: keskmiselt hele nahatoon
	✋🏽;ülestõstetud käsi: keskmine nahatoon;käsi|keha|keskmine nahatoon|ülestõstetud käsi|ülestõstetud käsi: keskmine nahatoon
	✋🏾;ülestõstetud käsi: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|ülestõstetud käsi|ülestõstetud käsi: keskmiselt tume nahatoon
	✋🏿;ülestõstetud käsi: tume nahatoon;käsi|keha|tume nahatoon|ülestõstetud käsi|ülestõstetud käsi: tume nahatoon
🖖;vulcanite tervitus;käsi|keha|sõrm|spock|vulcan|vulcanite tervitus
	🖖🏻;vulcanite tervitus: hele nahatoon;hele nahatoon|käsi|keha|sõrm|spock|vulcan|vulcanite tervitus|vulcanite tervitus: hele nahatoon
	🖖🏼;vulcanite tervitus: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|sõrm|spock|vulcan|vulcanite tervitus|vulcanite tervitus: keskmiselt hele nahatoon
	🖖🏽;vulcanite tervitus: keskmine nahatoon;käsi|keha|keskmine nahatoon|sõrm|spock|vulcan|vulcanite tervitus|vulcanite tervitus: keskmine nahatoon
	🖖🏾;vulcanite tervitus: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|sõrm|spock|vulcan|vulcanite tervitus|vulcanite tervitus: keskmiselt tume nahatoon
	🖖🏿;vulcanite tervitus: tume nahatoon;käsi|keha|sõrm|spock|tume nahatoon|vulcan|vulcanite tervitus|vulcanite tervitus: tume nahatoon
🫱;käsi paremale;käsi|parem|paremale
	🫱🏻;käsi paremale: hele nahatoon;hele nahatoon|käsi|käsi paremale: hele nahatoon|parem|paremale
	🫱🏼;käsi paremale: keskmiselt hele nahatoon;käsi|käsi paremale: keskmiselt hele nahatoon|keskmiselt hele nahatoon|parem|paremale
	🫱🏽;käsi paremale: keskmine nahatoon;käsi|käsi paremale: keskmine nahatoon|keskmine nahatoon|parem|paremale
	🫱🏾;käsi paremale: keskmiselt tume nahatoon;käsi|käsi paremale: keskmiselt tume nahatoon|keskmiselt tume nahatoon|parem|paremale
	🫱🏿;käsi paremale: tume nahatoon;käsi|käsi paremale: tume nahatoon|parem|paremale|tume nahatoon
🫲;käsi vasakule;käsi|vasak|vasakule
	🫲🏻;käsi vasakule: hele nahatoon;hele nahatoon|käsi|käsi vasakule: hele nahatoon|vasak|vasakule
	🫲🏼;käsi vasakule: keskmiselt hele nahatoon;käsi|käsi vasakule: keskmiselt hele nahatoon|keskmiselt hele nahatoon|vasak|vasakule
	🫲🏽;käsi vasakule: keskmine nahatoon;käsi|käsi vasakule: keskmine nahatoon|keskmine nahatoon|vasak|vasakule
	🫲🏾;käsi vasakule: keskmiselt tume nahatoon;käsi|käsi vasakule: keskmiselt tume nahatoon|keskmiselt tume nahatoon|vasak|vasakule
	🫲🏿;käsi vasakule: tume nahatoon;käsi|käsi vasakule: tume nahatoon|tume nahatoon|vasak|vasakule
🫳;käsi peopesaga allapoole;käsi peopesaga allapoole|kõss|lahti laskma|loobuma
	🫳🏻;käsi peopesaga allapoole: hele nahatoon;hele nahatoon|käsi peopesaga allapoole|käsi peopesaga allapoole: hele nahatoon|kõss|lahti laskma|loobuma
	🫳🏼;käsi peopesaga allapoole: keskmiselt hele nahatoon;käsi peopesaga allapoole|käsi peopesaga allapoole: keskmiselt hele nahatoon|keskmiselt hele nahatoon|kõss|lahti laskma|loobuma
	🫳🏽;käsi peopesaga allapoole: keskmine nahatoon;käsi peopesaga allapoole|käsi peopesaga allapoole: keskmine nahatoon|keskmine nahatoon|kõss|lahti laskma|loobuma
	🫳🏾;käsi peopesaga allapoole: keskmiselt tume nahatoon;käsi peopesaga allapoole|käsi peopesaga allapoole: keskmiselt tume nahatoon|keskmiselt tume nahatoon|kõss|lahti laskma|loobuma
	🫳🏿;käsi peopesaga allapoole: tume nahatoon;käsi peopesaga allapoole|käsi peopesaga allapoole: tume nahatoon|kõss|lahti laskma|loobuma|tume nahatoon
🫴;käsi peopesaga ülespoole;käsi peopesaga ülespoole|kutsuma|pakkuma|püüdma|tule
	🫴🏻;käsi peopesaga ülespoole: hele nahatoon;hele nahatoon|käsi peopesaga ülespoole|käsi peopesaga ülespoole: hele nahatoon|kutsuma|pakkuma|püüdma|tule
	🫴🏼;käsi peopesaga ülespoole: keskmiselt hele nahatoon;käsi peopesaga ülespoole|käsi peopesaga ülespoole: keskmiselt hele nahatoon|keskmiselt hele nahatoon|kutsuma|pakkuma|püüdma|tule
	🫴🏽;käsi peopesaga ülespoole: keskmine nahatoon;käsi peopesaga ülespoole|käsi peopesaga ülespoole: keskmine nahatoon|keskmine nahatoon|kutsuma|pakkuma|püüdma|tule
	🫴🏾;käsi peopesaga ülespoole: keskmiselt tume nahatoon;käsi peopesaga ülespoole|käsi peopesaga ülespoole: keskmiselt tume nahatoon|keskmiselt tume nahatoon|kutsuma|pakkuma|püüdma|tule
	🫴🏿;käsi peopesaga ülespoole: tume nahatoon;käsi peopesaga ülespoole|käsi peopesaga ülespoole: tume nahatoon|kutsuma|pakkuma|püüdma|tule|tume nahatoon
🫷;vasakule lükkav käsi;keeldu|lükka|oota|stopp|vasakule|vasakule lükkav käsi|viska viis
	🫷🏻;vasakule lükkav käsi: hele nahatoon;hele nahatoon|keeldu|lükka|oota|stopp|vasakule|vasakule lükkav käsi|vasakule lükkav käsi: hele nahatoon|viska viis
	🫷🏼;vasakule lükkav käsi: keskmiselt hele nahatoon;keeldu|keskmiselt hele nahatoon|lükka|oota|stopp|vasakule|vasakule lükkav käsi|vasakule lükkav käsi: keskmiselt hele nahatoon|viska viis
	🫷🏽;vasakule lükkav käsi: keskmine nahatoon;keeldu|keskmine nahatoon|lükka|oota|stopp|vasakule|vasakule lükkav käsi|vasakule lükkav käsi: keskmine nahatoon|viska viis
	🫷🏾;vasakule lükkav käsi: keskmiselt tume nahatoon;keeldu|keskmiselt tume nahatoon|lükka|oota|stopp|vasakule|vasakule lükkav käsi|vasakule lükkav käsi: keskmiselt tume nahatoon|viska viis
	🫷🏿;vasakule lükkav käsi: tume nahatoon;keeldu|lükka|oota|stopp|tume nahatoon|vasakule|vasakule lükkav käsi|vasakule lükkav käsi: tume nahatoon|viska viis
🫸;paremale lükkav käsi;keeldu|lükka|oota|paremale|paremale lükkav käsi|stopp|viska viis
	🫸🏻;paremale lükkav käsi: hele nahatoon;hele nahatoon|keeldu|lükka|oota|paremale|paremale lükkav käsi|paremale lükkav käsi: hele nahatoon|stopp|viska viis
	🫸🏼;paremale lükkav käsi: keskmiselt hele nahatoon;keeldu|keskmiselt hele nahatoon|lükka|oota|paremale|paremale lükkav käsi|paremale lükkav käsi: keskmiselt hele nahatoon|stopp|viska viis
	🫸🏽;paremale lükkav käsi: keskmine nahatoon;keeldu|keskmine nahatoon|lükka|oota|paremale|paremale lükkav käsi|paremale lükkav käsi: keskmine nahatoon|stopp|viska viis
	🫸🏾;paremale lükkav käsi: keskmiselt tume nahatoon;keeldu|keskmiselt tume nahatoon|lükka|oota|paremale|paremale lükkav käsi|paremale lükkav käsi: keskmiselt tume nahatoon|stopp|viska viis
	🫸🏿;paremale lükkav käsi: tume nahatoon;keeldu|lükka|oota|paremale|paremale lükkav käsi|paremale lükkav käsi: tume nahatoon|stopp|tume nahatoon|viska viis
👌;OK-käemärk;käsi|keha|OK-käemärk
	👌🏻;OK-käemärk: hele nahatoon;hele nahatoon|käsi|keha|OK-käemärk|OK-käemärk: hele nahatoon
	👌🏼;OK-käemärk: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|OK-käemärk|OK-käemärk: keskmiselt hele nahatoon
	👌🏽;OK-käemärk: keskmine nahatoon;käsi|keha|keskmine nahatoon|OK-käemärk|OK-käemärk: keskmine nahatoon
	👌🏾;OK-käemärk: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|OK-käemärk|OK-käemärk: keskmiselt tume nahatoon
	👌🏿;OK-käemärk: tume nahatoon;käsi|keha|OK-käemärk|OK-käemärk: tume nahatoon|tume nahatoon
🤌;kokkusurutud sõrmed;kokkusurutud|küsimus|sarkastiline|sõrmed|žest
	🤌🏻;kokkusurutud sõrmed: hele nahatoon;hele nahatoon|kokkusurutud|kokkusurutud sõrmed: hele nahatoon|küsimus|sarkastiline|sõrmed|žest
	🤌🏼;kokkusurutud sõrmed: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kokkusurutud|kokkusurutud sõrmed: keskmiselt hele nahatoon|küsimus|sarkastiline|sõrmed|žest
	🤌🏽;kokkusurutud sõrmed: keskmine nahatoon;keskmine nahatoon|kokkusurutud|kokkusurutud sõrmed: keskmine nahatoon|küsimus|sarkastiline|sõrmed|žest
	🤌🏾;kokkusurutud sõrmed: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kokkusurutud|kokkusurutud sõrmed: keskmiselt tume nahatoon|küsimus|sarkastiline|sõrmed|žest
	🤌🏿;kokkusurutud sõrmed: tume nahatoon;kokkusurutud|kokkusurutud sõrmed: tume nahatoon|küsimus|sarkastiline|sõrmed|tume nahatoon|žest
🤏;näpistav käsi;näpistav käsi|pöialt ja nimetissõrme lähestikku hoidev käsi|väike kogus
	🤏🏻;näpistav käsi: hele nahatoon;hele nahatoon|näpistav käsi|näpistav käsi: hele nahatoon|pöialt ja nimetissõrme lähestikku hoidev käsi|väike kogus
	🤏🏼;näpistav käsi: keskmiselt hele nahatoon;keskmiselt hele nahatoon|näpistav käsi|näpistav käsi: keskmiselt hele nahatoon|pöialt ja nimetissõrme lähestikku hoidev käsi|väike kogus
	🤏🏽;näpistav käsi: keskmine nahatoon;keskmine nahatoon|näpistav käsi|näpistav käsi: keskmine nahatoon|pöialt ja nimetissõrme lähestikku hoidev käsi|väike kogus
	🤏🏾;näpistav käsi: keskmiselt tume nahatoon;keskmiselt tume nahatoon|näpistav käsi|näpistav käsi: keskmiselt tume nahatoon|pöialt ja nimetissõrme lähestikku hoidev käsi|väike kogus
	🤏🏿;näpistav käsi: tume nahatoon;näpistav käsi|näpistav käsi: tume nahatoon|pöialt ja nimetissõrme lähestikku hoidev käsi|tume nahatoon|väike kogus
✌️;võit;käsi|keha|v|võit
	✌🏻;võit: hele nahatoon;hele nahatoon|käsi|keha|v|võit|võit: hele nahatoon
	✌🏼;võit: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|v|võit|võit: keskmiselt hele nahatoon
	✌🏽;võit: keskmine nahatoon;käsi|keha|keskmine nahatoon|v|võit|võit: keskmine nahatoon
	✌🏾;võit: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|v|võit|võit: keskmiselt tume nahatoon
	✌🏿;võit: tume nahatoon;käsi|keha|tume nahatoon|v|võit|võit: tume nahatoon
🤞;sõrmed risti;käsi|õnn|risti|sõrmed
	🤞🏻;sõrmed risti: hele nahatoon;hele nahatoon|käsi|õnn|risti|sõrmed|sõrmed risti: hele nahatoon
	🤞🏼;sõrmed risti: keskmiselt hele nahatoon;käsi|keskmiselt hele nahatoon|õnn|risti|sõrmed|sõrmed risti: keskmiselt hele nahatoon
	🤞🏽;sõrmed risti: keskmine nahatoon;käsi|keskmine nahatoon|õnn|risti|sõrmed|sõrmed risti: keskmine nahatoon
	🤞🏾;sõrmed risti: keskmiselt tume nahatoon;käsi|keskmiselt tume nahatoon|õnn|risti|sõrmed|sõrmed risti: keskmiselt tume nahatoon
	🤞🏿;sõrmed risti: tume nahatoon;käsi|õnn|risti|sõrmed|sõrmed risti: tume nahatoon|tume nahatoon
🫰;pöialt ja nimetissõrme risti hoidev käsi;armastus|kallis|nips|pöialt ja nimetissõrme risti hoidev käsi|raha|süda
