# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت با لبخند|لبخند|نیش باز
	🤚🏽;پشت دست روبه بالا: پوست طلایی;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|پشت دست روبه بالا: پوست طلایی|پوست طلایی|دست|موافقت
	🤚🏾;پشت دست روبه بالا: پوست گندمی;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|پشت دست روبه بالا: پوست گندمی|پوست گندمی|دست|موافقت
	🤚🏿;پشت دست روبه بالا: پوست آبنوسی;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|پشت دست روبه بالا: پوست آبنوسی|پوست آبنوسی|دست|موافقت
🖐️;دست با انگشتان باز;انگشتان|پنج|خداحافظی|دست|دست با انگشتان باز|سلام
	🖐🏻;دست با انگشتان باز: پوست سفید;انگشتان|پنج|پوست سفید|خداحافظی|دست|دست با انگشتان باز|دست با انگشتان باز: پوست سفید|سلام
	🖐🏼;دست با انگشتان باز: پوست روشن;انگشتان|پنج|پوست روشن|خداحافظی|دست|دست با انگشتان باز|دست با انگشتان باز: پوست روشن|سلام
	🖐🏽;دست با انگشتان باز: پوست طلایی;انگشتان|پنج|پوست طلایی|خداحافظی|دست|دست با انگشتان باز|دست با انگشتان باز: پوست طلایی|سلام
	🖐🏾;دست با انگشتان باز: پوست گندمی;انگشتان|پنج|پوست گندمی|خداحافظی|دست|دست با انگشتان باز|دست با انگشتان باز: پوست گندمی|سلام
	🖐🏿;دست با انگشتان باز: پوست آبنوسی;انگشتان|پنج|پوست آبنوسی|خداحافظی|دست|دست با انگشتان باز|دست با انگشتان باز: پوست آبنوسی|سلام
✋;دست بالابرده;احترام|بزن قدش|دست|دست بالابرده|سلام
	✋🏻;دست بالابرده: پوست سفید;احترام|بزن قدش|پوست سفید|دست|دست بالابرده|دست بالابرده: پوست سفید|سلام
	✋🏼;دست بالابرده: پوست روشن;احترام|بزن قدش|پوست روشن|دست|دست بالابرده|دست بالابرده: پوست روشن|سلام
	✋🏽;دست بالابرده: پوست طلایی;احترام|بزن قدش|پوست طلایی|دست|دست بالابرده|دست بالابرده: پوست طلایی|سلام
	✋🏾;دست بالابرده: پوست گندمی;احترام|بزن قدش|پوست گندمی|دست|دست بالابرده|دست بالابرده: پوست گندمی|سلام
	✋🏿;دست بالابرده: پوست آبنوسی;احترام|بزن قدش|پوست آبنوسی|دست|دست بالابرده|دست بالابرده: پوست آبنوسی|سلام
🖖;سلام ولکان;اسپاک|انگشت|پیشتازان فضا|دست|سلام|ولکان
	🖖🏻;سلام ولکان: پوست سفید;اسپاک|انگشت|پوست سفید|پیشتازان فضا|دست|سلام|سلام ولکان: پوست سفید|ولکان
	🖖🏼;سلام ولکان: پوست روشن;اسپاک|انگشت|پوست روشن|پیشتازان فضا|دست|سلام|سلام ولکان: پوست روشن|ولکان
	🖖🏽;سلام ولکان: پوست طلایی;اسپاک|انگشت|پوست طلایی|پیشتازان فضا|دست|سلام|سلام ولکان: پوست طلایی|ولکان
	🖖🏾;سلام ولکان: پوست گندمی;اسپاک|انگشت|پوست گندمی|پیشتازان فضا|دست|سلام|سلام ولکان: پوست گندمی|ولکان
	🖖🏿;سلام ولکان: پوست آبنوسی;اسپاک|انگشت|پوست آبنوسی|پیشتازان فضا|دست|سلام|سلام ولکان: پوست آبنوسی|ولکان
🫱;دست به سمت راست;به سمت راست|دست|دست به سمت راست|راست
	🫱🏻;دست به سمت راست: پوست سفید;به سمت راست|پوست سفید|دست|دست به سمت راست|دست به سمت راست: پوست سفید|راست
	🫱🏼;دست به سمت راست: پوست روشن;به سمت راست|پوست روشن|دست|دست به سمت راست|دست به سمت راست: پوست روشن|راست
	🫱🏽;دست به سمت راست: پوست طلایی;به سمت راست|پوست طلایی|دست|دست به سمت راست|دست به سمت راست: پوست طلایی|راست
	🫱🏾;دست به سمت راست: پوست گندمی;به سمت راست|پوست گندمی|دست|دست به سمت راست|دست به سمت راست: پوست گندمی|راست
	🫱🏿;دست به سمت راست: پوست آبنوسی;به سمت راست|پوست آبنوسی|دست|دست به سمت راست|دست به سمت راست: پوست آبنوسی|راست
🫲;دست به سمت چپ;به سمت چپ|چپ|دست|دست به سمت چپ
	🫲🏻;دست به سمت چپ: پوست سفید;به سمت چپ|پوست سفید|چپ|دست|دست به سمت چپ|دست به سمت چپ: پوست سفید
	🫲🏼;دست به سمت چپ: پوست روشن;به سمت چپ|پوست روشن|چپ|دست|دست به سمت چپ|دست به سمت چپ: پوست روشن
	🫲🏽;دست به سمت چپ: پوست طلایی;به سمت چپ|پوست طلایی|چپ|دست|دست به سمت چپ|دست به سمت چپ: پوست طلایی
	🫲🏾;دست به سمت چپ: پوست گندمی;به سمت چپ|پوست گندمی|چپ|دست|دست به سمت چپ|دست به سمت چپ: پوست گندمی
	🫲🏿;دست به سمت چپ: پوست آبنوسی;به سمت چپ|پوست آبنوسی|چپ|دست|دست به سمت چپ|دست به سمت چپ: پوست آبنوسی
🫳;کف دست به پایین;انداختن|کف دست به پایین|کیش کردن|مرخص کردن
	🫳🏻;کف دست به پایین: پوست سفید;انداختن|پوست سفید|کف دست به پایین|کف دست به پایین: پوست سفید|کیش کردن|مرخص کردن
	🫳🏼;کف دست به پایین: پوست روشن;انداختن|پوست روشن|کف دست به پایین|کف دست به پایین: پوست روشن|کیش کردن|مرخص کردن
	🫳🏽;کف دست به پایین: پوست طلایی;انداختن|پوست طلایی|کف دست به پایین|کف دست به پایین: پوست طلایی|کیش کردن|مرخص کردن
	🫳🏾;کف دست به پایین: پوست گندمی;انداختن|پوست گندمی|کف دست به پایین|کف دست به پایین: پوست گندمی|کیش کردن|مرخص کردن
	🫳🏿;کف دست به پایین: پوست آبنوسی;انداختن|پوست آبنوسی|کف دست به پایین|کف دست به پایین: پوست آبنوسی|کیش کردن|مرخص کردن
🫴;کف دست به بالا;بیا|تعارف|فراخواندن|کف دست به بالا|گرفتن
	🫴🏻;کف دست به بالا: پوست سفید;بیا|پوست سفید|تعارف|فراخواندن|کف دست به بالا|کف دست به بالا: پوست سفید|گرفتن
	🫴🏼;کف دست به بالا: پوست روشن;بیا|پوست روشن|تعارف|فراخواندن|کف دست به بالا|کف دست به بالا: پوست روشن|گرفتن
	🫴🏽;کف دست به بالا: پوست طلایی;بیا|پوست طلایی|تعارف|فراخواندن|کف دست به بالا|کف دست به بالا: پوست طلایی|گرفتن
	🫴🏾;کف دست به بالا: پوست گندمی;بیا|پوست گندمی|تعارف|فراخواندن|کف دست به بالا|کف دست به بالا: پوست گندمی|گرفتن
	🫴🏿;کف دست به بالا: پوست آبنوسی;بیا|پوست آبنوسی|تعارف|فراخواندن|کف دست به بالا|کف دست به بالا: پوست آبنوسی|گرفتن
🫷;دست فشاردهنده به سمت چپ;بزن قدش|توقف|دست فشاردهنده به سمت چپ|رد کردن|سمت چپ|فشار|منتظر بمان
	🫷🏻;دست فشاردهنده به سمت چپ: پوست سفید;بزن قدش|پوست سفید|توقف|دست فشاردهنده به سمت چپ|دست فشاردهنده به سمت چپ: پوست سفید|رد کردن|سمت چپ|فشار|منتظر بمان
	🫷🏼;دست فشاردهنده به سمت چپ: پوست روشن;بزن قدش|پوست روشن|توقف|دست فشاردهنده به سمت چپ|دست فشاردهنده به سمت چپ: پوست روشن|رد کردن|سمت چپ|فشار|منتظر بمان
	🫷🏽;دست فشاردهنده به سمت چپ: پوست طلایی;بزن قدش|پوست طلایی|توقف|دست فشاردهنده به سمت چپ|دست فشاردهنده به سمت چپ: پوست طلایی|رد کردن|سمت چپ|فشار|منتظر بمان
	🫷🏾;دست فشاردهنده به سمت چپ: پوست گندمی;بزن قدش|پوست گندمی|توقف|دست فشاردهنده به سمت چپ|دست فشاردهنده به سمت چپ: پوست گندمی|رد کردن|سمت چپ|فشار|منتظر بمان
	🫷🏿;دست فشاردهنده به سمت چپ: پوست آبنوسی;بزن قدش|پوست آبنوسی|توقف|دست فشاردهنده به سمت چپ|دست فشاردهنده به سمت چپ: پوست آبنوسی|رد کردن|سمت چپ|فشار|منتظر بمان
🫸;دست فشاردهنده به سمت راست;بزن قدش|توقف|دست فشاردهنده به سمت راست|رد کردن|سمت راست|فشار|منتظر بمان
	🫸🏻;دست فشاردهنده به سمت راست: پوست سفید;بزن قدش|پوست سفید|توقف|دست فشاردهنده به سمت راست|دست فشاردهنده به سمت راست: پوست سفید|رد کردن|سمت راست|فشار|منتظر بمان
	🫸🏼;دست فشاردهنده به سمت راست: پوست روشن;بزن قدش|پوست روشن|توقف|دست فشاردهنده به سمت راست|دست فشاردهنده به سمت راست: پوست روشن|رد کردن|سمت راست|فشار|منتظر بمان
	🫸🏽;دست فشاردهنده به سمت راست: پوست طلایی;بزن قدش|پوست طلایی|توقف|دست فشاردهنده به سمت راست|دست فشاردهنده به سمت راست: پوست طلایی|رد کردن|سمت راست|فشار|منتظر بمان
	🫸🏾;دست فشاردهنده به سمت راست: پوست گندمی;بزن قدش|پوست گندمی|توقف|دست فشاردهنده به سمت راست|دست فشاردهنده به سمت راست: پوست گندمی|رد کردن|سمت راست|فشار|منتظر بمان
	🫸🏿;دست فشاردهنده به سمت راست: پوست آبنوسی;بزن قدش|پوست آبنوسی|توقف|دست فشاردهنده به سمت راست|دست فشاردهنده به سمت راست: پوست آبنوسی|رد کردن|سمت راست|فشار|منتظر بمان
👌;علامت اوکی;اوکی|باشه|بله|تأیید|دست|علامت اوکی|قبول
	👌🏻;علامت اوکی: پوست سفید;اوکی|باشه|بله|پوست سفید|تأیید|دست|علامت اوکی|علامت اوکی: پوست سفید|قبول
	👌🏼;علامت اوکی: پوست روشن;اوکی|باشه|بله|پوست روشن|تأیید|دست|علامت اوکی|علامت اوکی: پوست روشن|قبول
	👌🏽;علامت اوکی: پوست طلایی;اوکی|باشه|بله|پوست طلایی|تأیید|دست|علامت اوکی|علامت اوکی: پوست طلایی|قبول
	👌🏾;علامت اوکی: پوست گندمی;اوکی|باشه|بله|پوست گندمی|تأیید|دست|علامت اوکی|علامت اوکی: پوست گندمی|قبول
	👌🏿;علامت اوکی: پوست آبنوسی;اوکی|باشه|بله|پوست آبنوسی|تأیید|دست|علامت اوکی|علامت اوکی: پوست آبنوسی|قبول
🤌;انگشتان جمع‌شده;اشاره با دست|انگشتان|جمع‌شده|سؤال|طنزآلود
	🤌🏻;انگشتان جمع‌شده: پوست سفید;اشاره با دست|انگشتان|انگشتان جمع‌شده: پوست سفید|پوست سفید|جمع‌شده|سؤال|طنزآلود
	🤌🏼;انگشتان جمع‌شده: پوست روشن;اشاره با دست|انگشتان|انگشتان جمع‌شده: پوست روشن|پوست روشن|جمع‌شده|سؤال|طنزآلود
	🤌🏽;انگشتان جمع‌شده: پوست طلایی;اشاره با دست|انگشتان|انگشتان جمع‌شده: پوست طلایی|پوست طلایی|جمع‌شده|سؤال|طنزآلود
	🤌🏾;انگشتان جمع‌شده: پوست گندمی;اشاره با دست|انگشتان|انگشتان جمع‌شده: پوست گندمی|پوست گندمی|جمع‌شده|سؤال|طنزآلود
	🤌🏿;انگشتان جمع‌شده: پوست آبنوسی;اشاره با دست|انگشتان|انگشتان جمع‌شده: پوست آبنوسی|پوست آبنوسی|جمع‌شده|سؤال|طنزآلود
🤏;دست در حال نیشگون گرفتن;دست در حال نیشگون گرفتن|مقدار کم
