# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
🤥;მატყუარა სახე;მატყუარა სახე|პინოქიო|სახე|ტყუილი
🫨;აცახცახებული სახე;აცახცახებული სახე|ვიბრაცია|მიწისძვრა|სახე|შოკი|ცახცახი
🙂‍↔️;თავის გაქნევა;თავის გაქნევა|თავის გაქნევით უარი
🙂‍↕️;თავის დაქნევა;თავის დაქნევა|თავის დაქნევით დათანხმება
😌;შვების გამომხატველი სახე;სახე|შვება|შვების გამომხატველი სახე
😔;ფიქრებში ჩაძირული სახე;დამწუხრებული|კალამი|სახე|ფიქრებში ჩაძირული სახე|ფიქრიანი
😪;ძილმორეული სახე;სახე|ძილი|ძილმორეული სახე
🤤;დორბლიანი სახე;დორბლიანი|სახე
😴;მძინარე სახე;zzz|მძინარე სახე|სახე|ძილი
😷;სახე სამედიცინო ნიღბით;ავადმყოფი|გაციებული|ექიმი|მედიცინა|ნიღაბი|სახე|სახე სამედიცინო ნიღბით
🤒;სახე თერმომეტრით;ავადმყოფობა|თერმომეტრი|სახე|სახე თერმომეტრით
🤕;სახე თავზე ბინტით;ბინტი|ნატკენი|სახე|სახე თავზე ბინტით|ტრავმა
🤢;გულისრევა;გულისრევა|სახე|ღებინება
🤮;ღებინება;გულისრევა|ღებინება
🤧;ცემინება;სახე|სიცოცხლე|ცემინება
🥵;ცხელი სახე;დასიცხული|სიცხიანი|ცხელი|ცხელი სახე
🥶;ცივი სახე;გაყინვა|ლურჯი სახე|ყინული|ცივი|ცივი სახე
🥴;თავბრუდახვეული სახე;თავბრუდახვეული სახე|თავბრუსხვევა|მოწამლული|ნასვამი
😵;გაბრუებული სახე;გაბრუებული|მკვდარი|სახე
😵‍💫;სახე სპირალური თვალებით;არეული|ეუფ|სახე სპირალური თვალებით|ჰიპნოზი
🤯;აფეთქებული თავი;აფეთქებული თავი|დაშოკილი
🤠;სახე კოვბოის ქუდით;კოვბოი|კოვბოი გოგონა|სახე|სახე კოვბოის ქუდით|ქუდი
🥳;მოზეიმე სახე;ზეიმი|მოზეიმე სახე|ფართი|ქუდი|წვეულება
🥸;შენიღბული სახე;გადაცმა|ინკოგნიტო|სახე|შენიღბვა|შენიღბული სახე|ცხვირა
😎;მომღიმარე სახე მზის სათვალით;ამინდი|თვალი|კაშკაშა|მზე|მზის სათვალე|მომღიმარე სახე მზის სათვალით|სათვალე|სახე|ტიპი|ღიმილი
🤓;სულელური სახე;სახე|სულელური სახე|შეშლილი
🧐;სახე მონოკლით;მკაცრი|პედანტი|სახე მონოკლით|წესრიგიანი
😕;დაბნეული სახე;დაბნეული|სახე
🫤;სახე დახრილი პირით;გადაუწყვეტელი|დაღვრემილი|იმედგაცრუებული|სახე დახრილი პირით|სპეპტიკური
😟;აღელვებული სახე;აღელვებული|სახე
🙁;ოდნავ შეჭმუხნილი სახე;ოდნავ შეჭმუხნილი სახე|სახე|შეკრული|შეჭმუხნილი
☹️;შეჭმუხნილი სახე;სახე|შეკრული|შეჭმუხნილი
😮;სახე ღია პირით;თანაგრძნობა|პირი|პირღია|სახე|სახე ღია პირით|ღია
😯;გაოცებული სახე;გაოგნებული|გაოცებული|სახე
😲;გაკვირვებული სახე;გაკვირვებული|სახე|შოკირებული
😳;გაწითლებული სახე;გაწითლებული|სახე|წითელი
🥺;შემოვედრება;ვედრება|ლეკვის გამოხედვა|მოწყალება|შემოვედრება
🥹;აცრემლიანებული სახე;ამაყი|აცრემლიანებული სახე|გაბრაზებული|ნაღვლიანი|ტირილი|ცრემლიანი
😦;შეჭმუხნილი სახე ღია პირით;პირი|პირღია|სახე|ღია|შეკრული|შეჭმუხნილი|შეჭმუხნილი სახე ღია პირით
😧;ტანჯული სახე;სახე|ტანჯული
😨;შეშინებული სახე;სახე|შეშინებული|შიში
😰;სახე ღია პირითა და ცივი ოფლით;ლურჯი|ოფლი|ოფლიანი|პირი|პირღია|სახე|სახე ღია პირითა და ცივი ოფლით|ღია|ცივი|ცისფერი
😥;იმედგაცრუებული, მაგრამ შვების გამომხატველი სახე;იმედგაცრუებული|იმედგაცრუებული, მაგრამ შვების გამომხატველი სახე|მაგრამ შვების გამომხატველი სახე|სახე|შვება
😢;მტირალა სახე;მტირალა სახე|მწუხარება|სახე|ტირილი|ცრემლი|ცრემლიანი
😭;ხმამაღლა მტირალა სახე;მწუხარება|სახე|ტირილი|ქვითინი|ცრემლი|ცრემლიანი|ხმამაღლა მტირალა სახე
😱;სახე, რომელიც შიშისგან კივის;კივილი|რომელიც შიშისგან კივის|სახე|სახე, რომელიც შიშისგან კივის|შეშინებული|შიში
😖;შეცბუნებული სახე;სახე|შეცბუნებული
😣;შეუპოვარი სახე;სახე|შეუპოვარი სახე|შეუპოვრობა
😞;იმედგაცრუებული სახე;იმედგაცრუებული|სახე
😓;სახე ცივი ოფლით;ოფლი|ოფლიანი|სახე|სახე ცივი ოფლით|ცივი
😩;დაქანცული სახე;დაქანცული|დაღლილი|სახე
😫;დაღლილი სახე;დაღლილი|სახე
🥱;მთქნარება;დამთქნარება|დაღლილი|მთქნარება|მოწყენილი
😤;სახე ცხვირიდან გამომავალი ორთქლით;გამარჯვება|სახე|სახე ცხვირიდან გამომავალი ორთქლით|ტრიუმფი
😡;გაბერილი სახე;გაბერილი სახე|გაბრაზებული|განრისხებული|სახე|შეშლილი|წითელი
😠;გაბრაზებული სახე;გაბრაზებული|სახე|შეშლილი
🤬;სახე პირზე აფარებული სიმბოლოებით;გინება|ლანძღვა|სახე პირზე აფარებული სიმბოლოებით
😈;მომღიმარე სახე რქებით;ზღაპარი|მომღიმარე სახე რქებით|რქები|სახე|ფანტაზია|ფანტასტიკა|ღიმილი
👿;ეშმაკუნა;დემონი|ეშმაკი|ეშმაკუნა|ზღაპარი|სახე|ფანტაზია|ფანტასტიკა
💀;თავის ქალა;ზღაპარი|თავის ქალა|მონსტრი|სახე|სიკვდილი|სხეული|ტანი
☠️;თავის ქალა და გადაჯვარედინებული ძვლები;თავის ქალა|თავის ქალა და გადაჯვარედინებული ძვლები|მონსტრი|სახე|სიკვდილი|სხეული|ტანი|ძვალი
💩;განავლის გროვა;განავალი|განავლის გროვა|მონსტრი|ნაკელი|სასაცილო|სახე|ყაყა
🤡;ჯამბაზის სახე;სახე|ჯამბაზი|ჯამბაზის სახე
👹;კაციჭამია-გოლიათი;არსება|ზღაპარი|იაპონური|კაციჭამია-გოლიათი|მონსტრი|სახე|ფანტაზია|ფანტასტიკა
👺;გობლინი;არსება|გობლინი|ზღაპარი|იაპონური|მონსტრი|სახე|ფანტაზია|ფანტასტიკა
👻;მოჩვენება;არსება|ზღაპარი|მონსტრი|მოჩვენება|სახე|ფანტაზია|ფანტასტიკა
👽;უცხოპლანეტელი;ამო|არსება|ზღაპარი|კოსმოსი|მონსტრი|სახე|უცხოპლანეტელი|ფანტაზია|ფანტასტიკა
👾;უცხოპლანეტელი მონსტრი;ამო|არსება|ზღაპარი|კოსმოსი|მონსტრი|სახე|უცხოპლანეტელი|ფანტაზია|ფანტასტიკა
🤖;რობოტის სახე;მონსტრი|რობოტი|რობოტის სახე|სახე
😺;კატის მომღიმარე სახე ღია პირით;კატა|კატის მომღიმარე სახე ღია პირით|პირი|პირღია|სახე|ღია|ღიმილი
😸;კატის დაკრეჭილი სახე მომღიმარე თვალებით;დაკრეჭა|დაკრეჭილი|თვალი|კატა|კატის დაკრეჭილი სახე მომღიმარე თვალებით|სახე|ღიმილი
😹;კატის სახე სიხარულის ცრემლებით;კატა|კატის სახე სიხარულის ცრემლებით|მხიარული|სახე|სიხარული|ცრემლი|ცრემლიანი
😻;კატის მომღიმარე სახე გულის ფორმის თვალებით;გული|თვალი|კატა|კატის მომღიმარე სახე გულის ფორმის თვალებით|სახე|სიყვარული|ღიმილი
😼;კატის სახე უხალისო ღიმილით;ირონიული|კატა|კატის სახე უხალისო ღიმილით|სახე|უხალისო|ღიმილი
😽;კატის კოცნის გამომხატველი სახე დახუჭული თვალებით;თვალი|კატა|კატის კოცნის გამომხატველი სახე დახუჭული თვალებით|კოცნა|სახე
🙀;კატის დაქანცული სახე;გაოცებული|დაქანცული|კატა|კატის დაქანცული სახე|სახე
😿;კატის მტირალა სახე;კატა|კატის მტირალა სახე|მწუხარება|სახე|ტირილი|ცრემლი|ცრემლიანი
😾;კატის გაბერილი სახე;გაბერილი|კატა|კატის გაბერილი სახე|სახე
🙈;არდანახვა;აკრძალვა|აკრძალულია|არა|არდანახვა|ბოროტი|მაიმუნი|ჟესტი|სახე|ხედვა
🙉;არმოსმენა;აკრძალვა|აკრძალულია|არა|არმოსმენა|ბოროტი|მაიმუნი|მოსმენა|ჟესტი|სახე
🙊;ართქმა;აკრძალვა|აკრძალულია|არა|ართქმა|ბოროტი|ლაპარაკი|მაიმუნი|ჟესტი|სახე
💌;სასიყვარულო წერილი;გული|რომანტიკა|სასიყვარულო წერილი|სიყვარული|ფოსტა|წერილი
💘;გული ისრით;გული|გული ისრით|ისარი|კუპიდონი|რომანტიკა
💝;გული ლენტით;გული|გული ლენტით|ვალენტინობა|ლენტი
💖;მბრწყინავი გული;აღელვებული|ბრწყინვა|გული|მბრწყინავი გული
💗;მზარდი გული;აღელვებული|გული|გულის პულსი|მზარდი|ნერვიული
💓;მფეთქავი გული;გული|გულისცემა|მფეთქავი გული|პულსი|ფეთქვა
💞;მბრუნავი გულები;გული|მბრუნავი|მბრუნავი გულები
💕;ორი გული;გული|ორი გული|სიყვარული
💟;გულის დეკორაცია;გული|გულის დეკორაცია
❣️;გულის ფორმის მსხვილი ძახილის ნიშანი;გული|გულის ფორმის მსხვილი ძახილის ნიშანი|ნიშანი|პუნქტუაცია|ძახილი
💔;გატეხილი გული;გატეხვა|გატეხილი|გული
❤️‍🔥;ალმოდებული გული;ალი|ალმოდებული გული|ამური|სიყვარული|ცეცხლი
❤️‍🩹;გულის გამთელება;გამთელება|გამოჯანსაღება|გულის გამთელება|ჯანმრთელი
❤️;წითელი გული;გული|წითელი გული
🩷;ვარდისფერი გული;გული|ვარდისფერი|მოწონება|საყვარელი|სიყვარული
🧡;ნარინჯისფერი გული;ნარინჯისფერი|ნარინჯისფერი გული
💛;ყვითელი გული;გული|ყვითელი
💚;მწვანე გული;გული|მწვანე
💙;ლურჯი გული;გული|ლურჯი|ცისფერი
🩵;ღია ცისფერი გული;ლაჟვარდისფერი|ღია ცისფერი გული|ციანი|ცისფერი
💜;იასამნისფერი გული;გული|იასამნისფერი|იისფერი|მეწამული
🤎;ყავისფერი გული;გული|ყავისფერი
🖤;შავი გული;ალქაჯი|ბოროტი|გული|შავი
🩶;რუხი გული;გული|ვერცხლისფერი|ნაცრისფერი|რუხი
🤍;თეთრი გული;გული|თეთრი
💋;კოცნის კვალი;გული|კოცნა|კოცნის კვალი|ნიშანი|რომანტიკა|ტუჩები
💯;ასი ქულა;100|ასი|სავსე|ქულა
💢;სიბრაზის სიმბოლო;გაბრაზებული|სასაცილო|სიბრაზის სიმბოლო|შეშლილი
💥;შეჯახება;სასაცილო|შეჯახება
💫;გაბრუებული;გაბრუებული|ვარსკვლავი|სასაცილო
💦;ოფლის წვეთები;ოფლი|ოფლიანი|ოფლის წვეთები|სასაცილო
💨;მოწყვეტა;მოწყვეტა|სასაცილო|სირბილი|ტირე
🕳️;ხვრელი;ხვრელი
💬;საუბრის ბუშტი;ბუშტი|დიალოგი|ლაპარაკი|სასაცილო|საუბრის ბუშტი
👁️‍🗨️;თვალი საუბრის ბუშტში;თვალი|თვალი საუბრის ბუშტში|მოწმე|საუბრის ბუშტი
🗨️;საუბრის მარცხენა ბუშტი;დიალოგი|ლაპარაკი|საუბრის მარცხენა ბუშტი
🗯️;სიბრაზის მარჯვენა ბუშტი;ბუშტი|გაბრაზებული|სიბრაზის მარჯვენა ბუშტი|შეშლილი
💭;ფიქრის ბუშტი;აზრი|ბუშტი|სასაცილო|ფიქრის ბუშტი
💤;zzz;zzz|სასაცილო|ძილი

[people_body]
👋;ხელის ქნევა;ტალღა|ქნევა|ხელი|ხელის ქნევა
	👋🏻;ხელის ქნევა: კანის ღია ტონალობა;კანის ღია ტონალობა|ტალღა|ქნევა|ხელი|ხელის ქნევა|ხელის ქნევა: კანის ღია ტონალობა
	👋🏼;ხელის ქნევა: ღიადან საშუალომდე კანის ტონალობა;ტალღა|ქნევა|ღიადან საშუალომდე კანის ტონალობა|ხელი|ხელის ქნევა|ხელის ქნევა: ღიადან საშუალომდე კანის ტონალობა
	👋🏽;ხელის ქნევა: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|ტალღა|ქნევა|ხელი|ხელის ქნევა|ხელის ქნევა: კანის საშუალო ტონალობა
	👋🏾;ხელის ქნევა: საშუალოდან მუქამდე კანის ტონალობა;საშუალოდან მუქამდე კანის ტონალობა|ტალღა|ქნევა|ხელი|ხელის ქნევა|ხელის ქნევა: საშუალოდან მუქამდე კანის ტონალობა
	👋🏿;ხელის ქნევა: კანის მუქი ტონალობა;კანის მუქი ტონალობა|ტალღა|ქნევა|ხელი|ხელის ქნევა|ხელის ქნევა: კანის მუქი ტონალობა
🤚;აწეული ხელის ზურგიდან;აწეული|აწეული ხელის ზურგიდან|ხელის ზურგი
	🤚🏻;აწეული ხელის ზურგიდან: კანის ღია ტონალობა;აწეული|აწეული ხელის ზურგიდან|აწეული ხელის ზურგიდან: კანის ღია ტონალობა|კანის ღია ტონალობა|ხელის ზურგი
	🤚🏼;აწეული ხელის ზურგიდან: ღიადან საშუალომდე კანის ტონალობა;აწეული|აწეული ხელის ზურგიდან|აწეული ხელის ზურგიდან: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა|ხელის ზურგი
	🤚🏽;აწეული ხელის ზურგიდან: კანის საშუალო ტონალობა;აწეული|აწეული ხელის ზურგიდან|აწეული ხელის ზურგიდან: კანის საშუალო ტონალობა|კანის საშუალო ტონალობა|ხელის ზურგი
	🤚🏾;აწეული ხელის ზურგიდან: საშუალოდან მუქამდე კანის ტონალობა;აწეული|აწეული ხელის ზურგიდან|აწეული ხელის ზურგიდან: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა|ხელის ზურგი
	🤚🏿;აწეული ხელის ზურგიდან: კანის მუქი ტონალობა;აწეული|აწეული ხელის ზურგიდან|აწეული ხელის ზურგიდან: კანის მუქი ტონალობა|კანის მუქი ტონალობა|ხელის ზურგი
🖐️;აწეული ხელი გაშლილი თითებით;აწეული ხელი გაშლილი თითებით|გაშლილი|თითი|სხეული|ტანი|ხელი
	🖐🏻;აწეული ხელი გაშლილი თითებით: კანის ღია ტონალობა;აწეული ხელი გაშლილი თითებით|აწეული ხელი გაშლილი თითებით: კანის ღია ტონალობა|გაშლილი|თითი|კანის ღია ტონალობა|სხეული|ტანი|ხელი
	🖐🏼;აწეული ხელი გაშლილი თითებით: ღიადან საშუალომდე კანის ტონალობა;აწეული ხელი გაშლილი თითებით|აწეული ხელი გაშლილი თითებით: ღიადან საშუალომდე კანის ტონალობა|გაშლილი|თითი|სხეული|ტანი|ღიადან საშუალომდე კანის ტონალობა|ხელი
	🖐🏽;აწეული ხელი გაშლილი თითებით: კანის საშუალო ტონალობა;აწეული ხელი გაშლილი თითებით|აწეული ხელი გაშლილი თითებით: კანის საშუალო ტონალობა|გაშლილი|თითი|კანის საშუალო ტონალობა|სხეული|ტანი|ხელი
	🖐🏾;აწეული ხელი გაშლილი თითებით: საშუალოდან მუქამდე კანის ტონალობა;აწეული ხელი გაშლილი თითებით|აწეული ხელი გაშლილი თითებით: საშუალოდან მუქამდე კანის ტონალობა|გაშლილი|თითი|საშუალოდან მუქამდე კანის ტონალობა|სხეული|ტანი|ხელი
	🖐🏿;აწეული ხელი გაშლილი თითებით: კანის მუქი ტონალობა;აწეული ხელი გაშლილი თითებით|აწეული ხელი გაშლილი თითებით: კანის მუქი ტონალობა|გაშლილი|თითი|კანის მუქი ტონალობა|სხეული|ტანი|ხელი
✋;აწეული ხელი;აწეული ხელი|სხეული|ტანი|ხელი
	✋🏻;აწეული ხელი: კანის ღია ტონალობა;აწეული ხელი|აწეული ხელი: კანის ღია ტონალობა|კანის ღია ტონალობა|სხეული|ტანი|ხელი
	✋🏼;აწეული ხელი: ღიადან საშუალომდე კანის ტონალობა;აწეული ხელი|აწეული ხელი: ღიადან საშუალომდე კანის ტონალობა|სხეული|ტანი|ღიადან საშუალომდე კანის ტონალობა|ხელი
	✋🏽;აწეული ხელი: კანის საშუალო ტონალობა;აწეული ხელი|აწეული ხელი: კანის საშუალო ტონალობა|კანის საშუალო ტონალობა|სხეული|ტანი|ხელი
	✋🏾;აწეული ხელი: საშუალოდან მუქამდე კანის ტონალობა;აწეული ხელი|აწეული ხელი: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა|სხეული|ტანი|ხელი
	✋🏿;აწეული ხელი: კანის მუქი ტონალობა;აწეული ხელი|აწეული ხელი: კანის მუქი ტონალობა|კანის მუქი ტონალობა|სხეული|ტანი|ხელი
🖖;ვულკანელების მისალმება;ვულკანელების მისალმება|თითი|მისალმება|სხეული|ტანი|ხელი
	🖖🏻;ვულკანელების მისალმება: კანის ღია ტონალობა;ვულკანელების მისალმება|ვულკანელების მისალმება: კანის ღია ტონალობა|თითი|კანის ღია ტონალობა|მისალმება|სხეული|ტანი|ხელი
	🖖🏼;ვულკანელების მისალმება: ღიადან საშუალომდე კანის ტონალობა;ვულკანელების მისალმება|ვულკანელების მისალმება: ღიადან საშუალომდე კანის ტონალობა|თითი|მისალმება|სხეული|ტანი|ღიადან საშუალომდე კანის ტონალობა|ხელი
	🖖🏽;ვულკანელების მისალმება: კანის საშუალო ტონალობა;ვულკანელების მისალმება|ვულკანელების მისალმება: კანის საშუალო ტონალობა|თითი|კანის საშუალო ტონალობა|მისალმება|სხეული|ტანი|ხელი
	🖖🏾;ვულკანელების მისალმება: საშუალოდან მუქამდე კანის ტონალობა;ვულკანელების მისალმება|ვულკანელების მისალმება: საშუალოდან მუქამდე კანის ტონალობა|თითი|მისალმება|საშუალოდან მუქამდე კანის ტონალობა|სხეული|ტანი|ხელი
	🖖🏿;ვულკანელების მისალმება: კანის მუქი ტონალობა;ვულკანელების მისალმება|ვულკანელების მისალმება: კანის მუქი ტონალობა|თითი|კანის მუქი ტონალობა|მისალმება|სხეული|ტანი|ხელი
🫱;მარჯვენა ხელი;მართალი|მარჯვენა ხელი|უფლება|ხელი
	🫱🏻;მარჯვენა ხელი: კანის ღია ტონალობა;კანის ღია ტონალობა|მართალი|მარჯვენა ხელი|მარჯვენა ხელი: კანის ღია ტონალობა|უფლება|ხელი
	🫱🏼;მარჯვენა ხელი: ღიადან საშუალომდე კანის ტონალობა;მართალი|მარჯვენა ხელი|მარჯვენა ხელი: ღიადან საშუალომდე კანის ტონალობა|უფლება|ღიადან საშუალომდე კანის ტონალობა|ხელი
	🫱🏽;მარჯვენა ხელი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|მართალი|მარჯვენა ხელი|მარჯვენა ხელი: კანის საშუალო ტონალობა|უფლება|ხელი
	🫱🏾;მარჯვენა ხელი: საშუალოდან მუქამდე კანის ტონალობა;მართალი|მარჯვენა ხელი|მარჯვენა ხელი: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა|უფლება|ხელი
	🫱🏿;მარჯვენა ხელი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|მართალი|მარჯვენა ხელი|მარჯვენა ხელი: კანის მუქი ტონალობა|უფლება|ხელი
🫲;მარცხენა ხელი;მარცხენა|მარცხნივ|ხელი
