# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;režeči obraz;obraz|režanje|režeči obraz
😥;razočaran, a olajšan obraz;a olajšan obraz|fiju|obraz|olajšano|razočaran|razočaran, a olajšan obraz|razočarano
😢;jokajoči obraz;jokajoči obraz|jokanje|obraz|solza|žalostno
😭;cmerajoči obraz;cmerajoči obraz|ihtenje|jokanje|obraz|solze|žalostno
😱;obraz, ki kriči od strahu;ki kriči od strahu|krik|munch|obraz|obraz, ki kriči od strahu|preplašeno|prestrašeno|strah
😖;zbegan obraz;obraz|zbegan obraz|zbegano
😣;vztrajen obraz;obraz|vztrajanje|vztrajen obraz
😞;razočaran obraz;obraz|razočaran obraz|razočarano
😓;obraz z mrzlim potom;mrzlo|obraz|obraz z mrzlim potom|pot
😩;izčrpan obraz;izčrpan obraz|izčrpano|obraz|utrujeno
😫;utrujen obraz;obraz|utrujen obraz|utrujeno
🥱;zehajoč obraz;dolgčas|utrujen|zehajoč obraz|zehanje
😤;obraz s paro skozi nos;obraz|obraz s paro skozi nos|zmaga|zmagoslavje
😡;obraz, ki kuha mulo;besno|gnev|jezno|ki kuha mulo|kujanje|obraz|obraz, ki kuha mulo|rdeče
😠;jezen obraz;besno|jezen obraz|jezno|obraz
🤬;obraz, ki kolne;ki kolne|obraz|obraz, ki kolne
😈;smejoči obraz z rogovi;fantazija|nasmeh|obraz|pravljica|rogovi|smejoči obraz z rogovi
👿;vragec;demon|fantazija|hudič|obraz|pravljica|vragec
💀;mrtvaška glava;mrtvaška glava|obraz|pošast|pravljica|smrt|telo
☠️;mrtvaška glava s prekrižanima kostema;lobanja|mrtvaška glava s prekrižanima kostema|obraz|pošast|prekrižane kosti|smrt|telo
💩;kup kakca;drekec|iztrebki|kakec|kup kakca|obraz|pošast|strip
🤡;klovnovski obraz;klovn|klovnesa|klovnovski obraz
👹;pošastni velikan;bitje|fantazija|japonsko|obraz|pošast|pošastni velikan|pravljica
👺;škratelj;bitje|fantazija|japonsko|obraz|pošast|pravljica|škratelj
👻;duh;bitje|duh|fantazija|obraz|pošast|pravljica
👽;vesoljec;bitje|fantazija|nezemljan|nlp|obraz|vesolje|vesoljec
👾;vesoljska pošast;bitje|nezemljan|nlp|obraz|vesolje|vesoljec|vesoljska pošast
🤖;robot;obraz|pošast|robot
😺;režeča se mačka;mačka|nasmeh|obraz|odprta|režeča se mačka|smeh|usta
😸;režeča se mačka s smejočimi očmi;mačka|nasmeh|obraz|oko|režanje|režeča se mačka s smejočimi očmi
😹;mačka s solzami sreče;mačji obraz s solzami sreče|mačka|mačka s solzami sreče|obraz|solze|veselje
😻;smejoča se mačka z očmi v obliki srčka;ljubezen|mačka|nasmeh|obraz|oči|smejoča se mačka z očmi v obliki srčka|srce
😼;mačka s prifrknjenim nasmeškom;ironično|mačji obraz s prifrknjenim nasmeškom|mačka|mačka s prifrknjenim nasmeškom|nasmeh|obraz|porogljivo
😽;mačka poljublja z zaprtimi očmi;ki poljublja|mačji obraz z zaprtimi očmi|mačka|mačka poljublja z zaprtimi očmi|obraz|oči|poljub
🙀;presenečena mačka;mačka|naveličano|obraz|odprta usta|presenečena mačka|presenečeno
😿;jokajoča mačka;jokajoča mačka|jokajoči mačji obraz|jokanje|mačka|obraz|solza|žalostno
😾;mačka kuha mulo;ki kuha mulo|kujanje|mačji obraz|mačka|mačka kuha mulo|obraz
🙈;opica, ki ne vidi ničesar;ki ne vidi ničesar|obraz|opica|opica, ki ne vidi ničesar|prepovedano|videti|zlobno
🙉;opica, ki ne sliši ničesar;ki ne sliši ničesar|obraz|opica|opica, ki ne sliši ničesar|prepovedano|slišati|zlobno
🙊;opica, ki ničesar ne govori;govoriti|ki ničesar ne govori|obraz|opica|opica, ki ničesar ne govori|prepovedano|zlobno
💌;ljubezensko pismo;ljubezen|ljubezensko pismo|pismo|pošta|romanca|srce
💘;srce s puščico;kupid|puščica|romanca|srce|srce s puščico
💝;srce s pentljo;pentlja|srce|srce s pentljo|valentin
💖;lesketajoče srce;lesketajoče srce|lesketati se|srce|vznemirjeno
💗;rastoče srce;rastoče|srce|srčni utrip|vznemirjeno|živčno
💓;utripajoče srce;bitje|srce|srčni utrip|utripajoče srce|utripanje
💞;vrteči se srci;srce|vrteči se srci|vrtenje
💕;dve srci;dve srci|ljubezen|srce
💟;okrasje s srcem;okrasje s srcem|srce
❣️;klicaj v obliki srca;klicaj|klicaj v obliki srca|ločilo|srce|znak
💔;strto srce;počeno|srce|strto srce|zlomiti
❤️‍🔥;goreče srce;goreče srce|ljubezen|ogenj|poželenje|srce|sveto srce
❤️‍🩹;zakrpano srce;bolj zdravo|izboljšanje|okrevanje|ozdravljeno|zakrpano|zakrpano srce|zdravo
❤️;rdeče srce;rdeče srce|srce
🩷;rožnato srce;ljubezen|prisrčno|rožnato|srce|všeč
🧡;oranžno srce;oranžno srce
💛;rumeno srce;rumeno|srce
💚;zeleno srce;srce|zeleno
💙;modro srce;modro|srce
🩵;svetlomodro srce;cijan|srce|svetlomodra|svetlomodro srce|zelenomodra
💜;vijolično srce;srce|vijolično
🤎;rjavo srce;rjavo|srce
🖤;črno srce;črno|hudobno|podlo|srce|zlobno
🩶;sivo srce;sivo|skrilasto|srce|srebrno
🤍;belo srce;belo|srce
💋;sled šminke po poljubu;odtis|poljub|romanca|sled šminke po poljubu|srce|ustnice
💯;sto točk;100|sto|sto točk
💢;simbol jeze;divje|jezno|simbol jeze|strip
💥;trk;bum|eksplozija|strip|trk
💫;omotica;omotica|omotično|planeti|strip|zvezda
💦;potne kapljice;pljuskanje|pot|potne kapljice|strip
💨;švigniti;strip|švigati|švigniti|tek
🕳️;luknja;luknja
💬;oblaček z govorom;balon|dialog|govor|oblaček|oblaček z govorom|strip
👁️‍🗨️;oko v oblačku z govorom;dialog|oblaček z govorom|oko|oko v oblačku z govorom|priča
🗨️;levi oblaček z govorom;dialog|govor|levi oblaček z govorom
🗯️;desni oblaček z jeznim govorom;balon|desni oblaček z jeznim govorom|divje|jezno|oblaček
💭;oblaček z mislimi;balon|misel|oblaček|oblaček z mislimi|strip
💤;spanec;spanec|spanje|strip|zzz

[people_body]
👋;mahajoča dlan;dlan|mahajoča dlan|mahanje|mahati|telo
	👋🏻;mahajoča dlan: svetel ten kože;dlan|mahajoča dlan|mahajoča dlan: svetel ten kože|mahanje|mahati|svetel ten kože|telo
	👋🏼;mahajoča dlan: srednje svetel ten kože;dlan|mahajoča dlan|mahajoča dlan: srednje svetel ten kože|mahanje|mahati|srednje svetel ten kože|telo
	👋🏽;mahajoča dlan: srednji ten kože;dlan|mahajoča dlan|mahajoča dlan: srednji ten kože|mahanje|mahati|srednji ten kože|telo
	👋🏾;mahajoča dlan: srednje temen ten kože;dlan|mahajoča dlan|mahajoča dlan: srednje temen ten kože|mahanje|mahati|srednje temen ten kože|telo
	👋🏿;mahajoča dlan: temen ten kože;dlan|mahajoča dlan|mahajoča dlan: temen ten kože|mahanje|mahati|telo|temen ten kože
🤚;dvignjena hrbtna stran dlani;dlan|dvignjena|dvignjena hrbtna stran dlani|hrbtna stran
	🤚🏻;dvignjena hrbtna stran dlani: svetel ten kože;dlan|dvignjena|dvignjena hrbtna stran dlani|dvignjena hrbtna stran dlani: svetel ten kože|hrbtna stran|svetel ten kože
	🤚🏼;dvignjena hrbtna stran dlani: srednje svetel ten kože;dlan|dvignjena|dvignjena hrbtna stran dlani|dvignjena hrbtna stran dlani: srednje svetel ten kože|hrbtna stran|srednje svetel ten kože
	🤚🏽;dvignjena hrbtna stran dlani: srednji ten kože;dlan|dvignjena|dvignjena hrbtna stran dlani|dvignjena hrbtna stran dlani: srednji ten kože|hrbtna stran|srednji ten kože
	🤚🏾;dvignjena hrbtna stran dlani: srednje temen ten kože;dlan|dvignjena|dvignjena hrbtna stran dlani|dvignjena hrbtna stran dlani: srednje temen ten kože|hrbtna stran|srednje temen ten kože
	🤚🏿;dvignjena hrbtna stran dlani: temen ten kože;dlan|dvignjena|dvignjena hrbtna stran dlani|dvignjena hrbtna stran dlani: temen ten kože|hrbtna stran|temen ten kože
🖐️;dvignjena dlan z razprtimi prsti;dlan|dvignjena dlan z razprtimi prsti|prst|razprto|telo
	🖐🏻;dvignjena dlan z razprtimi prsti: svetel ten kože;dlan|dvignjena dlan z razprtimi prsti|dvignjena dlan z razprtimi prsti: svetel ten kože|prst|razprto|svetel ten kože|telo
	🖐🏼;dvignjena dlan z razprtimi prsti: srednje svetel ten kože;dlan|dvignjena dlan z razprtimi prsti|dvignjena dlan z razprtimi prsti: srednje svetel ten kože|prst|razprto|srednje svetel ten kože|telo
	🖐🏽;dvignjena dlan z razprtimi prsti: srednji ten kože;dlan|dvignjena dlan z razprtimi prsti|dvignjena dlan z razprtimi prsti: srednji ten kože|prst|razprto|srednji ten kože|telo
	🖐🏾;dvignjena dlan z razprtimi prsti: srednje temen ten kože;dlan|dvignjena dlan z razprtimi prsti|dvignjena dlan z razprtimi prsti: srednje temen ten kože|prst|razprto|srednje temen ten kože|telo
	🖐🏿;dvignjena dlan z razprtimi prsti: temen ten kože;dlan|dvignjena dlan z razprtimi prsti|dvignjena dlan z razprtimi prsti: temen ten kože|prst|razprto|telo|temen ten kože
✋;dvignjena dlan;dlan|dvignjena dlan|telo
	✋🏻;dvignjena dlan: svetel ten kože;dlan|dvignjena dlan|dvignjena dlan: svetel ten kože|svetel ten kože|telo
	✋🏼;dvignjena dlan: srednje svetel ten kože;dlan|dvignjena dlan|dvignjena dlan: srednje svetel ten kože|srednje svetel ten kože|telo
	✋🏽;dvignjena dlan: srednji ten kože;dlan|dvignjena dlan|dvignjena dlan: srednji ten kože|srednji ten kože|telo
	✋🏾;dvignjena dlan: srednje temen ten kože;dlan|dvignjena dlan|dvignjena dlan: srednje temen ten kože|srednje temen ten kože|telo
	✋🏿;dvignjena dlan: temen ten kože;dlan|dvignjena dlan|dvignjena dlan: temen ten kože|telo|temen ten kože
🖖;vulkanski pozdrav;dlan|prst|spock|telo|vulkan|vulkanski pozdrav
	🖖🏻;vulkanski pozdrav: svetel ten kože;dlan|prst|spock|svetel ten kože|telo|vulkan|vulkanski pozdrav|vulkanski pozdrav: svetel ten kože
	🖖🏼;vulkanski pozdrav: srednje svetel ten kože;dlan|prst|spock|srednje svetel ten kože|telo|vulkan|vulkanski pozdrav|vulkanski pozdrav: srednje svetel ten kože
	🖖🏽;vulkanski pozdrav: srednji ten kože;dlan|prst|spock|srednji ten kože|telo|vulkan|vulkanski pozdrav|vulkanski pozdrav: srednji ten kože
	🖖🏾;vulkanski pozdrav: srednje temen ten kože;dlan|prst|spock|srednje temen ten kože|telo|vulkan|vulkanski pozdrav|vulkanski pozdrav: srednje temen ten kože
	🖖🏿;vulkanski pozdrav: temen ten kože;dlan|prst|spock|telo|temen ten kože|vulkan|vulkanski pozdrav|vulkanski pozdrav: temen ten kože
🫱;roka, obrnjena v desno;desno|obrnjena v desno|roka|roka, obrnjena v desno
	🫱🏻;roka, obrnjena v desno: svetel ten kože;desno|obrnjena v desno|roka|roka, obrnjena v desno|roka, obrnjena v desno: svetel ten kože|svetel ten kože
	🫱🏼;roka, obrnjena v desno: srednje svetel ten kože;desno|obrnjena v desno|roka|roka, obrnjena v desno|roka, obrnjena v desno: srednje svetel ten kože|srednje svetel ten kože
	🫱🏽;roka, obrnjena v desno: srednji ten kože;desno|obrnjena v desno|roka|roka, obrnjena v desno|roka, obrnjena v desno: srednji ten kože|srednji ten kože
	🫱🏾;roka, obrnjena v desno: srednje temen ten kože;desno|obrnjena v desno|roka|roka, obrnjena v desno|roka, obrnjena v desno: srednje temen ten kože|srednje temen ten kože
	🫱🏿;roka, obrnjena v desno: temen ten kože;desno|obrnjena v desno|roka|roka, obrnjena v desno|roka, obrnjena v desno: temen ten kože|temen ten kože
🫲;roka, obrnjena v levo;levo|obrnjena v levo|roka|roka, obrnjena v levo
	🫲🏻;roka, obrnjena v levo: svetel ten kože;levo|obrnjena v levo|roka|roka, obrnjena v levo|roka, obrnjena v levo: svetel ten kože|svetel ten kože
	🫲🏼;roka, obrnjena v levo: srednje svetel ten kože;levo|obrnjena v levo|roka|roka, obrnjena v levo|roka, obrnjena v levo: srednje svetel ten kože|srednje svetel ten kože
	🫲🏽;roka, obrnjena v levo: srednji ten kože;levo|obrnjena v levo|roka|roka, obrnjena v levo|roka, obrnjena v levo: srednji ten kože|srednji ten kože
	🫲🏾;roka, obrnjena v levo: srednje temen ten kože;levo|obrnjena v levo|roka|roka, obrnjena v levo|roka, obrnjena v levo: srednje temen ten kože|srednje temen ten kože
	🫲🏿;roka, obrnjena v levo: temen ten kože;levo|obrnjena v levo|roka|roka, obrnjena v levo|roka, obrnjena v levo: temen ten kože|temen ten kože
🫳;roka z dlanjo navzdol;nehati|odslovitev|opustitev|roka z dlanjo navzdol
	🫳🏻;roka z dlanjo navzdol: svetel ten kože;nehati|odslovitev|opustitev|roka z dlanjo navzdol|roka z dlanjo navzdol: svetel ten kože|svetel ten kože
	🫳🏼;roka z dlanjo navzdol: srednje svetel ten kože;nehati|odslovitev|opustitev|roka z dlanjo navzdol|roka z dlanjo navzdol: srednje svetel ten kože|srednje svetel ten kože
	🫳🏽;roka z dlanjo navzdol: srednji ten kože;nehati|odslovitev|opustitev|roka z dlanjo navzdol|roka z dlanjo navzdol: srednji ten kože|srednji ten kože
	🫳🏾;roka z dlanjo navzdol: srednje temen ten kože;nehati|odslovitev|opustitev|roka z dlanjo navzdol|roka z dlanjo navzdol: srednje temen ten kože|srednje temen ten kože
	🫳🏿;roka z dlanjo navzdol: temen ten kože;nehati|odslovitev|opustitev|roka z dlanjo navzdol|roka z dlanjo navzdol: temen ten kože|temen ten kože
🫴;roka z dlanjo navzgor;namig|ponuditi|priti|roka z dlanjo navzgor|ujeti
	🫴🏻;roka z dlanjo navzgor: svetel ten kože;namig|ponuditi|priti|roka z dlanjo navzgor|roka z dlanjo navzgor: svetel ten kože|svetel ten kože|ujeti
	🫴🏼;roka z dlanjo navzgor: srednje svetel ten kože;namig|ponuditi|priti|roka z dlanjo navzgor|roka z dlanjo navzgor: srednje svetel ten kože|srednje svetel ten kože|ujeti
	🫴🏽;roka z dlanjo navzgor: srednji ten kože;namig|ponuditi|priti|roka z dlanjo navzgor|roka z dlanjo navzgor: srednji ten kože|srednji ten kože|ujeti
	🫴🏾;roka z dlanjo navzgor: srednje temen ten kože;namig|ponuditi|priti|roka z dlanjo navzgor|roka z dlanjo navzgor: srednje temen ten kože|srednje temen ten kože|ujeti
	🫴🏿;roka z dlanjo navzgor: temen ten kože;namig|ponuditi|priti|roka z dlanjo navzgor|roka z dlanjo navzgor: temen ten kože|temen ten kože|ujeti
🫷;dlan, ki potiska v levo;dlan|dlan, ki potiska v levo|ki potiska v levo|petka|počakati|potisniti|stop|v levo|zavrniti
	🫷🏻;dlan, ki potiska v levo: svetel ten kože;dlan|dlan, ki potiska v levo|dlan, ki potiska v levo: svetel ten kože|ki potiska v levo|petka|počakati|potisniti|stop|svetel ten kože|v levo|zavrniti
	🫷🏼;dlan, ki potiska v levo: srednje svetel ten kože;dlan|dlan, ki potiska v levo|dlan, ki potiska v levo: srednje svetel ten kože|ki potiska v levo|petka|počakati|potisniti|srednje svetel ten kože|stop|v levo|zavrniti
	🫷🏽;dlan, ki potiska v levo: srednji ten kože;dlan|dlan, ki potiska v levo|dlan, ki potiska v levo: srednji ten kože|ki potiska v levo|petka|počakati|potisniti|srednji ten kože|stop|v levo|zavrniti
	🫷🏾;dlan, ki potiska v levo: srednje temen ten kože;dlan|dlan, ki potiska v levo|dlan, ki potiska v levo: srednje temen ten kože|ki potiska v levo|petka|počakati|potisniti|srednje temen ten kože|stop|v levo|zavrniti
	🫷🏿;dlan, ki potiska v levo: temen ten kože;dlan|dlan, ki potiska v levo|dlan, ki potiska v levo: temen ten kože|ki potiska v levo|petka|počakati|potisniti|stop|temen ten kože|v levo|zavrniti
🫸;dlan, ki potiska v desno;dlan|dlan, ki potiska v desno|ki potiska v desno|petka|počakati|potisniti|stop|v desno|zavrniti
	🫸🏻;dlan, ki potiska v desno: svetel ten kože;dlan|dlan, ki potiska v desno|dlan, ki potiska v desno: svetel ten kože|ki potiska v desno|petka|počakati|potisniti|stop|svetel ten kože|v desno|zavrniti
	🫸🏼;dlan, ki potiska v desno: srednje svetel ten kože;dlan|dlan, ki potiska v desno|dlan, ki potiska v desno: srednje svetel ten kože|ki potiska v desno|petka|počakati|potisniti|srednje svetel ten kože|stop|v desno|zavrniti
	🫸🏽;dlan, ki potiska v desno: srednji ten kože;dlan|dlan, ki potiska v desno|dlan, ki potiska v desno: srednji ten kože|ki potiska v desno|petka|počakati|potisniti|srednji ten kože|stop|v desno|zavrniti
	🫸🏾;dlan, ki potiska v desno: srednje temen ten kože;dlan|dlan, ki potiska v desno|dlan, ki potiska v desno: srednje temen ten kože|ki potiska v desno|petka|počakati|potisniti|srednje temen ten kože|stop|v desno|zavrniti
	🫸🏿;dlan, ki potiska v desno: temen ten kože;dlan|dlan, ki potiska v desno|dlan, ki potiska v desno: temen ten kože|ki potiska v desno|petka|počakati|potisniti|stop|temen ten kože|v desno|zavrniti
👌;roka, ki kaže V REDU;dlan|ki kaže V REDU|roka|roka, ki kaže V REDU|telo|v redu
	👌🏻;roka, ki kaže V REDU: svetel ten kože;dlan|ki kaže V REDU|roka|roka, ki kaže V REDU|roka, ki kaže V REDU: svetel ten kože|svetel ten kože|telo|v redu
	👌🏼;roka, ki kaže V REDU: srednje svetel ten kože;dlan|ki kaže V REDU|roka|roka, ki kaže V REDU|roka, ki kaže V REDU: srednje svetel ten kože|srednje svetel ten kože|telo|v redu
	👌🏽;roka, ki kaže V REDU: srednji ten kože;dlan|ki kaže V REDU|roka|roka, ki kaže V REDU|roka, ki kaže V REDU: srednji ten kože|srednji ten kože|telo|v redu
	👌🏾;roka, ki kaže V REDU: srednje temen ten kože;dlan|ki kaže V REDU|roka|roka, ki kaže V REDU|roka, ki kaže V REDU: srednje temen ten kože|srednje temen ten kože|telo|v redu
	👌🏿;roka, ki kaže V REDU: temen ten kože;dlan|ki kaže V REDU|roka|roka, ki kaže V REDU|roka, ki kaže V REDU: temen ten kože|telo|temen ten kože|v redu
🤌;prsti, stisnjeni skupaj;izpraševanje|kretnja z roko|prsti|prsti, stisnjeni skupaj|sarkastično|stisnjen|stisnjeni skupaj
	🤌🏻;prsti, stisnjeni skupaj: svetel ten kože;izpraševanje|kretnja z roko|prsti|prsti, stisnjeni skupaj|prsti, stisnjeni skupaj: svetel ten kože|sarkastično|stisnjen|stisnjeni skupaj|svetel ten kože
	🤌🏼;prsti, stisnjeni skupaj: srednje svetel ten kože;izpraševanje|kretnja z roko|prsti|prsti, stisnjeni skupaj|prsti, stisnjeni skupaj: srednje svetel ten kože|sarkastično|srednje svetel ten kože|stisnjen|stisnjeni skupaj
	🤌🏽;prsti, stisnjeni skupaj: srednji ten kože;izpraševanje|kretnja z roko|prsti|prsti, stisnjeni skupaj|prsti, stisnjeni skupaj: srednji ten kože|sarkastično|srednji ten kože|stisnjen|stisnjeni skupaj
	🤌🏾;prsti, stisnjeni skupaj: srednje temen ten kože;izpraševanje|kretnja z roko|prsti|prsti, stisnjeni skupaj|prsti, stisnjeni skupaj: srednje temen ten kože|sarkastično|srednje temen ten kože|stisnjen|stisnjeni skupaj
