# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;πλατύ χαμόγελο;πλατύ χαμόγελο|πρόσωπο|σαρκασμός
😺;γάτα με πλατύ χαμόγελο;ανοιχτό|γάτα|γάτα με πλατύ χαμόγελο|πρόσωπο|στόμα|χαμόγελο
😸;γάτα με πλατύ χαμόγελο και γελαστά μάτια;γάτα|γάτα με πλατύ χαμόγελο και γελαστά μάτια|μάτι|πλατύ χαμόγελο|πρόσωπο|χαμόγελο
😹;γάτα που κλαίει από χαρά;γάτα|γάτα που κλαίει από χαρά|δάκρυ|πρόσωπο|χαρά
😻;γάτα που χαμογελάει με μάτια καρδούλες;αγάπη|γάτα|γάτα που χαμογελάει με μάτια καρδούλες|καρδιά|μάτι|πρόσωπο|χαμόγελο
😼;γάτα που χαμογελάει ειρωνικά;γάτα|γάτα που χαμογελάει ειρωνικά|ειρωνικός|καυστικός|πρόσωπο|χαμόγελο
😽;γάτα που φιλάει με κλειστά μάτια;γάτα|γάτα που φιλάει με κλειστά μάτια|μάτι|πρόσωπο|φιλί
🙀;έκπληκτη γάτα;γάτα|έκπληκτη γάτα|έκπληκτος|κουρασμένος|πρόσωπο
😿;γάτα που κλαίει;γάτα|γάτα που κλαίει|δάκρυ|θλιμμένος|κλαίω|πρόσωπο
😾;κατσουφιασμένη γάτα;γάτα|κατσουφιασμένη γάτα|πρόσωπο
🙈;κάνω πως δεν βλέπω;απαγορεύεται|απαγορευμένος|βλέπω|δεν|διαβολικός|κάνω πως δεν βλέπω|κίνηση|μαϊμού|όχι|πρόσωπο
🙉;κάνω πως δεν ακούω;ακούω|απαγορεύεται|απαγορευμένος|δεν|διαβολικός|κάνω πως δεν ακούω|κίνηση|μαϊμού|όχι|πρόσωπο
🙊;κάνω πως δεν μιλώ;απαγορεύεται|απαγορευμένος|δεν|διαβολικός|κάνω πως δεν μιλώ|κίνηση|μαϊμού|μιλάω|όχι|πρόσωπο
💌;ερωτικό γράμμα;αγάπη|γράμμα|έρωτας|ερωτικό γράμμα|καρδιά
💘;καρδιά με βέλος;βέλος|έρωτας|καρδιά|καρδιά με βέλος|ρομάντζο
💝;καρδιά με κορδέλα;βαλεντίνος|καρδιά|καρδιά με κορδέλα|κορδέλα
💖;καρδιά που αστράφτει;αστράφτω|ενθουσιασμένος|καρδιά|καρδιά που αστράφτει
💗;καρδιά που μεγαλώνει;αυξανόμενος|ενθουσιασμένος|καρδιά|καρδιά που μεγαλώνει|νευρικός|παλμός καρδιάς
💓;καρδιά που χτυπά;καρδιά|καρδιά που χτυπά|καρδιοχτύπι|πάλλεται|χτυπά
💞;καρδιές που γυρίζουν;καρδιά|καρδιές που γυρίζουν|περιστρεφόμενη
💕;δύο καρδιές;αγάπη|δύο καρδιές|καρδιά
💟;καρδιά σε πλαίσιο;καρδιά|καρδιά σε πλαίσιο
❣️;καρδιά θαυμαστικό;θαυμαστικό|καρδιά|σημείο|στίξη
💔;ραγισμένη καρδιά;καρδιά|ραγισμένη καρδιά|σπασμένος|σπάω
❤️‍🔥;καρδιά που καίγεται;αγάπη|καίω|καρδιά|καρδιά που καίγεται|πόθος
❤️‍🩹;καρδιά που αναρρώνει;ανάκαμψη|ανάρρωση|αποκατάσταση|βελτίωση|καρδιά που αναρρώνει|υγιέστερος
❤️;κόκκινη καρδιά;καρδιά|κόκκινη καρδιά
🩷;ροζ καρδιά;αγάπη|γλυκό|καρδιά|μου αρέσει|ροζ
🧡;πορτοκαλί καρδιά;πορτοκαλί καρδιά|ποστοκάλι
💛;κίτρινη καρδιά;καρδιά|κίτρινη
💚;πράσινη καρδιά;καρδιά|πράσινη
💙;μπλε καρδιά;καρδιά|μπλε
🩵;γαλάζια καρδιά;γαλάζια|γαλαζοπράσινο|καρδιά|μπλε παστέλ
💜;μοβ καρδιά;μοβ|μοβ καρδιά
🤎;καφέ καρδιά;καρδιά|καφέ
🖤;μαύρη καρδιά;κακός|καρδιά|μαγεμένος|μαύρη καρδιά|μαύρο
🩶;γκρι καρδιά;ασημί|γκρι|καρδιά|σχιστόλιθος
🤍;λευκή καρδιά;καρδιά|λευκή καρδιά|λευκό
💋;σημάδι από φιλί;έρωτας|καρδιά|σημάδι|σημάδι από φιλί|φιλί|χείλη
💯;εκατό πόντοι;100|βαθμολογία|εκατό|εκατό πόντοι|πλήρες
💢;σύμβολο θυμού;θυμωμένος|κόμικ|οργισμένος|σύμβολο θυμού
💥;σύγκρουση;κόμικ|σύγκρουση
💫;αστεράκια;αστεράκια|αστέρι|ζαλάδα|κόμικ
💦;σταγόνες ιδρώτα;ιδρώτας|κόμικ|πιτσιλιές|σταγόνες ιδρώτα
💨;τρέξιμο;κόμικ|ορμή|τρέξιμο
🕳️;τρύπα;μαύρη|τρύπα
💬;συννεφάκι ομιλίας;διάλογος|κόμικ|μπαλόνι|ομιλία|συννεφάκι|συννεφάκι ομιλίας
👁️‍🗨️;μάτι σε συννεφάκι ομιλίας;μάτι|μάτι σε συννεφάκι ομιλίας|συννεφάκι|συνομιλία
🗨️;αριστερό συννεφάκι ομιλίας;αριστερό συννεφάκι ομιλίας|διάλογος|συνομιλία
🗯️;δεξί συννεφάκι θυμού;δεξί συννεφάκι θυμού|θυμός|θυμωμένος|μπαλόνι|συννεφάκι
💭;συννεφάκι σκέψης;κόμικ|μπαλόνι|σκέψη|συννεφάκι|συννεφάκι σκέψης
💤;ζζζ;ζζζ|κόμικ|ύπνος

[people_body]
👋;χέρι που χαιρετά;νεύμα|σώμα|χαιρετώ|χέρι|χέρι που χαιρετά
	👋🏻;χέρι που χαιρετά: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|νεύμα|σώμα|χαιρετώ|χέρι|χέρι που χαιρετά|χέρι που χαιρετά: ανοιχτόχρωμος τόνος δέρματος
	👋🏼;χέρι που χαιρετά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;μεσαίος-ανοιχτόχρωμος τόνος δέρματος|νεύμα|σώμα|χαιρετώ|χέρι|χέρι που χαιρετά|χέρι που χαιρετά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👋🏽;χέρι που χαιρετά: μεσαίος τόνος δέρματος;μεσαίος τόνος δέρματος|νεύμα|σώμα|χαιρετώ|χέρι|χέρι που χαιρετά|χέρι που χαιρετά: μεσαίος τόνος δέρματος
	👋🏾;χέρι που χαιρετά: μεσαίος-σκούρος τόνος δέρματος;μεσαίος-σκούρος τόνος δέρματος|νεύμα|σώμα|χαιρετώ|χέρι|χέρι που χαιρετά|χέρι που χαιρετά: μεσαίος-σκούρος τόνος δέρματος
	👋🏿;χέρι που χαιρετά: σκούρος τόνος δέρματος;νεύμα|σκούρος τόνος δέρματος|σώμα|χαιρετώ|χέρι|χέρι που χαιρετά|χέρι που χαιρετά: σκούρος τόνος δέρματος
🤚;σηκωμένο χέρι ανάποδα;ανάποδη χεριού|σηκωμένη ανάποδη χεριού|σηκωμένο|σηκωμένο χέρι ανάποδα
	🤚🏻;σηκωμένο χέρι ανάποδα: ανοιχτόχρωμος τόνος δέρματος;ανάποδη χεριού|ανοιχτόχρωμος τόνος δέρματος|σηκωμένη ανάποδη χεριού|σηκωμένο|σηκωμένο χέρι ανάποδα|σηκωμένο χέρι ανάποδα: ανοιχτόχρωμος τόνος δέρματος
	🤚🏼;σηκωμένο χέρι ανάποδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;ανάποδη χεριού|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σηκωμένη ανάποδη χεριού|σηκωμένο|σηκωμένο χέρι ανάποδα|σηκωμένο χέρι ανάποδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🤚🏽;σηκωμένο χέρι ανάποδα: μεσαίος τόνος δέρματος;ανάποδη χεριού|μεσαίος τόνος δέρματος|σηκωμένη ανάποδη χεριού|σηκωμένο|σηκωμένο χέρι ανάποδα|σηκωμένο χέρι ανάποδα: μεσαίος τόνος δέρματος
	🤚🏾;σηκωμένο χέρι ανάποδα: μεσαίος-σκούρος τόνος δέρματος;ανάποδη χεριού|μεσαίος-σκούρος τόνος δέρματος|σηκωμένη ανάποδη χεριού|σηκωμένο|σηκωμένο χέρι ανάποδα|σηκωμένο χέρι ανάποδα: μεσαίος-σκούρος τόνος δέρματος
	🤚🏿;σηκωμένο χέρι ανάποδα: σκούρος τόνος δέρματος;ανάποδη χεριού|σηκωμένη ανάποδη χεριού|σηκωμένο|σηκωμένο χέρι ανάποδα|σηκωμένο χέρι ανάποδα: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος
🖐️;μούντζα;ανοιχτά δάχτυλα|δάχτυλο|μούντζα|φάσκελο|χέρι
	🖐🏻;μούντζα: ανοιχτόχρωμος τόνος δέρματος;ανοιχτά δάχτυλα|ανοιχτόχρωμος τόνος δέρματος|δάχτυλο|μούντζα|μούντζα: ανοιχτόχρωμος τόνος δέρματος|φάσκελο|χέρι
	🖐🏼;μούντζα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;ανοιχτά δάχτυλα|δάχτυλο|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μούντζα|μούντζα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|φάσκελο|χέρι
	🖐🏽;μούντζα: μεσαίος τόνος δέρματος;ανοιχτά δάχτυλα|δάχτυλο|μεσαίος τόνος δέρματος|μούντζα|μούντζα: μεσαίος τόνος δέρματος|φάσκελο|χέρι
	🖐🏾;μούντζα: μεσαίος-σκούρος τόνος δέρματος;ανοιχτά δάχτυλα|δάχτυλο|μεσαίος-σκούρος τόνος δέρματος|μούντζα|μούντζα: μεσαίος-σκούρος τόνος δέρματος|φάσκελο|χέρι
	🖐🏿;μούντζα: σκούρος τόνος δέρματος;ανοιχτά δάχτυλα|δάχτυλο|μούντζα|μούντζα: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος|φάσκελο|χέρι
✋;σηκωμένο χέρι;σηκωμένο χέρι|σώμα|χέρι
	✋🏻;σηκωμένο χέρι: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|σηκωμένο χέρι|σηκωμένο χέρι: ανοιχτόχρωμος τόνος δέρματος|σώμα|χέρι
	✋🏼;σηκωμένο χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σηκωμένο χέρι|σηκωμένο χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σώμα|χέρι
	✋🏽;σηκωμένο χέρι: μεσαίος τόνος δέρματος;μεσαίος τόνος δέρματος|σηκωμένο χέρι|σηκωμένο χέρι: μεσαίος τόνος δέρματος|σώμα|χέρι
	✋🏾;σηκωμένο χέρι: μεσαίος-σκούρος τόνος δέρματος;μεσαίος-σκούρος τόνος δέρματος|σηκωμένο χέρι|σηκωμένο χέρι: μεσαίος-σκούρος τόνος δέρματος|σώμα|χέρι
	✋🏿;σηκωμένο χέρι: σκούρος τόνος δέρματος;σηκωμένο χέρι|σηκωμένο χέρι: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος|σώμα|χέρι
🖖;χαιρετισμός σποκ;vulcan|δάχτυλο|σποκ|σώμα|χαιρετισμός σποκ|χέρι
	🖖🏻;χαιρετισμός σποκ: ανοιχτόχρωμος τόνος δέρματος;vulcan|ανοιχτόχρωμος τόνος δέρματος|δάχτυλο|σποκ|σώμα|χαιρετισμός σποκ|χαιρετισμός σποκ: ανοιχτόχρωμος τόνος δέρματος|χέρι
	🖖🏼;χαιρετισμός σποκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;vulcan|δάχτυλο|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σποκ|σώμα|χαιρετισμός σποκ|χαιρετισμός σποκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|χέρι
	🖖🏽;χαιρετισμός σποκ: μεσαίος τόνος δέρματος;vulcan|δάχτυλο|μεσαίος τόνος δέρματος|σποκ|σώμα|χαιρετισμός σποκ|χαιρετισμός σποκ: μεσαίος τόνος δέρματος|χέρι
	🖖🏾;χαιρετισμός σποκ: μεσαίος-σκούρος τόνος δέρματος;vulcan|δάχτυλο|μεσαίος-σκούρος τόνος δέρματος|σποκ|σώμα|χαιρετισμός σποκ|χαιρετισμός σποκ: μεσαίος-σκούρος τόνος δέρματος|χέρι
	🖖🏿;χαιρετισμός σποκ: σκούρος τόνος δέρματος;vulcan|δάχτυλο|σκούρος τόνος δέρματος|σποκ|σώμα|χαιρετισμός σποκ|χαιρετισμός σποκ: σκούρος τόνος δέρματος|χέρι
🫱;χέρι προς τα δεξιά;δεξιά|προς τα δεξιά|χέρι|χέρι προς τα δεξιά
	🫱🏻;χέρι προς τα δεξιά: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|δεξιά|προς τα δεξιά|χέρι|χέρι προς τα δεξιά|χέρι προς τα δεξιά: ανοιχτόχρωμος τόνος δέρματος
	🫱🏼;χέρι προς τα δεξιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;δεξιά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|προς τα δεξιά|χέρι|χέρι προς τα δεξιά|χέρι προς τα δεξιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🫱🏽;χέρι προς τα δεξιά: μεσαίος τόνος δέρματος;δεξιά|μεσαίος τόνος δέρματος|προς τα δεξιά|χέρι|χέρι προς τα δεξιά|χέρι προς τα δεξιά: μεσαίος τόνος δέρματος
	🫱🏾;χέρι προς τα δεξιά: μεσαίος-σκούρος τόνος δέρματος;δεξιά|μεσαίος-σκούρος τόνος δέρματος|προς τα δεξιά|χέρι|χέρι προς τα δεξιά|χέρι προς τα δεξιά: μεσαίος-σκούρος τόνος δέρματος
