# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Широко усмихнато лице;лице|ухилване|широка усмивка|Широко усмихнато лице
🤗;Прегръщащо лице;лице|прегръдка|прегръщам|Прегръщащо лице
🤭;Лице с ръка пред устата;издаване|Лице с ръка пред устата|опа!
🫢;лице с широко отворени очи и ръка пред устата;безверие|изненада|лице с широко отворени очи и ръка пред устата|неудобство|страхопочитание|удивление|уплаха
🫣;лице, надничащо зад ръцете си;вторачвам се|лице|лице, надничащо зад ръцете си|надничам|надничащо зад ръцете си|смаян
🤫;Лице, което прави „шт!“;знак за „шт!“|което прави „шт!“|Лице|Лице, което прави „шт!“|тихо
🤔;Замислено лице;замислен|Замислено лице|лице
🫡;козируващо лице;да|козирувам|козируващо лице|ок|поздрав|слънчево
🤐;Лице с уста с цип;лице|Лице с уста с цип|уста|цип
🤨;Лице с повдигната вежда;Лице с повдигната вежда|недоверие|скептично
😐;Неутрално лице;лице|непроницаем|неутрален|Неутрално лице
😑;Безизразно лице;безизразен|Безизразно лице|лице
😶;Лице без уста;лице|Лице без уста|тих|уста
🫥;лице с пунктир;депресиран|изчезвам|интровертен|крия се|лице с пунктир|невидим
😶‍🌫️;лице в облаци;лице в мъгла|лице в облаци|мечтател|разсеян
😏;Подсмихващо се лице;лице|подсмихване|Подсмихващо се лице
😒;Недоволно лице;лице|недоволен|Недоволно лице|нещастен
🙄;Лице с извъртени нагоре очи;извъртам|лице|Лице с извъртени нагоре очи|очи
😬;Лице с гримаса;гримаса|лице|Лице с гримаса
😮‍💨;издишващо лице;въздъхвам|издишвам|издишващо лице|охкам|пъшкам|шепна
🤥;лъжещо лице;лице|лъжа|лъжещо лице|пинокио
🫨;треперещо лице;вибрирам|земетресение|лице|треперещо|шок
🙂‍↔️;глава, която прави хоризонтални движения;глава|глава, която прави хоризонтални движения|движение за несъгласие|която прави хоризонтални движения
🙂‍↕️;глава, която прави вертикални движения;глава|глава, която прави вертикални движения|кимане за съгласие|която прави вертикални движения|която прави вертикални движния
😌;Облекчено лице;лице|облекчен|Облекчено лице
😔;Угрижено лице;лице|обезсърчен|угрижен|Угрижено лице
😪;Сънено лице;лице|сън|Сънено лице
🤤;лице с капеща слюнка;капят лиги|лице|лице с капеща слюнка
😴;Спящо лице;лице|Спящо лице|сън
😷;Лице с медицинска маска;болен|лекар|лице|Лице с медицинска маска|маска
🤒;Лице с термометър;болен|лице|Лице с термометър|термометър
🤕;Лице с превръзка на главата;лице|Лице с превръзка на главата|нараняване|превръзка|рана
🤢;лице пред повръщане;лице|лице пред повръщане|отвратено|повръщане
🤮;Повръщащо лице;болен|повръщане|Повръщащо лице
🤧;кихащо лице;кихане|кихащо лице|лице|наздраве
🥵;зачервено лице;горещина|зачервено лице|зачервяване|температура|топлинен удар
🥶;замръзнало лице;замръзнало лице|лед|посинял|студ|хапещ студ
🥴;опиянено лице;замаян|зигзагообразна уста|неравен поглед|опиянен|опиянено лице|пийнал
😵;лице със зачеркнати очи;замаян|замаяно лице|зашеметен|лице|лице със зачеркнати очи|умрял
😵‍💫;лице със спираловидни очи;замаян|лице със спираловидни очи|проблеми|спирала|хипнотизиран
🤯;Експлодираща глава;Експлодираща глава|невероятно|шокиран
🤠;лице с каубойска шапка;каубой|каубойка|лице|лице с каубойска шапка|шапка
🥳;купонджийско лице;купон|купонджийско лице|надувалка|празненство|шапка
🥸;маскирано лице;инкогнито|лице|маскирано лице|маскировка|очила|фалшив нос
😎;Усмихнато лице със слънчеви очила;лице|слънце|слънчеви очила|усмивка|Усмихнато лице със слънчеви очила
🤓;лице на зубър;зубър|лице|Лице на „читанка“|лице на зубър|читанка
🧐;Лице с монокъл;лице|Лице с монокъл|монокъл|старомоден
😕;Объркано лице;лице|объркан|Объркано лице
🫤;лице с диагонална уста;лице с диагонална уста|неодобряващ|несигурен|разочарован|скептичен
😟;Разтревожено лице;лице|разтревожен|Разтревожено лице
🙁;Леко намръщено лице;гримаса|Леко намръщено лице|лице
☹️;Намръщено лице;гримаса|лице|Намръщено лице
😮;Лице с отворена уста;лице|Лице с отворена уста|отворен|съчувствие|уста
😯;Изненадано лице;впечатлен|изненадан|Изненадано лице|лице
😲;изумено лице;изумен|изумено лице|лице|учуден|Учудено лице|шокиран
😳;Изчервено лице;изчервен|Изчервено лице|лице
🥺;умоляващо лице;кучешки поглед|милост|умоляване|умоляващо лице
🥹;лице, което сдържа сълзите си;горд|което сдържа сълзите си|лице|лице, което сдържа сълзите си|плач|съпротива|тъжен|ядосан
😦;Намръщено лице с отворена уста;гримаса|лице|Намръщено лице с отворена уста|отворен|уста
😧;Изстрадало лице;изстрадал|Изстрадало лице|лице
😨;Изплашено лице;изплашен|Изплашено лице|лице|страх
😰;Лице с отворена уста и студена пот;лице|Лице с отворена уста и студена пот|пот|син|студен
😥;Лице с разочарование и облекчение;лице|Лице с разочарование и облекчение|облекчен|разочарован
😢;Разплакано лице;лице|плач|Разплакано лице|сълза|тъжен
😭;Силно плачещо лице;лице|плач|Силно плачещо лице|сълза|тъжен
😱;Лице, крещящо от страх;вик|изплашен|крещящо от страх|Лице|Лице, крещящо от страх|страх
😖;Смутено лице;лице|смутен|Смутено лице
😣;Упорито лице;лице|упорит|Упорито лице
😞;Разочаровано лице;лице|разочарован|Разочаровано лице
😓;наведено лице с пот;лице|наведено лице с пот|пот|студен
😩;Изтощено лице;изтощен|Изтощено лице|лице|уморен
😫;Уморено лице;лице|уморен|Уморено лице
🥱;прозяващо се лице;прозяващо се лице|прозявка|скука|умора
😤;Лице с излизаща от носа пара;лице|Лице с излизаща от носа пара|победа|триумф
😡;гневно лице;гневен|гневно лице|лице|сърдит|червен|ядосан|ярост
😠;Ядосано лице;гневен|лице|сърдит|Ядосано лице
🤬;Лице със символи върху устата;Лице със символи върху устата|ругатни
😈;Усмихнато лице с рога;лице|рога|усмивка|Усмихнато лице с рога|фантастичен
👿;ядосано лице с рога;демон|дявол|дяволче|лице|фантазия|ядосано лице с рога
💀;череп;лице|приказка|смърт|череп|чудовище
☠️;Череп с кръстосани кости;кръстосани кости|лице|смърт|череп|Череп с кръстосани кости
💩;изпражнение;изпражнение|лице|чудовище
🤡;клоунско лице;клоун|клоунско лице|лице
👹;страшилище;лице|приказка|страшилище|създание|фантазия|чудовище
👺;гоблин;гоблин|лице|приказка|създание|фантазия|чудовище
👻;призрак;лице|призрак|създание|фантастичен|чудовище
👽;извънземно;извънземно|космос|лице|НЛО|създание
👾;извънземно чудовище;извънземно|космос|лице|НЛО|чудовище
🤖;Лице на робот;лице|Лице на робот|робот|чудовище
😺;Усмихнато котешко лице с отворена уста;котка|лице|усмивка|Усмихнато котешко лице с отворена уста|уста
😸;Ухилено котешко лице с усмихнати очи;котка|лице|усмивка|ухилване|Ухилено котешко лице с усмихнати очи
😹;Котешко лице със сълзи от радост;Котешко лице със сълзи от радост|котка|лице|радост|сълза
😻;Усмихнато котешко лице с очи с форма на сърце;котка|лице|любов|сърце|Усмихнато котешко лице с очи с форма на сърце
😼;Котешко лице с изкривена усмивка;ироничен|Котешко лице с изкривена усмивка|котка|лице|усмивка
😽;Целуващо котешко лице със затворени очи;котка|лице|око|Целуващо котешко лице със затворени очи|целувка
🙀;Изтощено котешко лице;изненадан|изтощен|Изтощено котешко лице|котка|лице
😿;Плачещо котешко лице;котка|плач|Плачещо котешко лице|сълза|тъжен
😾;Нацупено котешко лице;котка|лице|нацупен|Нацупено котешко лице
🙈;„не видях“;„не видях“|видях|жест|лице|маймуна
🙉;„не чух“;„не чух“|жест|лице|маймуна|чух
🙊;„не знам“;„не знам“|жест|забранено|знам|лице|маймуна|не
💌;Любовно писмо;любов|Любовно писмо|романтика|сърце
💘;Сърце със стрела;амур|купидон|романтика|сърце|Сърце със стрела
💝;Сърце с панделка;лента|сърце|Сърце с панделка
💖;Блестящо сърце;Блестящо сърце|искра|развълнуван|сърце
💗;растящо сърце;нервен|пулс|развълнуван|растящо сърце|сърце|туптящо сърце
💓;Биещо сърце;биене|биещо|сърце|туптене
💞;Обикалящи сърца;обикалящ|Обикалящи сърца|сърце
💕;Две сърца;Две сърца|любов|сърце
💟;Украса сърце;сърце|Украса сърце
❣️;Плътен орнамент от сърце – удивителна;Плътен орнамент от сърце – удивителна|пунктуация|сърце|удивителна
💔;Разбито сърце;разбито|сърце
❤️‍🔥;сърце в пламъци;любов|огън|свещено сърце|страст|сърце|сърце в пламъци
❤️‍🩹;превързано сърце;възстановяване|добре|оздравяване|по-здрав|подобрение|превързано сърце
❤️;Червено сърце;сърце|Червено сърце
🩷;розово сърце;розово сърце|сладко I сърце I харесвам I любов I розово
🧡;оранжево сърце;оранжево|оранжево сърце
💛;Жълто сърце;жълто|сърце
💚;Зелено сърце;зелен|Зелено сърце|сърце
💙;Синьо сърце;син|Синьо сърце|сърце
🩵;светлосиньо сърце;светлосиньо|синьо-зелено|сърце|циан
💜;Лилаво сърце;лилаво|сърце
🤎;кафяво сърце;кафяво|сърце
🖤;черно сърце;зло|сърце|черно
🩶;сиво сърце;сиво I сърце I сребристо I тъмносиво|сиво сърце
🤍;бяло сърце;бяло|сърце
💋;Отпечатък от целувка;Отпечатък от целувка|устни|целувка
💯;сто точки;100|резултат|сто|сто точки
💢;Символ за гняв;гняв|комикс|Символ за гняв|ядосан
💥;сблъсък;бум|комикс|сблъсък
💫;замайване;замайване|звезда|комикс
💦;капки пот;капки пот|комикс|пот|пръска
💨;спринт;комикс|спринт|тичане
🕳️;дупка;дупка|яма
💬;Балонче за говор;балонче|Балонче за говор|говор|диалог|комикс
👁️‍🗨️;око в балонче за говор;балонче за говор|говор|око|око в балонче за говор|свидетел
🗨️;Балонче за говор отляво;балонче|балонче за говор|Балонче за говор отляво|говор|диалог
🗯️;Балонче за гняв отдясно;балонче|Балонче за гняв отдясно|гняв|ядосан
💭;Балонче за мисъл;балонче|Балонче за мисъл|комикс|мисъл
💤;спане;комикс|лека нощ|спане

[people_body]
👋;Махане с ръка;махане|Махане с ръка|ръка|тяло
	👋🏻;Махане с ръка: светла кожа;махане|Махане с ръка|Махане с ръка: светла кожа|ръка|светла кожа|тяло
	👋🏼;Махане с ръка: средно светла кожа;махане|Махане с ръка|Махане с ръка: средно светла кожа|ръка|средно светла кожа|тяло
	👋🏽;Махане с ръка: средна на цвят кожа;махане|Махане с ръка|Махане с ръка: средна на цвят кожа|ръка|средна на цвят кожа|тяло
	👋🏾;Махане с ръка: средно тъмна кожа;махане|Махане с ръка|Махане с ръка: средно тъмна кожа|ръка|средно тъмна кожа|тяло
	👋🏿;Махане с ръка: тъмна кожа;махане|Махане с ръка|Махане с ръка: тъмна кожа|ръка|тъмна кожа|тяло
🤚;вдигната длан;вдигната|длан
	🤚🏻;вдигната длан: светла кожа;вдигната|вдигната длан: светла кожа|длан|светла кожа
	🤚🏼;вдигната длан: средно светла кожа;вдигната|вдигната длан: средно светла кожа|длан|средно светла кожа
	🤚🏽;вдигната длан: средна на цвят кожа;вдигната|вдигната длан: средна на цвят кожа|длан|средна на цвят кожа
	🤚🏾;вдигната длан: средно тъмна кожа;вдигната|вдигната длан: средно тъмна кожа|длан|средно тъмна кожа
	🤚🏿;вдигната длан: тъмна кожа;вдигната|вдигната длан: тъмна кожа|длан|тъмна кожа
🖐️;Вдигната ръка с разперени пръсти;Вдигната ръка с разперени пръсти|пръст|разперен|ръка|тяло
	🖐🏻;Вдигната ръка с разперени пръсти: светла кожа;Вдигната ръка с разперени пръсти|Вдигната ръка с разперени пръсти: светла кожа|пръст|разперен|ръка|светла кожа|тяло
	🖐🏼;Вдигната ръка с разперени пръсти: средно светла кожа;Вдигната ръка с разперени пръсти|Вдигната ръка с разперени пръсти: средно светла кожа|пръст|разперен|ръка|средно светла кожа|тяло
	🖐🏽;Вдигната ръка с разперени пръсти: средна на цвят кожа;Вдигната ръка с разперени пръсти|Вдигната ръка с разперени пръсти: средна на цвят кожа|пръст|разперен|ръка|средна на цвят кожа|тяло
	🖐🏾;Вдигната ръка с разперени пръсти: средно тъмна кожа;Вдигната ръка с разперени пръсти|Вдигната ръка с разперени пръсти: средно тъмна кожа|пръст|разперен|ръка|средно тъмна кожа|тяло
	🖐🏿;Вдигната ръка с разперени пръсти: тъмна кожа;Вдигната ръка с разперени пръсти|Вдигната ръка с разперени пръсти: тъмна кожа|пръст|разперен|ръка|тъмна кожа|тяло
✋;Вдигната ръка;Вдигната ръка|ръка|тяло
	✋🏻;Вдигната ръка: светла кожа;Вдигната ръка|Вдигната ръка: светла кожа|ръка|светла кожа|тяло
	✋🏼;Вдигната ръка: средно светла кожа;Вдигната ръка|Вдигната ръка: средно светла кожа|ръка|средно светла кожа|тяло
	✋🏽;Вдигната ръка: средна на цвят кожа;Вдигната ръка|Вдигната ръка: средна на цвят кожа|ръка|средна на цвят кожа|тяло
	✋🏾;Вдигната ръка: средно тъмна кожа;Вдигната ръка|Вдигната ръка: средно тъмна кожа|ръка|средно тъмна кожа|тяло
	✋🏿;Вдигната ръка: тъмна кожа;Вдигната ръка|Вдигната ръка: тъмна кожа|ръка|тъмна кожа|тяло
🖖;Поздрав на вулканите;вулкан|Поздрав на вулканите|пръст|ръка|спок
	🖖🏻;Поздрав на вулканите: светла кожа;вулкан|Поздрав на вулканите|Поздрав на вулканите: светла кожа|пръст|ръка|светла кожа|спок
	🖖🏼;Поздрав на вулканите: средно светла кожа;вулкан|Поздрав на вулканите|Поздрав на вулканите: средно светла кожа|пръст|ръка|спок|средно светла кожа
	🖖🏽;Поздрав на вулканите: средна на цвят кожа;вулкан|Поздрав на вулканите|Поздрав на вулканите: средна на цвят кожа|пръст|ръка|спок|средна на цвят кожа
	🖖🏾;Поздрав на вулканите: средно тъмна кожа;вулкан|Поздрав на вулканите|Поздрав на вулканите: средно тъмна кожа|пръст|ръка|спок|средно тъмна кожа
	🖖🏿;Поздрав на вулканите: тъмна кожа;вулкан|Поздрав на вулканите|Поздрав на вулканите: тъмна кожа|пръст|ръка|спок|тъмна кожа
🫱;сочеща надясно ръка;дясно|надясно|ръка|сочеща надясно ръка
	🫱🏻;сочеща надясно ръка: светла кожа;дясно|надясно|ръка|светла кожа|сочеща надясно ръка|сочеща надясно ръка: светла кожа
	🫱🏼;сочеща надясно ръка: средно светла кожа;дясно|надясно|ръка|сочеща надясно ръка|сочеща надясно ръка: средно светла кожа|средно светла кожа
	🫱🏽;сочеща надясно ръка: средна на цвят кожа;дясно|надясно|ръка|сочеща надясно ръка|сочеща надясно ръка: средна на цвят кожа|средна на цвят кожа
	🫱🏾;сочеща надясно ръка: средно тъмна кожа;дясно|надясно|ръка|сочеща надясно ръка|сочеща надясно ръка: средно тъмна кожа|средно тъмна кожа
	🫱🏿;сочеща надясно ръка: тъмна кожа;дясно|надясно|ръка|сочеща надясно ръка|сочеща надясно ръка: тъмна кожа|тъмна кожа
🫲;сочеща наляво ръка;ляво|наляво|ръка|сочеща наляво ръка
	🫲🏻;сочеща наляво ръка: светла кожа;ляво|наляво|ръка|светла кожа|сочеща наляво ръка|сочеща наляво ръка: светла кожа
	🫲🏼;сочеща наляво ръка: средно светла кожа;ляво|наляво|ръка|сочеща наляво ръка|сочеща наляво ръка: средно светла кожа|средно светла кожа
	🫲🏽;сочеща наляво ръка: средна на цвят кожа;ляво|наляво|ръка|сочеща наляво ръка|сочеща наляво ръка: средна на цвят кожа|средна на цвят кожа
	🫲🏾;сочеща наляво ръка: средно тъмна кожа;ляво|наляво|ръка|сочеща наляво ръка|сочеща наляво ръка: средно тъмна кожа|средно тъмна кожа
	🫲🏿;сочеща наляво ръка: тъмна кожа;ляво|наляво|ръка|сочеща наляво ръка|сочеща наляво ръка: тъмна кожа|тъмна кожа
🫳;ръка с длан надолу;изпускам|отхвърлям|прогонвам|ръка с длан надолу
	🫳🏻;ръка с длан надолу: светла кожа;изпускам|отхвърлям|прогонвам|ръка с длан надолу|ръка с длан надолу: светла кожа|светла кожа
	🫳🏼;ръка с длан надолу: средно светла кожа;изпускам|отхвърлям|прогонвам|ръка с длан надолу|ръка с длан надолу: средно светла кожа|средно светла кожа
	🫳🏽;ръка с длан надолу: средна на цвят кожа;изпускам|отхвърлям|прогонвам|ръка с длан надолу|ръка с длан надолу: средна на цвят кожа|средна на цвят кожа
	🫳🏾;ръка с длан надолу: средно тъмна кожа;изпускам|отхвърлям|прогонвам|ръка с длан надолу|ръка с длан надолу: средно тъмна кожа|средно тъмна кожа
	🫳🏿;ръка с длан надолу: тъмна кожа;изпускам|отхвърлям|прогонвам|ръка с длан надолу|ръка с длан надолу: тъмна кожа|тъмна кожа
🫴;ръка с длан нагоре;идвам|повиквам|предлагам|ръка с длан нагоре|хващам
	🫴🏻;ръка с длан нагоре: светла кожа;идвам|повиквам|предлагам|ръка с длан нагоре|ръка с длан нагоре: светла кожа|светла кожа|хващам
	🫴🏼;ръка с длан нагоре: средно светла кожа;идвам|повиквам|предлагам|ръка с длан нагоре|ръка с длан нагоре: средно светла кожа|средно светла кожа|хващам
	🫴🏽;ръка с длан нагоре: средна на цвят кожа;идвам|повиквам|предлагам|ръка с длан нагоре|ръка с длан нагоре: средна на цвят кожа|средна на цвят кожа|хващам
	🫴🏾;ръка с длан нагоре: средно тъмна кожа;идвам|повиквам|предлагам|ръка с длан нагоре|ръка с длан нагоре: средно тъмна кожа|средно тъмна кожа|хващам
	🫴🏿;ръка с длан нагоре: тъмна кожа;идвам|повиквам|предлагам|ръка с длан нагоре|ръка с длан нагоре: тъмна кожа|тъмна кожа|хващам
🫷;натискаща наляво ръка;дай пет I наляво I натискам I отказвам I стоп I чакам|натискаща наляво ръка
	🫷🏻;натискаща наляво ръка: светла кожа;дай пет I наляво I натискам I отказвам I стоп I чакам|натискаща наляво ръка|натискаща наляво ръка: светла кожа|светла кожа
	🫷🏼;натискаща наляво ръка: средно светла кожа;дай пет I наляво I натискам I отказвам I стоп I чакам|натискаща наляво ръка|натискаща наляво ръка: средно светла кожа|средно светла кожа
	🫷🏽;натискаща наляво ръка: средна на цвят кожа;дай пет I наляво I натискам I отказвам I стоп I чакам|натискаща наляво ръка|натискаща наляво ръка: средна на цвят кожа|средна на цвят кожа
	🫷🏾;натискаща наляво ръка: средно тъмна кожа;дай пет I наляво I натискам I отказвам I стоп I чакам|натискаща наляво ръка|натискаща наляво ръка: средно тъмна кожа|средно тъмна кожа
	🫷🏿;натискаща наляво ръка: тъмна кожа;дай пет I наляво I натискам I отказвам I стоп I чакам|натискаща наляво ръка|натискаща наляво ръка: тъмна кожа|тъмна кожа
🫸;натискаща надясно ръка;дай пет I натискам I отказвам I надясно I стоп I чакам|натискаща надясно ръка
	🫸🏻;натискаща надясно ръка: светла кожа;дай пет I натискам I отказвам I надясно I стоп I чакам|натискаща надясно ръка|натискаща надясно ръка: светла кожа|светла кожа
	🫸🏼;натискаща надясно ръка: средно светла кожа;дай пет I натискам I отказвам I надясно I стоп I чакам|натискаща надясно ръка|натискаща надясно ръка: средно светла кожа|средно светла кожа
	🫸🏽;натискаща надясно ръка: средна на цвят кожа;дай пет I натискам I отказвам I надясно I стоп I чакам|натискаща надясно ръка|натискаща надясно ръка: средна на цвят кожа|средна на цвят кожа
	🫸🏾;натискаща надясно ръка: средно тъмна кожа;дай пет I натискам I отказвам I надясно I стоп I чакам|натискаща надясно ръка|натискаща надясно ръка: средно тъмна кожа|средно тъмна кожа
	🫸🏿;натискаща надясно ръка: тъмна кожа;дай пет I натискам I отказвам I надясно I стоп I чакам|натискаща надясно ръка|натискаща надясно ръка: тъмна кожа|тъмна кожа
👌;Жест „окей“;ok|Жест „окей“|окей|ръка|тяло
	👌🏻;Жест „окей“: светла кожа;ok|Жест „окей“|Жест „окей“: светла кожа|окей|ръка|светла кожа|тяло
	👌🏼;Жест „окей“: средно светла кожа;ok|Жест „окей“|Жест „окей“: средно светла кожа|окей|ръка|средно светла кожа|тяло
	👌🏽;Жест „окей“: средна на цвят кожа;ok|Жест „окей“|Жест „окей“: средна на цвят кожа|окей|ръка|средна на цвят кожа|тяло
	👌🏾;Жест „окей“: средно тъмна кожа;ok|Жест „окей“|Жест „окей“: средно тъмна кожа|окей|ръка|средно тъмна кожа|тяло
	👌🏿;Жест „окей“: тъмна кожа;ok|Жест „окей“|Жест „окей“: тъмна кожа|окей|ръка|тъмна кожа|тяло
🤌;събрани пръсти;въпрос|жест с ръка|пръсти|саркастично|събрани
	🤌🏻;събрани пръсти: светла кожа;въпрос|жест с ръка|пръсти|саркастично|светла кожа|събрани|събрани пръсти: светла кожа
	🤌🏼;събрани пръсти: средно светла кожа;въпрос|жест с ръка|пръсти|саркастично|средно светла кожа|събрани|събрани пръсти: средно светла кожа
	🤌🏽;събрани пръсти: средна на цвят кожа;въпрос|жест с ръка|пръсти|саркастично|средна на цвят кожа|събрани|събрани пръсти: средна на цвят кожа
	🤌🏾;събрани пръсти: средно тъмна кожа;въпрос|жест с ръка|пръсти|саркастично|средно тъмна кожа|събрани|събрани пръсти: средно тъмна кожа
	🤌🏿;събрани пръсти: тъмна кожа;въпрос|жест с ръка|пръсти|саркастично|събрани|събрани пръсти: тъмна кожа|тъмна кожа
🤏;ръка с приближени палец и показалец;малка сума|нещо малко|ръка с приближени палец и показалец
	🤏🏻;ръка с приближени палец и показалец: светла кожа;малка сума|нещо малко|ръка с приближени палец и показалец|ръка с приближени палец и показалец: светла кожа|светла кожа
	🤏🏼;ръка с приближени палец и показалец: средно светла кожа;малка сума|нещо малко|ръка с приближени палец и показалец|ръка с приближени палец и показалец: средно светла кожа|средно светла кожа
	🤏🏽;ръка с приближени палец и показалец: средна на цвят кожа;малка сума|нещо малко|ръка с приближени палец и показалец|ръка с приближени палец и показалец: средна на цвят кожа|средна на цвят кожа
	🤏🏾;ръка с приближени палец и показалец: средно тъмна кожа;малка сума|нещо малко|ръка с приближени палец и показалец|ръка с приближени палец и показалец: средно тъмна кожа|средно тъмна кожа
	🤏🏿;ръка с приближени палец и показалец: тъмна кожа;малка сума|нещо малко|ръка с приближени палец и показалец|ръка с приближени палец и показалец: тъмна кожа|тъмна кожа
✌️;Жест за победа;Жест за победа|победа|ръка|тяло
	✌🏻;Жест за победа: светла кожа;Жест за победа|Жест за победа: светла кожа|победа|ръка|светла кожа|тяло
	✌🏼;Жест за победа: средно светла кожа;Жест за победа|Жест за победа: средно светла кожа|победа|ръка|средно светла кожа|тяло
	✌🏽;Жест за победа: средна на цвят кожа;Жест за победа|Жест за победа: средна на цвят кожа|победа|ръка|средна на цвят кожа|тяло
	✌🏾;Жест за победа: средно тъмна кожа;Жест за победа|Жест за победа: средно тъмна кожа|победа|ръка|средно тъмна кожа|тяло
	✌🏿;Жест за победа: тъмна кожа;Жест за победа|Жест за победа: тъмна кожа|победа|ръка|тъмна кожа|тяло
🤞;стискане на палци;късмет|палци|ръка|стискане|стискане на палци
	🤞🏻;стискане на палци: светла кожа;късмет|палци|ръка|светла кожа|стискане|стискане на палци|стискане на палци: светла кожа
	🤞🏼;стискане на палци: средно светла кожа;късмет|палци|ръка|средно светла кожа|стискане|стискане на палци|стискане на палци: средно светла кожа
	🤞🏽;стискане на палци: средна на цвят кожа;късмет|палци|ръка|средна на цвят кожа|стискане|стискане на палци|стискане на палци: средна на цвят кожа
	🤞🏾;стискане на палци: средно тъмна кожа;късмет|палци|ръка|средно тъмна кожа|стискане|стискане на палци|стискане на палци: средно тъмна кожа
	🤞🏿;стискане на палци: тъмна кожа;късмет|палци|ръка|стискане|стискане на палци|стискане на палци: тъмна кожа|тъмна кожа
🫰;ръка с преплетени палец и показалец;любов|пари|ръка с преплетени палец и показалец|скъпо|сърце|щракване
	🫰🏻;ръка с преплетени палец и показалец: светла кожа;любов|пари|ръка с преплетени палец и показалец|ръка с преплетени палец и показалец: светла кожа|светла кожа|скъпо|сърце|щракване
	🫰🏼;ръка с преплетени палец и показалец: средно светла кожа;любов|пари|ръка с преплетени палец и показалец|ръка с преплетени палец и показалец: средно светла кожа|скъпо|средно светла кожа|сърце|щракване
	🫰🏽;ръка с преплетени палец и показалец: средна на цвят кожа;любов|пари|ръка с преплетени палец и показалец|ръка с преплетени палец и показалец: средна на цвят кожа|скъпо|средна на цвят кожа|сърце|щракване
	🫰🏾;ръка с преплетени палец и показалец: средно тъмна кожа;любов|пари|ръка с преплетени палец и показалец|ръка с преплетени палец и показалец: средно тъмна кожа|скъпо|средно тъмна кожа|сърце|щракване
	🫰🏿;ръка с преплетени палец и показалец: тъмна кожа;любов|пари|ръка с преплетени палец и показалец|ръка с преплетени палец и показалец: тъмна кожа|скъпо|сърце|тъмна кожа|щракване
🤟;жест „обичам те“;жест „обичам те“|обичам те|ръка
