# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ပြုံးဖြဲဖြဲ မျက်နှာ;ပြုံးဖြဲဖြဲ|မျက်နှာ
🥰;အသည်းပုံ ၃ ခုနှင့် အပြုံးမျက်နှာ;တန်းတန်းစွဲ|နှလုံး|မြတ်နိုးသည်|မေတ္တာရှိသည်|အသည်းပုံ ၃ ခုနှင့် အပြုံးမျက်နှာ
😍;နှလုံးပုံစံ မျက်လုံးများနှင့် အပြုံးမျက်နှာ;နှလုံးပုံစံ မျက်လုံးများနှင့် အပြုံးမျက်နှာ|မျက်နှာ|မျက်လုံး|အချစ်|အပြုံး
🤩;ကြယ်ပွင့်လေးနဲ့ မျက်နှာ;ကြယ်ပွင့်|ကြယ်ပွင့်မျက်လုံးများဖြင့် မျက်နှာ|ကြယ်ပွင့်လေးနဲ့ မျက်နှာ|စိတ်လှုပ်ရှား|ပြုံး|ပြုံးဖြဲဖြဲ|မျက်နှာ|မျက်လုံးများ|ဝိုး
😘;အနမ်းကို ပို့ပေးနေသည့် မျက်နှာ;မျက်နှာ|အနမ်း|အနမ်းကို ပို့ပေးနေသည့် မျက်နှာ
😗;နမ်းနေသည့် မျက်နှာ;နမ်းနေသည့် မျက်နှာ|မျက်နှာ|အနမ်း
☺️;ပြုံးနေသေည့် မျက်နှာ;ပျော်|ပြုံးနေသေည့် မျက်နှာ|မျက်နှာ|သက်သောင့်သက်သာ ရှိခြင်း|အပြုံး|အပြုံးမျက်နှာ
😚;မျက်စိမှိတ်ထားကာ နမ်းနေသည့် မျက်နှာ;မျက်စိ|မျက်စိမှိတ်ထားကာ နမ်းနေသည့် မျက်နှာ|မျက်နှာ|အနမ်း
😙;အပြုံးမျက်လုံးများနှင့် နမ်းနေသည့် မျက်နှာ;မျက်စိ|မျက်နှာ|အနမ်း|အပြုံး|အပြုံးမျက်လုံးများနှင့် နမ်းနေသည့် မျက်နှာ
🥲;အငိုမျက်လုံး အပြုံးမျက်နှာ;ကျေးဇူးတင်သော|ဂုဏ်ယူသော|စိတ်ထိခိုက်|စိတ်သက်သာ|မျက်ရည်|အငိုမျက်လုံး အပြုံးမျက်နှာ|အပြုံး
😋;အစားအရသာခံနေသည့်မျက်နှာ;ဆာလောင်သည်|တစိမ့်စိမ့် အစားအရသာခံခြင်း|မျက်နှာ|အစားအရသာခံနေသည့် မျက်နှာ|အစားအရသာခံနေသည့်မျက်နှာ|အစားအသောက်|အပြုံး|အရသာရှိခြင်း
😛;လျှာထုတ်ထားသည့် မျက်နှာ;မျက်နှာ|လျှာ|လျှာထုတ်ထားသည့် မျက်နှာ
😜;လျှာထုတ်ပြီး မျက်လုံးတစ်ဖက် မှိတ်ပြသည့် မျက်နှာ;ပြက်လုံး|ပါတီ|မျက်စပစ်|မျက်နှာ|မျက်လုံး|လျှာ|လျှာထုတ်ထားပြီး မျက်လုံးတစ်ဖက် မှိတ်ပြသည့် မျက်နှာ|ဟာသ
🤪;ရူးနှမ်းနှမ်းမျက်နှာ;ပြောင်ချော်ချော်လုပ်ခြင်း|မျက်စိ|မျက်နှာ|မျက်လုံး|ရူးနှမ်းနှမ်း မျက်နှာ
😝;မျက်လုံးများပိတ်ပြီး လျှာထုတ်ပြသည့် မျက်နှာ;ဆိုးရွား|မျက်နှာ|မျက်လုံး|မျက်လုံးများပိတ်ပြီး လျှာထုတ်ပြသည့် မျက်နှာ|လျှာ
🤑;​ငွေပါးစပ် မျက်နှာ;ငွေ|ငွေပါးစပ်|ငွေရှင်းပြီး|ပါးစပ်|မျက်နှာ
🤗;ပွေ့ဖက်နေသည့် မျက်နှာ;ပြုံးနေသည်|ပွေ့ဖက်ခြင်း|ပွေ့ဖက်နေသည်|မျက်နှာ|လက်
🤭;ပါးစပ်ကို လက်နဲ့ပိတ်တဲ့ မျက်နှာ;စဥ်းစားရကြပ်သည်|ပါးစပ်ကို လက်နဲ့ပိတ်တဲ့ မျက်နှာ
🫢;မျက်လုံးဖွင့်ထားပြီး ပါးစပ်ကို လက်နှင့်ကာထားပုံ;ကြောက်ရွံ့|မယုံကြည်|မျက်လုံးဖွင့်ထားပြီး ပါးစပ်ကို လက်နှင့်ကာထားပုံ|အရှက်ရ|အံ့အားသင့်|အံ့ဩ
🫣;ချောင်းကြည့်နေသည့် မျက်နှာ;ချောင်းကြည့်|ချောင်းကြည့်နေသည့် မျက်နှာ|စိုက်ကြည့်|မျက်နှာမလွှဲနိုင်
🤫;ရှုးတိုးတိုးရုပ်နဲ့ မျက်နှာ;တိတ်တိတ်နေခိုင်းနေသည့် မျက်နှာ|တိတ်တိတ်နေပါ|ရှုးတိုးတိုးရုပ်နဲ့ မျက်နှာ|ရှူးတိုးတိုး
🤔;စဥ်းစားနေပုံ မျက်နှာ;စဉ်းစားနေပုံ|စဉ်းစားနေပုံမျက်နှာ|စဥ်းစားနေပုံ မျက်နှာ|မျက်နှာ
🫡;အလေးပြုနေသည့် မျက်နှာ;[ok]|[yes]|စစ်သား|နေပူ|အလေးပြု|အလေးပြုနေသည့် မျက်နှာ
🤐;စကားမပြောဘဲ ပါးစပ်ပိတ်ထားသည့် မျက်နှာ;စကားမပြောဘဲ ပါးစပ်ပိတ်ထားသည့် မျက်နှာ|ပါးစပ်|ပါးစပ်ပိတ်|မျက်နှာ
🤨;မျက်ခုံးတွန့် မျက်နှာ;မျက်ခုံးတွန့် မျက်နှာ|သံသယမကင်းတဲ့ မျက်နှာ
😐;မျက်နှာသေ;ဘက်မလိုက်|မျက်နှာ|မျက်နှာသေ
😑;ခံစားမှုမဲ့ မျက်နှာ;ခံစားမှုမဲ့ မျက်နှာ|မျက်နှာ|အသက်မပါ
😶;ပါးစပ်မပါသော မျက်နှာ;ငြိမ်သက်ခြင်း|တိတ်ဆိတ်ခြင်း|ပါးစပ်|ပါးစပ်မပါသော မျက်နှာ|မျက်နှာ
🫥;အစက်ချဆွဲထားသည့် မျက်နှာ;စိတ်ဓာတ်ကျ|တစ်ကိုယ်တော်သမား|ပျောက်ကွယ်ခြင်း|ပုန်းကွယ်|မမြင်ရခြင်း|အစက်ချဆွဲထားသည့် မျက်နှာ
😶‍🌫️;တိမ်ထဲက မျက်နှာ;တိမ်ထဲက မျက်နှာ|တိမ်ထဲက ဦးခေါင်း|မြူခိုးထဲက မျက်နှာ|မေ့တတ်သော
😏;လှောင်ပြုံးမျက်နှာ;မျက်နှာ|လှောင်ပြုံးမျက်နှာ|လှောင်ပြောင်
😒;စိတ်အလိုမကျသည့် မျက်နှာ;စိတ်အလိုမကျ|စိတ်အလိုမကျသည့် မျက်နှာ|မပျော်ရွှင်|မျက်နှာ
🙄;စိတ်မရှည်သည့်ဟန်ပြ မျက်လုံးများ;စိတ်မရှည်သည့်ဟန်ပြ မျက်လုံးများ|ပျင်းစရာကောင်းသောအကြောင်းအရာကြောင့် ဖြစ်ပေါ်လာသောမျက်နှာ|မျက်နှာ|မျက်လုံး
😬;ရှုံ့မဲ့နေသော မျက်နှာ;မျက်နှာ|မျက်နှာရှုံ့ခြင်း|ရှုံ့မဲ့နေသော မျက်နှာ
😮‍💨;သက်ပြင်းချ မျက်နှာ;ညည်းခြင်း|တီးတိုးပြောခြင်း|ပင့်သက်ရှိုက်ခြင်း|မျက်နှာ|မီးခိုး|ရှူထုတ်ခြင်း|လေချွန်ခြင်း|သက်ပြင်းချ မျက်နှာ|ဟင်းချခြင်း
🤥;လူလိမ်ရုပ်;ရုပ်|လိမ်လည်|လူလိမ်ရုပ်
🫨;ခေါင်းရမ်းနေသည့် မျက်နှာ;ခါယမ်း|ငလျင်|တွေဝေခြင်း|မျက်နှာ|ရူးသွပ်|ဝိုး|အထိတ်တလန့်|အံ့အားသင့်
🙂‍↔️;ဘယ်ညာ ခါရမ်းနေသောခေါင်း;ဘယ်ညာ ခါရမ်းနေသောခေါင်း|မဟုတ်၊ ခါရမ်း
🙂‍↕️;အထက်အောက် လှုပ်ခါနေသောခေါင်း;ခေါင်းညိတ်|ဟုတ်|အထက်အောက် လှုပ်ခါနေသောခေါင်း
😌;စိတ်သက်သာရာရသည့် မျက်နှာ;စိတ်သက်သာရာရ|စိတ်သက်သာရာရသည့် မျက်နှာ|မျက်နှာ
😔;စဉ်းစားငိုင်တွေသည့် မျက်နှာ;ငိုင်တိုင်တိုင်|စဉ်းစား|စဉ်းစားငိုင်တွေသည့် မျက်နှာ|မျက်နှာ
😪;အိပ်ငိုက်သည့်မျက်နှာ;မျက်နှာ|အိပ်ငိုက်|အိပ်ငိုက်သည့်မျက်နှာ
🤤;သွားရည်ကျနေသည့်ရုပ်;ရုပ်|သွားရည်ကျ|သွားရည်ကျနေသည့်ရုပ်
😴;အိပ်နေသည့်မျက်နှာ;မျက်နှာ|ဟောက်သံ|အိပ်|အိပ်နေသည့်မျက်နှာ
🫩;အောက်မျက်ခွံ မို့နေသော မျက်နှာ;ပင်ပန်း|အားကုန်နေသော|အိပ်ချင်|အောက်မျက်ခွံ မို့နေသော မျက်နှာ
😷;ကျန်းမာရေး မျက်နှာဖုံးနှင့် မျက်နှာ;ကျန်းမာရေး မျက်နှာဖုံးနှင့် မျက်နှာ|ဆရာဝန်|ဆေးရုံသုံးမျက်နှာဖုံးတပ် မျက်နှာ|ဖျားနာခြင်း|မျက်နှာ|မျက်နှာဖုံး|အအေးမိခြင်း
🤒;သာမိုမီတာနှင့် မျက်နှာ;ပြဒါးတိုင်|ပြဒါးတိုင်နှင့် မျက်နှာ|ဖျားနာခြင်း|မျက်နှာ|သာမိုမီတာနှင့် မျက်နှာ
🤕;ပတ်တီးနှင့် မျက်နှာ;ထိခိုက်ခြင်း|နာကျင်ခြင်း|ပတ်တီး|ပတ်တီးနှင့် မျက်နှာ|မျက်နှာ|ဦးခေါင်းပတ်တီးနှင့် မျက်နှာ
🤢;အော်ဂလီဆန်သည့်ရုပ်;ရုပ်|အန်သည်|အောက်ဂလီဆန်သည်|အော်ဂလီဆန်သည့်ရုပ်
🤮;အန်ထွက်သည့် မျက်နှာ;ဖျားနာခြင်း|အန်ထွက်သည့် မျက်နှာ|အန်နေသည့် မျက်နှာ|အန်သည်
🤧;နှာချေသည့်ရုပ်;ဆိတ်ဖွား|နှာချေသည်|နှာချေသည့်ရုပ်|ရုပ်
🥵;ဒေါသ မျက်နှာ;ဇောချွေးပြန်နေသော|ဒေါသ မျက်နှာ|ပူသည်|ရှက်သွေးဖြန်း မျက်နှာ|အပူလျှပ်ခြင်း|အဖျားတက်ခြင်း
🥶;ရေခဲ မျက်နှာ;နှင်းကိုက်နာ|ပြာနှမ်းနေသော မျက်နှာ|ရေခဲ မျက်နှာ|ရေခဲပန်းဆွဲ|အေးခြင်း|အေးခဲခြင်း
🥴;ကတုန်ကယင် မျက်နှာ;ကတုန်ကယင် မျက်နှာ|ထွေနေသော|ပါးစပ်ရွဲ့ခြင်း|မူးဝေခြင်း|ရွဲနေသော မျက်လုံး|အရက်မူးခြင်း
😵;မူးဝေနေသော မျက်နှာ;မျက်နှာ|မူးဝေနေသော မျက်နှာ|သတိလစ် မျက်နှာ|သေဆုံးခြင်း
😵‍💫;ချာလပတ်လည်နေသည့်မျက်လုံးနှင့် မျက်နှာ;ချာလပတ်လည်ခြင်း|ချာလပတ်လည်နေသည့်မျက်လုံးနှင့် မျက်နှာ|ဒုက္ခ|မျက်လုံး|မူးဝေသော|အိပ်မွေ့ချခြင်း
🤯;ဒေါသပေါက်ကွဲခေါင်း;စိတ်|စိတ်မထိန်းနိုင်ခြင်း|ထိတ်လန့်ခြင်း|ဒေါသပေါက်ကွဲခေါင်း|ဒေါသပေါက်ကွဲသည့် ဦးခေါင်း|ဦးခေါင်း
🤠;နွားကျောင်းသား ဦးထုပ် ဆောင်းထားသည့်ရုပ်;နွားကျောင်းသမ|နွားကျောင်းသား|နွားကျောင်းသား ဦးထုပ် ဆောင်းထားသည့်ရုပ်|မျက်နှာ|ဦးထုတ်
🥳;ပါတီပွဲတက် မျက်နှာ;ပါတီ|ပါတီပွဲတက် မျက်နှာ|အောင်ပွဲခံခြင်း|ဦးချို|ဦးထုပ်
🥸;ဟန်ဆောင်မျက်နှာ;နှာခေါင်း|မျက်နှာ|မျက်မှန်|ရုပ်ဖျက်ခြင်း|ရုပ်ဖျက်ထားသော မျက်နှာ|ဟန်ဆောင်မျက်နှာ
😎;နေကာမျက်မှန်ဖြင့် အပြုံးမျက်နှာ;တောက်ပခြင်း|နေ|နေကာမျက်မှန်ဖြင့် အပြုံးမျက်နှာ|မျက်နှာ
🤓;တစ်စုံတစ်ရာကို ရူးသွပ်သူ၏ မျက်နှာ;တစ်စုံတစ်ရာကို ရူးသွပ်သူ၏ မျက်နှာ|ပညာရှင်|မျက်နှာ|ရူးသွပ်သူ
🧐;တစ်ဖက်တည်းပါတဲ့ မျက်မှန်နှင့် မျက်နှာ;တစ်ဖက်တည်းပါတဲ့ မျက်မှန်နှင့် မျက်နှာ|လှောင်နေသည့် မျက်နှာ
😕;ဇဝေဇဝါဖြစ်သည့် မျက်နှာ;ဇဝေဇဝါဖြစ်|ဇဝေဇဝါဖြစ်သည့် မျက်နှာ|မျက်နှာ
🫤;ပါးစပ် မဲ့ထားသည့် မျက်နှာ;စိတ်ပျက်လက်ပျက်|ပါးစပ် မဲ့ထားသည့် မျက်နှာ|မယုံကြည်|မသေချာ
😟;စိတ်ပူနေသော မျက်နှာ;စိတ်ပူနေသော မျက်နှာ|ပူပန်နေသည့် မျက်နှာ|မျက်နှာ
🙁;အနည်းငယ် မျက်မှောင်ကြုတ်ထားသည့် မျက်နှာ;မျက်နှာ|ဝမ်းနည်း|အနည်းငယ် မျက်မှောင်ကြုတ်ထားသည့် မျက်နှာ|အနည်းငယ်ဝမ်းနည်းသည့် မျက်နှာ
☹️;မျက်မှောင်ကြုတ်ထားသည့် မျက်နှာ;မျက်နှာ|မျက်မှောင်ကြုတ်ထားသည့် မျက်နှာ|ဝမ်းနည်း|ဝမ်းနည်းကြေကွဲသည့် မျက်နှာ
😮;ပါးစပ်အဟောင်းသားနှင့် မျက်နှာ;ပါးစပ်|ပါးစပ်အဟောင်းသားနှင့် မျက်နှာ|မျက်နှာ|သနား
😯;အံ့ဩသည့်မျက်နှာ;မျက်နှာ|မှင်သက်|အံ့ဩခြင်း|အံ့ဩသည့် မျက်နှာ|အံ့ဩသည့်မျက်နှာ
😲;အံ့အားသင့်နေသော မျက်နှာ;ကြက်သေသေ|မျက်နှာ|လုံးဝ|အံ့အားသင့်ခြင်း|အံ့အားသင့်နေသော မျက်နှာ
😳;အားမာန်ပြည့်နေသော မျက်နှာ;မျက်နှာ|အားမာန်|အားမာန်ပြည့်နေသော မျက်နှာ|အားမာန်အပြည့်နှင့် မျက်နှာ
🫪;ရုပ်ပျက်ဆင်းပျက် မျက်နှာ;စိုးရိမ်|တုန်လှုပ်|ထိတ်လန့်|ထိရှလွယ်|ပူပန်|အံ့အားသင့်
🥺;တောင်းပန်သော မျက်နှာ;ခွေးပေါက်အသွင် ချစ်စဖွယ် မျက်လုံး|တောင်းပန်ခြင်း|တောင်းပန်သော မျက်နှာ|သက်ညှာခြင်း
🥹;မျက်ရည်ထိန်းထားသည့် မျက်နှာ;ဂုဏ်ယူ|ငိုယို|ဒေါသထွက်|မျက်ရည်ထိန်းထားသည့် မျက်နှာ|ဝမ်းနည်း
😦;မျက်မှောင်ကြုတ် ပါးစပ်ဟထားသည့် မျက်နှာ;ပါးစပ်|ပါးစပ်ဟပြီး မျက်မှောင်ကြုတ်ထားသော မျက်နှာ|မျက်နှာ|မျက်မှောင်ကြုတ်ခြင်း|မျက်မှောင်ကြုတ်နေကာ ပါးစပ်ဟထားသည့် မျက်နှာ|ဟနေသည်
😧;မချိတင်ကဲ မျက်နှာ;မချိတင်ကဲ မျက်နှာ|မျက်နှာ
😨;စိုးရိမ်နေသော မျက်နှာ;ကြောက်ရွံ့ခြင်း|ကြောက်ရွံ့တုန်လှုပ်ခြင်း|စိုးရိမ်နေသော မျက်နှာ|မျက်နှာ
😰;ပါးစပ်ဟနေကာ ဇောချွေးပြန်နေသော မျက်နှာ;ကမန်းကတန်းလုပ်ခြင်း|ချွေး|စိုးရိမ်ပြီး ဇောချွေးပြန်နေသည့် မျက်နှာ|ပြာလောင်ခတ်ခြင်း|ပါးစပ်ဟနေကာ ဇောချွေးပြန်နေသော မျက်နှာ|မျက်နှာ|အပြာရောင်
😥;ဝမ်းနည်းသော်လည်း စိတ်အေးရသည့် မျက်နှာ;မျက်နှာ|ဝမ်းနည်း|ဝမ်းနည်းသော်လည်း စိတ်သက်သာရာရသည့် မျက်နှာ|ဝမ်းနည်းသော်လည်း စိတ်အေးရသည့် မျက်နှာ|အပူလုံးကျ
😢;ငိုနေသော မျက်နှာ;ငိုနေခြင်း|ငိုနေသည့် မျက်နှာ|ငိုနေသော မျက်နှာ|မျက်နှာ|မျက်ရည်|ဝမ်းနည်းခြင်း
😭;ကျယ်လောင်စွာ ငိုနေသော မျက်နှာ;ကျယ်လောင်စွာ ငိုနေသော မျက်နှာ|ကျယ်လောင်စွာငိုနေသည့် မျက်နှာ|ငိုနေခြင်း|မျက်နှာ|မျက်ရည်|ဝမ်းနည်းခြင်း
😱;ကြောက်လန့်စွာ အော်နေသော မျက်နှာ;ကြောက်ရွံ့ခြင်း|ကြောက်လန့်စွာ အော်နေသော မျက်နှာ|ကြောက်လန့်စွာအော်နေသည့် မျက်နှာ|ထိတ်လန့်ခြင်း|မျက်နှာ|အော်ဟစ်ခြင်း
😖;မွှန်ထူသွားသည့် မျက်နှာ;မျက်နှာ|မွှန်ထူ|မွှန်ထူသွားသည့် မျက်နှာ
😣;အကူအညီမဲ့သည့် မျက်နှာ;မျက်နှာ|အကူအညီမဲ့|အကူအညီမဲ့သည့် မျက်နှာ
😞;စိတ်ပျက်နေသော မျက်နှာ;စိတ်ပျက်နေသည့် မျက်နှာ|စိတ်ပျက်နေသော မျက်နှာ|မျက်နှာ
😓;ချွေးစေးပြန်သည့်မျက်နှာ;ချွေးစေးပြန်|ချွေးစေးပြန်သည့်မျက်နှာ|မျက်နှာ
😩;ငြီးငွေ့နေသော မျက်နှာ;ငြီးငွေ့နေသည့် မျက်နှာ|ငြီးငွေ့နေသော မျက်နှာ|ပင်ပန်းနေသည့် မျက်နှာ|မျက်နှာ
😫;ပင်ပန်းသည့်မျက်နှာ;ပင်ပန်း|ပင်ပန်းသည့်မျက်နှာ|မျက်နှာ
🥱;သန်းဝေနေသည့် မျက်နှာ;ငြီးငွေ့သည်|ပင်ပန်းသည်|သန်းဝေနေသည့် မျက်နှာ|သန်းဝေသည်
😤;နှာခေါင်းမှ အငွေ့ထွက်နေသော မျက်နှာ;နှာခေါင်းမှ အငွေ့ထွက်နေသော မျက်နှာ|နှာမှုတ်နေသည့် မျက်နှာ|နိုင်ပြီ|မျက်နှာ|အောင်ပြီ
😡;စူတူတူ မျက်နှာ;စိတ်ဆိုးခြင်း|စိတ်ဆိုးမာန်ဆိုး|စူတူတူ မျက်နှာ|နီမြန်း|ပေါက်ကွဲ|မျက်နှာ
😠;ဒေါသထွက်နေသော မျက်နှာ;စိတ်ဆိုးခြင်း|ဒေါသထွက်နေသော|မျက်နှာ
🤬;ပါးစပ်သင်္ကေတနဲ့ မျက်နှာ;ပါးစပ်သင်္ကေတနဲ့ မျက်နှာ|သစ္စာဆိုတဲ့ မျက်နှာ
😈;ဦးချိုနှင့် ပြုံးနေသော မျက်နှာ;စိတ်ကူးယဉ်|ဒဏ္ဍာရီ ပုံပြင်|မျက်နှာ|အပြုံး|ဦးချို|ဦးချိုနှင့် ပြုံးနေသော မျက်နှာ|ဦးချိုပါ ပြုံးနေသည့်မျက်နှာ
👿;ဆိုးပေ;စိတ်ကူးယဉ်|စိတ်ဆိုးနေသည့် ဦးချိုပါ မျက်နှာ|ဆိုးပေ|မကောင်းဆိုးဝါး|မျက်နှာ|မှင်စာ
💀;ဦးခေါင်းခွံ;ဒဏ္ဍာရီ ပုံပြင်|ဘီလူး|မျက်နှာ|မရဏ|ဦးခေါင်းခွံ
☠️;ဦးခေါင်းခွံနှင့် အရိုးကြက်ခြေခတ်ပုံ;ဘီလူး|မျက်နှာ|မရဏ|ဦးခေါင်းခွံ|ဦးခေါင်းခွံနှင့် အရိုးကြက်ခြေခတ်ပုံ
💩;ချေးပုံ;ချေးပုံ|မကောင်းဆိုးဝါး|မစင်ပုံ|မျက်နှာ
🤡;လူပြက်ရုပ်;ရုပ်|လူပြက်|လူပြက်ရုပ်
👹;ဘီလူး;စိတ်ကူးယဉ်|ဒဏ္ဍာရီပုံပြင်|ဘီလူး|မျက်နှာ|အကောင်
👺;နတ်ဆိုးကလေး;စိတ်ကူးယဉ်|ဒဏ္ဍာရီ ပုံပြင်|နတ်ဆိုးကလေး|ဘီလူး|မျက်မှာ|မှင်စာ|အကောင်
👻;တစ္ဆေ;စိတ်ကူးယဉ်|တစ္ဆေ|ဒဏ္ဍာရီ ပုံပြင်|ဘီလူး|မျက်နှာ|အကောင်
👽;ဂြိုဟ်သား;ဂြိုဟ်သား|စိတ်ကူးယဉ်|မျက်နှာ|ယူအက်ဖ်အို|အကောင်|အခြားကမ္ဘာနှင့် ဆိုင်သော
👾;မကောင်းဆိုးဝါး ဂြိုဟ်သား;ဂြိုဟ်|ဘီလူး|မကောင်းဆိုးဝါး ဂြိုဟ်သား|မျက်နှာ|ယူအက်ဖ်အို|အကောင်|အခြားကမ္ဘာနှင့် ဆိုင်သော
🤖;စက်ရုပ် မျက်နှာ;စက်ရုပ်|မကောင်းဆိုးဝါး|မျက်နှာ
😺;ပြုံးဖြဲဖြဲလုပ်နေသော ကြောင် မျက်နှာ;ကြောင်|ပြုံး|ပြုံးဖြဲဖြဲလုပ်နေသော|ပါးစပ်|ဖွင့်|မျက်နှာ
😸;အပြုံးမျက်လုံးနှင့် ပြုံးဖြဲဖြဲ ကြောင် မျက်နှာ;ကြောင်|ပြုံး|ပြုံးနေသော မျက်လုံးများနှင့် ပြုံးဖြဲဖြဲ ကြောင် မျက်နှာ|ပြုံးဖြဲဖြဲ|မျက်နှာ|မျက်လုံး
😹;ပျော်ရွှင်မှု မျက်ရည်များဖြင့် ကြောင် မျက်နှာ;ကြောင်|ပျော်ရွှင်မှု|ပျော်ရွှင်မှု မျက်ရည်များဖြင့် ကြောင် မျက်နှာ|မျက်နှာ|မျက်ရည်
😻;နှလုံးပုံမျက်လုံးဖြင့်ပြုံးနေသည့်ကြောင်;ကြောင်|နှလုံး|နှလုံးပုံမျက်လုံးဖြင့်ပြုံးနေသည့်ကြောင်|မျက်နှာ|မျက်လုံး|အချစ်|အပြုံး
😼;ခနဲ့တဲ့တဲ့ ပြုံးနေသော ကြောင် မျက်နှာ;ကြောင်|ခနဲ့တဲ့တဲ့|ခနဲ့တဲ့တဲ့ ပြုံးနေသော ကြောင် မျက်နှာ|မျက်နှာ|ရွဲ့တဲ့တဲ့|အပြုံး
😽;မျက်စိမှိတ်ထားကာ နမ်းနေသည့် ကြောင် မျက်နှာ;ကြောင်|မျက်စိမှိတ်ထားကာ နမ်းနေသည့် ကြောင် မျက်နှာ|မျက်နှာ|မျက်လုံး|အနမ်း
🙀;ငြီးငွေ့နေသော ကြောင် မျက်နှာ;ကြောင်|ငြီးငွေ့နေသော ကြောင် မျက်နှာ|ငြီးငွေ့သော|မျက်နှာ|အံ့အားသင့်|အိုး
😿;ငိုနေသော ကြောင် မျက်နှာ;ကြောင်|ငိုနေသော|မျက်နှာ|မျက်ရည်|ဝမ်းနည်း
😾;စိတ်တိုနေသည့် ကြောင်မျက်နှာ;ကြောင်|စိတ်တိုနေသည့် ကြောင်မျက်နှာ|နှုတ်ခမ်းစူခြင်း|မျက်နှာ
🙈;မကောင်းတာကို မမြင်လို;တားမြစ်ခြင်း|မကောင်းဆိုးဝါး|မကောင်းဆိုးဝါး မမြင်လိုဟန်ပြ မျောက်|မကောင်းတာကို မမြင်လို|မျက်နှာ|မျောက်|မြင်တွေ့ခြင်း
🙉;မကောင်းတာကို မကြားလို;ကြားသိခြင်း|တားမြစ်ခြင်း|မကောင်းဆိုးဝါး|မကောင်းဆိုးဝါး မကြားလိုဟန်ပြ မျောက်|မကောင်းတာကို မကြားလို|မျက်နှာ|မျောက်
