# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|दाँत दिखाता चेहरा|मजाकिया
😛;बाहर लटकी हुई जीभ वाला चेहरा;चेहरा|जीभ|जीभ बाहर|जीभ बाहर रहना|बाहर लटकी हुई जीभ वाला चेहरा|मीठा
😜;आँख मारते हुए और जीभ बाहर निकालता चेहरा;आँख मारते हुए और जीभ बाहर निकालता चेहरा|आंख मारते हुए और जीभ बाहर निकालता चेहरा|आंख मारते हुए जीभ बाहर|आंख मारना|चुटकुला|चेहरा|छेड़ना|जीभ बाहर|मजाक|मजाकिया
🤪;अजीबोगरीब मज़ाकिया चेहरा;अजीबोगरीब मज़ाकिया चेहरा|आँख|छोटा|बड़ा|बड़ी छोटी आँखे
😝;बंद आँखों के साथ जीभ बाहर निकालता चेहरा;आंखें बंद|चेहरा|जीभ बाहर|डरावना|बंद आंखों के साथ जीभ बाहर|बंद आँखों के साथ जीभ बाहर निकालता चेहरा|बंद आंखों के साथ जीभ बाहर निकालता चेहरा|यक
🤑;धनयुक्त चेहरा;चेहरा|धनयुक्त चेहरा
🤗;गले लगाता हुआ चेहरा;गले लगाता हुआ|गले लगाता हुआ चेहरा|गले लगाना|चेहरा|हाथ
🤭;मुँह पर हाथ रखे हुए चेहरा;अचरज|ओह|खिल्ली|खिसियाना|खुशी या हैरानी से चिल्लाना|चीख|दांत निकालना|मुंह पर हाथ|मुँह पर हाथ रखे हुए चेहरा|हू हू
🫢;खुली आँखें और मुँह पर हाथ वाला चेहरा;omg|अविश्वास|आश्चर्य|ओएमजी|ओह मॉय गॉड|खुली आँखें और मुँह पर हाथ वाला चेहरा|डरना|डरा हुआ|त्रास|विस्मय|शर्मिंदगी|सरप्राइज़|हैरान होना|हैरानी
🫣;उंगलियों के बीच से झांकता हुआ चेहरा;उँगलियों के बीच से झाँकता हुआ चेहरा|उंगलियों के बीच से झांकता हुआ चेहरा|एकटक देखना|छिपना|छिपा हुआ|झाँकना|झांकना|झिझकना|डरते हुए देखना|डरना|डरा हुआ|मोहित|शर्माना
🤫;शांत रहने का इशारा करता हुआ चेहरा;चुप|चुप रहें|चुपचाप|मौन|शांत|शांत रहने का इशारा करता हुआ चेहरा|शांत रहें|श्श्श
🤔;सोचता हुआ चेहरा;चेहरा|विचारमग्न चेहरा|सोचता हुआ चेहरा
🫡;सलामी देता चेहरा;गुड लक|ठीक|धूप|यस मैम|यस सर|सलाम|सलामी देता चेहरा|सैनिक|सैल्यूट|हाँ|हाँजी|हाँजी मैम|हाँजी सर
🤐;ज़िपर-मुँह वाला चेहरा;चेहरा|ज़िप से बंद किया चेहरा|ज़िपर-मुँह वाला चेहरा|मुंह
🤨;तनी हुई भौहों वाला चेहरा;अविश्वास|अविश्वासी|अस्वीकृति|आश्चर्य|क्या|चेहरे पर उठाए हुए भौं|तनी हुई भौहों वाला चेहरा|भौहें ताने हुआ चेहरा|शक्की|संदेह|संदेहवादी|हम्म|हल्के आश्चर्य
😐;भावहीन चेहरा;उदासीन|कोई टिप्पणी नहीं|चेहरा|भावहीन
😑;अभिव्यक्तिरहित चेहरा;अभिव्यक्तिरहित चेहरा|कोई टिप्पणी नहीं|चेहरा|भावशून्य
😶;बिना मुँह का चेहरा;चुपचाप|चेहरा|बिना मुँह का चेहरा|बिना मुंह का चेहरा|मुंह रहित|शांत
🫥;बिंदीयुक्त रेखांकित चेहरा;meh|wtv|अंतर्मुखी|अदृश्य|उदास|गायब|छिपा हुआ|छिपाना|जो भी हो|दुखी|निराश चेहरा|परेशान|बिंदीयुक्त रेखांकित चेहरा
😶‍🌫️;बादलों से ढँका चेहरा;अनमना|अन्यमनस्क|खयालों में गुम|खोया-खोया|धुएँ से घिरा चेहरा|बादलों से ढँका चेहरा
😏;बनावटी हँसी वाला चेहरा;कृत्रिम हंसी|चेहरा|बनावटी हंसी|बनावटी हँसी वाला चेहरा
😒;अप्रसन्न चेहरा;अप्रसन्न|चेहरा|नाखुश
🙄;ऊपर देखती आँखों वाला चेहरा;अरे यार|आँखें|आंखें|उफ़्फ़|ऊपर देखती आंखें|ऊपर देखती आँखों वाला चेहरा|ऊपर देखती आंखों वाला चेहरा|ओ हो|क्या है|चेहरा|जो भी है|मैं क्या करूँ|रहने दो
😬;मुंह बनाता चेहरा;खिसियाता चेहरा|चेहरा|दांत निकालना|दांत पीसना|मुस्कान|मुंह बनाता चेहरा|मुंह बनाना
😮‍💨;सांस छोड़ता हुआ चेहरा;खाँसी|गहरी साँस|थकान|थकावट|परेशान|बीमार|साँस|सांस छोड़ता हुआ चेहरा|साँस छोड़ना|स्माइली|स्मोक
🤥;झूठ बोलता चेहरा;चेहरा|झूठ|झूठ बोलता चेहरा|झूठा|पिनोकिओ
🫨;थरथराता चेहरा;कंपकपाना|काँपता चेहरा|काँपना|चेहरा|डरना|थरथराता चेहरा|थरथराना|धक्का|भूकंप|वाइब्रेट|सरप्राइज़
🙂‍↔️;इनकार का इशारा करता हुआ सिर;इनकार|इनकार का इशारा करता हुआ सिर|नहीं
🙂‍↕️;हामी भरने का इशारा करता हुआ सिर;हां|हामी भरना|हामी भरने का इशारा करता हुआ सिर
😌;चिंतामुक्त चेहरा;आराम|चिंतामुक्त|चेहरा|शांत
😔;निरुत्साहित चेहरा;उदास|चेहरा|निरुत्साहित|विचारमग्न
😪;उनींदा चेहरा;उदास|उनींदा|चेहरा|थका हुआ|नींद|नींद भरा चेहरा
🤤;लार टपकता चेहरा;चेहरा|लार टपकता चेहरा|लार टपकना
😴;सोया हुआ चेहरा;खर्राटे|गुड नाईट|चेहरा|झपकी|थकान|नींद|नींद आ रही है|नींद भरा चेहरा|रात|शुभरात्रि|सो रहा हूँ|सो रही हूँ|सोता हुआ चेहरा|सोया|सोया हुआ चेहरा
🫩;आँखों के नीचे सूजन वाला चेहरा;आँखें|ऊबा हुआ|चेहरा|थक के चूर हुआ|थका हुआ|देर होना|नींद|बैग
😷;चिकित्सा मास्क वाला चेहरा;चिकित्सा मास्क|चिकित्सा मास्क वाला चेहरा|चेहरा|ठंड|डॉक्टर|नकाब|मास्क वाला चेहरा
🤒;थर्मामीटर वाला चेहरा;चेहरा|थर्मामीटर|थर्मामीटर वाला चेहरा|बीमार
🤕;सिर पर पट्टी वाला चेहरा;चेहरा|चोट|दुर्घटनाग्रस्त|सिर पर पट्टी|सिर पर पट्टी वाला चेहरा
🤢;उल्टी करता चेहरा;उल्टी|उल्टी करता चेहरा|चेहरा
🤮;उल्टी करता हुआ चेहरा;उबकाई|उलटी|उल्टी|उल्टी करता हुआ चेहरा|उल्टी वाला चेहरा|बीमार
🤧;छींकता चेहरा;चेहरा|छींक|छींकता चेहरा|बीमार
🥵;गर्मी से लाल चेहरा;गरम|गरमी|गर्म|गर्मी|गर्मी से लाल चेहरा|चेहरा|जल|जीभ|तपता हुआ चेहरा|पसीना|बुखार|मर|मिर्च|लू|लू लगना
🥶;ठंड से जमा हुआ चेहरा;चेहरा|जम|जमा हुआ|ठंड|ठंड से जमा हुआ चेहरा|ठंड से सुन्न|ठंडा|दाँत|नीला-चेहरा|बर्फ|बर्फ़|मुँह|सरदी|सर्दी
🥴;चकराया हुआ चेहरा;अजीब|आँखें|चकराया हुआ चेहरा|चक्कर|चूर|टेढ़ा|नशा|नशे|पियक्कड|पी|बेहोश
😵;चक्कर खाता चेहरा;चक्कर|चक्कर खाता चेहरा|चेहरा|बीमार
😵‍💫;घुमावदार आँखों वाला चेहरा;उलझन|ओह|कंफ़्यूज़|घुमावदार आँखों वाला चेहरा|चक्कर|परेशान|वाह|स्माइली|हे भगवान|हैरान
🤯;विस्फोट करता हुआ सर;फटना|बिल्कुल नहीं|विस्फोट करता हुआ सर|हैरान|होश उड़ जाना
🤠;काउबॉय हैट के साथ चेहरा;काउगर्ल|काउबॉय|काउबॉय हैट के साथ चेहरा|चेहरा|टोपी
🥳;उत्सवी चेहरा;उत्सव|उत्सवी चेहरा|खुशखबरी|खुशी|चेहरा|जन्मदिन|जन्मदिन की बधाई|जन्मदिन की शुभकामनाएँ|जन्मदिन मुबारक|जलसा|जश्न|टोपी|पार्टी|बर्थ डे|बर्थडे|सेलिब्रेट|सेलिब्रेशन|हुर्रे|हैप्पी बर्थडे
🥸;छिपाया हुआ चेहरा;आईब्रो|खड़ूस|गुप्त|चश्मा|चेहरा|छद्म वेष|छिपाया हुआ चेहरा|जासूस|जासूसी|नाक|भेस|मूँछ|स्माइली
😎;धूप के चश्मे के साथ मुस्काता चेहरा;चश्मा|चश्मे के साथ मुस्काना|चेहरा|धूप के चश्मे के साथ मुस्काता चेहरा|धूप के चश्मे वाला मुस्काता चेहरा|मुस्काना|शानदार
🤓;मूर्खता के भाव वाला चेहरा;एक्सपर्ट|चालाक|चेहरा|बेवकूफ़|बेवकूफी के भाव वाला चेहरा|मूर्खता के भाव वाला चेहरा|शैतानी
🧐;एक आँख में चश्मा पहने चेहरा;अमीर|उबाऊ|एक आँख में चश्मा पहने चेहरा|चेहरे पर एक आँख का चश्मा|भरा हुआ|समृद्ध
😕;परेशान चेहरा;असमंजस में|उदास|चेहरा|परेशान चेहरा|भ्रमित चेहरा
🫤;तिरछे मुंह वाला चेहरा;meh|wtv|अनिश्चित|उदास|उलझन|ऊंह|कन्फ्यूज़्ड|जो भी हो|तिरछे मुंह वाला चेहरा|परेशान|शक|संदेह|हताश चेहरा
😟;चिंतित चेहरा;उदास|चिंतित|चेहरा|तनाव
🙁;कम क्रोधित चेहरा;उदास|कम क्रोधित चेहरा|चेहरा
☹️;अधिक क्रोधित चेहरा;अधिक क्रोधित चेहरा|उदास|चेहरा
😮;खुले मुँह वाला चेहरा;अचंभित|खुला मुंह|खुले मुँह वाला चेहरा|चेहरा|मुंह
😯;आश्चर्यचकित चेहरा;अचंभित|अवाक|आश्चर्यचकित|चेहरा|निस्तब्ध चेहरा
😲;पूरी तरह स्तंभित चेहरा;चेहरा|झटका|पूरी तरह स्तंभित|पूरी तरह स्तंभित चेहरा|भौंचक|भौंचका|हैरान चेहरा
😳;विस्मित चेहरा;अचंभित|उत्तेजित|चेहरा|विस्मय|विस्मित चेहरा
🫪;विकृत चेहरा;असुरक्षित|घबराहट|चकित|चिंता|फूला हुआ चेहरा|हैरान
🥺;करुण चेहरा;आँखें|करुण|चेहरा|दयनीय|दया|दुखी|बड़ी आँखें|मना|मनाना|मासूम
🥹;आंसू रोकता चेहरा;aw|aww|आंसू रोकता चेहरा|उदास|खुशी के आँसू|गर्व|गुस्सा|दुखी|धन्यवाद|प्लीज़|रोना|विरोध
😦;खुले मुँह वाला त्यौरी चढ़ाता चेहरा;खुला मुंह|खुले मुँह वाला त्यौरी चढ़ाता चेहरा|खुले मुंह से त्यौरी चढ़ाना|चेहरा|डरावना|त्यौरी|त्यौरी चढ़ाना
😧;दुखी चेहरा;चेहरा|डरावना|दुखमय|दुखी चेहरा|पीड़ा
😨;डरा हुआ चेहरा;चेहरा|डरा|डरा हुआ चेहरा|भयभीत
😰;ठंडे पसीने वाला नीला चेहरा;खुला मुंह|घबराया चेहरा|घबराया हुआ चेहरा|चेहरा|ठंडा पसीना|ठंडे पसीने वाला नीला चेहरा|भयभीत
😥;निराश लेकिन चिंतामुक्त चेहरा;आह!|उदास|चिंतामुक्त|चेहरा|निराश|निराश और चिंतामुक्त|निराश लेकिन चिंतामुक्त चेहरा
😢;रोता चेहरा;आंसू|उदास|चेहरा|दुखी|रोता चेहरा|रोता हुआ चेहरा|रोना
😭;ज़ोर–ज़ोर से रोता चेहरा;आंसू|उदास|चेहरा|ज़ोर–ज़ोर से रोता चेहरा|ज़ोर–ज़ोर से रोना|रोता हुआ|रोना
😱;डर से चिल्लाता चेहरा;चेहरा|डर|डर से चिल्लाता चेहरा|डर से चिल्लाना|डरा हुआ|डरा हुआ चेहरा|भयभीत
😖;हैरान चेहरा;उदास|चेहरा|भौंचक|हैरान चेहरा
😣;हठी चेहरा;एकाग्रता|चांटा मारो|चेहरा|मैंने चांटा मारा चेहरा|सिरदर्द|हठ|हठी चेहरा
😞;निराश चेहरा;उदास|चेहरा|निराश|निराशा|हताश
😓;ठंडे पसीने वाला उदास चेहरा;उदास|चेहरा|ठंड|ठंडा पसीना|ठंडे पसीने वाला उदास चेहरा|ठंडे पसीने वाला चेहरा|पसीना
😩;घबराया चेहरा;उदास|घबराया|चेहरा|थका हुआ
😫;थका चेहरा;उदास|चेहरा|थका चेहरा|थका हुआ
🥱;उबासी लेता चेहरा;उबासी|उबासी लेता चेहरा|ऊँघना|ऊबना|जम्हाई|थकान|नींद|नींद आना|सोना|सोने का समय
😤;विजयी मुद्रा वाला चेहरा;क्रोध|गुस्सा|चेहरा|जीत गया चेहरा|मैं जीता|विजय|विजयी मुद्रा|विजयी मुद्रा वाला चेहरा
😡;खीझ में लाल चेहरा;खीझ|खीझ में लाल चेहरा|गुस्सा|चेहरा|पागलपन|लाल चेहरा
😠;गुस्सैल चेहरा;गुस्सा|गुस्सैल चेहरा|चेहरा|पागल|पागलपन
🤬;मुँह पर निशान वाला चेहरा;अपशब्द|कसम|मदहोश|मुँह पर निशान वाला चेहरा|शपथ|शपथ - ग्रहण|सेंसर|सौगंध
😈;सींग वाली मुस्कान वाला चेहरा;चेहरा|मुस्कान|सींग|सींग वाली मुस्कान|सींग वाली मुस्कान वाला चेहरा
👿;शैतान चेहरा;चेहरा|पिशाच|राक्षस|शैतान|सींग वाला चेहरा
💀;खोपड़ी;खोपड़ी|चेहरा|परी कथा|शरीर
☠️;खतरे या मौत का निशान;खतरे का निशान|खतरे या मौत का निशान|खोपड़ी|मरा हुआ|मृत्यु
💩;मल का ढेर;गोबर|ढेर|पू|मल|मल का ढेर|विष्ठा
🤡;जोकर चेहरा;चेहरा|जोकर
👹;जापानी राक्षस;चेहरा|जापानी राक्षस|दैत्य|परी कथा|राक्षस
👺;जापानी पिशाच;चेहरा|जापानी पिशाच|टेंगू|दैत्य|परी कथा|पिशाच
👻;भूत;चेहरा|परी कथा|प्रेत|भूत|हेलोवीन
👽;परग्रह प्राणी;अंतरिक्ष|एलियन|चेहरा|परग्रह प्राणी|परी कथा|यूएफ़ओ
👾;परग्रह दैत्य;एलियन दैत्य|चेहरा|दैत्य|परग्रह दैत्य|परी कथा|यूएफ़ओ
🤖;रोबोट चेहरा;चेहरा|राक्षस|रोबोट
😺;मुस्काती आँखों वाली बिल्ली का चेहरा;खुला|खुले मुंह वाली मुस्काती बिल्ली का चेहरा|चेहरा|पशु|बिल्ली|बिल्ली का चेहरा|मुस्काती आँखों वाली बिल्ली का चेहरा|मुस्काती बिल्ली का चेहरा|मुंह
😸;दाँत दिखाती और मुस्काती आँखों वाली बिल्ली का चेहरा;खिसियाती बिल्ली वाला चेहरा|चेहरा|दाँत दिखाती और मुस्काती आँखों वाली बिल्ली का चेहरा|दांत निकालना|निकले दांत और मुस्काती आंखों वाली बिल्ली का चेहरा|पशु|बिल्ली|बिल्ली का चेहरा
😹;खुशी के आँसू वाली बिल्ली का चेहरा;खुशी के आंसू|खुशी के आँसू वाली बिल्ली का चेहरा|चेहरा|पशु|बिल्ली|बिल्ली का चेहरा
😻;दिल जैसी आँखों वाली मुस्काती बिल्ली;आंखें|चेहरा|दिल|दिल जैसी आँखों वाली मुस्काती बिल्ली|दिल जैसी आंखों वाली मुस्काती बिल्ली का चेहरा|पशु|प्यार|प्यार में|बिल्ली|बिल्ली का चेहरा|मुस्काती बिल्ली का चेहरा
😼;व्यंग्यपूर्ण मुस्कान वाली बिल्ली का चेहरा;चेहरा|टेढ़ा|पशु|बिल्ली|बिल्ली का चेहरा|बिल्ली का टेढ़ा चेहरा|व्यंग्यपूर्ण मुस्कान|व्यंग्यपूर्ण मुस्कान वाली बिल्ली का चेहरा
😽;आँखें बंद करके चूमती बिल्ली का चेहरा;आंखें|आँखें बंद करके चूमती बिल्ली का चेहरा|चुंबन|चूमती बिल्ली|चूमना|चेहरा|पशु|बंद|बिल्ली
🙀;आश्चर्यचकित बिल्ली का चेहरा;आश्चर्यचकित बिल्ली का चेहरा|चेहरा|पशु|बिल्ली|सच में आश्चर्यचकित|सुस्त बिल्ली का चेहरा|हे भगवान
😿;रोती बिल्ली का चेहरा;उदास|चेहरा|पशु|बिल्ली|बिल्ली का चेहरा|रोता हुआ|रोती बिल्ली का चेहरा|रोना
😾;खीझभरी बिल्ली का चेहरा;खीझना|खीझभरी बिल्ली का चेहरा|चेहरा|पशु|बिल्ली|बिल्ली का चेहरा
🙈;बुरा मत देखो, गांधी जी का बन्दर;गांधी जी का बन्दर|पशु|बंदर|बुरा मत देखो|बुरा मत देखो बंदर|बुरा मत देखो, गांधी जी का बन्दर
🙉;बुरा मत सुनो, गांधी जी का बन्दर;गांधी जी का बन्दर|पशु|बंदर|बुरा मत सुनो|बुरा मत सुनो बंदर|बुरा मत सुनो, गांधी जी का बन्दर
🙊;बुरा मत बोलो, गांधी जी का बन्दर;गांधी जी का बन्दर|पशु|बंदर|बुरा मत बोलो|बुरा मत बोलो बंदर|बुरा मत बोलो, गांधी जी का बन्दर
💌;प्रेमपत्र;दिल|दिल के चिह्न वाला पत्र|पत्र|प्यार|प्रेमपत्र
💘;दिल और तीर;तीर|दिल|दिल और तीर|प्यार|भावना
💝;रिबन वाला दिल;दिल|भावना|रिबन|रिबन वाला दिल|वैलेंटाइन
💖;रोमांचित दिल;चमकदार दिल|चमकना|प्यार|भावना|रोमांचित|रोमांचित दिल
💗;बढ़ता हुआ दिल;घबराया|दिल|प्यार|बढ़ता हुआ दिल|भावना|रोमांचित
💓;धड़कता दिल;दिल|धड़कता दिल|धड़कन|धड़कना|प्यार|भावना
💞;घूमते दिल;आकर्षक|कावाई|घूमते दिल|घूमना|दिल|प्यार|प्यारा|भावना
💕;दो दिल;दो दिल|प्यार|प्रेमी|भावना
💟;दिल की सजावट;दिल|दिल की सजावट
❣️;विस्मय चिह्न वाला दिल;गहना|भारी दिल विस्मयादिबोधक|विस्मय चिह्न वाला दिल|विस्मयादिबोधक
💔;टूटा दिल;उदास|टूटना|टूटा दिल|टूटा हुआ|दिल|भावना
❤️‍🔥;दिल जलना;जलना|जला हुआ दिल|दिल|प्यार
❤️‍🩹;दिल बहलाना;ठीक|ठीक होना|दिल की मरम्मत|दिल बहलाना|सुधरना|स्वस्थ
❤️;लाल दिल;दिल|लाल दिल
🩷;गुलाबी दिल;आई लव यू|गुलाबी|दिल|पसंद|प्यार|प्यारा
🧡;नारंगी दिल;नारंगी|नारंगी दिल
💛;पीला दिल;दिल|पीला|भावना
💚;हरा दिल;दिल|भावना|हरा
💙;नीला दिल;दिल|नीला|भावना
🩵;हल्का नीला दिल;143|टील|दिल|नीला दिल|साइऐन|हल्का नीला|हल्का नीला दिल
💜;बैंगनी दिल;दिल|बैंगनी|भावना
🤎;भूरा दिल;दिल|भूरा
🖤;काला दिल;काला|दिल|बुराई|शैतान
🩶;स्लेटी दिल;143|ग्रे|दिल|प्यार|रजत|स्लेट|स्लेटी
🤍;सफ़ेद दिल;दिल|शांति|सफ़ेद
💋;चुंबन का निशान;चुंबन का चिह्न|चुंबन का निशान|प्यार|होंठ
💯;100 अंक;100|अंक|पूरे अंक|सौ अंक
💢;गुस्से का चिह्न;कॉमिक|गुस्सा|गुस्से का चिह्न|गुस्सैल|पागल|भावना
🫯;घमासान झगड़े से बना धूल का गुब्बार;कुश्ती|झगड़ा|झड़प|बहस|मतभेद|वाद-विवाद|हंगामा
💥;टक्कर;कॉमिक|टक्कर|टक्कर का चिह्न|भावना|विस्फोट
💫;तारे दिखना;कॉमिक|चक्कर|चमक|तारे|तारे दिखना|भावना|सितारों
💦;पसीने की बूंदें;कॉमिक|पसीना|पसीने की बूंदें|पसीनेदार|भावना
💨;दौड़ना;कॉमिक|तेज़|दौड़|दौड़ना|भागना|भावना
🕳️;छिद्र;गड्ढा|छिद्र|छेद
💬;संवाद बुलबुला;कॉमिक|गुब्बारा|बुलबुला|बोलने का गुब्बारा|वाक बुलबुला|संवाद
👁️‍🗨️;स्पीच बबल में आंख;आंख|गवाह|स्पीच बबल|स्पीच बबल में आंख
🗨️;बायाँ स्पीच बबल;बायाँ स्पीच बबल|बोली|संवाद
🗯️;दायाँ गुस्से वाला बबल;गुब्बारा|गुस्सा|दायाँ गुस्से वाला बबल|पागल|बबल
💭;विचार बुलबुला;कॉमिक|गुब्बारे|बुलबुला|विचार|विचार गुब्बारा
💤;उनींदा;Zzz|उनींदा|कॉमिक|खर्राटे|खर्राटे भरना|गुड नाइट|थकान|नींद|नींद आ रही है|भावना|रात|शुभरात्रि|सोना|सोया

[people_body]
👋;हाथ हिलाना;अभी के लिए बाय|अलविदा|क्या आप हैं?|बाद में बात करते हैं|बाय|बाय-बाय|मैं जा रहा हूँ|मैं जा रही हूँ|हाथ|हिलाना|हैलो
	👋🏻;हाथ हिलाना: गोरी त्वचा;अभी के लिए बाय|अलविदा|क्या आप हैं?|गोरी त्वचा|बाद में बात करते हैं|बाय|बाय-बाय|मैं जा रहा हूँ|मैं जा रही हूँ|हाथ|हिलाना|हैलो
	👋🏼;हाथ हिलाना: हल्की गोरी त्वचा;अभी के लिए बाय|अलविदा|क्या आप हैं?|बाद में बात करते हैं|बाय|बाय-बाय|मैं जा रहा हूँ|मैं जा रही हूँ|हल्की गोरी त्वचा|हाथ|हिलाना|हैलो
	👋🏽;हाथ हिलाना: गेहुँआ त्वचा;अभी के लिए बाय|अलविदा|क्या आप हैं?|गेहुँआ त्वचा|बाद में बात करते हैं|बाय|बाय-बाय|मैं जा रहा हूँ|मैं जा रही हूँ|हाथ|हिलाना|हैलो
	👋🏾;हाथ हिलाना: हल्की साँवली त्वचा;अभी के लिए बाय|अलविदा|क्या आप हैं?|बाद में बात करते हैं|बाय|बाय-बाय|मैं जा रहा हूँ|मैं जा रही हूँ|हल्की साँवली त्वचा|हाथ|हिलाना|हैलो
	👋🏿;हाथ हिलाना: साँवली त्वचा;अभी के लिए बाय|अलविदा|क्या आप हैं?|बाद में बात करते हैं|बाय|बाय-बाय|मैं जा रहा हूँ|मैं जा रही हूँ|साँवली त्वचा|हाथ|हिलाना|हैलो
🤚;उठे हुए हाथ के पीछे का भाग;उठा|उठा हुआ|उठे हुए हाथ के पीछे का भाग|पिछला हाथ
	🤚🏻;उठे हुए हाथ के पीछे का भाग: गोरी त्वचा;उठा|उठा हुआ|उठे हुए हाथ के पीछे का भाग|गोरी त्वचा|पिछला हाथ
	🤚🏼;उठे हुए हाथ के पीछे का भाग: हल्की गोरी त्वचा;उठा|उठा हुआ|उठे हुए हाथ के पीछे का भाग|पिछला हाथ|हल्की गोरी त्वचा
