# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
😬;פרצוף חושף שיניים;חושף שיניים|מבוכה|מוטרד|פרצוף|שיניים|שיניים חשוקות
😮‍💨;פרצוף נושף;בלי אוויר|משתנק|משתעל|מתנשם|מתנשף|נושף|נחנק|פרצוף נושף|שיעול
🤥;פרצוף עם אף פינוקיו;אף ארוך|פינוקיו|שקר|שקרן
🫨;פרצוף רועד;מופתע|מטורף|פאניקה|פרצוף|רוטט|רועד|רטט|רעידות|רעידת אדמה
🙂‍↔️;מנענע ראש מצד לצד;לא|מנענע|מנענע ראש מצד לצד
🙂‍↕️;מנענע ראש מלמעלה למטה;כן|מנענע ראש מלמעלה למטה|נד
😌;פרצוף של אנחת רווחה;הקלה|מחייך|נחת|סיפוק|עיניים|עצומות|רגוע
😔;פרצוף מהורהר;מאוכזב|מהורהר|עיניים עצומות|עצוב|פרצוף
😪;פרצוף ישנוני;בוכה|ישנוני|מנוזל|מצונן|עצוב|פרצוף
🤤;פרצוף מזיל ריר;מזיל|מרייר|פרצוף|ריר
😴;פרצוף ישן;zzz|ישן|ישנה|לילה טוב|נוחר|עייף|פרצוף|שינה
🫩;פרצוף עם שקיות מתחת לעיניים;ישנוני|עייף|פרצוף|שקיות|תשוש
😷;פרצוף עם מסיכת מנתח;זיהום אוויר|חולה|מגיפה|מגפה|מנתח|מסיכה|עשן|קורונה
🤒;פרצוף עם מדחום;חולה|חום|מדחום|מדידת חום|פרצוף
🤕;פרצוף עם תחבושת ראש;חבול|כואב|פצוע|פציעה|פרצוף|תחבושת על הראש
🤢;פרצוף סובל מבחילה;איכסה|בחילה|הקאה|להקיא|מגעיל|פרצוף
🤮;פרצוף מקיא;בחילה|הקאה|להקיא|פרצוף מקיא
🤧;פרצוף מקנח אף;אף|אפצ׳י|חולה|מצונן|מקנח|מתעטש|פרצוף
🥵;מת מחום;חולה|מותש|מזיע|מכת חום|מת מחום|פרצוף אדום
🥶;למות מקור;למות מקור|מת מקור|פרצוף|קופא|קפוא|קר|קרח
🥴;שיכור;מבולבל|מסוחרר|מעוך|סחרחורת|פרצוף|שיכור
😵;פרצוף עם סחרחורת;מסוחרר|פרצוף|פרצוף עם סחרחורת
😵‍💫;פרצוף עם עיני ספירלה;בחילה|בלבול|בלבלה|בצרה|היפנוזה|חלחלה|מבולבל|מסוחרר|סחרחורת|פרצוף
🤯;ראש מתפוצץ;המום|פרצוף מתפוצץ|ראש מתפוצץ|שוק
🤠;פרצוף עם כובע בוקרים;בוקרים|כובע|פרצוף|קאובוי
🥳;חגיגה;חגיגה|יום הולדת|מזל טוב|מסיבה|פרצוף חוגג
🥸;פרצוף עם תחפושת;גבות|הסוואה|מסיכה|מצחיק|משקפיים|פרצוף|שפם|תחפושת
😎;פרצוף מחייך עם משקפי שמש;חיוך|מגניב|מחייך|משקפיים|פרצוף|שמח|שמש
🤓;פרצוף של חנון;אבו ארבע|חכם|חנון|מומחה|מחייך|משקפופר|משקפיים|פרצוף עם משקפיים
🧐;פרצוף עם מונוקל;כבד|משעמם|פרצוף|פרצוף עם מונוקל
😕;פרצוף מבולבל;לא יודע|מבולבל|מבלבל|סתם|עצוב|פרצוף
🫤;פרצוף מעקם את הפה;ככה ככה|לא בטוח|מאוכזב|מבולבל|מה|מתוסכל|ספקן
😟;פרצוף מודאג;לחוץ|מה יהיה|מודאג|מתוח|פרצוף
🙁;פרצוף עם מבט עצוב;באסה|מבט עצוב|עצוב|פרצוף
☹️;פרצוף עצוב;עצוב|פרצוף
😮;פרצוף עם פה פתוח;הפתעה|וואו|מופתע|פה|פרצוף
😯;פרצוף מופתע;המום|ואו|מה?|מופתע|פרצוף
😲;פרצוף נדהם;המום|נדהם|פה|פה פעור|פרצוף|פתוח
😳;פרצוף נדהם וסמוק;הלם|מסמיק|נדהם|עיניים|שוק|תדהמה
🫪;פרצוף מעוות;המום|חרדה|מופתע|נפוח|פאניקה|פגיע
🥺;מתחנן;בבקשה|למה|מתחנן|עיניים מתחננות|עצוב|פרצוף מתחנן|רחמים
🥹;פרצוף עם דמעות;בכי|גאווה|התנגדות|התרגשות|כעס|נחת|עצוב|פרצוף עם דמעות בעיניים|שמחה
😦;פרצוף עצוב עם פה פתוח;הלם|עצוב|פה|פרצוף|שוק
😧;פרצוף מיוסר;הלם|ואו|מטורף|מיוסר|מפוחד|פוחד|פרצוף
😨;פרצוף מפוחד;לחוץ|מפוחד|מפחד|פוחד|פרצוף
😰;פרצוף מפחד עם זיעה קרה;זיעה קרה|מפוחד|מפחד|פרצוף|פרצוף מפחד עם זיעה קרה
😥;פרצוף מאוכזב עם דמעה;דמעה|כמעט|מאוכזב|עצוב|פרצוף|פרצוף מאוכזב עם דמעה
😢;פרצוף בוכה;בוכה|דמעה|מבואס|מתגעגע|עצוב|פרצוף
😭;פרצוף בוכה בקול;בוכה|בקול|דמעות|פרצוף
😱;פרצוף צורח בפחד;אימה|בהלה|מונק|פחד|פרצוף|פרצוף צורח בפחד|צועק|צורח
😖;פרצוף מתוסכל;כועס|מתוסכל|עצבן|פרצוף
😣;פרצוף סובל;כאב|להתרכז|סובל|פרצוף
😞;פרצוף מאוכזב;באסה|מאוכזב|מבאס|עצוב|פרצוף
😓;פרצוף עם זיעה קרה;באסה|זיעה קרה|טיפה|מבואס|עצוב|פרצוף
😩;פרצוף מותש;באסה|בוכה|מבאס|מותש|עייף|עצוב|פרצוף
😫;פרצוף עייף;מפהק|עייף|עצוב|פרצוף
🥱;פרצוף מפהק;לילה טוב|לישון|עייף|עייפות|פיהוק|שעמום
😤;פרצוף עם קיטור יוצא מהאף;אף|זועם|כועס|פרצוף|קיטור
😡;פרצוף זועף;זועם|זועף|כועס|פרצוף
😠;פרצוף כועס;זועם|זועף|כועס|פרצוף
🤬;פרצוף עם סמלים על הפה;כועס|מעוצבן|מקלל|סמלים על הפה|קללות
😈;פרצוף מחייך עם קרניים;אגדות|חיוך מרושע|חיוך עם קרניים|פרצוף|קרניים|שד|שטן
👿;פרצוף כועס עם קרניים;זדוני|זועף|כועס|פרצוף|פרצוף כועס עם קרניים|קרניים|שטן
💀;גולגולת;גולגולת|מוות|מפחיד|פרצוף|שלד
☠️;סמל פיראטים;גולגולת|מוות|מסוכן|מפחיד|סמל פיראטים|שלד
💩;גוש קקי;גוש קקי|מגעיל|מסריח|צואה|קקי
🤡;פרצוף ליצן;ליצן|פרצוף
👹;מפלצת;אדום|יצור|מפחיד|מפלצת|עוג|פרצוף|קרניים
👺;גובלין;אדום|גובלין|יצור|מפחיד|מפלצת|פרצוף|קרניים
👻;רוח רפאים;יצור|לשון|מוות|מחייך|פרצוף|רוח רפאים
👽;חייזר;חוצן|חייזר|חלל|יצור|עב״מ|פרצוף
👾;מפלצת חייזרית;חוצן|חייזר|חלל|מפלצת חייזרית|משחק מחשב|עב״ם
🤖;רובוט;פרצוף|פרצוף של רובוט|רובוט
😺;חתול מחייך;חתול|מחייך|פה|פרצוף|פרצוף של חתול מחייך עם פה פתוח
😸;חתול מחייך עם עיניים מחייכות;חיוך גדול|חתול|מחייך|עיניים|פה|פרצוף
😹;חתול עם דמעות שמחה;דמעות|חתול|מחייך|מצחיק|פרצוף|קורע מצחוק|שמחה
😻;חתול מחייך עם עיניים בצורת לב;אהבה|חתול|לבבות|מחייך|עיניים|עיניים בצורת לב|פרצוף
😼;חתול עם חיוך עקום;זועם|חיוך עקום|חתול|פרצוף
😽;חתול מנשק;חתול|מנשק|עיניים סגורות|פרצוף|פרצוף של חתול מנשק עם עיניים סגורות
🙀;חתול פוחד;בעתה|חתול|מפחד|פחד|פרצוף
😿;חתול בוכה;בוכה|דמעה|חתול|עצוב|פרצוף
😾;חתול זועף;זועף|חתול|כועס|פרצוף|פרצוף של חתול זועף
🙈;לא ראיתי;אסור|לא ראיתי|מכסה עיניים|פרצוף|קוף
🙉;לא שמעתי;אסור|לא שמעתי|מכסה אוזניים|פרצוף|קוף
🙊;לא דיברתי;אסור|לא דיברתי|מכסה פה|פרצוף|קוף
💌;מכתב אהבה;אהבה|דואר|לב|מכתב|מכתב חתום בלב|רומנטיקה
💘;לב עם חץ;אהבה|ולנטיין|חץ|יום האהבה|לב|לב עם חץ|רומנטיקה
💝;לב עם סרט מתנה;ולנטיין|חג האהבה|ט״ו באב|לב|לב עם סרט מתנה|מתנה|סרט
💖;לב מנצנץ;אהבה|לב|מנצנץ
💗;לב גדל;אהבה|גדל|לב|מתרגש|מתרחב
💓;לב פועם;אהבה|לב|פועם|פעימות
💞;לבבות נעים במעגל;אהבה|לבבות|לבבות מסתובבים|מעגל
💕;שני לבבות;אהבה|אוהבת|לבבות|שני לבבות
💟;לב בריבוע ורוד;לב|לב בריבוע ורוד
❣️;סימן קריאה בצורת לב;אהבה|לב|סימן קריאה|סימן קריאה בצורת לב
💔;לב שבור;אכזבה|לב|שבור
❤️‍🔥;לב בלהבות;לב|לב בלהבות|עולה באש|שורף|תשוקה
❤️‍🩹;לב שמשתקם;בריא יותר|לב שמשתקם|מחלים|משתפר|נרפא
❤️;לב אדום;אדום|לב
🩷;לב ורוד;אהבה|אהבתי|ורוד|חמוד|לב|רגש
🧡;לב כתום;כתום|לב כתום
💛;לב צהוב;לב|צהוב
💚;לב ירוק;ירוק|לב
💙;לב כחול;כחול|לב
🩵;לב תכלת;אהבה|חמוד|ירוק-כחול|כחול בהיר|לב|לב תכלת|ציאן|רגש
💜;לב סגול;לב|סגול
🤎;לב חום;חום|לב
🖤;לב שחור;אפל|כישוף|לב|מאגיה|שחור|שחורה
🩶;לב אפור;אהבה|אפור|כסוף|לב|רגש
🤍;לב לבן;לב|לבן
💋;סימן נשיקה;אהבה|נשיקה|סימן נשיקה|שפתיים
💯;ציון 100;100|לגמרי|מבחן|מעולה|מצויין|ניקוד|ציון
💢;סמל כעס;כעס|סמל כעס|פיצוץ
🫯;ענן קרב;דיון|היאבקות|ויכוח|חילוקי דעות|מהומה|קטטה|קרב
💥;פיצוץ;בום|פיצוץ|פצצה
💫;כוכב נע במעגל;כוכב|כוכב במעגל|סחרחורת|קומיקס
💦;טיפות זיעה;זיעה|טיפה|טיפות|מים
💨;ענן בתנועה מהירה;מהר|ענן|ענן עשן|פלוץ|רוח|ריצה
🕳️;חור;בור|חור
💬;בועת דיבור;בועה|בועת דיבור|בלון|דו-שיח|דיאלוג|שיחה
👁️‍🗨️;עין בבועת דיבור;בועת דיבור|עד|עין|עין בבועת דיבור
🗨️;בועת דיבור משמאל;בועה|בועת דיבור משמאל|דו-שיח|דיאלוג|דיבור|ענן
🗯️;בועת דיבור כועס מימין;בועה|בועת דיבור כועס מימין|דו-שיח|דיאלוג|דיבור|כועס|ענן
💭;בועת מחשבה;בועה|בועת מחשבה|מחשבה|רעיון
💤;סימן נחירה;zzz|ישן|ישנה|לילה|לישון|נוחר|נחירה|נחירות|סימן נחירה|שינה

[people_body]
👋;יד מנופפת;ביי|היי|יד|כיף|להתראות|מנופפת|שלום
	👋🏻;יד מנופפת: גוון עור בהיר;ביי|גוון עור בהיר|היי|יד|כיף|להתראות|מנופפת|שלום
	👋🏼;יד מנופפת: גוון עור בהיר בינוני;ביי|גוון עור בהיר בינוני|היי|יד|כיף|להתראות|מנופפת|שלום
	👋🏽;יד מנופפת: גוון עור בינוני;ביי|גוון עור בינוני|היי|יד|כיף|להתראות|מנופפת|שלום
	👋🏾;יד מנופפת: גוון עור כהה בינוני;ביי|גוון עור כהה בינוני|היי|יד|כיף|להתראות|מנופפת|שלום
	👋🏿;יד מנופפת: גוון עור כהה;ביי|גוון עור כהה|היי|יד|כיף|להתראות|מנופפת|שלום
🤚;גב יד פרוש;אהלן|גב יד|גב יד פרוש|חמסה|כיף|כלפי מעלה|עצור|שלום
	🤚🏻;גב יד פרוש: גוון עור בהיר;אהלן|גב יד|גב יד פרוש|גוון עור בהיר|חמסה|כיף|כלפי מעלה|עצור|שלום
	🤚🏼;גב יד פרוש: גוון עור בהיר בינוני;אהלן|גב יד|גב יד פרוש|גוון עור בהיר בינוני|חמסה|כיף|כלפי מעלה|עצור|שלום
	🤚🏽;גב יד פרוש: גוון עור בינוני;אהלן|גב יד|גב יד פרוש|גוון עור בינוני|חמסה|כיף|כלפי מעלה|עצור|שלום
	🤚🏾;גב יד פרוש: גוון עור כהה בינוני;אהלן|גב יד|גב יד פרוש|גוון עור כהה בינוני|חמסה|כיף|כלפי מעלה|עצור|שלום
	🤚🏿;גב יד פרוש: גוון עור כהה;אהלן|גב יד|גב יד פרוש|גוון עור כהה|חמסה|כיף|כלפי מעלה|עצור|שלום
🖐️;כף יד פתוחה מורמת;חמסה|יד|כיף|כף יד פתוחה מורמת|מורמת|עצור|פתוחה
	🖐🏻;כף יד פתוחה מורמת: גוון עור בהיר;גוון עור בהיר|חמסה|יד|כיף|כף יד פתוחה מורמת|מורמת|עצור|פתוחה
	🖐🏼;כף יד פתוחה מורמת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|חמסה|יד|כיף|כף יד פתוחה מורמת|מורמת|עצור|פתוחה
	🖐🏽;כף יד פתוחה מורמת: גוון עור בינוני;גוון עור בינוני|חמסה|יד|כיף|כף יד פתוחה מורמת|מורמת|עצור|פתוחה
	🖐🏾;כף יד פתוחה מורמת: גוון עור כהה בינוני;גוון עור כהה בינוני|חמסה|יד|כיף|כף יד פתוחה מורמת|מורמת|עצור|פתוחה
	🖐🏿;כף יד פתוחה מורמת: גוון עור כהה;גוון עור כהה|חמסה|יד|כיף|כף יד פתוחה מורמת|מורמת|עצור|פתוחה
✋;כף יד מורמת;חמסה|יד|כיף|כף יד מורמת|מורמת|עצור
	✋🏻;כף יד מורמת: גוון עור בהיר;גוון עור בהיר|חמסה|יד|כיף|כף יד מורמת|מורמת|עצור
	✋🏼;כף יד מורמת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|חמסה|יד|כיף|כף יד מורמת|מורמת|עצור
	✋🏽;כף יד מורמת: גוון עור בינוני;גוון עור בינוני|חמסה|יד|כיף|כף יד מורמת|מורמת|עצור
	✋🏾;כף יד מורמת: גוון עור כהה בינוני;גוון עור כהה בינוני|חמסה|יד|כיף|כף יד מורמת|מורמת|עצור
	✋🏿;כף יד מורמת: גוון עור כהה;גוון עור כהה|חמסה|יד|כיף|כף יד מורמת|מורמת|עצור
🖖;הצדעה וולקנית;אצבעות|ברכת וולקנים|ברכת כהנים|וולקן|וולקנים|יד|ספוק
	🖖🏻;הצדעה וולקנית: גוון עור בהיר;אצבעות|ברכת וולקנים|ברכת כהנים|גוון עור בהיר|וולקן|וולקנים|יד|ספוק
	🖖🏼;הצדעה וולקנית: גוון עור בהיר בינוני;אצבעות|ברכת וולקנים|ברכת כהנים|גוון עור בהיר בינוני|וולקן|וולקנים|יד|ספוק
	🖖🏽;הצדעה וולקנית: גוון עור בינוני;אצבעות|ברכת וולקנים|ברכת כהנים|גוון עור בינוני|וולקן|וולקנים|יד|ספוק
	🖖🏾;הצדעה וולקנית: גוון עור כהה בינוני;אצבעות|ברכת וולקנים|ברכת כהנים|גוון עור כהה בינוני|וולקן|וולקנים|יד|ספוק
	🖖🏿;הצדעה וולקנית: גוון עור כהה;אצבעות|ברכת וולקנים|ברכת כהנים|גוון עור כהה|וולקן|וולקנים|יד|ספוק
🫱;יד פונה ימינה;יד|יד פונה ימינה|ימינה|לחיצת יד|נעים להכיר
	🫱🏻;יד פונה ימינה: גוון עור בהיר;גוון עור בהיר|יד|יד פונה ימינה|ימינה|לחיצת יד|נעים להכיר
	🫱🏼;יד פונה ימינה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|יד|יד פונה ימינה|ימינה|לחיצת יד|נעים להכיר
	🫱🏽;יד פונה ימינה: גוון עור בינוני;גוון עור בינוני|יד|יד פונה ימינה|ימינה|לחיצת יד|נעים להכיר
	🫱🏾;יד פונה ימינה: גוון עור כהה בינוני;גוון עור כהה בינוני|יד|יד פונה ימינה|ימינה|לחיצת יד|נעים להכיר
	🫱🏿;יד פונה ימינה: גוון עור כהה;גוון עור כהה|יד|יד פונה ימינה|ימינה|לחיצת יד|נעים להכיר
🫲;יד פונה שמאלה;יד|יד פונה שמאלה|לחיצת יד|נעים להכיר|שמאלה
	🫲🏻;יד פונה שמאלה: גוון עור בהיר;גוון עור בהיר|יד|יד פונה שמאלה|לחיצת יד|נעים להכיר|שמאלה
	🫲🏼;יד פונה שמאלה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|יד|יד פונה שמאלה|לחיצת יד|נעים להכיר|שמאלה
	🫲🏽;יד פונה שמאלה: גוון עור בינוני;גוון עור בינוני|יד|יד פונה שמאלה|לחיצת יד|נעים להכיר|שמאלה
	🫲🏾;יד פונה שמאלה: גוון עור כהה בינוני;גוון עור כהה בינוני|יד|יד פונה שמאלה|לחיצת יד|נעים להכיר|שמאלה
	🫲🏿;יד פונה שמאלה: גוון עור כהה;גוון עור כהה|יד|יד פונה שמאלה|לחיצת יד|נעים להכיר|שמאלה
🫳;כף יד פונה למטה;לא משנה|להפיל|לך מפה|עזרה|קישטה
	🫳🏻;כף יד פונה למטה: גוון עור בהיר;גוון עור בהיר|לא משנה|להפיל|לך מפה|עזרה|קישטה
	🫳🏼;כף יד פונה למטה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|לא משנה|להפיל|לך מפה|עזרה|קישטה
	🫳🏽;כף יד פונה למטה: גוון עור בינוני;גוון עור בינוני|לא משנה|להפיל|לך מפה|עזרה|קישטה
	🫳🏾;כף יד פונה למטה: גוון עור כהה בינוני;גוון עור כהה בינוני|לא משנה|להפיל|לך מפה|עזרה|קישטה
	🫳🏿;כף יד פונה למטה: גוון עור כהה;גוון עור כהה|לא משנה|להפיל|לך מפה|עזרה|קישטה
🫴;כף יד פונה למעלה;בוא הנה|בקשה|הושטת יד|הצעה|לתפוס|תפיסה
	🫴🏻;כף יד פונה למעלה: גוון עור בהיר;בוא הנה|בקשה|גוון עור בהיר|הושטת יד|הצעה|לתפוס|תפיסה
	🫴🏼;כף יד פונה למעלה: גוון עור בהיר בינוני;בוא הנה|בקשה|גוון עור בהיר בינוני|הושטת יד|הצעה|לתפוס|תפיסה
	🫴🏽;כף יד פונה למעלה: גוון עור בינוני;בוא הנה|בקשה|גוון עור בינוני|הושטת יד|הצעה|לתפוס|תפיסה
	🫴🏾;כף יד פונה למעלה: גוון עור כהה בינוני;בוא הנה|בקשה|גוון עור כהה בינוני|הושטת יד|הצעה|לתפוס|תפיסה
	🫴🏿;כף יד פונה למעלה: גוון עור כהה;בוא הנה|בקשה|גוון עור כהה|הושטת יד|הצעה|לתפוס|תפיסה
🫷;יד דוחפת שמאלה;דחיפה|חסימה|יד|כיף|לדחוף|לחכות|לך מפה|לסרב|סירוב|עד כאן|עצור
	🫷🏻;יד דוחפת שמאלה: גוון עור בהיר;גוון עור בהיר|דחיפה|חסימה|יד|כיף|לדחוף|לחכות|לך מפה|לסרב|סירוב|עד כאן|עצור
	🫷🏼;יד דוחפת שמאלה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|דחיפה|חסימה|יד|כיף|לדחוף|לחכות|לך מפה|לסרב|סירוב|עד כאן|עצור
	🫷🏽;יד דוחפת שמאלה: גוון עור בינוני;גוון עור בינוני|דחיפה|חסימה|יד|כיף|לדחוף|לחכות|לך מפה|לסרב|סירוב|עד כאן|עצור
	🫷🏾;יד דוחפת שמאלה: גוון עור כהה בינוני;גוון עור כהה בינוני|דחיפה|חסימה|יד|כיף|לדחוף|לחכות|לך מפה|לסרב|סירוב|עד כאן|עצור
	🫷🏿;יד דוחפת שמאלה: גוון עור כהה;גוון עור כהה|דחיפה|חסימה|יד|כיף|לדחוף|לחכות|לך מפה|לסרב|סירוב|עד כאן|עצור
🫸;יד דוחפת ימינה;דחיפה|חסימה|יד|כיף|לך מפה|סירוב|עד כאן
	🫸🏻;יד דוחפת ימינה: גוון עור בהיר;גוון עור בהיר|דחיפה|חסימה|יד|כיף|לך מפה|סירוב|עד כאן
	🫸🏼;יד דוחפת ימינה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|דחיפה|חסימה|יד|כיף|לך מפה|סירוב|עד כאן
	🫸🏽;יד דוחפת ימינה: גוון עור בינוני;גוון עור בינוני|דחיפה|חסימה|יד|כיף|לך מפה|סירוב|עד כאן
	🫸🏾;יד דוחפת ימינה: גוון עור כהה בינוני;גוון עור כהה בינוני|דחיפה|חסימה|יד|כיף|לך מפה|סירוב|עד כאן
	🫸🏿;יד דוחפת ימינה: גוון עור כהה;גוון עור כהה|דחיפה|חסימה|יד|כיף|לך מפה|סירוב|עד כאן
👌;יד מסמנת שהכל בסדר;ok|אוקיי|אחלה|אישור|בסדר|הבנתי|יד|מעולה|סבבה|צביטה
	👌🏻;יד מסמנת שהכל בסדר: גוון עור בהיר;ok|אוקיי|אחלה|אישור|בסדר|גוון עור בהיר|הבנתי|יד|מעולה|סבבה|צביטה
	👌🏼;יד מסמנת שהכל בסדר: גוון עור בהיר בינוני;ok|אוקיי|אחלה|אישור|בסדר|גוון עור בהיר בינוני|הבנתי|יד|מעולה|סבבה|צביטה
	👌🏽;יד מסמנת שהכל בסדר: גוון עור בינוני;ok|אוקיי|אחלה|אישור|בסדר|גוון עור בינוני|הבנתי|יד|מעולה|סבבה|צביטה
	👌🏾;יד מסמנת שהכל בסדר: גוון עור כהה בינוני;ok|אוקיי|אחלה|אישור|בסדר|גוון עור כהה בינוני|הבנתי|יד|מעולה|סבבה|צביטה
	👌🏿;יד מסמנת שהכל בסדר: גוון עור כהה;ok|אוקיי|אחלה|אישור|בסדר|גוון עור כהה|הבנתי|יד|מעולה|סבבה|צביטה
🤌;יד מסמנת רק רגע;אצבעות|כף יד|סבלנות|רגע|רק רגע|תיכף
	🤌🏻;יד מסמנת רק רגע: גוון עור בהיר;אצבעות|גוון עור בהיר|כף יד|סבלנות|רגע|רק רגע|תיכף
	🤌🏼;יד מסמנת רק רגע: גוון עור בהיר בינוני;אצבעות|גוון עור בהיר בינוני|כף יד|סבלנות|רגע|רק רגע|תיכף
	🤌🏽;יד מסמנת רק רגע: גוון עור בינוני;אצבעות|גוון עור בינוני|כף יד|סבלנות|רגע|רק רגע|תיכף
