# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت|صورت با لبخند|لبخند|نیش باز
🥸;تغییرقیافه داده;ابرو|احساسات|بینی|تغییر قیافه|تغییرقیافه|تغییرقیافه داده|جاسوس|چهره|ریش|سبیل|شخص|شکلک|عینک|قیافه مبدل|ناشناس
😎;باحال;باحال|جالب|خورشید|روشن|صورت|صورت خندان با عینک آفتابی|عینک|عینک آفتابی|لبخند
🤓;خوره;احساس|باهوش|حرفه‌ای|خرخون|خوره|زرنگ|زیرک|شکلک|صورت|عجیب و غریب|عینک|متخصص|متفاوت|نابغه|هوشمند
🧐;صورت با عینک یک‌چشمی;با کلاس|بدگمانی|پولدار|تخیلی|ثروتمند|سوءظن|صورت با ذره بین|صورت با عینک یک‌چشمی
😕;گیج‌شده;صورت|گیج|گیج شده|گیج‌شده|مغشوش
🫤;صورت با دهان کج;بی‌تفاوت|حالا هر چی|دهان|سرخوردگی|سرخورده|سردرگم|سردرگمی|شک و تردید|شکاک|صورتک|کج|مشکوک|مهم نیست|ناامید|نامطمئن
😟;چهره نگران;آشوب|چهره نگران|صورت|نگران
🙁;دلخور;اخم|دلخور|صورت|غصه|غم|غمگین|ناراحت
☹️;اخمو;اخم|اخمو|صورت|غمگین
😮;دهان باز از تعجب;باز|تعجب|دهان|دهان باز از تعجب|صورت|غافلگیری|همدردی
😯;مات و مبهوت;حیرت‌زده|صورت|غافلگیر|مات|مات و مبهوت|مبهوت|متعجب
😲;بهت‌زده;بهت‌زده|شوکه شده|شوکه‌شده|صورت|کاملاً|مات|مبهوت|متعجب|هاج‌وواج
😳;سرخ‌شده;بهت|حیرت|خجالت|سرخ شده|سرخ‌شده|گیج|گیج و منگ|منگ
🫪;صورت درهم‌ریخته;آسیب‌پذیر|پف‌کرده|شوکه‌شده|متعجب|نگرانی|وحشت
🥺;التماس‌کنان;التماس|اندوهگین|تمنا|چرا|چشم‌ها|حیوونکی|خواهش|درشت|دلسوزی|زیبا|صورتک
🥹;چهره با چشمان پراشک;احساسات|اشک شوق|افتخار|اوه|تحسین|چهره با چشمان پراشک|خجالت‌زده|سپاسگزار|سپاسگزاری|شرمنده|صورتک|غمگین|قدردانی|گریان|لطفاً|مغرور|مفتخر|مقاومت
😦;چهره درهم‌کشیده با دهان باز;اخم|باز|باورنکردنی|توقع نداشتن|چهره|چهره درهم کشیده با دهان باز|چهره درهم‌کشیده با دهان باز|دهان|صورت|نا باور
😧;دردمند;دردمند|صورت|مضطرب|نگران
😨;ترسیده;ترس|ترسناک|ترسیده|صورت|مضطرب|نگران
😰;عرق ترس;آبی|باز|ترس|دهان|سرد|صورت|عرق
😥;ناامید اما تسکین‌یافته;آخیش|آسوده خاطر|راحت شدن|صورت|صورت ناامید اما با خیال راحت|غمگین|ناامید|ناامید اما تسکین‌یافته|ناراحت
😢;گریان;اشک|صورت|گریان|گریه|گریه کردن|ناراحت
😭;هق‌هق گریه;اشک|صورت|گریه کردن|ناراحت|هق‌هق|هق‌هق گریه
😱;جیغ ترس;ترس|ترسناک|ترسیده|جویدن ناخن از ترس|جیغ|صورت|وحشتناک
😖;سردرگم;به‌هم‌ریخته|سردرگم|صورت|گیج
😣;پافشاری;استقامت|اصرار|پافشاری|تلاش|سماجت|صورت
😞;ناامید;صورت|غمگین|ناامید|ناراحت
😓;عرق سرد;سرد|سرما|صورت|عرق
😩;ازپاافتاده;از پا افتاده|ازپاافتاده|بی‌حوصله|خسته|صورت|کسل‌کننده
😫;صورت خسته;خستگی|خسته|صورت
🥱;صورت خمیازه‌کش;بی‌حوصله|چرت|چهره|خروپف|خسته|خمیازه|خواب|خواب‌آلود|خواب‌الود|دهن دره|دهن‌دره|شب|شب بخیر|شکلک خمیازه|صدای خمیازه|صورت خمیازه‌کش|کسل|هرچی|وقت خواب
😤;ژست برندگی با دلخوری;برنده|پیروزی|دود از دماغ|ژست برندگی با دلخوری|صورت|عصبانی|غرور|فتح|ناراحت
😡;خشمگین;خشم|خشمگین|دیوانه|سرخ|صورت|عصبانی|قرمز|لبو
😠;عصبانی;دیوانه|صورت|عصبانی
🤬;صورت با نمادهایی روی دهان;صورت با نمادهایی روی دهان|عصبانی|فحش|ناسزا|ناسزاگویان
😈;صورت لبخندزنان با دوشاخ;افسانه|تخیلی|جن|خنده شرورانه|خنده شیطانی|شاخ|شرور|صورت|صورت خندان با دوشاخ|صورت لبخندزنان با دوشاخ|فانتزی|لبخند
👿;چهره عصبانی با دو شاخ;چهره عصبانی با دو شاخ|دیو|شرور|شیطان|صورت|فانتزی
💀;جمجمه;اسکلت|بدن|جمجمه|جن و پری|صورت|مرگ|هیولا
☠️;جمجمه و استخوان صلیبی;استخوان|استخوان صلیبی|جمجمه|جمجمه و استخوان صلیبی|خطر|صورت|علامت|مرگ|هیولا
💩;یه تپهٔ گه;ان|پشکل|پی‌پی|صورت|طنز|گه|مدفوع|هیولا|یه تپهٔ گه
🤡;دلقک;بی‌عرضه|تلخک|دلقک|صورت|لوده
👹;دیو;جانور|جن و پری|دیو|صورت|فانتزی|هیولا
👺;جن کوتوله;جانور|جن کوتوله|جن و پری|صورت|فانتزی|هیولا
👻;روح;جانور|جن و پری|روح|صورت|فانتزی|هیولا
👽;موجود فضایی;آدم فضایی|تخیلی|جانور|جن و پری|صورت|فانتزی|فرازمینی|فضا|فضایی|موجود فضایی|هیولا
👾;هیولای فضایی;آدم فضایی|بیگانه|جانور|جن و پری|صورت|فرازمینی|فضایی|هیولا|هیولای فضایی
🤖;روبات;ربات|روبات|صورت|هیولا
😺;گربهٔ خندان;باز|خنده|دهان|صورت|گربه|گربه خندان|گربهٔ خندان
😸;گربه با چشم‌های خندان;چشم|خنده|صورت|گربه|گربه با چشم‌های خندان|گربهٔ خندان|لبخند
😹;گربهٔ خندان با اشک شوق;اشک|اشک شوق|شادی|صورت|گربه|گربهٔ خندان با اشک شوق|گربه و قاه قاه خنده
😻;گربهٔ خندان عاشق;چشم|صورت|عشق|قلب|گربه|گربهٔ خندان عاشق|گربه عاشق|لبخند
😼;گربه با پوزخند;پوزخند|صورت|طعنه|گربه|گربه با پوزخند|لبخند
😽;گربه و بوسهٔ خجالتی;بوسه|چشم|صورت|گربه|گربه و بوسه خجالتی|گربه و بوسهٔ خجالتی
🙀;گربهٔ بهت‌زده;بهت‌زده|صورت|غافلگیر|گربه|گربهٔ بهت‌زده|متعجب|وای
😿;گربهٔ گریان;اشک|صورت|گربه|گربه گریان|گربهٔ گریان|گریه|ناراحت
😾;گربهٔ اخمو;اخم|جانور|حیوان|صورت|گربه|گربه اخم کرده|گربهٔ اخمو
🙈;میمون شرنبین;اشاره|دیدن|شر|صورت|ممنوع|میمون|میمون خوش‌بین|میمون شرنبین|نبین|نه
🙉;میمون شرنشنو;اشاره|شر|شنیدن|صورت|ممنوع|میمون|میمون خوش‌باور|میمون شر نشنو|میمون شرنشنو|نه
🙊;میمون شرنگو;اشاره|حیوان|رازداری|سکوت|شر|صحبت|صورتک|ممنوع|میمون|میمون شر نگو|نگفتن|نه
💌;نامهٔ عاشقانه;ایمیل|عاشقانه|عشق|قلب|نامه|نامهٔ عاشقانه
💘;قلب تیرخورده;الهه عشق|الههٔ عشق|تیر|عاشقانه|قلب|قلب تیرخورده|کوپید
💝;قلب با روبان;روبان|قلب|قلب با روبان|ولنتاین
💖;قلب درخشان;درخشش|قلب|قلب درخشان|هیجان‌زده
💗;قلب هیجان‌زده;تپش|عصبی|قلب|هیجان‌زده
💓;قلب تپنده;تپش|تپیدن|قلب|قلب تپنده
💞;قلب چرخان;چرخان|قلب
💕;دو قلب;دو قلب|عشق|قلب
💟;قلب تزئینی;تزئین|قلب|قلب تپنده|قلب تزئینی|قلب درخشان
❣️;علامت تعجب قلبی;سجاوندی|علامت|علامت تعجب|علامت تعجب قلبی|قلب|نشانه‌گذاری
💔;قلب شکسته;شکستن|شکسته|قلب
❤️‍🔥;قلب در آتش;سوزاندن|شهوت|عشق|قلب|قلب در آتش|قلب مقدس
❤️‍🩹;قلب التیام‌یافته;التیام‌یافته|تندرست|خوب شدن|در حال بازیابی|در حال بهبود|سالم‌تر|قلب التیام‌یافته
❤️;قلب قرمز;قلب|قلب قرمز
🩷;قلب صورتی;۱۴۳|احساس|بامزه|خاص|دوست داشتن|دوستت دارم|دوست‌داشتنی|صورتی|عشق|علاقه|قلب|ناز
🧡;قلب نارنجی;قلب نارنجی|نارنجی
💛;قلب زرد;زرد|قلب
💚;قلب سبز;سبز|قلب
💙;قلب آبی;آبی|قلب
🩵;قلب آبی کم‌رنگ;آبی|آبی آسمانی|آبی روشن|احساسات|خاص|دوستت دارم|سبزآبی|عشق|علاقه|فیروزه‌ای|قلب|ناز
💜;قلب بنفش;احساسات|بنفش|بهترین|دل|دوستت دارم|عشق|قلب
🤎;قلب قهوه‌ای;دل|قلب|قهوه‌ای
🖤;قلب سیاه;تار|تاریک|تیره|دل|سنگ‌دل|سیاه|سیاه‌دل|شرور|شیطانی|قلب
🩶;قلب خاکستری;۱۴۳|احساس|خاص|خاکستری|دوستت دارم|رنگ خاکستری لوح|عشق|قلب|نقره‌ای|ویژه
🤍;قلب سفید;دل|سفید|قلب
💋;بوسه ماتیکی;بوسه|بوسه ماتیکی|بوسهٔ ماتیکی|عاشقانه|علامت|قلب|لب
💯;۱۰۰ امتیاز;۱۰۰|امتیاز|بی‌عیب‌ونقص|تمام|حقیقت|درست است|صد|کامل|نمره|وفادار
💢;نماد عصبانیت;دیوانه|عصبانی|کمیک|مصور|نماد عصبانیت
🫯;گردوخاک جنگ و جدال;بحث و جدل|جنجال|جنگ|غوغا|کُشتی|کشمکش|مباحثه|مخالفت
💥;برخورد;برخورد|بوم|صدای انفجار|کمیک|مصور
💫;سرگیجه;ستاره|ستاره دنباله دار|سرگیجه|کمیک|مصور
💦;قطره‌های عرق;آب|تراوش|تعرق|چکیدن|عرق|قطره|قطره‌های عرق|کمیک|مصور
💨;به سرعت باد;به سرعت باد|دوان|سریع|کمیک|گرد پا|مصور
🕳️;چاله;چاله|سوراخ
💬;بالن گفتار;بالن|بالن گفتار|حباب|دیالوگ|کمیک|گفتگو|مصور
👁️‍🗨️;چشم در حباب گفتار;بالون|چشم|حباب گفتار|شاهد|گفتگو
🗨️;حباب گفتار چپ;حباب گفتار چپ|دیالوگ|گفتگو
🗯️;حباب خشم راست;بالن|جنون|حباب|حباب خشم راست|دیوانه|عصبانی
💭;بالن افکار;بالن|بالن افکار|بالن تفکر|حباب|فکر|کمیک|مصور
💤;خروپف;خرناس|خروپف|خسته|خواب|خواب‌آلود|شب|شب بخیر|کمیک|مصور

[people_body]
👋;تکان دادن دست;آهای|اونجایی؟|با توام|بدن|بیرون|تا بعد|تکان|تکان دادن|تکان دادن دست|خداحافظ|خوشامدگویی|دست|سلام
	👋🏻;تکان دادن دست: پوست سفید;آهای|اونجایی؟|با توام|بدن|بیرون|پوست سفید|تا بعد|تکان|تکان دادن|تکان دادن دست|خداحافظ|خوشامدگویی|دست|سلام
	👋🏼;تکان دادن دست: پوست روشن;آهای|اونجایی؟|با توام|بدن|بیرون|پوست روشن|تا بعد|تکان|تکان دادن|تکان دادن دست|خداحافظ|خوشامدگویی|دست|سلام
	👋🏽;تکان دادن دست: پوست طلایی;آهای|اونجایی؟|با توام|بدن|بیرون|پوست طلایی|تا بعد|تکان|تکان دادن|تکان دادن دست|خداحافظ|خوشامدگویی|دست|سلام
	👋🏾;تکان دادن دست: پوست گندمی;آهای|اونجایی؟|با توام|بدن|بیرون|پوست گندمی|تا بعد|تکان|تکان دادن|تکان دادن دست|خداحافظ|خوشامدگویی|دست|سلام
	👋🏿;تکان دادن دست: پوست آبنوسی;آهای|اونجایی؟|با توام|بدن|بیرون|پوست آبنوسی|تا بعد|تکان|تکان دادن|تکان دادن دست|خداحافظ|خوشامدگویی|دست|سلام
🤚;پشت دست روبه بالا;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|دست|دست باز|دست بالا بردن|موافقت
	🤚🏻;پشت دست روبه بالا: پوست سفید;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|پوست سفید|دست|دست باز|دست بالا بردن|موافقت
	🤚🏼;پشت دست روبه بالا: پوست روشن;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|پوست روشن|دست|دست باز|دست بالا بردن|موافقت
	🤚🏽;پشت دست روبه بالا: پوست طلایی;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|پوست طلایی|دست|دست باز|دست بالا بردن|موافقت
	🤚🏾;پشت دست روبه بالا: پوست گندمی;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|پوست گندمی|دست|دست باز|دست بالا بردن|موافقت
	🤚🏿;پشت دست روبه بالا: پوست آبنوسی;اجازه|بالا بردن دست|پشت دست|پشت دست روبه بالا|پوست آبنوسی|دست|دست باز|دست بالا بردن|موافقت
🖐️;دست با انگشتان باز;انگشت|انگشتان|بدن|بزن قدش|پنج|خداحافظی|دست|دست با انگشتان باز|سلام
	🖐🏻;دست با انگشتان باز: پوست سفید;انگشت|انگشتان|بدن|بزن قدش|پنج|پوست سفید|خداحافظی|دست|دست با انگشتان باز|سلام
	🖐🏼;دست با انگشتان باز: پوست روشن;انگشت|انگشتان|بدن|بزن قدش|پنج|پوست روشن|خداحافظی|دست|دست با انگشتان باز|سلام
	🖐🏽;دست با انگشتان باز: پوست طلایی;انگشت|انگشتان|بدن|بزن قدش|پنج|پوست طلایی|خداحافظی|دست|دست با انگشتان باز|سلام
	🖐🏾;دست با انگشتان باز: پوست گندمی;انگشت|انگشتان|بدن|بزن قدش|پنج|پوست گندمی|خداحافظی|دست|دست با انگشتان باز|سلام
	🖐🏿;دست با انگشتان باز: پوست آبنوسی;انگشت|انگشتان|بدن|بزن قدش|پنج|پوست آبنوسی|خداحافظی|دست|دست با انگشتان باز|سلام
✋;دست بالابرده;احترام|بدن|بزن قدش|دست|دست بالا برده|دست بالابرده|سلام
	✋🏻;دست بالابرده: پوست سفید;احترام|بدن|بزن قدش|پوست سفید|دست|دست بالا برده|دست بالابرده|سلام
	✋🏼;دست بالابرده: پوست روشن;احترام|بدن|بزن قدش|پوست روشن|دست|دست بالا برده|دست بالابرده|سلام
	✋🏽;دست بالابرده: پوست طلایی;احترام|بدن|بزن قدش|پوست طلایی|دست|دست بالا برده|دست بالابرده|سلام
	✋🏾;دست بالابرده: پوست گندمی;احترام|بدن|بزن قدش|پوست گندمی|دست|دست بالا برده|دست بالابرده|سلام
	✋🏿;دست بالابرده: پوست آبنوسی;احترام|بدن|بزن قدش|پوست آبنوسی|دست|دست بالا برده|دست بالابرده|سلام
🖖;سلام ولکان;اسپاک|انگشت|بدن|پیشتازان فضا|دست|سلام|ولکان
	🖖🏻;سلام ولکان: پوست سفید;اسپاک|انگشت|بدن|پوست سفید|پیشتازان فضا|دست|سلام|ولکان
	🖖🏼;سلام ولکان: پوست روشن;اسپاک|انگشت|بدن|پوست روشن|پیشتازان فضا|دست|سلام|ولکان
	🖖🏽;سلام ولکان: پوست طلایی;اسپاک|انگشت|بدن|پوست طلایی|پیشتازان فضا|دست|سلام|ولکان
	🖖🏾;سلام ولکان: پوست گندمی;اسپاک|انگشت|بدن|پوست گندمی|پیشتازان فضا|دست|سلام|ولکان
	🖖🏿;سلام ولکان: پوست آبنوسی;اسپاک|انگشت|بدن|پوست آبنوسی|پیشتازان فضا|دست|سلام|ولکان
🫱;دست به سمت راست;افراد|بدن|به سمت راست|تکان دادن|دست|دست به سمت راست|دست دادن|راست|رسیدن|نگه داشتن
	🫱🏻;دست به سمت راست: پوست سفید;افراد|بدن|به سمت راست|پوست سفید|تکان دادن|دست|دست به سمت راست|دست دادن|راست|رسیدن|نگه داشتن
	🫱🏼;دست به سمت راست: پوست روشن;افراد|بدن|به سمت راست|پوست روشن|تکان دادن|دست|دست به سمت راست|دست دادن|راست|رسیدن|نگه داشتن
	🫱🏽;دست به سمت راست: پوست طلایی;افراد|بدن|به سمت راست|پوست طلایی|تکان دادن|دست|دست به سمت راست|دست دادن|راست|رسیدن|نگه داشتن
	🫱🏾;دست به سمت راست: پوست گندمی;افراد|بدن|به سمت راست|پوست گندمی|تکان دادن|دست|دست به سمت راست|دست دادن|راست|رسیدن|نگه داشتن
	🫱🏿;دست به سمت راست: پوست آبنوسی;افراد|بدن|به سمت راست|پوست آبنوسی|تکان دادن|دست|دست به سمت راست|دست دادن|راست|رسیدن|نگه داشتن
🫲;دست به سمت چپ;افراد|بدن|به سمت چپ|تکان دادن|چپ|دست|دست به سمت چپ|دست دادن|رسیدن|نگه داشتن
	🫲🏻;دست به سمت چپ: پوست سفید;افراد|بدن|به سمت چپ|پوست سفید|تکان دادن|چپ|دست|دست به سمت چپ|دست دادن|رسیدن|نگه داشتن
	🫲🏼;دست به سمت چپ: پوست روشن;افراد|بدن|به سمت چپ|پوست روشن|تکان دادن|چپ|دست|دست به سمت چپ|دست دادن|رسیدن|نگه داشتن
	🫲🏽;دست به سمت چپ: پوست طلایی;افراد|بدن|به سمت چپ|پوست طلایی|تکان دادن|چپ|دست|دست به سمت چپ|دست دادن|رسیدن|نگه داشتن
	🫲🏾;دست به سمت چپ: پوست گندمی;افراد|بدن|به سمت چپ|پوست گندمی|تکان دادن|چپ|دست|دست به سمت چپ|دست دادن|رسیدن|نگه داشتن
	🫲🏿;دست به سمت چپ: پوست آبنوسی;افراد|بدن|به سمت چپ|پوست آبنوسی|تکان دادن|چپ|دست|دست به سمت چپ|دست دادن|رسیدن|نگه داشتن
🫳;کف دست به پایین;افتادن|افتاده|افراد|انداختن|بدن|برداشتن|بلند کردن|دست|رها کردن|کف دست به پایین|کیش کردن|مرخص کردن
	🫳🏻;کف دست به پایین: پوست سفید;افتادن|افتاده|افراد|انداختن|بدن|برداشتن|بلند کردن|پوست سفید|دست|رها کردن|کف دست به پایین|کیش کردن|مرخص کردن
	🫳🏼;کف دست به پایین: پوست روشن;افتادن|افتاده|افراد|انداختن|بدن|برداشتن|بلند کردن|پوست روشن|دست|رها کردن|کف دست به پایین|کیش کردن|مرخص کردن
