# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
[people_body]
👋;ҳаракати пешу қафои даст;даст|мавҷ|ҳаракати пешу қафо|ҳаракати пешу қафои даст
	👋🏻;ҳаракати пешу қафои даст: ранги равшани пӯст;даст|мавҷ|ранги равшани пӯст|ҳаракати пешу қафо|ҳаракати пешу қафои даст
	👋🏼;ҳаракати пешу қафои даст: ранги равшании миёнаи пӯст;даст|мавҷ|ранги равшании миёнаи пӯст|ҳаракати пешу қафо|ҳаракати пешу қафои даст
	👋🏽;ҳаракати пешу қафои даст: ранги миёнаи пӯст;даст|мавҷ|ранги миёнаи пӯст|ҳаракати пешу қафо|ҳаракати пешу қафои даст
	👋🏾;ҳаракати пешу қафои даст: ранги торики миёнаи пӯст;даст|мавҷ|ранги торики миёнаи пӯст|ҳаракати пешу қафо|ҳаракати пешу қафои даст
	👋🏿;ҳаракати пешу қафои даст: ранги торики пӯст;даст|мавҷ|ранги торики пӯст|ҳаракати пешу қафо|ҳаракати пешу қафои даст
🤚;пушти дасти бардошташуда;бардошташуда|пушти даст|пушти дасти бардошташуда
	🤚🏻;пушти дасти бардошташуда: ранги равшани пӯст;бардошташуда|пушти даст|пушти дасти бардошташуда|ранги равшани пӯст
	🤚🏼;пушти дасти бардошташуда: ранги равшании миёнаи пӯст;бардошташуда|пушти даст|пушти дасти бардошташуда|ранги равшании миёнаи пӯст
	🤚🏽;пушти дасти бардошташуда: ранги миёнаи пӯст;бардошташуда|пушти даст|пушти дасти бардошташуда|ранги миёнаи пӯст
	🤚🏾;пушти дасти бардошташуда: ранги торики миёнаи пӯст;бардошташуда|пушти даст|пушти дасти бардошташуда|ранги торики миёнаи пӯст
	🤚🏿;пушти дасти бардошташуда: ранги торики пӯст;бардошташуда|пушти даст|пушти дасти бардошташуда|ранги торики пӯст
🖐️;дасти бардошта бо ангуштони паҳнкарда;ангушт|даст|дасти бардошта бо ангуштони паҳнкарда|паҳнкарда
	🖐🏻;дасти бардошта бо ангуштони паҳнкарда: ранги равшани пӯст;ангушт|даст|дасти бардошта бо ангуштони паҳнкарда|паҳнкарда|ранги равшани пӯст
	🖐🏼;дасти бардошта бо ангуштони паҳнкарда: ранги равшании миёнаи пӯст;ангушт|даст|дасти бардошта бо ангуштони паҳнкарда|паҳнкарда|ранги равшании миёнаи пӯст
	🖐🏽;дасти бардошта бо ангуштони паҳнкарда: ранги миёнаи пӯст;ангушт|даст|дасти бардошта бо ангуштони паҳнкарда|паҳнкарда|ранги миёнаи пӯст
	🖐🏾;дасти бардошта бо ангуштони паҳнкарда: ранги торики миёнаи пӯст;ангушт|даст|дасти бардошта бо ангуштони паҳнкарда|паҳнкарда|ранги торики миёнаи пӯст
	🖐🏿;дасти бардошта бо ангуштони паҳнкарда: ранги торики пӯст;ангушт|даст|дасти бардошта бо ангуштони паҳнкарда|паҳнкарда|ранги торики пӯст
✋;дасти бардошта;даст|дасти бардошта
	✋🏻;дасти бардошта: ранги равшани пӯст;даст|дасти бардошта|ранги равшани пӯст
	✋🏼;дасти бардошта: ранги равшании миёнаи пӯст;даст|дасти бардошта|ранги равшании миёнаи пӯст
	✋🏽;дасти бардошта: ранги миёнаи пӯст;даст|дасти бардошта|ранги миёнаи пӯст
	✋🏾;дасти бардошта: ранги торики миёнаи пӯст;даст|дасти бардошта|ранги торики миёнаи пӯст
	✋🏿;дасти бардошта: ранги торики пӯст;даст|дасти бардошта|ранги торики пӯст
🖖;саломдиҳии вулқонӣ;аланга|ангушт|даст|ишораи спок|саломдиҳии вулқонӣ
	🖖🏻;саломдиҳии вулқонӣ: ранги равшани пӯст;аланга|ангушт|даст|ишораи спок|ранги равшани пӯст|саломдиҳии вулқонӣ
	🖖🏼;саломдиҳии вулқонӣ: ранги равшании миёнаи пӯст;аланга|ангушт|даст|ишораи спок|ранги равшании миёнаи пӯст|саломдиҳии вулқонӣ
	🖖🏽;саломдиҳии вулқонӣ: ранги миёнаи пӯст;аланга|ангушт|даст|ишораи спок|ранги миёнаи пӯст|саломдиҳии вулқонӣ
	🖖🏾;саломдиҳии вулқонӣ: ранги торики миёнаи пӯст;аланга|ангушт|даст|ишораи спок|ранги торики миёнаи пӯст|саломдиҳии вулқонӣ
	🖖🏿;саломдиҳии вулқонӣ: ранги торики пӯст;аланга|ангушт|даст|ишораи спок|ранги торики пӯст|саломдиҳии вулқонӣ
🫱;;
	🫱🏻;;
	🫱🏼;;
	🫱🏽;;
	🫱🏾;;
	🫱🏿;;
🫲;;
	🫲🏻;;
	🫲🏼;;
	🫲🏽;;
	🫲🏾;;
	🫲🏿;;
🫳;;
	🫳🏻;;
	🫳🏼;;
	🫳🏽;;
	🫳🏾;;
	🫳🏿;;
🫴;;
	🫴🏻;;
	🫴🏼;;
	🫴🏽;;
	🫴🏾;;
	🫴🏿;;
🫷;;
	🫷🏻;;
	🫷🏼;;
	🫷🏽;;
	🫷🏾;;
	🫷🏿;;
🫸;;
	🫸🏻;;
	🫸🏼;;
	🫸🏽;;
	🫸🏾;;
	🫸🏿;;
👌;Дасти ОК;даст|Дасти ОК|ОК
	👌🏻;Дасти ОК: ранги равшани пӯст;даст|Дасти ОК|ОК|ранги равшани пӯст
	👌🏼;Дасти ОК: ранги равшании миёнаи пӯст;даст|Дасти ОК|ОК|ранги равшании миёнаи пӯст
	👌🏽;Дасти ОК: ранги миёнаи пӯст;даст|Дасти ОК|ОК|ранги миёнаи пӯст
	👌🏾;Дасти ОК: ранги торики миёнаи пӯст;даст|Дасти ОК|ОК|ранги торики миёнаи пӯст
	👌🏿;Дасти ОК: ранги торики пӯст;даст|Дасти ОК|ОК|ранги торики пӯст
🤌;;
	🤌🏻;;
	🤌🏼;;
	🤌🏽;;
	🤌🏾;;
	🤌🏿;;
🤏;;
	🤏🏻;;
	🤏🏼;;
	🤏🏽;;
	🤏🏾;;
	🤏🏿;;
✌️;дасти зафар;v|даст|дасти зафар|зафар
	✌🏻;дасти зафар: ранги равшани пӯст;v|даст|дасти зафар|зафар|ранги равшани пӯст
	✌🏼;дасти зафар: ранги равшании миёнаи пӯст;v|даст|дасти зафар|зафар|ранги равшании миёнаи пӯст
	✌🏽;дасти зафар: ранги миёнаи пӯст;v|даст|дасти зафар|зафар|ранги миёнаи пӯст
	✌🏾;дасти зафар: ранги торики миёнаи пӯст;v|даст|дасти зафар|зафар|ранги торики миёнаи пӯст
	✌🏿;дасти зафар: ранги торики пӯст;v|даст|дасти зафар|зафар|ранги торики пӯст
🤞;ангуштони ба ҳам гузошташуда;ангушт|ангуштони ба ҳам гузошташуда|даст|муваффақият|салиб
	🤞🏻;ангуштони ба ҳам гузошташуда: ранги равшани пӯст;ангушт|ангуштони ба ҳам гузошташуда|даст|муваффақият|ранги равшани пӯст|салиб
	🤞🏼;ангуштони ба ҳам гузошташуда: ранги равшании миёнаи пӯст;ангушт|ангуштони ба ҳам гузошташуда|даст|муваффақият|ранги равшании миёнаи пӯст|салиб
	🤞🏽;ангуштони ба ҳам гузошташуда: ранги миёнаи пӯст;ангушт|ангуштони ба ҳам гузошташуда|даст|муваффақият|ранги миёнаи пӯст|салиб
	🤞🏾;ангуштони ба ҳам гузошташуда: ранги торики миёнаи пӯст;ангушт|ангуштони ба ҳам гузошташуда|даст|муваффақият|ранги торики миёнаи пӯст|салиб
	🤞🏿;ангуштони ба ҳам гузошташуда: ранги торики пӯст;ангушт|ангуштони ба ҳам гузошташуда|даст|муваффақият|ранги торики пӯст|салиб
🫰;;
	🫰🏻;;
	🫰🏼;;
	🫰🏽;;
	🫰🏾;;
	🫰🏿;;
🤟;имову ишораи &quot;Туро дӯст медорам&quot;;ILY|даст|имову ишораи &quot;Туро дӯст медорам&quot;
	🤟🏻;имову ишораи &quot;Туро дӯст медорам&quot;: ранги равшани пӯст;ILY|даст|имову ишораи &quot;Туро дӯст медорам&quot;|ранги равшани пӯст
	🤟🏼;имову ишораи &quot;Туро дӯст медорам&quot;: ранги равшании миёнаи пӯст;ILY|даст|имову ишораи &quot;Туро дӯст медорам&quot;|ранги равшании миёнаи пӯст
	🤟🏽;имову ишораи &quot;Туро дӯст медорам&quot;: ранги миёнаи пӯст;ILY|даст|имову ишораи &quot;Туро дӯст медорам&quot;|ранги миёнаи пӯст
	🤟🏾;имову ишораи &quot;Туро дӯст медорам&quot;: ранги торики миёнаи пӯст;ILY|даст|имову ишораи &quot;Туро дӯст медорам&quot;|ранги торики миёнаи пӯст
	🤟🏿;имову ишораи &quot;Туро дӯст медорам&quot;: ранги торики пӯст;ILY|даст|имову ишораи &quot;Туро дӯст медорам&quot;|ранги торики пӯст
🤘;ишораи шохҳо;ангушт|даст|ишораи ду шох|ишораи шохҳо|шохҳо
	🤘🏻;ишораи шохҳо: ранги равшани пӯст;ангушт|даст|ишораи ду шох|ишораи шохҳо|ранги равшани пӯст|шохҳо
	🤘🏼;ишораи шохҳо: ранги равшании миёнаи пӯст;ангушт|даст|ишораи ду шох|ишораи шохҳо|ранги равшании миёнаи пӯст|шохҳо
	🤘🏽;ишораи шохҳо: ранги миёнаи пӯст;ангушт|даст|ишораи ду шох|ишораи шохҳо|ранги миёнаи пӯст|шохҳо
	🤘🏾;ишораи шохҳо: ранги торики миёнаи пӯст;ангушт|даст|ишораи ду шох|ишораи шохҳо|ранги торики миёнаи пӯст|шохҳо
	🤘🏿;ишораи шохҳо: ранги торики пӯст;ангушт|даст|ишораи ду шох|ишораи шохҳо|ранги торики пӯст|шохҳо
🤙;ба ман занг занед;ба ман занг занед|даст|занг
	🤙🏻;ба ман занг занед: ранги равшани пӯст;ба ман занг занед|даст|занг|ранги равшани пӯст
	🤙🏼;ба ман занг занед: ранги равшании миёнаи пӯст;ба ман занг занед|даст|занг|ранги равшании миёнаи пӯст
	🤙🏽;ба ман занг занед: ранги миёнаи пӯст;ба ман занг занед|даст|занг|ранги миёнаи пӯст
	🤙🏾;ба ман занг занед: ранги торики миёнаи пӯст;ба ман занг занед|даст|занг|ранги торики миёнаи пӯст
	🤙🏿;ба ман занг занед: ранги торики пӯст;ба ман занг занед|даст|занг|ранги торики пӯст
👈;ангушти ишорат ба тарафи чап ишора карда истода;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст
	👈🏻;ангушти ишорат ба тарафи чап ишора карда истода: ранги равшани пӯст;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст|ранги равшани пӯст
	👈🏼;ангушти ишорат ба тарафи чап ишора карда истода: ранги равшании миёнаи пӯст;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст|ранги равшании миёнаи пӯст
	👈🏽;ангушти ишорат ба тарафи чап ишора карда истода: ранги миёнаи пӯст;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст|ранги миёнаи пӯст
	👈🏾;ангушти ишорат ба тарафи чап ишора карда истода: ранги торики миёнаи пӯст;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст|ранги торики миёнаи пӯст
	👈🏿;ангушти ишорат ба тарафи чап ишора карда истода: ранги торики пӯст;ангушт|ангушти ишорат ба тарафи чап ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст|ранги торики пӯст
👉;ангушти ишорат ба тарафи рост ишора карда истода;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст
	👉🏻;ангушти ишорат ба тарафи рост ишора карда истода: ранги равшани пӯст;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст|ранги равшани пӯст
	👉🏼;ангушти ишорат ба тарафи рост ишора карда истода: ранги равшании миёнаи пӯст;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст|ранги равшании миёнаи пӯст
	👉🏽;ангушти ишорат ба тарафи рост ишора карда истода: ранги миёнаи пӯст;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст|ранги миёнаи пӯст
	👉🏾;ангушти ишорат ба тарафи рост ишора карда истода: ранги торики миёнаи пӯст;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст|ранги торики миёнаи пӯст
	👉🏿;ангушти ишорат ба тарафи рост ишора карда истода: ранги торики пӯст;ангушт|ангушти ишорат ба тарафи рост ишора карда истода|даст|нишондиҳанда|нуқта|пушти даст|ранги торики пӯст
👆;пушти даст ангушти ишорат ба боло ишора карда истода;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода
	👆🏻;пушти даст ангушти ишорат ба боло ишора карда истода: ранги равшани пӯст;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода|ранги равшани пӯст
	👆🏼;пушти даст ангушти ишорат ба боло ишора карда истода: ранги равшании миёнаи пӯст;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода|ранги равшании миёнаи пӯст
