# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
😴;sovande ansikte;ansikte|gäsp|sängdags|snarkar|sömnig|sover|trött|zzz
🫩;ansikte med påsar under ögonen;ansikte|rödögd|sent|sömnig|trött|utmattad
😷;ansikte med munskydd;ansikte|baciller|läkare|munskydd|sjuk|smitta|virus
🤒;ansikte med termometer;ansikte|feber|sjuk|termometer
🤕;ansikte med bandage på huvudet;aj|ansikte|bandage|huvud|skadad
🤢;äcklat ansikte;äcklad|ansikte|kasta upp|kräks|mår illa|spy
🤮;kräkande ansikte;ansikte|illamående|kräks|spyr
🤧;nysande ansikte;ansikte|atjoo|nysa|nyser|prosit
🥵;hett ansikte;ansikte|febrig|hett|överhettad|rött|svett|värmeslag|varmt
🥶;kallt ansikte;ansikte|blått|frostbiten|frusen|istappar|kall|minus|snö
🥴;yrt ansikte;ansikte|full|mun|ostadig|på örat|påverkad|vågig|yr
😵;omtumlat ansikte;ansikte|död|knockad|kryss|ögon|omtumlad|yr
😵‍💫;ansikte med spiralögon;ansikte|fara|förvirrad|fundersam|hypnotiserad|snurrig|spiralögon|yrsel
🤯;exploderande huvud;chockad|exploderande|huvud
🤠;ansikte med cowboyhatt;ansikte|cowboy|cowboyhatt|cowgirl|hatt
🥳;festande ansikte;ansikte|fest|födelsedag|hatt|kalas|partyhatt|tuta
🥸;maskerat ansikte;anonym|ansikte|förklädnad|glasögon|inkognito|mask|maskerat ansikte|näsa
😎;leende ansikte med solglasögon;ansikte|chillar|cool|koppla av|leende|solglasögon
🤓;nördansikte;ansikte|expert|glad|glasögon|intelligent|nörd|smart
🧐;ansikte med monokel;ansikte|gammaldags|monokel|torr
😕;förbryllat ansikte;ansikte|förbryllad|inte|ledsen|vad|vet
🫤;ansikte med diagonal mun;ansikte|besviken|diagonal|förvirrad|mun|osäker|skeptisk|tveksam
😟;bekymrat ansikte;ansikte|bekymrad|ledsen|nervös|orolig|rädd
🙁;ansikte med lite sur mun;ansikte|besviken|mun|sur
☹️;ansikte med sur mun;ansikte|besviken|mun|sur
😮;förvånat ansikte;ansikte|chockad|förvånad|gapar|mun|omg|öppen|otroligt
😯;hyssjat ansikte;ansikte|gapar|hyssjad|överraskad|stum
😲;chockat ansikte;ansikte|chockad|förvånad|inte|otroligt|sant
😳;rodnande ansikte;ansikte|generad|omtumlad|pinsamt|rodnar|skäms
🫪;ansikte i närbild;chockad|förstoppad|orolig|överraskad|panik|rädd|vettskrämd
🥺;bönfallande ansikte;ansikte|bönfallande|hundögon|ledsen|nåd|snälla|tigga|varför
🥹;ansikte som håller tillbaka tårarna;ansikte|glädjetårar|gråter|känslosam|ledsen|ögon|stolt|tårar|tårfyllda
😦;ogillande ansikte med öppen mun;ansikte|bister|mun|oförstående|ogillande|öppen|rädd|vad
😧;plågat ansikte;åh nej|ångest|ansikte|lider|olycklig|plågat|rädd
😨;skrämt ansikte;ansikte|rädd|skräckinjagat|skrämd
😰;oroligt svettigt ansikte;ansikte|blått|kallsvettig|orolig|panik|rädd|svettig
😥;besviket men lättat ansikte;ansikte|besviken|lättad|nära|ögat
😢;gråtande ansikte;ansikte|gråter|ledsen|saknar|sorgligt|tårar
😭;storgråtande ansikte;ansikte|bölar|gråter|ledsen|olycklig|rinner|storgråtande|tårar
😱;ansikte som skriker av fasa;ansikte|fasa|katastrof|livrädd|rädd|skriet|skriker
😖;förvirrat ansikte;ansikte|besviken|förvirrad|frustrerad|irriterad
😣;uthålligt ansikte;ansikte|besviken|huvudvärk|misslyckades|står ut|uthålligt|uthärdar
😞;besviket ansikte;ansikte|besviken|misslyckades|nedslagen
😓;nedslaget kallsvettigt ansikte;ansikte|kallsvettig|nedslagen|nervös|rädd|svettig
😩;uttröttat ansikte;ansikte|besviken|ledsen|olycklig|slut|uppgiven|uttröttad
😫;trött ansikte;ansikte|inte|ledsen|less|orkar|trött
🥱;gäspande ansikte;ansikte|gäspa|godnatt|sängdags|sömnig|trött|uttråkad
😤;ansikte med ånga ur näsan;ånga|ansikte|arg|näsan|rasande|seger|triumf|vansinnig
😡;rasande ansikte;ansikte|arg|rasande|röd|sur
😠;argt ansikte;ansikte|arg|ilsken|upprörd
🤬;ansikte med symboler på munnen;ansikte|arg|förbannad|mun|svär|svordomar|symboler
😈;leende ansikte med horn;ansikte|djävul|elak|horn|leende|lila
👿;argt ansikte med horn;ansikte|arg|djävul|horn
💀;dödskalle;dödskalle|döskalle
☠️;dödskalle med ben i kors;benknotor|dödskalle|pirater
💩;bajshög;avföring|bajs|bajshög
🤡;clownansikte;ansikte|clown|clownansikte|pajas
👹;japanskt monster;ansikte|demon|japansk|monster|saga
👺;japanskt troll;ansikte|japansk|saga|troll
👻;spöke;ansikte|saga|spöke
👽;utomjording;alien|rymdvarelse|saga|ufo|utomjording
👾;utomjordiskt monster;monster|rymdvarelse|saga|ufo|utomjording|utomjordiskt monster
🤖;robotansikte;ansikte|robot
😺;flinande kattansikte;flinande|glad|katt|leende
😸;flinande kattansikte med leende ögon;flin|glad|grin|kattansikte|leende|ögon|tänder
😹;kattansikte med glädjetårar;glädjetårar|gråter|kattansikte|roligt|skrattar|tårar
😻;leende kattansikte med hjärtformade ögon;älskar|hjärtan|kärlek|kattansikte|leende|ögon
😼;kattansikte med snett leende;ironiskt|kattansikte|leende|snett
😽;kyssande kattansikte;blundar|kattansikte|kyss|plutar|puss
🙀;uttröttat kattansikte;chockad|förvånad|kattansikte|överraskad|rädd|uttröttad
😿;gråtande kattansikte;gråter|kattansikte|ledsen|tår
😾;tjurande katt;katt|sur|tjura|tjurig
🙈;apa ser inget;apa|håller för|inget|ögon|ser
🙉;apa hör inget;apa|håller för|hör|inget|öron
🙊;apa säger inget;apa|håller för|hemlighet|inget|munnen|säger|tyst
💌;kärleksbrev;brev|hjärta|kärlek
💘;hjärta med pil;amors|hjärta|kärlek|pil
💝;hjärta med rosett;hjärta|kärlek|present|rosa|rosett
💖;gnistrande hjärta;gnistrande|hjärta|känslor|kärlek|upprymd
💗;växande hjärta;hjärta|känslor|kärlek|nervös|puls|upprymd|växande
💓;bultande hjärta;bankar|bultande|hjärta|känslor|kärlek|puls|slår
💞;snurrande hjärtan;hjärtan|känslor|kärlek|snurrar|två
💕;två hjärtan;hjärtan|känslor|kärlek|två
💟;hjärtdekoration;dekoration|hjärta|lila|vitt
❣️;utropstecken i form av ett hjärta;hjärta|rött|utropstecken
💔;brustet hjärta;brustet|hjärta|känslor|trasigt
❤️‍🔥;brinnande hjärta;brinnande|eld|hjärta|lust
❤️‍🩹;läkande hjärta;friskna till|läkande hjärta|läker|läker sår|repa sig|tillfriskna
❤️;rött hjärta;hjärta|känslor|kärlek|rött
🩷;rosa hjärta;älskar|bedårande|gullig|hjärta|kärlek|rosa|sött
🧡;hjärta i orange;hjärta|orange
💛;gult hjärta;gult|hjärta
💚;grönt hjärta;grönt|hjärta
💙;blått hjärta;blått|hjärta
🩵;ljusblått hjärta;cyan|himmelsblå|hjärta|känsla|kärlek|ljusblå
💜;lila hjärta;hjärta|lila
🤎;brunt hjärta;brunt|hjärta
🖤;svart hjärta;hjärta|ond|svart
🩶;grått hjärta;grå|hjärta|känsla|kärlek|silver|skiffer
🤍;vitt hjärta;hjärta|vitt
💋;läppavtryck;kärlek|kyssmärke|läppar|läppavtryck
💯;100 poäng;100 poäng|full pott
💢;symbol för ilska;arg|ilska|symbol
🫯;slagsmål;bråk|brottas|fajt|fajtas|fight|slagsmål|slåss|våld
💥;explosion;explosion|kollision|serietidning|smäll
💫;omtumlad;omtumlad|serietidning|stjärna|stjärnfall|yr
💦;stänkande svett;droppar|serietidning|stänkande|svettig
💨;fartsymbol;borta|fartsymbol|pust|springa|springer iväg
🕳️;hål;hål
💬;pratbubbla;bubbla|dialogbubbla|pratbubbla
👁️‍🗨️;öga i pratbubbla;öga|pratbubbla|vittne
🗨️;pratbubbla åt vänster;pratbubbla|svart|vänster
🗯️;arg pratbubbla åt höger;arg|höger|pratbubbla|taggig
💭;tankebubbla;bubbla|funderar|tankebubbla
💤;snarkningar;snarkar|sömnig|sover|trött|uttråkad|zzz

[people_body]
👋;vinkande hand;är du där?|hallå|hand|hej|vinka|vinkande hand|vinkning
	👋🏻;vinkande hand: ljus hy;är du där?|hallå|hand|hej|ljus hy|vinka|vinkande hand|vinkning
	👋🏼;vinkande hand: mellanljus hy;är du där?|hallå|hand|hej|mellanljus hy|vinka|vinkande hand|vinkning
	👋🏽;vinkande hand: mellanfärgad hy;är du där?|hallå|hand|hej|mellanfärgad hy|vinka|vinkande hand|vinkning
	👋🏾;vinkande hand: mellanmörk hy;är du där?|hallå|hand|hej|mellanmörk hy|vinka|vinkande hand|vinkning
	👋🏿;vinkande hand: mörk hy;är du där?|hallå|hand|hej|mörk hy|vinka|vinkande hand|vinkning
🤚;höjd handrygg;hand|höjd handrygg|lyft
	🤚🏻;höjd handrygg: ljus hy;hand|höjd handrygg|ljus hy|lyft
	🤚🏼;höjd handrygg: mellanljus hy;hand|höjd handrygg|lyft|mellanljus hy
	🤚🏽;höjd handrygg: mellanfärgad hy;hand|höjd handrygg|lyft|mellanfärgad hy
	🤚🏾;höjd handrygg: mellanmörk hy;hand|höjd handrygg|lyft|mellanmörk hy
	🤚🏿;höjd handrygg: mörk hy;hand|höjd handrygg|lyft|mörk hy
🖐️;hand med utspretade fingrar;finger|hand|hand med utspretade fingrar
	🖐🏻;hand med utspretade fingrar: ljus hy;finger|hand|hand med utspretade fingrar|ljus hy
	🖐🏼;hand med utspretade fingrar: mellanljus hy;finger|hand|hand med utspretade fingrar|mellanljus hy
	🖐🏽;hand med utspretade fingrar: mellanfärgad hy;finger|hand|hand med utspretade fingrar|mellanfärgad hy
	🖐🏾;hand med utspretade fingrar: mellanmörk hy;finger|hand|hand med utspretade fingrar|mellanmörk hy
	🖐🏿;hand med utspretade fingrar: mörk hy;finger|hand|hand med utspretade fingrar|mörk hy
✋;hand i luften;hand|hand i luften|handflata|uppräckt
	✋🏻;hand i luften: ljus hy;hand|hand i luften|handflata|ljus hy|uppräckt
	✋🏼;hand i luften: mellanljus hy;hand|hand i luften|handflata|mellanljus hy|uppräckt
	✋🏽;hand i luften: mellanfärgad hy;hand|hand i luften|handflata|mellanfärgad hy|uppräckt
	✋🏾;hand i luften: mellanmörk hy;hand|hand i luften|handflata|mellanmörk hy|uppräckt
	✋🏿;hand i luften: mörk hy;hand|hand i luften|handflata|mörk hy|uppräckt
🖖;vulcan-hälsning;hand|spock|Star Trek|vulcan|vulcan-hälsning
	🖖🏻;vulcan-hälsning: ljus hy;hand|ljus hy|spock|Star Trek|vulcan|vulcan-hälsning
	🖖🏼;vulcan-hälsning: mellanljus hy;hand|mellanljus hy|spock|Star Trek|vulcan|vulcan-hälsning
	🖖🏽;vulcan-hälsning: mellanfärgad hy;hand|mellanfärgad hy|spock|Star Trek|vulcan|vulcan-hälsning
	🖖🏾;vulcan-hälsning: mellanmörk hy;hand|mellanmörk hy|spock|Star Trek|vulcan|vulcan-hälsning
	🖖🏿;vulcan-hälsning: mörk hy;hand|mörk hy|spock|Star Trek|vulcan|vulcan-hälsning
🫱;hand som pekar till höger;
	🫱🏻;hand som pekar till höger: ljus hy;hälsa|hand|hand som pekar till höger|handslag|hej|höger|ljus hy|skaka|till höger
	🫱🏼;hand som pekar till höger: mellanljus hy;hälsa|hand|hand som pekar till höger|handslag|hej|höger|mellanljus hy|skaka|till höger
	🫱🏽;hand som pekar till höger: mellanfärgad hy;hälsa|hand|hand som pekar till höger|handslag|hej|höger|mellanfärgad hy|skaka|till höger
	🫱🏾;hand som pekar till höger: mellanmörk hy;hälsa|hand|hand som pekar till höger|handslag|hej|höger|mellanmörk hy|skaka|till höger
	🫱🏿;hand som pekar till höger: mörk hy;hälsa|hand|hand som pekar till höger|handslag|hej|höger|mörk hy|skaka|till höger
🫲;hand som pekar till vänster;
	🫲🏻;hand som pekar till vänster: ljus hy;hand|hand som pekar till vänster|ljus hy|skaka|till vänster|vänster
	🫲🏼;hand som pekar till vänster: mellanljus hy;hand|hand som pekar till vänster|mellanljus hy|skaka|till vänster|vänster
	🫲🏽;hand som pekar till vänster: mellanfärgad hy;hand|hand som pekar till vänster|mellanfärgad hy|skaka|till vänster|vänster
	🫲🏾;hand som pekar till vänster: mellanmörk hy;hand|hand som pekar till vänster|mellanmörk hy|skaka|till vänster|vänster
	🫲🏿;hand som pekar till vänster: mörk hy;hand|hand som pekar till vänster|mörk hy|skaka|till vänster|vänster
🫳;handflatan nedåt;
	🫳🏻;handflatan nedåt: ljus hy;avvisa|handflatan nedåt|ljus hy|neka|plocka upp|schas|släppa|släppte
	🫳🏼;handflatan nedåt: mellanljus hy;avvisa|handflatan nedåt|mellanljus hy|neka|plocka upp|schas|släppa|släppte
	🫳🏽;handflatan nedåt: mellanfärgad hy;avvisa|handflatan nedåt|mellanfärgad hy|neka|plocka upp|schas|släppa|släppte
	🫳🏾;handflatan nedåt: mellanmörk hy;avvisa|handflatan nedåt|mellanmörk hy|neka|plocka upp|schas|släppa|släppte
	🫳🏿;handflatan nedåt: mörk hy;avvisa|handflatan nedåt|mörk hy|neka|plocka upp|schas|släppa|släppte
🫴;handflatan uppåt;bjuda in|erbjuda|fånga|handflatan uppåt|kalla på|sträcka ut en hand
	🫴🏻;handflatan uppåt: ljus hy;bjuda in|erbjuda|fånga|handflatan uppåt|kalla på|ljus hy|sträcka ut en hand
	🫴🏼;handflatan uppåt: mellanljus hy;bjuda in|erbjuda|fånga|handflatan uppåt|kalla på|mellanljus hy|sträcka ut en hand
	🫴🏽;handflatan uppåt: mellanfärgad hy;bjuda in|erbjuda|fånga|handflatan uppåt|kalla på|mellanfärgad hy|sträcka ut en hand
	🫴🏾;handflatan uppåt: mellanmörk hy;bjuda in|erbjuda|fånga|handflatan uppåt|kalla på|mellanmörk hy|sträcka ut en hand
	🫴🏿;handflatan uppåt: mörk hy;bjuda in|erbjuda|fånga|handflatan uppåt|kalla på|mörk hy|sträcka ut en hand
🫷;hand som knuffar åt vänster;hand|hand som knuffar åt vänster|high five|neka|stanna|stopp|till vänster|trycka|vänta
	🫷🏻;hand som knuffar åt vänster: ljus hy;hand|hand som knuffar åt vänster|high five|ljus hy|neka|stanna|stopp|till vänster|trycka|vänta
	🫷🏼;hand som knuffar åt vänster: mellanljus hy;hand|hand som knuffar åt vänster|high five|mellanljus hy|neka|stanna|stopp|till vänster|trycka|vänta
	🫷🏽;hand som knuffar åt vänster: mellanfärgad hy;hand|hand som knuffar åt vänster|high five|mellanfärgad hy|neka|stanna|stopp|till vänster|trycka|vänta
	🫷🏾;hand som knuffar åt vänster: mellanmörk hy;hand|hand som knuffar åt vänster|high five|mellanmörk hy|neka|stanna|stopp|till vänster|trycka|vänta
	🫷🏿;hand som knuffar åt vänster: mörk hy;hand|hand som knuffar åt vänster|high five|mörk hy|neka|stanna|stopp|till vänster|trycka|vänta
🫸;hand som knuffar åt höger;blockera|hand|hand som knuffar åt höger|high five|neka|pausa|stanna|stopp|till höger|trycka|vänta
	🫸🏻;hand som knuffar åt höger: ljus hy;blockera|hand|hand som knuffar åt höger|high five|ljus hy|neka|pausa|stanna|stopp|till höger|trycka|vänta
	🫸🏼;hand som knuffar åt höger: mellanljus hy;blockera|hand|hand som knuffar åt höger|high five|mellanljus hy|neka|pausa|stanna|stopp|till höger|trycka|vänta
	🫸🏽;hand som knuffar åt höger: mellanfärgad hy;blockera|hand|hand som knuffar åt höger|high five|mellanfärgad hy|neka|pausa|stanna|stopp|till höger|trycka|vänta
	🫸🏾;hand som knuffar åt höger: mellanmörk hy;blockera|hand|hand som knuffar åt höger|high five|mellanmörk hy|neka|pausa|stanna|stopp|till höger|trycka|vänta
	🫸🏿;hand som knuffar åt höger: mörk hy;blockera|hand|hand som knuffar åt höger|high five|mörk hy|neka|pausa|stanna|stopp|till höger|trycka|vänta
👌;OK-tecken;hand|Instämmer|Javisst|Ok|OK|OK-tecken|tecken
	👌🏻;OK-tecken: ljus hy;hand|Instämmer|Javisst|ljus hy|Ok|OK|OK-tecken|tecken
	👌🏼;OK-tecken: mellanljus hy;hand|Instämmer|Javisst|mellanljus hy|Ok|OK|OK-tecken|tecken
	👌🏽;OK-tecken: mellanfärgad hy;hand|Instämmer|Javisst|mellanfärgad hy|Ok|OK|OK-tecken|tecken
	👌🏾;OK-tecken: mellanmörk hy;hand|Instämmer|Javisst|mellanmörk hy|Ok|OK|OK-tecken|tecken
	👌🏿;OK-tecken: mörk hy;hand|Instämmer|Javisst|mörk hy|Ok|OK|OK-tecken|tecken
🤌;fingerportmonnä;fingerportmonnä|fingrar|förhör|handgest|nypa|sarkastisk
	🤌🏻;fingerportmonnä: ljus hy;fingerportmonnä|fingrar|förhör|handgest|ljus hy|nypa|sarkastisk
	🤌🏼;fingerportmonnä: mellanljus hy;fingerportmonnä|fingrar|förhör|handgest|mellanljus hy|nypa|sarkastisk
	🤌🏽;fingerportmonnä: mellanfärgad hy;fingerportmonnä|fingrar|förhör|handgest|mellanfärgad hy|nypa|sarkastisk
	🤌🏾;fingerportmonnä: mellanmörk hy;fingerportmonnä|fingrar|förhör|handgest|mellanmörk hy|nypa|sarkastisk
	🤌🏿;fingerportmonnä: mörk hy;fingerportmonnä|fingrar|förhör|handgest|mörk hy|nypa|sarkastisk
🤏;nypande hand;liten mängd|nypande hand
	🤏🏻;nypande hand: ljus hy;liten mängd|ljus hy|nypande hand
	🤏🏼;nypande hand: mellanljus hy;liten mängd|mellanljus hy|nypande hand
	🤏🏽;nypande hand: mellanfärgad hy;liten mängd|mellanfärgad hy|nypande hand
	🤏🏾;nypande hand: mellanmörk hy;liten mängd|mellanmörk hy|nypande hand
	🤏🏿;nypande hand: mörk hy;liten mängd|mörk hy|nypande hand
✌️;v-tecken;seger|v-tecken
	✌🏻;v-tecken: ljus hy;ljus hy|seger|v-tecken
	✌🏼;v-tecken: mellanljus hy;mellanljus hy|seger|v-tecken
	✌🏽;v-tecken: mellanfärgad hy;mellanfärgad hy|seger|v-tecken
	✌🏾;v-tecken: mellanmörk hy;mellanmörk hy|seger|v-tecken
	✌🏿;v-tecken: mörk hy;mörk hy|seger|v-tecken
🤞;korsade fingrar;finger|hand|korsa|korsade fingrar|lycka
	🤞🏻;korsade fingrar: ljus hy;finger|hand|korsa|korsade fingrar|ljus hy|lycka
	🤞🏼;korsade fingrar: mellanljus hy;finger|hand|korsa|korsade fingrar|lycka|mellanljus hy
	🤞🏽;korsade fingrar: mellanfärgad hy;finger|hand|korsa|korsade fingrar|lycka|mellanfärgad hy
	🤞🏾;korsade fingrar: mellanmörk hy;finger|hand|korsa|korsade fingrar|lycka|mellanmörk hy
	🤞🏿;korsade fingrar: mörk hy;finger|hand|korsa|korsade fingrar|lycka|mörk hy
🫰;hand med tummen och pekfingret korsade;&lt;3|betala|dyrt|fingrarna|knäppa|korsade|pekfinger|pengar|tumme
	🫰🏻;hand med tummen och pekfingret korsade: ljus hy;&lt;3|betala|dyrt|fingrarna|knäppa|korsade|ljus hy|pekfinger|pengar|tumme
	🫰🏼;hand med tummen och pekfingret korsade: mellanljus hy;&lt;3|betala|dyrt|fingrarna|knäppa|korsade|mellanljus hy|pekfinger|pengar|tumme
	🫰🏽;hand med tummen och pekfingret korsade: mellanfärgad hy;&lt;3|betala|dyrt|fingrarna|knäppa|korsade|mellanfärgad hy|pekfinger|pengar|tumme
	🫰🏾;hand med tummen och pekfingret korsade: mellanmörk hy;&lt;3|betala|dyrt|fingrarna|knäppa|korsade|mellanmörk hy|pekfinger|pengar|tumme
	🫰🏿;hand med tummen och pekfingret korsade: mörk hy;&lt;3|betala|dyrt|fingrarna|knäppa|korsade|mörk hy|pekfinger|pengar|tumme
🤟;jag älskar dig-gest;hand|jag älskar dig-gest
	🤟🏻;jag älskar dig-gest: ljus hy;hand|jag älskar dig-gest|ljus hy
	🤟🏼;jag älskar dig-gest: mellanljus hy;hand|jag älskar dig-gest|mellanljus hy
	🤟🏽;jag älskar dig-gest: mellanfärgad hy;hand|jag älskar dig-gest|mellanfärgad hy
	🤟🏾;jag älskar dig-gest: mellanmörk hy;hand|jag älskar dig-gest|mellanmörk hy
	🤟🏿;jag älskar dig-gest: mörk hy;hand|jag älskar dig-gest|mörk hy
🤘;djävulstecknet;
	🤘🏻;djävulstecknet: ljus hy;djävulstecken|djävulstecknet|hand|hårdrock|horn|ljus hy|rock|rocka loss
	🤘🏼;djävulstecknet: mellanljus hy;djävulstecken|djävulstecknet|hand|hårdrock|horn|mellanljus hy|rock|rocka loss
	🤘🏽;djävulstecknet: mellanfärgad hy;djävulstecken|djävulstecknet|hand|hårdrock|horn|mellanfärgad hy|rock|rocka loss
	🤘🏾;djävulstecknet: mellanmörk hy;djävulstecken|djävulstecknet|hand|hårdrock|horn|mellanmörk hy|rock|rocka loss
	🤘🏿;djävulstecknet: mörk hy;djävulstecken|djävulstecknet|hand|hårdrock|horn|mörk hy|rock|rocka loss
🤙;ring mig-hand;hand|ring|ring mig-hand
	🤙🏻;ring mig-hand: ljus hy;hand|ljus hy|ring|ring mig-hand
	🤙🏼;ring mig-hand: mellanljus hy;hand|mellanljus hy|ring|ring mig-hand
	🤙🏽;ring mig-hand: mellanfärgad hy;hand|mellanfärgad hy|ring|ring mig-hand
	🤙🏾;ring mig-hand: mellanmörk hy;hand|mellanmörk hy|ring|ring mig-hand
	🤙🏿;ring mig-hand: mörk hy;hand|mörk hy|ring|ring mig-hand
👈;vänsterpekande finger;peka åt vänster|pekfinger|vänsterpekande finger
	👈🏻;vänsterpekande finger: ljus hy;ljus hy|peka åt vänster|pekfinger|vänsterpekande finger
	👈🏼;vänsterpekande finger: mellanljus hy;mellanljus hy|peka åt vänster|pekfinger|vänsterpekande finger
	👈🏽;vänsterpekande finger: mellanfärgad hy;mellanfärgad hy|peka åt vänster|pekfinger|vänsterpekande finger
	👈🏾;vänsterpekande finger: mellanmörk hy;mellanmörk hy|peka åt vänster|pekfinger|vänsterpekande finger
	👈🏿;vänsterpekande finger: mörk hy;mörk hy|peka åt vänster|pekfinger|vänsterpekande finger
👉;högerpekande finger;högerpekande finger|peka åt höger|pekfinger
	👉🏻;högerpekande finger: ljus hy;högerpekande finger|ljus hy|peka åt höger|pekfinger
	👉🏼;högerpekande finger: mellanljus hy;högerpekande finger|mellanljus hy|peka åt höger|pekfinger
	👉🏽;högerpekande finger: mellanfärgad hy;högerpekande finger|mellanfärgad hy|peka åt höger|pekfinger
	👉🏾;högerpekande finger: mellanmörk hy;högerpekande finger|mellanmörk hy|peka åt höger|pekfinger
	👉🏿;högerpekande finger: mörk hy;högerpekande finger|mörk hy|peka åt höger|pekfinger
👆;pekfinger upp;
	👆🏻;pekfinger upp: ljus hy;finger|hand som pekar pekfingret uppåt|ljus hy|peka uppåt|pekfinger|pekfinger upp
