# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি|হাসি
😉;চোখ মারা;চোখ|চোখ টিপা|চোখ টিপে হাসি|চোখ মারা|মুখ
😊;চোখে হাসির সাথে মুখে হাসি;গালে লজ্জার গোলাপী আভা|চোখ|চোখে হাসির সাথে মুখে হাসি|মুখ|হাসি
😇;মাথায় চক্রের সাথে মুখে হাসি;আশীর্বাদ|ঈশ্বরের আশীর্বাদ|কল্পনা|জ্যোতির্বলয়|দেবদূত|নিরীহ|মাথায় চক্রের সাথে মুখে হাসি|মুখ|রূপকথা|হাসি
🥰;হার্ট সহ হাসি মুখ;অন্তর|আনন্দিত|আমি তোমাকে ভালোবাসি|ক্র্যাশ|খুব পছন্দ|পছন্দ|প্রেম|প্রেমে|প্রেমে পড়া
😍;হার্টের-আকারের চোখের সাথে হাসি মুখ;আনন্দে পুলকিত|কিস|চোখ|ভালবাসা|মুখ|হার্ট|হার্টের-আকারের চোখের সাথে হাসি মুখ|হাসি
🤩;তারকা-প্রণয়াভিলাসী;উত্তেজিত|ওয়াও|খুশি|চোখ|তারকা-প্রণয়াভিলাসী|তারা|মুখ|স্টার|স্মাইলি|হাসি|হাস্যরত
😘;মুখ দিয়ে চুম্বন ছোঁড়া;কিস|চুমু|চুম্বন|মুখ|মুখ দিয়ে চুম্বন ছোঁড়া|হার্ট
😗;চুম্বনরত মুখ;কিস|চুমু|চুম্বন|চুম্বনরত মুখ|প্রেম|ভালোবাসা|মুখ
☺️;হাসি মুখ;খুব খুশি|নিশ্চিন্ত|মুখ|রূপরেখা|হাসি
😚;চোখ বন্ধ থাকা অবস্থায় চুম্বনরত মুখ;কিস|চুমু|চুম্বন|চোখ|চোখ বন্ধ থাকা অবস্থায় চুম্বনরত মুখ|বন্ধ|মুখ
😙;চুম্বনরত মুখের সাথে চোখে হাসি;কিস|চুমু|চুমু দেওয়া হাসি|চুম্বন|চুম্বনরত মুখের সাথে চোখে হাসি|চোখ|মুখ|হাসি
🥲;এক চোখে অশ্রু নিয়ে হাসি মুখ;অভিমানী|অশ্রু|আনন্দ|আপ্লুত|আবেগ|আবেগে আপ্লুত|এক চোখে অশ্রু নিয়ে হাসি মুখ|কষ্ট|কৃতজ্ঞ|খুশি|গর্বিত|নিশ্চিন্ত|বেদনা|ব্যাথা|স্মাইলি|হাসি|হাসিখুশি
😋;সুস্বাদু খাদ্যের স্বাদ নেওয়ার মত মুখ;খাবার|খুব খিদে পেয়েছে|ঘ্রাণ নেওয়া|জিভে জল|মুখ|লোভ লাগছে|সুস্বাদু|সুস্বাদু খাদ্যের স্বাদ নেওয়ার মত মুখ|হাসি
😛;জিভ বার করা মুখ;জিভ বার করা মুখ|জিভ ভেঙানো|মুখ
😜;জিভ কাটা ও চোখ মারা মুখ;চোখ|চোখ মারা|জিভ কাটা|জিভ বার করা|জিভ বার করে কাটা ও চোখ মারা মুখ|দুষ্টুমি|মজা করা|মুখ
🤪;পাগলের মত মুখ;চোখ|ছোট|পাগল|পাগলামো|পাগলের মত মুখ|বড়|ব্যক্তি|মানুষ|স্মাইলি
😝;জিভ বার করে কাটা ও দৃঢ়ভাবে চোখ বন্ধ করা মুখ;এ বাবা|চোখ|জিভ বার করা|জিভ বার করে কাটা ও দৃঢ়ভাবে চোখ বন্ধ করা মুখ|ভয়ঙ্কর|মুখ|স্বাদ
🤑;অর্থের মত মুখ;অর্থের মত মুখ|টাকা|ঠোঁট|মুখ
🤗;আলিঙ্গনরত মুখ;আলিঙ্গন|আলিঙ্গন রত|আলিঙ্গনরত মুখ|মুখ|হাত
🤭;মুখের ওপর হাত দেওয়া মুখ;উপ্স|উল্লসিত মুখ|খিলখিল|ব্যক্তি|মানুষ|মুখ ঢেকে হাসি|মুখের ওপর হাত দেওয়া মুখ|স্মাইলি|হাসি
🫢;খোলা চোখ এবং মুখের উপর হাত চাপা দেওয়া;অবিশ্বাস|আতঙ্ক|আশ্চর্য|ওমা গো|খোলা চোখ এবং মুখের উপর হাত চাপা দেওয়া|চুপ|বিব্রত|বিস্ময়|ভীত
🫣;উঁকি মারা চোখের মুখ;উঁকি মারা|উঁকি মারা চোখের মুখ|টুকি|তাকিয়ে থাকা|বিমুগ্ধ|লজ্জা পাওয়া
🤫;চুপ করা মুখ;কিছু বলব না|চুপ|চুপ করা|চুপ করা মুখ|নিঃশব্দ|নীরব|ব্যক্তি|মানুষ|শান্ত|স্মাইলি|হুশ
🤔;চিন্তা করার মত মুখ;চিন্তা করার মত মুখ|চিন্তিত|ব্যক্তি|মুখ
🫡;স্যালুট করা মুখ;আপনাকে স্যালুট|ঠিক আছে|রোদালো|সৈন্যগণ|স্যালুট|স্যালুট করা মুখ|হ্যাঁ|হ্যাঁ স্যার
🤐;মুখে কুলুপ আঁটা;ঠোঁট|বলব না|মুখ|মুখে কুলুপ আঁটা
🤨;ভ্রু কোচকানো মুখ;অবাক|অবিশ্বাস|ব্যক্তি|ভাবা যায় না|ভ্রু কুঁচকানো|ভ্রু কোচকানো মুখ|মানুষ|সন্দেহভাজন|স্মাইলি
😐;নিরপেক্ষ মুখ;আনন্দকর নয়|নিরপেক্ষ|ভাবলেশহীন|মুখ|হাসি পেল না
😑;ভাবলেশহীন মুখ;অর্থশূন্য|অর্থহীন|উদ্বেগ নেই|ভাবলেশহীন|ভাবশূন্য|মুখ|মৃত
😶;মুখ ছাড়াই মুখমণ্ডল;কিছু বলার নেই|গোপনীয়|চুপ করে থাকাই ভাল|ঠোঁট|নীরব|ভাবলেশহীন মুখ|মুখ|মুখ ছাড়াই মুখমণ্ডল|শান্ত
🫥;রেখা বিন্দুর মুখ;অদৃশ্য|অন্তর্মুখী|অপ্রত্যক্ষ|পরোয়া করিনা|রেখা বিন্দুর মুখ|লুকানো|হতাশ
😶‍🌫️;মেঘে মুখ;অমনোযোগী|কুয়াশায় ঢাকা মুখ|মেঘে মুখ|মেঘের মধ্যে মাথা|মেঘের মধ্যে মুখ
😏;কৃত্রিম হাসির মুখ;কৃত্রিম হাসির মুখ|বিদ্রুপ করা|ব্যঙ্গ করে হাসা|ব্যাঙ্গাত্বক হাসি|মুখ
😒;বিরক্ত মুখ;অসুখী|ধুশ|বিরক্ত|বিরক্তি|ভাল লাগছে না|মুখ
🙄;চোখ গোল গোল করা মুখ;ঘূর্ণায়মান|চোখ|চোখ কপালে|চোখ গোল গোল করা মুখ|চোখ ঘুরানো|মুখ
😬;দাঁত বার করা মুখ;কিছু না|দাঁত|দাঁত বার করা মুখ|ভেংচানো|মুখ
😮‍💨;নিশ্বাস ছাড়া মুখ;অবসন্ন|অবসাদগ্রস্ত|কাতরানো|ক্লান্ত|ত্রাণ|দুর্দশা|ধূমপান|নিঃশ্বাস|নিশ্বাস ছাড়া মুখ|ফিসফিস|বাঁশি|হাঁফানো
🤥;মিথ্যুকের নাক লম্বা;পিনাকিও|মিথ্যা|মিথ্যুক|মিথ্যুকের নাক লম্বা|মুখ
🫨;কাঁপা মুখ;আঘাত|কম্পন|কাঁপা|ভয়ে কাঁপুনি ধরা|ভূমিকম্প|মুখ
🙂‍↔️;এপাশ ওপাশ মাথা নাড়ানো;এপাশ ওপাশ মাথা নাড়ানো|না বলতে|নাড়ানো
🙂‍↕️;উপর নীচে মাথা নাড়ানো;উপর নীচে মাথা নাড়ানো|মাথা নেড়ে|হ্যাঁ বলা
😌;চিন্তা মুক্ত মুখ;চিন্তা মুক্ত|চিন্তা মুক্ত মুখ|মুখ|স্বস্তি পাওয়া|স্বস্তির আশ্বাস
😔;বিষণ্ণ মুখ;বিষণ্ণ|ভাল লাগছে না|মনমরা|মুখ
😪;ঘুম ঘুম ভাব;ক্লান্ত|ঘুম ঘুম ভাব|ঘুমন্ত অবস্থা|মুখ
🤤;লোভী মুখ;মুখ|লালা|লোভী|লোভে লক লক
😴;ঘুমন্ত মুখ;ঘুম|ঘুমন্ত অবস্থা|ঘুমন্ত মুখ|ঘুমানো|ঘুমে বিভোর|নাক ডাকা|মুখ|শুভ রাত্রি
🫩;ক্লান্তি;ক্লান্ত|ঘুমন্ত
😷;মুখের মধ্যে মেডিক্যাল মাস্ক;অসুস্থ|ওষুধ|ঠান্ডা|ঠান্ডা লাগা|ডাক্তার|মাস্ক করে ঠান্ডা থেকে বাঁচা|মুখ|মুখের মধ্যে মেডিক্যাল মাস্ক|মুখোশ
🤒;মুখের মধ্যে থার্মোমিটার;অসুস্থ|থার্মোমিটার|মুখ|মুখে থার্মোমিটার|মুখের মধ্যে থার্মোমিটার|রোগগ্রস্ত
🤕;মাথায় ব্যান্ডেজ করা মুখ;আঘাত|চোট|ব্যান্ডেজ|মাথায় ব্যান্ডেজ করা মুখ|মুখ
🤢;গা বমি করা মুখ;গা বমি করা মুখ|নোংরা|বমি|বমি বমি ভাগ|বমি বমি ভাব|মুখ
🤮;বমনরত মুখ;অসুস্থ|বমনরত মুখ|বমি|বমি করা|বমি বমি ভাব|মানুষ|মুখ
🤧;হাঁচি;অসুস্থ|ভাল থাক|মুখ|হাঁচি
🥵;গরমে ঘাম ঝরা লাল মুখ;উত্তাপ|ঊর্ধ্বশ্বাস|গরম|গরম মুখমণ্ডল|গরমে ঘাম ঝরা লাল মুখ|ঘাম ঝরছে|ঘাম ঝরা|জিহ্বা বের হওয়া|জ্বর জ্বর|জ্বরাক্রান্ত|জ্বরে কাতর|জ্বরে কুপোকাত|মুখবিকৃতি|মুমূর্ষু|লাল মুখমণ্ডল|লাল-মুখযুক্ত|হিট স্ট্রোক
🥶;ঠান্ডায় দাঁত কাঁপা নীল মুখ;উফ কী ঠান্ডা|জমিয়ে দেওয়া|ঠান্ডা|ঠান্ডা দাঁত|ঠান্ডায় দাঁত কাঁপা নীল মুখ|তুষার|তুষারকণা|তুষারিকা|নীল|নীল-মুখযুক্ত|বরফ|মুখ|হাড় কাঁপানো ঠান্ডা
🥴;হতবুদ্ধি মুখ;অর্ধেক খোলা চোখ|গুলিয়ে ফেলা|তরঙ্গায়িত মুখ|দ্বিধাগ্রস্ত|প্রায় মাতাল|ভেঙ্গচি কাটা|মত্ত|মাতাল|মাথা ঝিমঝিম|মাথা-ঘোরা|হতবুদ্ধি|হতবুদ্ধি মুখ|হতভম্ব
😵;হতবুদ্ধি হওয়া মুখ;অবাক|অসুস্থ|ক্লান্ত|মুখ|হতবুদ্ধি|হতবুদ্ধি হওয়া মুখ
😵‍💫;চোখ পাকানো মুখ;অপহাস|এলোমেলো করা|ওহ|চঞ্চল|চোখ পাকানো মুখ|জটিল|ঝামেলা|থামা|বিভ্রান্ত|মাথা ঝিমঝিম|সম্মোহিত|সর্পিল|হতবুদ্ধি
🤯;ফেটে পরা মাথা;অবাক|আশ্চর্য|ফেটে পরা মাথা|বিস্ফোরণ|ব্যক্তি|মর্মাহত মুখ|মাথা বিস্ফোরণ|মানুষ|স্মাইলি
🤠;কাউবয় টুপি পরা মুখ;কাউগার্ল|কাউবয়|কাউবয় টুপি পরা মুখ|টুপি|ব্যক্তি|মুখ
🥳;টুপি পরে বাঁশি বাজিয়ে পার্টি উদযাপন করা মুখ;অনুষ্ঠান|আনন্দ|উদযাপন|উল্লসিত|জন্মদিন|জন্মদিনের টুপি|টুপি|টুপি পরে বাঁশি বাজিয়ে পার্টি উদযাপন করা মুখ|পার্টি|বাঁশি|হর্ন
🥸;ছদ্মবেশী;গুপ্তচর|গোঁফ|গোয়েন্দা|চশমা|ছদ্মবেশ|ছদ্মবেশী|নাক|ভ্রু|মুখ|লোক
😎;সানগ্লাস পরিহিত হাসি মুখ;উজ্জ্বল|চশমা|চোখ|ঠান্ডা|মুখ|শীতল|সানগ্লাস|সানগ্লাস পরা জয়ের হাসি|সানগ্লাস পরা হাসি মুখ|সানগ্লাস পরিহিত হাসি মুখ|সূর্য|হাসি
🤓;পড়ুয়া মুখ;কদাকার|গুরু|চটপটে|চশমা|চালাক|দক্ষ|পটু|পড়ুয়া মুখ|পারদর্শী|বুদ্ধিমান|বোকা|মুখ|সবজান্তা
🧐;একচোখে চশমাওয়ালা মুখ;অভিজাত|একচোখে চশমাওয়ালা মুখ|চশমা|দমবন্ধ করা মুখ|ধনী|ব্যক্তি|স্মাইলি
😕;বিভ্রান্ত মুখ;এবার কি হবে?|জানিনা|দুঃখিত|বিভ্রান্ত|মুখ
🫤;তির্যক আকৃতিতে মুখ;অনিশ্চিত|উদাস|তির্যক আকৃতিতে মুখ|বিভ্রান্ত|সংশয়|সংশয়যুক্ত|হতাশ
😟;চিন্তিত মুখ;উদ্বিগ্ন|কি যে হবে|চিন্তিত মুখ|মুখ
🙁;সামান্য রাগান্বিত মুখ;দুঃখ|ভ্রূ কুচঁকানো|মুখ|সামান্য রাগান্বিত মুখ
☹️;রাগান্বিত মুখ;কষ্ট|দুঃখ|ভ্রূ কুচঁকানো|মুখ|রাগান্বিত মুখ
😮;হাঁ করা মুখ;অবাক|খোলা|ঠোঁট|মুখ|সহানুভূতি|হাঁ করা মুখ
😯;নিস্তব্ধ মুখ;অবাক|চুপ করার ইঙ্গিত করা|নিস্তব্ধ মুখ|বলো কি|বিস্মিত হওয়া|মুখ|সে কি রে|হতভম্ব হওয়া
😲;অবাক হয়ে যাওয়া মুখ;অবাক|অবাক হয়ে যাওয়া মুখ|আশ্চর্য হওয়া|ব্যক্তি|মর্মাহত|মুখ|সম্পূর্ণ
😳;রক্তিম মুখ;অবাক|উত্তেজিত মুখ|চমকিত|মুখ|রক্তিম
🫪;;
🥺;অনুনয়কারী মুখ;অনুগ্রহ|অনুনয় মুখ|অনুনয়কারী মুখ|অনুরোধ|অসুখী|করুণা|দু:খদায়ক
🥹;কান্না চেপে রাখা মুখ;অপ্রস্তুত|আনন্দে অশ্রু|কান্না|কান্না চেপে রাখা মুখ|কৃতজ্ঞ|ক্ষিপ্ত|গর্বিত|চোখে জল মুখে হাসি|বিষণ্ণ|রোধ করা
😦;খোলা মুখের সাথে ভ্রুকুটি মুখমণ্ডল;অবাক|ওরে বাবা রে|খোলা|খোলা মুখের সাথে ভ্রুকুটি মুখমণ্ডল|ঠোঁট|দেখো কান্ড|ব্যক্তি|ভ্রূ কুচঁকানো|মুখ|সে কি রে
😧;উদ্বেগপূর্ণ মুখ;উদ্বেগপূর্ণ মুখ|বেদনার্ত|ভয়|মুখ
😨;ভয়ার্ত মুখ;ভয়|ভয়ার্ত মুখ|ভীত|ভীতিজনক|মুখ
😰;খোলা মুখ এবং ঠাণ্ডা ঘামের সাথে মুখমণ্ডল;খোলা মুখ এবং ঠাণ্ডা ঘামের সাথে মুখমণ্ডল|ঘর্মাক্ত অবস্থা|ঘাম|ঘাম ঝরা উদ্ধিগ্ন মুখ|ঠান্ডা|নীল|ব্যক্তি|ভয়ে ঘামছে|মুখ|মুখে উদ্ধিগ্ন
😥;হতাশ তবে স্বস্তি পাওয়া মুখ;আশ্চর্য হওয়া|ঘাম|দুঃখ|নিরাশ|মুখ|স্বস্তি পাওয়া|হতাশ|হতাশ তবে স্বস্তি পাওয়া মুখ
😢;ক্রন্দনরত মুখ;কান্না|কান্নাকাটি করা|ক্রন্দনরত মুখ|দুঃখিত|মুখ
😭;জোরে ক্রন্দনরত মুখ;অশ্রুসজল মুখ|কান্না|কান্নাকাটি করা|জোরে ক্রন্দনরত মুখ|দুঃখিত|মুখ
😱;ভয়ে চিৎকার করা মুখ;অবাক|খোলা মুখ|চিৎকার করা|ব্যক্তি|ভয়|ভয়ে চিৎকার করা মুখ|ভীত|ভীতিজনক|মানুষ|মুখ|স্মাইলি
😖;বিস্মিত মুখ;বিস্মিত মুখ|মুখ|হকচকিয়ে যাওয়া
😣;জেদি মুখ;জিদ করা|জেদি মুখ|মাথা ব্যথা|মুখ
😞;হতাশ মুখ;মুখ|হতাশ
😓;মুখের মধ্যে ঠাণ্ডা ঘাম লাগা;ঘর্মাক্ত অবস্থা|ঠান্ডা|মুখ|মুখের মধ্যে ঠাণ্ডা ঘাম লাগা
😩;পরিশ্রান্ত মুখ;অসুখী|ক্লান্ত|ক্লান্ত হওয়া|ক্ষুধার্ত|খিদে পেয়েছে|নাহ|পরিশ্রান্ত|ভয় পেয়েছে|মুখ
😫;ক্লান্ত মুখ;ক্লান্ত|মুখ
🥱;হাই তোলা মুখ;উদাস|ক্লান্ত|ক্লান্ত লাগছে|ঘুম পাচ্ছে|মুখ|রাত হয়েছে|শুভরাত্রি|হাই তোলা|হাই তোলা মুখ
😤;নাক থেকে স্টিম বেরোচ্ছে এমন মুখ;অখুশি|অসহ্যকর|জয়জয়কার|নাক থেকে স্টিম বেরোচ্ছে এমন মুখ|বিজয়ী|বিরক্ত|মুখ
😡;বিস্ফুরিত মুখ;ক্রুদ্ধ|ক্ষিপ্ত|গর্জন|বিস্ফারিত চোখ|বিস্ফুরিত মুখ|মুখ|রাগ|রাগে গজ গজ|লাল
😠;রাগের মুখ;ক্রুদ্ধ|ক্ষিপ্ত|মুখ|রাগ|রাগের মুখ
🤬;ঠোটে চিহ্নযুক্ত মুখ;অভিশাপ|গালাগালি|গালি|ঠোটে চিহ্নযুক্ত মুখ|দিব্যি খাওয়া মুখ|বিরক্ত
😈;শিং এর সাথে হাসি মুখ;কল্পনা|দুষ্টুমির হাসি|মুখ|রূপকথা|শিং|শিং এর সাথে হাসি মুখ|হাসি
👿;শয়তান;অল্প রেগে|কল্পনা|দুষ্টু|দৈত্য|পাজি|মুখ|রূপকথা|শয়তান
💀;খুলি;খুলি|দানব|মুখ|মৃত্যু|রূপকথা|শরীর
☠️;মাথার খুলি এবং আড়াআড়িভাবে থাকা দু‘টি হাড়;আড়াআড়িভাবে থাকা দু‘টি হাড়|খুলি|দানব|বিপদ|মাথার খুলি এবং আড়াআড়িভাবে থাকা দু‘টি হাড়|মুখ|মৃত্যু|শরীর
💩;পাইল অফ পো;অধৈর্য্য প্রকাশ করা|উল্টান দিক|কমিক|গোবর|দানব|দুর্গন্ধ|পাইল অফ পো|মুখ
🤡;জোকারের মুখ;জোকার|জোকারের মুখ|মুখ
👹;রাক্ষস;কল্পনা|জাপানি|দানব|বুনো জীব|মুখ|রাক্ষস|রূপকথা|শয়তান
👺;অপদেবতা;অপদেবতা|অসুর|কল্পনা|জাপানি|দানব|বুনো জীব|মুখ|রূপকথা
👻;ভূত;কল্পনা|দানব|দুষ্টু ভূত|বুনো জীব|ভূত|মুখ|রূপকথা
👽;ভীন গ্রহের প্রাণী;অপার্থিব|উড়ন্ত চাকতি|এলিয়ান|কল্পনা|কাল্পনিক|জীব|দানব|ভীন গ্রহের প্রাণী|মহাকাশ|মুখ|রূপকথা
👾;এলিয়ান মনস্টার;আপার্থিব জীব|উড়ন্ত চাকতি|এলিয়ান মনস্টার|কল্পনা|খেলা|গেম|জীব|দানব|ভীন গ্রহের প্রাণী|মহাকাশ|মুখ|রূপকথা
🤖;রোবোট;দানব|মুখ|যন্ত্রমানব|রোবট|রোবোট|রোবোটের মুখ
😺;মুখ খোলা অবস্থায় বেড়ালের হাসি মুখ;খোলা|বিড়াল|বিড়ালের হাসি মুখ|মুখ|মুখ খোলা অবস্থায় বেড়ালের হাসি মুখ|হাসি
😸;চোখে হাসির সাথে মুখে হাসি বিড়াল;চোখ|চোখে হাসির সাথে মুখে হাসি বিড়াল|দেঁতো হাসি|বিড়াল|মুখ|হাসি
😹;আনন্দের কান্না সহ বেড়ালের মুখ;আনন্দ|আনন্দের কান্না সহ বেড়ালের মুখ|কান্না|জীবজন্তু|বিড়াল|মুখ|হাসতে হাসতে চোখে জল|হাসি
😻;হার্ট আকারের চোখের সাথে বেড়ালের মুখ;চোখ|ঠোঁটে হাসি চোখে ভালবাসা নিয়ে বিড়াল|বিড়াল|ভালবাসা|মুখ|হার্ট|হার্ট আকারের চোখের সাথে বেড়ালের মুখ|হাসি
😼;বাঁকা হাসির সাথে বেড়ালের মুখ;বাঁকা হাসির সাথে বেড়ালের মুখ|বিকৃত|বিড়াল|মুখ|শ্লেষাত্মক|হাসি
😽;চুম্বনরত বিড়ালের মুখ;কিস|চুমু|চুম্বন|চুম্বনরত বিড়ালের মুখ|চোখ|বন্ধ চোখ সহ চুম্বনরত বিড়ালের মুখ|বিড়াল|মুখ
🙀;ক্লান্ত বিড়ালের মুখ;অবাক|অবাক মুখে বিড়াল|ক্লান্ত বিড়ালের মুখ|পরিশ্রান্ত|বিড়াল|বিস্ময়সূচক মুখ গোল করে ওহঃ করা|বিস্মিত হওয়া|মুখ
😿;বিড়ালের মুখে কান্না;কান্না|দুঃখিত|বিড়াল|বিড়ালের মুখে কান্না|মুখ
😾;বিস্ফুরিত বিড়ালের মুখ;বিড়াল|বিস্ফারিত চোখ|বিস্ফুরিত বিড়ালের মুখ|মুখ
🙈;কোনো খারাপ জিনিস দেখব না;অঙ্গভঙ্গি|কোনো খারাপ জিনিস দেখব না|জীবজন্তু|দেখতে পারব না|দেখা|না|নিষিদ্ধ|বাঁদর|বানর|ভুলেই গেছি|মুখ|হে ঈশ্বর
🙉;কোনো খারাপ কিছু শুনব না;অঙ্গভঙ্গি|কোনো খারাপ কিছু শুনব না|দুষ্ট|নিষিদ্ধ|পশুপাখি|বাঁদর|মুখ|শোনা
🙊;কোনো খারাপ কথা বলব না;অঙ্গভঙ্গি|কোনো খারাপ কথা বলব না|খারাপ কথা বলব না|দুষ্ট|না|নিষিদ্ধ|প্রাণী|বাঁদর|বানর|বোবার শত্রু নেই|মুখ
💌;প্রেমের চিঠি;চিঠি|প্রেমের চিঠি|ভালবাসা|মেল|রোমান্স|হৃদয়
💘;তীর বিদ্ধ হার্ট;কিউপিড|তীর|তীর বিদ্ধ হার্ট|প্রেমে পড়া|হৃদয়
💝;রিবন বাঁধা হার্ট;১৪৩|কিস|চিহ্ন|চুমু|ফিতা|বস্তু|ভ্যালেন্টাইন|রিবন বাঁধা হার্ট|হার্ট
💖;জ্বলজ্বলে হার্ট;উত্তেজিত|কিস|জ্বলজ্বলে হার্ট|ঝকমক করা|হৃদয়
💗;বর্ধনশীল হার্ট;১৪৩|উত্তেজিত|কিস|ক্রমবর্ধমান|চুমু|বর্ধনশীল হার্ট|স্নায়ুবৈকল্য|হৃদয়|হৃদয় ধ্বনি
💓;স্পন্দিত হৃদয়;স্পন্দন|স্পন্দনশীল|স্পন্দিত|হৃদয়|হৃদস্পন্দন
💞;ঘূর্ণমান হার্ট;অ্যানিভার্সারি|ঘুরপাক|ঘূর্ণমান হার্ট|মনের সাথে মনের সংযোগ|হৃদয়
💕;দুটি হার্ট;১৪৩|আমি তোমাকে ভালবাসি|কিস|চুমু|দুটি হার্ট|ভালবাসা|হৃদয়
💟;হার্ট সজ্জা;১৪৩|হার্ট সজ্জা|হৃদয়
❣️;হার্টের আকারের বিস্ময়সূচক চিহ্ন;চিহ্ন|বিরাম চিহ্ন|বিস্ময়বোধক|যতিচিহ্ন|হার্টের আকারের বিস্ময়সূচক চিহ্ন|হৃদয়
💔;ভাঙ্গা হার্ট;ভগ্ন হৃদয়|ভাঙা|ভাঙ্গা হার্ট|ভেঙে যাওয়া|মন ভেঙ্গে গেছে|হার্ট|হৃদয়
❤️‍🔥;আগুনে হৃদয়;আগুনে হৃদয়|পবিত্র হৃদয়|পোড়া|ভালবাসা|লালসা|হৃদয়
❤️‍🩹;সংশোধিত হৃদয়;উন্নতিশীল|নিরাময়কারী|পুনরুদ্ধার করা|ভাল|সংশোধিত হৃদয়|সেরে উঠা|স্বাস্থ্যকর
❤️;লাল হার্ট;লাল হার্ট|হৃদয়
🩷;গোলাপী হার্ট;আমি তোমাকে ভালোবাসি|গোলাপী|গোলাপী হার্ট|পছন্দ|ভালবাসা|ভালোবাসা|মিষ্টি|সুন্দর|হৃদয়
🧡;কমলা হার্ট;কমলা|প্রেম|ভালোবাসা|স্মাইলি|হার্ট|হৃদয়
💛;হলুদ হার্ট;আমি তোমাকে ভালবাসি|হলুদ|হার্ট
💚;সবুজ হার্ট;সবুজ|সবুজ হার্ট|হৃদয়
💙;নীল হার্ট;নীল|নীল হার্ট|হৃদয়
🩵;হালকা নীল হার্ট;আবেগ|আমি তোমাকে ভালোবাসি|নীলচে সবুজ|ভালোবাসা|মিষ্টি|সবজে নীল|হার্ট|হালকা নীল|হালকা নীল হার্ট
💜;বেগুনি হার্ট;বেগুনি|বেগুনী|হার্ট
🤎;খয়েরি হার্ট;খয়েরি রঙয়ের হৃদয়|খয়েরি হার্ট|বাদামি|হার্ট|হার্ট চিহ্ন|হৃদয়
🖤;কালো হার্ট;কালো|দুষ্ট|পাজি|বাজে|বাজে মনের|হার্ট
🩶;ধূসর হার্ট;আবেগ|আমি তোমাকে ভালোবাসি|ধূসর|রুপো|স্লেট|হার্ট
🤍;সাদা হার্ট;সাদা|হার্ট|হার্ট চিহ্ন|হৃদয়
💋;চুম্বনের চিহ্ন;কিস|চিহ্ন|চুমু|চুম্বন|চুম্বনের চিহ্ন|ঠোট|রোমান্স|হার্ট
💯;একশো পয়েন্ট;100|একশো পয়েন্ট|পূর্ণ|শত|স্কোর
💢;ক্রোধের প্রতীক;কমিক|ক্রুদ্ধ|ক্রোধের চিহ্ন|ক্রোধের প্রতীক|ক্ষিপ্ত|চিহ্ন|রাগ
🫯;;
💥;সংঘর্ষ;কমিক|বুম|বুম করে শব্দ হওয়া|সংঘর্ষ
💫;হতবুদ্ধি;কমিক|তারা|হতবুদ্ধি
💦;ঘামের ফোঁটা;কমিক|ঘর্মাক্ত অবস্থা|ঘাম|ঘামের ফোঁটা|জলের ফোটা|ব্যায়াম
