# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;широко улыбается;лицо|радость|смех|счастье|улыбка
😙;счастливый поцелуй;глаза|лицо|любовь|поцелуй|свидание|улыбка|флирт|чмок
🥲;улыбающееся лицо со слезой;боль|гордость|лицо|облегчение|признательность|радость|слеза|трогательный|улыбка|умиление
😋;вкусно;вкус|вкусно|еда|лицо|объедение|отлично|смаковать|язык
😛;показывает язык;вот|высунуть|забавно|показывает|смешно|улыбка|ха|шутка|язык
😜;показывает язык и подмигивает;весело|глаз|забавно|подмигнуть|показать|розыгрыш|улыбка|ха-ха|шутка|язык
🤪;сумасшедшее лицо;крейзи|показать|псих|сдвиг|сошел|сумасшедший|ума|фазе|чокнуться|язык
😝;морщится и показывает язык;бе|гадость|жмуриться|омг|отвращение|показать|противно|ужас|фу|язык
🤑;деньги в глазах;баксы|богатый|выиграть|деньги|джекпот|доллары|лотерея|мани|счастливчик|язык
🤗;обнимает;встречи|обнимашки|объятия|пока|привет|радость|руки|румянец|увидимся|улыбка
🤭;прикрывает рот рукой;лишнее|ляпнуть|посмеиваться|проговорился|секрет|смешок|сюрприз|тайна|упс|хи
🫢;прикрывает рот рукой с открытыми глазами;изумление|испуг|недоверие|смущение|страх|удивление|шок
🫣;подсматривает;глаз|интересно|испуг|подсматривает|рука|румянец|стесняюсь|страх|тайно|украдкой
🤫;тс-с-с;говори|закрой|никому|секрет|тайна|тихо|тсс|узнает|услышать|шепот
🤔;думает;думаю|знаю|интересно|мозгами|озадачен|пораскинуть|размышлять|сложно|трудно|хм
🫡;воинское приветствие;да|есть|окей|отдать|приветствие|приказ|сделаю|точно|хорошо|честь
🤐;рот на замке;говори|замке|могила|молния|никому|рот|секрет|скажу|тайна
🤨;не верит;быть|верю|может|не|недоверие|подозрение|правда|скептик|сомневаюсь|хм
😐;все равно;безразличие|незаинтересованный|равнодушие|скептик|скучно|усталость|эмоций
😑;без эмоций;безразличие|надоело|незаинтересованный|нет|ничего|совсем|спать|усталость|эмоций
😶;лицо без рта;молчание|немой|нет|рыба|секрет|слов|тайна|тихо|тишина|тсс
🫥;лицо пунктиром;грусть|депрессия|интроверт|исчезать|невидимка|печаль|пунктир|угнетение|усталость
😶‍🌫️;лицо в облаках;витающий в облаках|голова в облаках|лицо в облаках|лицо в тумане|рассеянный
😏;ухмыляется;задумал|лицо|подмигнуть|подозрение|попался|пошутил|ухмылка|ухмыляется|хитрый|шутка
😒;скучает;гадость|грустно|надоело|недовольный|противно|скука|скучно|тоска|фу
🙄;закатывает глаза;блин|глаза|закатить|закончится|когда|надоело|омг|скука|скучно|тоска
😬;гримаса;злой|злость|злюсь|зубы|кривляться|показать|рожа
😮‍💨;выдыхает;вздох|выдох|выдыхает|облегчение|одышка|свист|шепот
🤥;лжец;буратино|врать|врешь|лжец|лицо|ложь|обман|обманывать|пиноккио
🫨;трясущееся лицо;бум|вау|головокружение|обморок|омг|паника|трясется|удивление|ужас|шок
🙂‍↔️;отрицательно качает головой;несогласие|нет|отрицание|отрицательно качает головой
🙂‍↕️;положительно качает головой;да|кивок|подтверждение|положительно качает головой|согласие
😌;испытывает облегчение;богу|довольный|облегчение|обошлось|пронесло|слава|улыбка|хорошо
😔;размышляет;грустный|достало|жаль|задумчивый|мысли|плохо|разочарован|скучно|устал
😪;хочет спать;ночи|плакать|плач|пора|сон|спать|сплю|спокойной|устал
🤤;пускает слюни;лицо|пускает слюни|слюни
😴;спит;боковую|ночи|пора|сон|спать|спокойной|уснул|устал|храп
🫩;лицо с мешками под глазами;без|глазами|истощение|мешки|под|сил|скучно|сон|спать|устал
😷;в медицинской маске;болеть|вирус|врач|заражение|карантин|маска|медик|микроб|простуда|санитар
🤒;с градусником во рту;болеть|больной|вирус|градусник|грипп|жар|плохо|простуда|температура
🤕;с перевязанной головой;бинт|болеть|больной|гипс|перевязка|повязка|пострадал|ударился
🤢;тошнит;блевать|болезнь|выворачивать|вырвет|зеленый|морская|наизнанку|отравиться|плохо|тошнит
🤮;рвота;блевать|болезнь|вырвало|гадость|морская|отравиться|плохо|рвота|тошнит|фу
🤧;чихает;апчхи|лицо|насморк|пчхи|чихает
🥵;жар;болеть|жар|лихорадка|плохо|пот|солнечный|температура|удар|умираю|язык
🥶;мерзнет;болею|дубак|зубы|мерзнуть|мороз|озноб|синий|снег|стучат|холодно
🥴;чувствует головокружение;глазах|голова|кружится|мутит|окосел|плохо|плывет|пьяный
😵;головокружение;болею|глаза|голова|крестики|кружится|мертвый|плохо|смерть|умереть|устал
😵‍💫;ошеломление;гипноз|глаза|голова|замешательство|кружится|кучу|омг|сложно|тупик|шок
🤯;взрыв мозга;быть|взрыв|голова|может|мозга|не|омг|шок
🤠;в ковбойской шляпе;веселый|вестерн|ковбой|радость|техас|улыбка|шапка|шляпа
🥳;на вечеринке;вечеринка|день|днюха|колпак|конфетти|отмечать|поздравляю|праздник|рождения
🥸;маскировка;внешность|инкогнито|маскировка|нос|очки|профессор|усы|ученый|шпион
😎;лицо в темных очках;защита|клево|круто|лицо|очки|свет|солнечные|солнце|солнцезащитные|улыбка
🤓;очкарик;ботан|заучка|интеллигент|очкарик|радость|улыбка|умник|эврика
🧐;с моноклем;дедукция|детектив|доказательства|изучение|монокль|расследование|сомнение|ученый
😕;в замешательстве;замешательство|недовольный|непонятно|огорчен|плохо|расстроен|сбит|сомнение|толку
🫤;с перекошенным ртом;досадно|думаю|знаю|не|непонятно|огорчен|разочарован|скептик|уверен
😟;беспокоится;беспокоится|беспокойство|лицо|расстройство|тревога|тревожность
🙁;немного грустит;грустный|досада|недовольный|огорчен|печаль|плохо|разочарован|хмурый
☹️;грустит;грустный|досада|недовольный|несчастный|очень|печаль|плохо|расстроен
😮;удивление;вау|верю|изумление|невероятно|ого|омг|ошеломление|удивление|ужас|шок
😯;неприятный сюрприз;вау|верю|неприятный|ого|омг|сюрприз|удивление
😲;в шоке;вау|глаза|изумление|лоб|ого|омг|ох|потрясение|удивление|шок
😳;краснеет;извини|краснеет|обидел|прости|румянец|смущение|стесняется|стыдно|хотел
🫪;лицо перекосило;выпучить|глаза|паника|тревога|удивление|шок|эмоции
🥺;умоляет;большие|глаза|грустно|почему|просить|сжалься|слезы|умолять|щенячьи
🥹;еле сдерживает слезы;благодарность|восхищение|гордость|плакать|радость|слезы|счастья|умиление
😦;в изумлении;изумление|испуг|неприятный|ого|омг|страх|сюрприз|устал
😧;страдает;боль|забыл|испуг|неприятный|омг|страдаю|стресс|сюрприз|удивление
😨;боится;беспокоится|боится|боюсь|волнуюсь|жуть|испуг|омг|страх
😰;сильно беспокоится;беспокоюсь|волнуюсь|грусть|замерз|плакать|плач|пот|страх|холодно
😥;обошлось;беспокоюсь|грустно|облегчение|обошлось|плач|пот|пронесло|разочарован|тревога|фух
😢;плачет;грустный|жаль|обидно|печаль|плакать|плач|слеза
😭;слезы рекой;за|навзрыд|несчастный|плач|почему|реветь|рекой|слезы|что
😱;в ужасе;испуг|крик|кричать|нет|омг|страх|ужас|шок
😖;в растерянности;гадость|кринж|невкусно|непонятно|неприятно|растерян|сбит|толку|фу
😣;упорство;боль|головная|достало|мигрень|настойчивость|упорный|упрямый|хватит
😞;разочарование;виноват|грустно|жаль|лузер|неудача|обида|обижен|печаль|разочарован|устал
😓;в холодном поту;беспокойство|боль|волнуюсь|головная|депресняк|нервничаю|поту|уныние|холодном
😩;усталость;гадость|достало|надоело|нет|плач|сил|устал|фу|хватит
😫;сильная усталость;достало|надоело|очень|сильно|спать|устал|фу|хватит
🥱;зевает;боковую|зевает|ночи|поздно|скука|скучно|спать|спокойной|устал
😤;в ожидании успеха;бешенстве|дым|зла|злость|зол|пар|пыхтеть|раздражение
😡;злится;бешенство|злой|кипит|красный|ненавижу|рак|рассержен|сердится|ярость
😠;сердится;бешенство|злиться|злость|рассержен|сердится|хмурится
🤬;цензура;браниться|брань|мат|материться|ругань|ругаться|цензура
😈;улыбающийся чертенок;дьявол|зло|злорадная|рога|рожки|улыбка|черт
👿;злой чертенок;грусть|демон|дьявол|зло|расстроен|рога|рожки|хмурится|черт
💀;череп;кости|мертвый|могила|монстр|смерть|умереть|череп
☠️;череп и кости;конец|кости|метка|опасно|пират|смерть|умереть|флаг|череп
💩;какашка;вонючка|воняет|говно|кака|куча|улыбка|фу|шутка
🤡;клоун;арлекин|клоун|смех|смешно|улыбка|цирк|шут
👹;чудовище;
👺;японский гоблин;гоблин|злой|монстр|сказка|страшный|тэнгу|чудище|японский
👻;привидение;подмигнуть|привидение|призрак|смешной|улыбка|хэллоуин
👽;инопланетянин;внеземная|инопланетянин|космос|нло|пришелец|страшный|улыбка|цивилизация
👾;космический монстр;аркада|инопланетянин|космос|монстр|нло|пиксель|пришелец|чудовище
🤖;робот;лицо|монстр|робот|страх
😺;улыбающийся кот;домашнее|животное|кот|милашка|питомец|полосатый|улыбка|усы|ушастик|хорошо
😸;смеющийся кот;глаза|закрытые глаза|кот|кот с широкой улыбкой и закрытыми глазами|морда|смеющийся|улыбка|широкая улыбка
😹;смеющийся до слез кот;веселье|кот|кот смеется|кот смеется до слез|морда|радость|слезы счастья|смеющийся до слез кот|смеющийся кот|счастье
😻;влюбленный кот;влюбиться|влюбленный кот|кот|любовь|морда|сердечки|счастье|улыбка
😼;ухмыляющийся кот;кот|кот с ухмылкой|сарказм|улыбка|ухмылка|ухмыляющийся кот|хитрость|хитрый
😽;целующий кот;глаза|губы|кот|кот целует|морда|морды|поцелуй|целующий кот
🙀;кот в шоке;в шоке|кот|кот в шоке|кот волнуется|морда|морды|удивление|усталость
😿;плачущий кот;грустно|жаль|кот|кот плачет|морда|печаль|плач|плачущий кот|слезы
😾;злой кот;злой|кот|морда|недовольный|раздраженный
🙈;ничего не вижу;глаза|запрещено|зрение|нельзя|ничего не вижу|обезьяна
🙉;ничего не слышу;запрещено|лапы|нельзя|ничего не слышу|обезьяна|слух|уши
🙊;ничего никому не скажу;закрыт|запрещено|лапы|молчание|ничего никому не скажу|обезьяна|рот
💌;любовное письмо;валентинка|записка|любовное письмо|любовь|письмо|почта|тайна
💘;сердце, пронзенное стрелой;купидон|лук|любовь|сердце, пронзенное стрелой|стрела
💝;сердце с лентой;валентин|валентинка|лента|люблю|любовь|перевязано|подарок|сердце|сердце с лентой
💖;сверкающее сердце;блеск|звездочки|любовь|радость|сверкающее сердце|сердце
💗;растущее сердце;биение|больше|влюбленность|любовь|размер|растущее сердце|ритм|сердце|чувства
💓;пульсирующее сердце;бьется|красное|пульсирует|пульсирующее|розовое|сердце
💞;вращающиеся сердца;вращающиеся сердца|вращение|два|круги|сердца|танец любви
💕;два сердца;влюблен|влюблена|влюбленные|два|любовь|отношения|свидание|сердечки|сердца|чувства
💟;значок «сердце»;белое|значок|квадрат|любовь|сердце|сиреневый|фиолетовый|чувства|эмоция
❣️;восклицательный знак в виде сердца;восклицание|восклицательный знак в виде сердца|знак|препинания|сердце|сердце в виде восклицательного знака
💔;разбитое сердце;разбитое|разочарование|сердце|части
❤️‍🔥;горящее сердце;горящее сердце|любовь|огонь|пламенное сердце|пламя|страсть
❤️‍🩹;заживающее сердце;выздоровление|заживающее сердце|излечение|поправка|улучшение|хорошо
❤️;алое сердце;красное|любовь|свидание|сердце|чувства|эмоции
🩷;розовое сердце;люблю|любовь|мило|нравится|розовое|сердце
🧡;оранжевое сердце;любовь|оранжевое|свидание|сердце|чувства|эмоции
💛;желтое сердце;желтое|любовь|сердце|чувство|эмоции
💚;зеленое сердце;зеленое|любовь|сердце|чувства|эмоции
💙;синее сердце;голубое|любовь|сердце|синее|чувства|эмоции
🩵;голубое сердце;бирюзовое|голубое|люблю|любовь|милый|нравится|сердечко|сердце|чувства
💜;фиолетовое сердце;любовь|сердце|сиреневое|фиолетовое|чувства|эмоции
🤎;коричневое сердце;коричневое|любовь|сердце|чувства|эмоции
🖤;черное сердце;злое|сердце|черное
🩶;серое сердце;любовь|сердце|серебряное|серое
🤍;белое сердце;белое|любовь|сердце|чувства|эмоции
💋;след от поцелуя;губы|любовь|помада|поцелуй|романтика|свидание|целовать|чувства|эмоции
💯;сто баллов;100|именно|сотка|сотня|сто|сто баллов|сто процентов|сто пудов|точно
💢;значок «гнев»;гнев|злость|значок «гнев»|ярость
🫯;драка;агрессия|драться|заварушка|конфликт|потасовка|разборка|склоки|спор
💥;взрыв;бомба|бум|взрыв|вспышка|искра|столкновение
💫;кружащаяся звезда;астероид|головокружение|звезда|звездочка|звезды|метеорит
💦;капли пота;брызги|вода|капать|капельки|капли|мокрый|пот|тренировка
💨;исчезновение;быстро|дым|исчезновение|облако|облачко|пукнуть|пыли|пыль|убежать
🕳️;дыра;дыра|люк|отверстие|пропасть|черная
💬;облачко с многоточием;диалог|идеи|многоточие|мысли|мысль|облачко|речь|сообщение|текст
👁️‍🗨️;значок свидетеля;глаз|подсматривать|преследование|свидетель|символ
🗨️;пустое облачко;диалог|мнение|мысль|облачко|речь|слева
🗯️;гневное облачко;бабл|гнев|комикс|негатив|облачко|справа|ярость
💭;облачко с мыслями;идеи|изобретения|мечты|мысли|облачко|размышления
💤;сон;ночи|ночь|сон|спать|спокойной|храп

[people_body]
👋;машет рукой;взмах|привет|приветствие|прощание|рука
	👋🏻;машет рукой: очень светлый тон кожи;взмах|очень светлый тон кожи|привет|приветствие|прощание|рука
	👋🏼;машет рукой: светлый тон кожи;взмах|привет|приветствие|прощание|рука|светлый тон кожи
	👋🏽;машет рукой: средний тон кожи;взмах|привет|приветствие|прощание|рука|средний тон кожи
	👋🏾;машет рукой: темный тон кожи;взмах|привет|приветствие|прощание|рука|темный тон кожи
	👋🏿;машет рукой: очень темный тон кожи;взмах|очень темный тон кожи|привет|приветствие|прощание|рука
🤚;поднятая рука;ладонь|поднятая|сторона|тыльная
	🤚🏻;поднятая рука: очень светлый тон кожи;ладонь|очень светлый тон кожи|поднятая|сторона|тыльная
	🤚🏼;поднятая рука: светлый тон кожи;ладонь|поднятая|светлый тон кожи|сторона|тыльная
	🤚🏽;поднятая рука: средний тон кожи;ладонь|поднятая|средний тон кожи|сторона|тыльная
	🤚🏾;поднятая рука: темный тон кожи;ладонь|поднятая|сторона|темный тон кожи|тыльная
	🤚🏿;поднятая рука: очень темный тон кожи;ладонь|очень темный тон кожи|поднятая|сторона|тыльная
🖐️;раскрытая ладонь;ладонь|пальцы|раскрытая|рука|стоп
	🖐🏻;раскрытая ладонь: очень светлый тон кожи;ладонь|очень светлый тон кожи|пальцы|раскрытая|рука|стоп
	🖐🏼;раскрытая ладонь: светлый тон кожи;ладонь|пальцы|раскрытая|рука|светлый тон кожи|стоп
	🖐🏽;раскрытая ладонь: средний тон кожи;ладонь|пальцы|раскрытая|рука|средний тон кожи|стоп
	🖐🏾;раскрытая ладонь: темный тон кожи;ладонь|пальцы|раскрытая|рука|стоп|темный тон кожи
	🖐🏿;раскрытая ладонь: очень темный тон кожи;ладонь|очень темный тон кожи|пальцы|раскрытая|рука|стоп
✋;поднятая ладонь;вверх|ладонь|пальцы|поднятая|пять|рука|стоп
	✋🏻;поднятая ладонь: очень светлый тон кожи;вверх|ладонь|очень светлый тон кожи|пальцы|поднятая|пять|рука|стоп
	✋🏼;поднятая ладонь: светлый тон кожи;вверх|ладонь|пальцы|поднятая|пять|рука|светлый тон кожи|стоп
	✋🏽;поднятая ладонь: средний тон кожи;вверх|ладонь|пальцы|поднятая|пять|рука|средний тон кожи|стоп
	✋🏾;поднятая ладонь: темный тон кожи;вверх|ладонь|пальцы|поднятая|пять|рука|стоп|темный тон кожи
	✋🏿;поднятая ладонь: очень темный тон кожи;вверх|ладонь|очень темный тон кожи|пальцы|поднятая|пять|рука|стоп
🖖;вулканский салют;вулканский|жест|пальцы|приветствие|рука|спок
	🖖🏻;вулканский салют: очень светлый тон кожи;вулканский|жест|очень светлый тон кожи|пальцы|приветствие|рука|спок
	🖖🏼;вулканский салют: светлый тон кожи;вулканский|жест|пальцы|приветствие|рука|светлый тон кожи|спок
	🖖🏽;вулканский салют: средний тон кожи;вулканский|жест|пальцы|приветствие|рука|спок|средний тон кожи
	🖖🏾;вулканский салют: темный тон кожи;вулканский|жест|пальцы|приветствие|рука|спок|темный тон кожи
	🖖🏿;вулканский салют: очень темный тон кожи;вулканский|жест|очень темный тон кожи|пальцы|приветствие|рука|спок
🫱;рука вправо;вправо|кисть|направо|рука|рукопожатие
	🫱🏻;рука вправо: очень светлый тон кожи;вправо|кисть|направо|очень светлый тон кожи|рука|рукопожатие
	🫱🏼;рука вправо: светлый тон кожи;вправо|кисть|направо|рука|рукопожатие|светлый тон кожи
	🫱🏽;рука вправо: средний тон кожи;вправо|кисть|направо|рука|рукопожатие|средний тон кожи
	🫱🏾;рука вправо: темный тон кожи;вправо|кисть|направо|рука|рукопожатие|темный тон кожи
	🫱🏿;рука вправо: очень темный тон кожи;вправо|кисть|направо|очень темный тон кожи|рука|рукопожатие
🫲;рука влево;влево|кисть|налево|рука|рукопожатие
	🫲🏻;рука влево: очень светлый тон кожи;влево|кисть|налево|очень светлый тон кожи|рука|рукопожатие
	🫲🏼;рука влево: светлый тон кожи;влево|кисть|налево|рука|рукопожатие|светлый тон кожи
	🫲🏽;рука влево: средний тон кожи;влево|кисть|налево|рука|рукопожатие|средний тон кожи
	🫲🏾;рука влево: темный тон кожи;влево|кисть|налево|рука|рукопожатие|темный тон кожи
	🫲🏿;рука влево: очень темный тон кожи;влево|кисть|налево|очень темный тон кожи|рука|рукопожатие
🫳;рука ладонью вниз;бросить|ладонь вниз|отпустить|рука
	🫳🏻;рука ладонью вниз: очень светлый тон кожи;бросить|ладонь вниз|отпустить|очень светлый тон кожи|рука
	🫳🏼;рука ладонью вниз: светлый тон кожи;бросить|ладонь вниз|отпустить|рука|светлый тон кожи
	🫳🏽;рука ладонью вниз: средний тон кожи;бросить|ладонь вниз|отпустить|рука|средний тон кожи
	🫳🏾;рука ладонью вниз: темный тон кожи;бросить|ладонь вниз|отпустить|рука|темный тон кожи
	🫳🏿;рука ладонью вниз: очень темный тон кожи;бросить|ладонь вниз|отпустить|очень темный тон кожи|рука
🫴;рука ладонью вверх;вверх|жест|ладонь|манить|подзывать|поднимать|подойди|позвать|предложить|рука|скажи
	🫴🏻;рука ладонью вверх: очень светлый тон кожи;вверх|жест|ладонь|манить|очень светлый тон кожи|подзывать|поднимать|подойди|позвать|предложить|рука|скажи
	🫴🏼;рука ладонью вверх: светлый тон кожи;вверх|жест|ладонь|манить|подзывать|поднимать|подойди|позвать|предложить|рука|светлый тон кожи|скажи
	🫴🏽;рука ладонью вверх: средний тон кожи;вверх|жест|ладонь|манить|подзывать|поднимать|подойди|позвать|предложить|рука|скажи|средний тон кожи
	🫴🏾;рука ладонью вверх: темный тон кожи;вверх|жест|ладонь|манить|подзывать|поднимать|подойди|позвать|предложить|рука|скажи|темный тон кожи
	🫴🏿;рука ладонью вверх: очень темный тон кожи;вверх|жест|ладонь|манить|очень темный тон кожи|подзывать|поднимать|подойди|позвать|предложить|рука|скажи
🫷;рука ладонью влево;влево|ждать|нет|отказ|подождать|подожди|пять|стоп|толкать
	🫷🏻;рука ладонью влево: очень светлый тон кожи;влево|ждать|нет|отказ|очень светлый тон кожи|подождать|подожди|пять|стоп|толкать
	🫷🏼;рука ладонью влево: светлый тон кожи;влево|ждать|нет|отказ|подождать|подожди|пять|светлый тон кожи|стоп|толкать
	🫷🏽;рука ладонью влево: средний тон кожи;влево|ждать|нет|отказ|подождать|подожди|пять|средний тон кожи|стоп|толкать
	🫷🏾;рука ладонью влево: темный тон кожи;влево|ждать|нет|отказ|подождать|подожди|пять|стоп|темный тон кожи|толкать
	🫷🏿;рука ладонью влево: очень темный тон кожи;влево|ждать|нет|отказ|очень темный тон кожи|подождать|подожди|пять|стоп|толкать
🫸;рука ладонью вправо;вправо|ждать|нет|отказ|подождать|подожди|пять|стоп|толкать
	🫸🏻;рука ладонью вправо: очень светлый тон кожи;вправо|ждать|нет|отказ|очень светлый тон кожи|подождать|подожди|пять|стоп|толкать
	🫸🏼;рука ладонью вправо: светлый тон кожи;вправо|ждать|нет|отказ|подождать|подожди|пять|светлый тон кожи|стоп|толкать
	🫸🏽;рука ладонью вправо: средний тон кожи;вправо|ждать|нет|отказ|подождать|подожди|пять|средний тон кожи|стоп|толкать
	🫸🏾;рука ладонью вправо: темный тон кожи;вправо|ждать|нет|отказ|подождать|подожди|пять|стоп|темный тон кожи|толкать
	🫸🏿;рука ладонью вправо: очень темный тон кожи;вправо|ждать|нет|отказ|очень темный тон кожи|подождать|подожди|пять|стоп|толкать
👌;жест «все хорошо»;жест|ок|окей|отлично|рука|хорошо|ясно
	👌🏻;жест «все хорошо»: очень светлый тон кожи;жест|ок|окей|отлично|очень светлый тон кожи|рука|хорошо|ясно
	👌🏼;жест «все хорошо»: светлый тон кожи;жест|ок|окей|отлично|рука|светлый тон кожи|хорошо|ясно
	👌🏽;жест «все хорошо»: средний тон кожи;жест|ок|окей|отлично|рука|средний тон кожи|хорошо|ясно
	👌🏾;жест «все хорошо»: темный тон кожи;жест|ок|окей|отлично|рука|темный тон кожи|хорошо|ясно
	👌🏿;жест «все хорошо»: очень темный тон кожи;жест|ок|окей|отлично|очень темный тон кожи|рука|хорошо|ясно
🤌;щепоть;вопрос|жест|пальцы|рега|сарказм|щепотка|щепоть
	🤌🏻;щепоть: очень светлый тон кожи;вопрос|жест|очень светлый тон кожи|пальцы|рега|сарказм|щепотка|щепоть
	🤌🏼;щепоть: светлый тон кожи;вопрос|жест|пальцы|рега|сарказм|светлый тон кожи|щепотка|щепоть
	🤌🏽;щепоть: средний тон кожи;вопрос|жест|пальцы|рега|сарказм|средний тон кожи|щепотка|щепоть
	🤌🏾;щепоть: темный тон кожи;вопрос|жест|пальцы|рега|сарказм|темный тон кожи|щепотка|щепоть
	🤌🏿;щепоть: очень темный тон кожи;вопрос|жест|очень темный тон кожи|пальцы|рега|сарказм|щепотка|щепоть
🤏;жест «мало»;жест|мало|небольшое количество|немного|чуть-чуть
	🤏🏻;жест «мало»: очень светлый тон кожи;жест|мало|небольшое количество|немного|очень светлый тон кожи|чуть-чуть
	🤏🏼;жест «мало»: светлый тон кожи;жест|мало|небольшое количество|немного|светлый тон кожи|чуть-чуть
	🤏🏽;жест «мало»: средний тон кожи;жест|мало|небольшое количество|немного|средний тон кожи|чуть-чуть
	🤏🏾;жест «мало»: темный тон кожи;жест|мало|небольшое количество|немного|темный тон кожи|чуть-чуть
	🤏🏿;жест «мало»: очень темный тон кожи;жест|мало|небольшое количество|немного|очень темный тон кожи|чуть-чуть
✌️;жест V;виктория|жест|мир|пальцы|победа|рука
	✌🏻;жест V: очень светлый тон кожи;виктория|жест|мир|очень светлый тон кожи|пальцы|победа|рука
	✌🏼;жест V: светлый тон кожи;виктория|жест|мир|пальцы|победа|рука|светлый тон кожи
	✌🏽;жест V: средний тон кожи;виктория|жест|мир|пальцы|победа|рука|средний тон кожи
	✌🏾;жест V: темный тон кожи;виктория|жест|мир|пальцы|победа|рука|темный тон кожи
	✌🏿;жест V: очень темный тон кожи;виктория|жест|мир|очень темный тон кожи|пальцы|победа|рука
🤞;скрещенные пальцы;везение|жест|пальцы|скрестить|скрещенные|удача
	🤞🏻;скрещенные пальцы: очень светлый тон кожи;везение|жест|очень светлый тон кожи|пальцы|скрестить|скрещенные|удача
	🤞🏼;скрещенные пальцы: светлый тон кожи;везение|жест|пальцы|светлый тон кожи|скрестить|скрещенные|удача
	🤞🏽;скрещенные пальцы: средний тон кожи;везение|жест|пальцы|скрестить|скрещенные|средний тон кожи|удача
	🤞🏾;скрещенные пальцы: темный тон кожи;везение|жест|пальцы|скрестить|скрещенные|темный тон кожи|удача
	🤞🏿;скрещенные пальцы: очень темный тон кожи;везение|жест|очень темный тон кожи|пальцы|скрестить|скрещенные|удача
🫰;жест «деньги»;деньги|дорого|жест|сердечко|щелчок
	🫰🏻;жест «деньги»: очень светлый тон кожи;деньги|дорого|жест|очень светлый тон кожи|сердечко|щелчок
	🫰🏼;жест «деньги»: светлый тон кожи;деньги|дорого|жест|светлый тон кожи|сердечко|щелчок
	🫰🏽;жест «деньги»: средний тон кожи;деньги|дорого|жест|сердечко|средний тон кожи|щелчок
	🫰🏾;жест «деньги»: темный тон кожи;деньги|дорого|жест|сердечко|темный тон кожи|щелчок
	🫰🏿;жест «деньги»: очень темный тон кожи;деньги|дорого|жест|очень темный тон кожи|сердечко|щелчок
🤟;я-тебя-люблю;жест|люблю|пальца|пальцы|рука|три
	🤟🏻;я-тебя-люблю: очень светлый тон кожи;жест|люблю|очень светлый тон кожи|пальца|пальцы|рука|три
	🤟🏼;я-тебя-люблю: светлый тон кожи;жест|люблю|пальца|пальцы|рука|светлый тон кожи|три
	🤟🏽;я-тебя-люблю: средний тон кожи;жест|люблю|пальца|пальцы|рука|средний тон кожи|три
	🤟🏾;я-тебя-люблю: темный тон кожи;жест|люблю|пальца|пальцы|рука|темный тон кожи|три
	🤟🏿;я-тебя-люблю: очень темный тон кожи;жест|люблю|очень темный тон кожи|пальца|пальцы|рука|три
🤘;рокерский жест;жест|коза|пальцы|рок|рокерский|рука|фанат
	🤘🏻;рокерский жест: очень светлый тон кожи;жест|коза|очень светлый тон кожи|пальцы|рок|рокерский|рука|фанат
	🤘🏼;рокерский жест: светлый тон кожи;жест|коза|пальцы|рок|рокерский|рука|светлый тон кожи|фанат
	🤘🏽;рокерский жест: средний тон кожи;жест|коза|пальцы|рок|рокерский|рука|средний тон кожи|фанат
	🤘🏾;рокерский жест: темный тон кожи;жест|коза|пальцы|рок|рокерский|рука|темный тон кожи|фанат
