# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cerenje;cerenje|lice
🤪;ludilo;ludilo|malo|oko|veliko
😝;ruganje žmireći;lice|oko|ruganje žmireći|strašan|ukus
🤑;lice s novčanicama;lice|lice s novčanicama|novčanice|pare
🤗;zagrljaj;lice|zagrliti|zagrljaj
🤭;ruka preko usta;opa|ruka preko usta|ups
🫢;lice s otvorenim očima i rukom preko usta;čuđenje|iznenađenje|lice s otvorenim očima i rukom preko usta|nevjerica|stid|strahopoštovanje|uplašenost
🫣;lice s okom koje viri;buljiti|lice s okom koje viri|očaran|viriti
🤫;ušutkivanje;psst|šuti|tišina|ušutkivanje
🤔;razmišljanje;lice|razmišljanje
🫡;lice koje salutira;da|lice koje salutira|ok|salutirati|sunčano|trupe
🤐;šuti ko zaliven;lice|šuti ko zaliven|usta|začepljena
🤨;podignuta obrva;nepovjerljiv|podignuta obrva|skeptičan
😐;indiferentnost;indiferentno|indiferentnost|lice|neutralno
😑;bezizražajnost;bezizražajan|bezizražajnost|lice
😶;lice bez usta;lice|lice bez usta|šutnja|tiho|usta
🫥;lice s tačkastom linijom;depresivan|introverta|lice s tačkastom linijom|nestati|nevidljiv|sakriti
😶‍🌫️;lice u oblacima;glava u oblacima|lice u magli|lice u oblacima|rasijan
😏;zlobno smješkanje;lice|smješkanje|zlobno
😒;smorenost;lice|nesretan|nezainteresovanost|smor|smorenost
🙄;kolutanje očima;kolutanje|kolutanje očima|lice|oči
😬;grimasa;grimasa|lice
😮‍💨;lice izdiše;dahtanje|izdisanje|lice izdiše|odahnuti|šaptati|stenjanje|zviždati
🤥;laganje;laganje|laž|lice|pinokio
🫨;potresenost;lice|podrhtavanje|potresenost|šok|vibracija|zemljotres
🙂‍↔️;vrti glavom lijevo desno;ne vrti|vrti glavom lijevo desno
🙂‍↕️;klima glavom;da|klima|klima glavom
😌;olakšanje;lice|olakšanje|rasterećenje
😔;zamišljenost;bezvoljan|potišten|utučen|zamišljen|zamišljenost
😪;pospanost;lice|pospanost|umor
🤤;slinjenje;lice|slina|slinjenje
😴;lice koje spava;lice|lice koje spava|spavanje|zzz
🫩;lice s podočnjacima;dosadno|iscrpljeno|kasno|lice|oči|podočnjaci|pospano|umorno|zamoreno
😷;nosi medicinsku masku;bolest|doktor|maska|nosi medicinsku masku
🤒;toplomjer u ustima;bolestan|lice|nezdrav|toplomjer|toplomjer u ustima
🤕;zavoj na glavi;bol|lice|povreda|zavoj|zavoj na glavi
🤢;muka;lice|muka|povraćanje
🤮;povraćanje;muka|povraćanje
🤧;kihanje;kihanje|lice|nazdravlje
🥵;pregrijano lice;crveno lice|groznica|pregrijano lice|toplotni udar|vruće|znoj
🥶;ledeno lice;hladnoća|ledenice|ledeno lice|plavo lice|promrzlina|smrzavanje
🥴;ošamućeno lice;intoksikacija|iskrivljena usta|nejednake oči|ošamućeno lice|pripitost|vrtoglavica
😵;vrtoglavica;lice|vrtoglavica
😵‍💫;lice sa sprialnim očima;hipnotiziran|lice sa sprialnim očima|nevolja|oho|spiralno|vrtoglavica
🤯;eksplodirajuća glava;eksplodirajuća glava|šok
🤠;lice s kaubojskim šeširom;kauboj|kaubojka|lice|lice s kaubojskim šeširom|šešir
🥳;lice koje se zabavlja;lice koje se zabavlja|party|proslava|šešir|slavlje|zabava
🥸;prerušeno lice;inkognito|lice|naočale|nos|prerušavanje|prerušeno lice
😎;osmijeh sa sunčanim naočalama;fora|naočale|osmijeh sa sunčanim naočalama|sunčane naočale|svjetlost
🤓;štreber;čudak|lice|štreber
🧐;lice s monoklom;lice s monoklom|monokl|začepljen
😕;zbunjenost;lice|zbunjen|zbunjenost
🫤;lice s dijagonalnim ustima;lice s dijagonalnim ustima|nesiguran|razočaran|skeptičan
😟;zabrinutost;lice|zabrinutost
🙁;diskretna namrštenost;diskretna namrštenost|lice|mrštenje
☹️;namrštenost;lice|mrštenje|namrštenost
😮;zinuo;lice|šokiranost|usta|zinuo
😯;zanijemio;iznenađen|lice|nijem|zanijemio|zapanjen
😲;zapanjenost;lice|totalno|zapanjen|zapanjenost|zatečen
😳;ispranost;ispran|ispranost|lice|omama|ošamućen
🫪;iskrivljeno lice;ankcioznost|iznenađeno|nadoto|panika|ranjivo|šokirano
🥺;molećivo lice;milost|molećiv|molećivo lice|pseći pogled
🥹;lice samo što ne zaplače;lice samo što ne zaplače|ljut|odoliti|plač|ponosan|tužan
😦;namrštenost s otvorenim ustima;mrštenje|namrštenost s otvorenim ustima|otvorena|usta
😧;izmučenost;izmučenost|lice|mučenje
😨;plašljivost;plašenje|plašljivost|prepad|strah
😰;otvorena usta i hladan znoj;hladan|otvorena usta i hladan znoj|plav|usta|znoj
😥;olakšavajuće razočarenje;lice|olakšanje|olakšavajuće razočarenje|razočarenje
😢;plač;lice|plač|plakanje|suza|tuga
😭;glasan plač;glasan plač|jecanje|lice|plakanje|tuga
😱;vrištanje od straha;lice|prestrašen|strah|strašljiv|vrisak|vrištanje od straha
😖;potpuna rezigniranost;lice|potpuna rezigniranost|rezigniranost
😣;ustrajni pogled;lice|ustrajni pogled|ustrajnost
😞;razočaranost;lice|razočaranost|razočarenje
😓;oblivenost hladnim znojem;hladan|lice|oblivenost hladnim znojem|znoj
😩;iscrpljenost;iscrpljen|iscrpljenost|lice|umoran
😫;umoran;lice|umor|umoran
🥱;zijevanje;dosada|umor|zijevanje
😤;huja;bijes|huja|lice|ljutnja|pobjeda
😡;durenje;bijes|crven|durenje|ljutnja|lud
😠;ljutnja;lice|ljut|ljutnja
🤬;znakovi na ustima;psovke|znakovi na ustima
😈;vragolasto smješkanje;bajka|fantazija|rogovi|smiješak|vragolasto smješkanje
👿;đavoljak;đavo|đavoljak|fantazija|lice|vrag
💀;lobanja;bajka|čudovište|lice|lobanja|smrt
☠️;lobanja i ukrštene kosti;čudovište|kosti|lice|lobanja|lobanja i ukrštene kosti|smrt
💩;kaka;čudovište|humor|izmet|kaka|lice
🤡;klaun;klaun|lice
👹;ljudožder;bajka|čudovište|fantazija|japansko|ljudožder|stvorenje
👺;goblin;bajka|čudovište|fantazija|goblin|japansko|lice|stvorenje
👻;duh;bajka|čudovište|duh|fantazija|lice|stvorenje
👽;vanzemaljac;fantazija|lice|nlo|stvorenje|svemir|vanzemaljac
👾;vanzemaljsko čudovište;lice|nlo|stvorenje|svemir|vanzemaljac|vanzemaljsko čudovište
🤖;robot;čudovište|lice|robot
😺;maca s otvorenim ustima;lice|maca s otvorenim ustima|mačka|osmijeh|otvorena|usta
😸;maca koja se ceri;cerenje|lice|maca koja se ceri|mačka|oko|osmijeh
😹;maca koja plače od smijeha;lice|maca koja plače od smijeha|mačka|oko|radost|suza
😻;maca sa srcima u očima;lice|ljubav|maca sa srcima u očima|mačka|oko|osmijeh|srce
😼;maca s kiselim osmijehom;ironija|iskrivljen|kiseo|lice|maca s kiselim osmijehom|mačka
😽;maca šalje poljubac zatvorenih očiju;lice|maca šalje poljubac zatvorenih očiju|mačka|oko|poljubac
🙀;iscrpljena maca;iscrpljen|iscrpljena maca|lice|mačka|uh|umoren
😿;maca plače;lice|maca plače|mačka|plakanje|suza|tužna
😾;maca se duri;durenje|lice|maca se duri|mačka
🙈;ne vidim;lice|majmun|ne vidim|zabranjeno|zlo
🙉;ne čujem;lice|majmun|ne čujem|zabranjeno|zlo
🙊;ne govorim;lice|majmun|ne govorim|zabranjeno|zlo
💌;ljubavno pismo;ljubav|ljubavno pismo|pismo|srce
💘;srce probodeno strijelom;kupid|srce|srce probodeno strijelom|strijela
💝;srce s mašnicom;mašnica|srce|srce s mašnicom
💖;svjetlucavo srce;iskra|srce|svjetlucavo srce|uzbuđenje
💗;uvećano srce;nervoza|puls|raste|uvećano srce|uzbuđenje
💓;srce koje kuca;otkucaji srca|pulsiranje|srce|srce koje kuca
💞;više srca se okreće;kretanje|srca|više srca se okreće
💕;dva srca;dva srca|ljubav|srce
💟;srce ukras;srce|srce ukras
❣️;uzvičnik u obliku srca;simbol|srce|uzvičnik|uzvičnik u obliku srca|znak
💔;slomljeno srce;patnja|slomljeno|srce
❤️‍🔥;zapaljeno srce;goriti|ljubav|požuda|srce|sveto srce|zapaljeno srce
❤️‍🩹;liječenje srca;dobro|liječenje|liječenje srca|oporavak|ozdravljenje|poboljšanje|zdravije
❤️;crveno srce;crveno srce|srce
🩷;ružičasto srce;ljubav|ružičasta|ružičasto srce|slatko|srce|sviđanje
🧡;narandžasto srce;narandžasta|narandžasto srce|srce
💛;žuto srce;srce|žuta|žuto srce
💚;zeleno srce;srce|zelena|zeleno srce
💙;plavo srce;plava|plavo srce|srce
🩵;svijetloplavo srce;cijan|plavozelena|srce|svijetloplava|svijetloplavo srce
💜;ljubičasto srce;ljubičasta|ljubičasto srce|srce
🤎;smeđe srce;smeđa|smeđe srce|srce
🖤;crno srce;crno|iskvareno|srce|zlo
🩶;sivo srce;kamen|siva|sivo srce|srce|srebrna
🤍;bijelo srce;bijela|bijelo srce|srce
💋;otisak poljupca;otisak poljupca|poljubac|usne
💯;sto poena;100|poeni|pun|sto|sto poena
💢;simbol ljutnje;bijes|ljutnja|simbol ljutnje|stripovi
🫯;oblak za borbe;borba|debata|hrvanje|lom|neslaganje|rasprava|svađa
💥;eksplozija;eksplozija|stripovi
💫;ošamućen;ošamućen|ošamutiti|stripovi
💦;kapljice znoja;kapljice znoja|prskanje|stripovi|znoj
💨;bježanje;bježanje|pobjeći|stripovi
🕳️;rupa;rupa
💬;oblačić razgovora;dijalog|oblačić|oblačić razgovora|razgovor|stripovi
👁️‍🗨️;oko u oblačiću razgovora;motrenje|oblačić razgovora|oko|oko u oblačiću razgovora
🗨️;oblačić razgovora okrenut nalijevo;dijalog|oblačić razgovora okrenut nalijevo|razgovor
🗯️;oblačić ljutitog razgovora okrenut nadesno;dijalog|ljutnja|oblačić|oblačić ljutitog razgovora okrenut nadesno|razgovor
💭;oblačić razmišljanja;dijalog|oblačić|oblačić razmišljanja|razmišljanje|stripovi
💤;zzz;spavanje|stripovi|zzz

[people_body]
👋;mahanje rukom;mahanje|mahanje rukom|ruka
	👋🏻;mahanje rukom: svijetla boja kože;mahanje|mahanje rukom|ruka|svijetla boja kože
	👋🏼;mahanje rukom: umjereno svijetla boja kože;mahanje|mahanje rukom|ruka|umjereno svijetla boja kože
	👋🏽;mahanje rukom: umjerena boja kože;mahanje|mahanje rukom|ruka|umjerena boja kože
	👋🏾;mahanje rukom: umjereno tamna boja kože;mahanje|mahanje rukom|ruka|umjereno tamna boja kože
	👋🏿;mahanje rukom: tamna boja kože;mahanje|mahanje rukom|ruka|tamna boja kože
🤚;ruka gore;dlan|podignuto|ruka|ruka gore|uspravno
	🤚🏻;ruka gore: svijetla boja kože;dlan|podignuto|ruka|ruka gore|svijetla boja kože|uspravno
	🤚🏼;ruka gore: umjereno svijetla boja kože;dlan|podignuto|ruka|ruka gore|umjereno svijetla boja kože|uspravno
	🤚🏽;ruka gore: umjerena boja kože;dlan|podignuto|ruka|ruka gore|umjerena boja kože|uspravno
	🤚🏾;ruka gore: umjereno tamna boja kože;dlan|podignuto|ruka|ruka gore|umjereno tamna boja kože|uspravno
	🤚🏿;ruka gore: tamna boja kože;dlan|podignuto|ruka|ruka gore|tamna boja kože|uspravno
🖐️;podignuta šaka s raširenim prstima;podignuta šaka s raširenim prstima|pokazivanje|prsti|rašireno|ruka
	🖐🏻;podignuta šaka s raširenim prstima: svijetla boja kože;podignuta šaka s raširenim prstima|pokazivanje|prsti|rašireno|ruka|svijetla boja kože
	🖐🏼;podignuta šaka s raširenim prstima: umjereno svijetla boja kože;podignuta šaka s raširenim prstima|pokazivanje|prsti|rašireno|ruka|umjereno svijetla boja kože
	🖐🏽;podignuta šaka s raširenim prstima: umjerena boja kože;podignuta šaka s raširenim prstima|pokazivanje|prsti|rašireno|ruka|umjerena boja kože
	🖐🏾;podignuta šaka s raširenim prstima: umjereno tamna boja kože;podignuta šaka s raširenim prstima|pokazivanje|prsti|rašireno|ruka|umjereno tamna boja kože
	🖐🏿;podignuta šaka s raširenim prstima: tamna boja kože;podignuta šaka s raširenim prstima|pokazivanje|prsti|rašireno|ruka|tamna boja kože
✋;podignuta šaka;podignuta šaka|pokazivanje|prsti|ruka
	✋🏻;podignuta šaka: svijetla boja kože;podignuta šaka|pokazivanje|prsti|ruka|svijetla boja kože
	✋🏼;podignuta šaka: umjereno svijetla boja kože;podignuta šaka|pokazivanje|prsti|ruka|umjereno svijetla boja kože
	✋🏽;podignuta šaka: umjerena boja kože;podignuta šaka|pokazivanje|prsti|ruka|umjerena boja kože
	✋🏾;podignuta šaka: umjereno tamna boja kože;podignuta šaka|pokazivanje|prsti|ruka|umjereno tamna boja kože
	✋🏿;podignuta šaka: tamna boja kože;podignuta šaka|pokazivanje|prsti|ruka|tamna boja kože
🖖;vulkanski pozdrav;pozdrav|ruka|spock|vulkanac|vulkanski pozdrav
	🖖🏻;vulkanski pozdrav: svijetla boja kože;pozdrav|ruka|spock|svijetla boja kože|vulkanac|vulkanski pozdrav
	🖖🏼;vulkanski pozdrav: umjereno svijetla boja kože;pozdrav|ruka|spock|umjereno svijetla boja kože|vulkanac|vulkanski pozdrav
	🖖🏽;vulkanski pozdrav: umjerena boja kože;pozdrav|ruka|spock|umjerena boja kože|vulkanac|vulkanski pozdrav
	🖖🏾;vulkanski pozdrav: umjereno tamna boja kože;pozdrav|ruka|spock|umjereno tamna boja kože|vulkanac|vulkanski pozdrav
	🖖🏿;vulkanski pozdrav: tamna boja kože;pozdrav|ruka|spock|tamna boja kože|vulkanac|vulkanski pozdrav
🫱;ruka udesno;desno|ruka|udesno
	🫱🏻;ruka udesno: svijetla boja kože;desno|ruka|svijetla boja kože|udesno
	🫱🏼;ruka udesno: umjereno svijetla boja kože;desno|ruka|udesno|umjereno svijetla boja kože
	🫱🏽;ruka udesno: umjerena boja kože;desno|ruka|udesno|umjerena boja kože
	🫱🏾;ruka udesno: umjereno tamna boja kože;desno|ruka|udesno|umjereno tamna boja kože
	🫱🏿;ruka udesno: tamna boja kože;desno|ruka|tamna boja kože|udesno
🫲;ruka ulijevo;lijevo|ruka|ulijevo
	🫲🏻;ruka ulijevo: svijetla boja kože;lijevo|ruka|svijetla boja kože|ulijevo
	🫲🏼;ruka ulijevo: umjereno svijetla boja kože;lijevo|ruka|ulijevo|umjereno svijetla boja kože
	🫲🏽;ruka ulijevo: umjerena boja kože;lijevo|ruka|ulijevo|umjerena boja kože
	🫲🏾;ruka ulijevo: umjereno tamna boja kože;lijevo|ruka|ulijevo|umjereno tamna boja kože
	🫲🏿;ruka ulijevo: tamna boja kože;lijevo|ruka|tamna boja kože|ulijevo
🫳;ruka s dlanom nadolje;ispuštanje|odmahivanje|ruka s dlanom nadolje|tjeranje
	🫳🏻;ruka s dlanom nadolje: svijetla boja kože;ispuštanje|odmahivanje|ruka s dlanom nadolje|svijetla boja kože|tjeranje
	🫳🏼;ruka s dlanom nadolje: umjereno svijetla boja kože;ispuštanje|odmahivanje|ruka s dlanom nadolje|tjeranje|umjereno svijetla boja kože
	🫳🏽;ruka s dlanom nadolje: umjerena boja kože;ispuštanje|odmahivanje|ruka s dlanom nadolje|tjeranje|umjerena boja kože
	🫳🏾;ruka s dlanom nadolje: umjereno tamna boja kože;ispuštanje|odmahivanje|ruka s dlanom nadolje|tjeranje|umjereno tamna boja kože
	🫳🏿;ruka s dlanom nadolje: tamna boja kože;ispuštanje|odmahivanje|ruka s dlanom nadolje|tamna boja kože|tjeranje
🫴;ruka s dlanom nagore;dođi|dozivanje|hvatanje|nuđenje|ruka s dlanom nagore
	🫴🏻;ruka s dlanom nagore: svijetla boja kože;dođi|dozivanje|hvatanje|nuđenje|ruka s dlanom nagore|svijetla boja kože
	🫴🏼;ruka s dlanom nagore: umjereno svijetla boja kože;dođi|dozivanje|hvatanje|nuđenje|ruka s dlanom nagore|umjereno svijetla boja kože
	🫴🏽;ruka s dlanom nagore: umjerena boja kože;dođi|dozivanje|hvatanje|nuđenje|ruka s dlanom nagore|umjerena boja kože
	🫴🏾;ruka s dlanom nagore: umjereno tamna boja kože;dođi|dozivanje|hvatanje|nuđenje|ruka s dlanom nagore|umjereno tamna boja kože
	🫴🏿;ruka s dlanom nagore: tamna boja kože;dođi|dozivanje|hvatanje|nuđenje|ruka s dlanom nagore|tamna boja kože
🫷;ruka koja gura ulijevo;čekaj|daj pet|guranje|odbijanje|ruka koja gura ulijevo|stani|ulijevo
	🫷🏻;ruka koja gura ulijevo: svijetla boja kože;čekaj|daj pet|guranje|odbijanje|ruka koja gura ulijevo|stani|svijetla boja kože|ulijevo
	🫷🏼;ruka koja gura ulijevo: umjereno svijetla boja kože;čekaj|daj pet|guranje|odbijanje|ruka koja gura ulijevo|stani|ulijevo|umjereno svijetla boja kože
	🫷🏽;ruka koja gura ulijevo: umjerena boja kože;čekaj|daj pet|guranje|odbijanje|ruka koja gura ulijevo|stani|ulijevo|umjerena boja kože
	🫷🏾;ruka koja gura ulijevo: umjereno tamna boja kože;čekaj|daj pet|guranje|odbijanje|ruka koja gura ulijevo|stani|ulijevo|umjereno tamna boja kože
	🫷🏿;ruka koja gura ulijevo: tamna boja kože;čekaj|daj pet|guranje|odbijanje|ruka koja gura ulijevo|stani|tamna boja kože|ulijevo
🫸;ruka koja gura udesno;čekaj|daj pet|guranje|odbijanje|ruka koja gura udesno|stani|udesno
	🫸🏻;ruka koja gura udesno: svijetla boja kože;čekaj|daj pet|guranje|odbijanje|ruka koja gura udesno|stani|svijetla boja kože|udesno
	🫸🏼;ruka koja gura udesno: umjereno svijetla boja kože;čekaj|daj pet|guranje|odbijanje|ruka koja gura udesno|stani|udesno|umjereno svijetla boja kože
	🫸🏽;ruka koja gura udesno: umjerena boja kože;čekaj|daj pet|guranje|odbijanje|ruka koja gura udesno|stani|udesno|umjerena boja kože
	🫸🏾;ruka koja gura udesno: umjereno tamna boja kože;čekaj|daj pet|guranje|odbijanje|ruka koja gura udesno|stani|udesno|umjereno tamna boja kože
	🫸🏿;ruka koja gura udesno: tamna boja kože;čekaj|daj pet|guranje|odbijanje|ruka koja gura udesno|stani|tamna boja kože|udesno
👌;prsti pokazuju ok;ok|prsti pokazuju ok
	👌🏻;prsti pokazuju ok: svijetla boja kože;ok|prsti pokazuju ok|svijetla boja kože
	👌🏼;prsti pokazuju ok: umjereno svijetla boja kože;ok|prsti pokazuju ok|umjereno svijetla boja kože
	👌🏽;prsti pokazuju ok: umjerena boja kože;ok|prsti pokazuju ok|umjerena boja kože
	👌🏾;prsti pokazuju ok: umjereno tamna boja kože;ok|prsti pokazuju ok|umjereno tamna boja kože
	👌🏿;prsti pokazuju ok: tamna boja kože;ok|prsti pokazuju ok|tamna boja kože
🤌;skupljeni prsti;gest rukom|ispitivanje|prsti|sarkastično|skupljeni prsti|uštinuti
	🤌🏻;skupljeni prsti: svijetla boja kože;gest rukom|ispitivanje|prsti|sarkastično|skupljeni prsti|svijetla boja kože|uštinuti
	🤌🏼;skupljeni prsti: umjereno svijetla boja kože;gest rukom|ispitivanje|prsti|sarkastično|skupljeni prsti|umjereno svijetla boja kože|uštinuti
	🤌🏽;skupljeni prsti: umjerena boja kože;gest rukom|ispitivanje|prsti|sarkastično|skupljeni prsti|umjerena boja kože|uštinuti
	🤌🏾;skupljeni prsti: umjereno tamna boja kože;gest rukom|ispitivanje|prsti|sarkastično|skupljeni prsti|umjereno tamna boja kože|uštinuti
	🤌🏿;skupljeni prsti: tamna boja kože;gest rukom|ispitivanje|prsti|sarkastično|skupljeni prsti|tamna boja kože|uštinuti
🤏;ruka koja štipa;ruka koja štipa|ruka pokazuje malo
	🤏🏻;ruka koja štipa: svijetla boja kože;ruka koja štipa|ruka pokazuje malo|svijetla boja kože
	🤏🏼;ruka koja štipa: umjereno svijetla boja kože;ruka koja štipa|ruka pokazuje malo|umjereno svijetla boja kože
	🤏🏽;ruka koja štipa: umjerena boja kože;ruka koja štipa|ruka pokazuje malo|umjerena boja kože
	🤏🏾;ruka koja štipa: umjereno tamna boja kože;ruka koja štipa|ruka pokazuje malo|umjereno tamna boja kože
	🤏🏿;ruka koja štipa: tamna boja kože;ruka koja štipa|ruka pokazuje malo|tamna boja kože
✌️;dva prsta u znaku pobjede;dva prsta|dva prsta u znaku pobjede|pobjeda
	✌🏻;dva prsta u znaku pobjede: svijetla boja kože;dva prsta|dva prsta u znaku pobjede|pobjeda|svijetla boja kože
	✌🏼;dva prsta u znaku pobjede: umjereno svijetla boja kože;dva prsta|dva prsta u znaku pobjede|pobjeda|umjereno svijetla boja kože
	✌🏽;dva prsta u znaku pobjede: umjerena boja kože;dva prsta|dva prsta u znaku pobjede|pobjeda|umjerena boja kože
	✌🏾;dva prsta u znaku pobjede: umjereno tamna boja kože;dva prsta|dva prsta u znaku pobjede|pobjeda|umjereno tamna boja kože
	✌🏿;dva prsta u znaku pobjede: tamna boja kože;dva prsta|dva prsta u znaku pobjede|pobjeda|tamna boja kože
🤞;držanje palčeva;držanje palčeva|držati|fige|palac|sreća
	🤞🏻;držanje palčeva: svijetla boja kože;držanje palčeva|držati|fige|palac|sreća|svijetla boja kože
	🤞🏼;držanje palčeva: umjereno svijetla boja kože;držanje palčeva|držati|fige|palac|sreća|umjereno svijetla boja kože
	🤞🏽;držanje palčeva: umjerena boja kože;držanje palčeva|držati|fige|palac|sreća|umjerena boja kože
	🤞🏾;držanje palčeva: umjereno tamna boja kože;držanje palčeva|držati|fige|palac|sreća|umjereno tamna boja kože
	🤞🏿;držanje palčeva: tamna boja kože;držanje palčeva|držati|fige|palac|sreća|tamna boja kože
🫰;ruka s prekrštenim kažiprstom i palcem;ljubav|novac|pucketanje|ruka s prekrštenim kažiprstom i palcem|skupo|srce
	🫰🏻;ruka s prekrštenim kažiprstom i palcem: svijetla boja kože;ljubav|novac|pucketanje|ruka s prekrštenim kažiprstom i palcem|skupo|srce|svijetla boja kože
	🫰🏼;ruka s prekrštenim kažiprstom i palcem: umjereno svijetla boja kože;ljubav|novac|pucketanje|ruka s prekrštenim kažiprstom i palcem|skupo|srce|umjereno svijetla boja kože
	🫰🏽;ruka s prekrštenim kažiprstom i palcem: umjerena boja kože;ljubav|novac|pucketanje|ruka s prekrštenim kažiprstom i palcem|skupo|srce|umjerena boja kože
	🫰🏾;ruka s prekrštenim kažiprstom i palcem: umjereno tamna boja kože;ljubav|novac|pucketanje|ruka s prekrštenim kažiprstom i palcem|skupo|srce|umjereno tamna boja kože
	🫰🏿;ruka s prekrštenim kažiprstom i palcem: tamna boja kože;ljubav|novac|pucketanje|ruka s prekrštenim kažiprstom i palcem|skupo|srce|tamna boja kože
🤟;volim te;ruka|volim|volim te|VT
	🤟🏻;volim te: svijetla boja kože;ruka|svijetla boja kože|volim|volim te|VT
	🤟🏼;volim te: umjereno svijetla boja kože;ruka|umjereno svijetla boja kože|volim|volim te|VT
	🤟🏽;volim te: umjerena boja kože;ruka|umjerena boja kože|volim|volim te|VT
	🤟🏾;volim te: umjereno tamna boja kože;ruka|umjereno tamna boja kože|volim|volim te|VT
	🤟🏿;volim te: tamna boja kože;ruka|tamna boja kože|volim|volim te|VT
🤘;znak rogova;pokazivanje|rogovi|ruka|znak|znak rogova
	🤘🏻;znak rogova: svijetla boja kože;pokazivanje|rogovi|ruka|svijetla boja kože|znak|znak rogova
	🤘🏼;znak rogova: umjereno svijetla boja kože;pokazivanje|rogovi|ruka|umjereno svijetla boja kože|znak|znak rogova
	🤘🏽;znak rogova: umjerena boja kože;pokazivanje|rogovi|ruka|umjerena boja kože|znak|znak rogova
	🤘🏾;znak rogova: umjereno tamna boja kože;pokazivanje|rogovi|ruka|umjereno tamna boja kože|znak|znak rogova
	🤘🏿;znak rogova: tamna boja kože;pokazivanje|rogovi|ruka|tamna boja kože|znak|znak rogova
🤙;nazovi;nazovi|poziv|ruka
	🤙🏻;nazovi: svijetla boja kože;nazovi|poziv|ruka|svijetla boja kože
	🤙🏼;nazovi: umjereno svijetla boja kože;nazovi|poziv|ruka|umjereno svijetla boja kože
	🤙🏽;nazovi: umjerena boja kože;nazovi|poziv|ruka|umjerena boja kože
	🤙🏾;nazovi: umjereno tamna boja kože;nazovi|poziv|ruka|umjereno tamna boja kože
	🤙🏿;nazovi: tamna boja kože;nazovi|poziv|ruka|tamna boja kože
👈;pokazivanje kažiprstom ulijevo;kažiprst|lijevo|nadlanica|pokazivanje|pokazivanje kažiprstom ulijevo|prst|ruka
	👈🏻;pokazivanje kažiprstom ulijevo: svijetla boja kože;kažiprst|lijevo|nadlanica|pokazivanje|pokazivanje kažiprstom ulijevo|prst|ruka|svijetla boja kože
	👈🏼;pokazivanje kažiprstom ulijevo: umjereno svijetla boja kože;kažiprst|lijevo|nadlanica|pokazivanje|pokazivanje kažiprstom ulijevo|prst|ruka|umjereno svijetla boja kože
	👈🏽;pokazivanje kažiprstom ulijevo: umjerena boja kože;kažiprst|lijevo|nadlanica|pokazivanje|pokazivanje kažiprstom ulijevo|prst|ruka|umjerena boja kože
	👈🏾;pokazivanje kažiprstom ulijevo: umjereno tamna boja kože;kažiprst|lijevo|nadlanica|pokazivanje|pokazivanje kažiprstom ulijevo|prst|ruka|umjereno tamna boja kože
	👈🏿;pokazivanje kažiprstom ulijevo: tamna boja kože;kažiprst|lijevo|nadlanica|pokazivanje|pokazivanje kažiprstom ulijevo|prst|ruka|tamna boja kože
👉;pokazivanje kažiprstom udesno;desno|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom udesno|prst|ruka
	👉🏻;pokazivanje kažiprstom udesno: svijetla boja kože;desno|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom udesno|prst|ruka|svijetla boja kože
