# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
🫢;açıq gözlü üz və ağzı tutmuş əl;açıq gözlü üz və ağzı tutmuş əl|heyrət|heyrətlənmək|ilahi|inamsızlıq|nəfəsini tutmaq|qorxu|qorxuram|sakit|sürpriz|xəcalətli
🫣;baxan gözlə üz;baxan gözlə üz|baxış|biip|əsir|gizlənmək|gizli|oğrun baxış|oğrun baxmaq|qorxmaq|utancaq|utandırmaq
🤫;tərpənən sifət;&quot;sakit ol&quot; işarəsi|sakit|susmaq|tərpənən|tərpənən sifət
🤔;düşünən üz;düşünən üz|düşünür|fikrə getmiş emoji|üz
🫡;salamlayan üz;bəli|bəli cənab|bəli xanım|günəşli|hörmət|qoşunlar|salam|salamlama|salamlayan üz|tamam|uğurlar
🤐;ağzı bağlanmış üz;ağız|ağzı bağlanmış üz|sakit qalmaq işarəsi|səs çıxarmamaq işarəsi|üz|zəncirbənd
🤨;qaşları qalxmış üz;inamsız|qaşları qalxmış üz|skeptik|təəccüblənmiş üz
😐;neytral üz;neytral|neytral üz ifadəsi|sıxılan üz|soyuqqanlı|üz
😑;ifadəsiz üz;donuq|durğun|durğun üz ifadəsi|ifadəsiz|üz|vecsiz üz ifadəsi
😶;ağızsız üz;ağız|ağızsız üz|ağzı olmayan emoji|danışmayan|sakit|səssiz|susmuş üz|üz
🫥;nöqtəli xətli üz;darıxmış|depressiya|gizlət|gizli|görünməz|introvert|kefsiz|nöqtəli xətli üz|sıxılmış|yox olmaq
😶‍🌫️;buludlu üz;bulud|buludlu baş|buludlu üz
😏;özündən razı gülümsəyən üz;ağzını büzən üz|özündən razı gülümsəmək|özündən razı gülümsəyən üz|özündənrazı üz|şübhəli üz|üz
😒;kefsiz üz;darıxdırıcı üz ifadəsi|kefsiz|narazı|üz
🙄;gözlərini fırladan üz;düşünən üz ifadəsi|fırlatmaq|göz|gözləri yuxarı baxan emoji|gözlərini fırladan üz|uff|üz
😬;üz-gözünü turşudan üz;dişini ağardıb gülən üz|üz|üz-gözünü turşudan üz|üz-gözünü turşutmaq
😮‍💨;nəfəs alan üz;ciyərəçəkmə|nəfəs alan üz|nəfəsalma|pıçıldama|yorğun üz
🤥;yalançı adam üzü;adam|üzü|yalançı
🫨;silkələnən üz;aman tanrım|həyəcan|silkələmək|silkələnən üz|şok|sürpriz|titrəmək|üz|zəlzələ
🙂‍↔️;başı üfüqi silkələmək;başı üfüqi silkələmək|silkələmək|yox
🙂‍↕️;başı şaquli silkələmək;başı şaquli silkələmək|hə|silkələmək
😌;rahat üz;rahat üz|rahatlıq|sakitlik|üz|yüngülləşmiş|yüngülləşmiş üz ifadəsi
😔;fikirli üz;fikirli|məyus|qəmgin üz|üz
😪;yuxulu üz;kədərli üz|qəmgin üz|üz|yatmaq|yorğun üz|yuxulu üz
🤤;ağız sulanan üz;ağız|ağız sulanan üz|ağzı sulanan üz|sulanmaq|üz
😴;yatan üz;çarpayı|üz|yatan adam emojisi|yatan üz|yatmaq|yorğun üz|yuxulu üz|zzz
🫩;altı torbalanmış gözləri olan üz;çox yorğun|darıxan|gecikmiş|gözlər|haldan düşmüş|heydən düşmüş|torbalar|üz|yorğun|yuxulu
😷;tibbi maskalı üz;diş həkimi|həkim|maska|naxoş|soyuq|tibb|tibbi maska taxmış üz|tibbi maskalı üz|üz|xəstə
🤒;termometrli;naxoş|termometr|termometrli|üz|xəstə
🤕;baş sarğılı üz;ağrımaq|baş sarğılı üz|başı sarğılı üz|sarğı|üz|xəsarət|zədə
🤢;iyrənən üz;iyrənən üz|iyrənmək|ürəyi bulanan üz|üz
🤮;qusan üz;öyümək|qaytaran üz|qusan emoji|qusan üz|qusmaq|xəstə
🤧;asqıran üz;asqıran üz|asqırmaq|qrip|sifət|üz|xəstə
🥵;pörtləmiş üz;dil çıxaran emoji|hot|istivurma|pörtləmiş üz|qızarmış üz|qızdırma|tərləmə
🥶;donmuş üz;buz|buz bağlamış adam emojisi|dişlərini qıcayan üz|donmuş|donmuş üz|donvurma|göy üz|şaxta|soyuq
🥴;gicəllənən üz;birtəhər|çəp gözlər|əyri ağız|gicəllənən|gicəllənən üz|sərxoş|sərxoş adam emojisi
😵;başıgicəllənən üz;başgicəllənmə|başıgicəllənən üz|üz
😵‍💫;spiral gözlü üz;başgicəllənmə|hipnozlanmış|problem|spiral|spiral gözlü üz
🤯;partlayan baş;beyni partlayan adam emojisi|partlayan baş|şoka düşmüş|şokda olan adam emojisi
🤠;papaqlı qaqaş üzü;kauboy|papaqlı|papaqlı qaqaş üzü|qaqaş|üz
🥳;parti edən üz;bayram etmək|bayram qeyd edən üz|buynuz|doğum günü|papaq|parti|parti edən üz
🥸;maskalanmış üz;bığ|burun|casus|eynəklər|inkoqnito|insan|maskalama|maskalanmış üz|qaşlar|üz
😎;gün eynəyi ilə gülən üz;eynək|göz|gün eynəyi|gün eynəyi ilə gülən üz|günəş|özündənrazı üz|qalib gəlmiş üz|soyuqqanlı mimika
🤓;axmaq üz;ağıllı|axmaq|dərrakəli|eynək|fərasətli|gicbəsər|istedadlı|mütəxəssis|üz
🧐;monokllu üz;bir gözü sarğılı üz|monokllu üz|stuffy|varlı adam emojisi
😕;çaşqın üz;çaşqın|əmin olmayan adam emojisi|təəssüfedici ifadə|üz
🫤;diaqonal ağızlı üz;darıxmış|diaqonal ağızlı üz|karıxma|karıxmaq|meh|məyus|məyus olmaq|qeyri-əmin|sıxılmış|skeptik|şübhə|şübhəli
😟;narahat üz;məyus üz emojisi|narahat|üz
🙁;bir az qaşqabaqlı üz;bir az qaşqabaqlı üz|narazı sifət|qaşqabağını tökmək|qaşqabaqlı|qəmgin üz|üz
☹️;qaşqabaqlı üz;qaşqabaqlı|qəmgin üz|üz
😮;ağzı açıq üz;açıq|ağız|ağzı açıq üz|simpatiya|şok keçirən üz|təəccüblü üz ifadəsi|üz
😯;heyrətlənmiş üz;heyrətlənmiş|susmuş|təəccüblənmiş|üz
😲;təəccüblənmiş üz;şoka düşmüş|şoka düşmüş üz|tamamilə|təəccüblənmiş|üz
😳;qızarmış üz;karıxmış|qızarmış|təəccüb ifadəsi|təəccüblə baxan üz|utanmış|üz
🫪;əyilmiş üz;həssas|narahatlıq|panik|şişkin|şok|təəccüb
🥺;yalvaran üz;iri gözlər|mərhəmət|mərhəmət gözləyən üz|nəm gözlər|yalvaran üz|yalvarış
🥹;dolmuş gözləri olan üz;ağlamaq|dolmuş gözləri olan üz|heyranlıq|hirsli|hislər|məmnuniyyət|minnətdar|müqavimət|qəmgin|qəmli|qürurlu|sevinc göz yaşları|utanmaq|xoşlamaq
😦;ağzı açıq qaşqabaqlı üz;açıq|ağız|ağzı açıq qaşqabaqlı üz|qaşqabaqlı|qorxmuş üz|ürkmüş üz|üz
😧;kədərli üz;kədərli|məyus üz|təəccüblü üz|üz
😨;qorxmuş üz;narahat|qorxmuş üz|qorxu|qorxulu|ürkmüş|üz
😰;ağzı açıq və soyuq tər olan üz;açıq|ağız|ağzı açıq və soyuq tər olan üz|mavi|qəmgin üz|qorxmuş üz|soyuq|soyuq tər axıdan üz
😥;məyus lakin rahat üz;hmm|məyus lakin rahat üz|məyus lakin rahatlamış üz|qəmli|üz|yüngülləşmiş
😢;ağlayan üz;ağlamaq|ağlayan üz|göz yaşı|qəmli|üz
😭;bərkdən ağlayan üz;ağlamaq|ağlayan üz|bərkdən ağlayan üz|göz yaşı|hönkürtü|kədərli|qəmli|üz
😱;qorxudan çığıran üz;çeynəmək|çığırmaq|qorxu|qorxudan çığıran üz|qorxulu|ürkmüş|üz
😖;utanan üz;beyni qarışmış adam emojisi|çaşqın üz|usanmış üz|utanan|üz
😣;inadkar üz;baş ağrısı|inadkar|inadkar adam emojisi|üz
😞;məyus üz;günahkar üz|məyus|üz
😓;soyuq tərli üz;baş ağrısı|əsəbi üz|kədərli|soyuq|soyuq tərli üz|tər|tər axıdan üz|üz
😩;yorulmuş üz;ağlayan üz|əzgin|usanmış|üz|yorulmuş üz
😫;yorğun üz;ağlamaq|asqıran üz|kədərli üz|üz|yorğun
🥱;əsnəyən üz;bezmiş|əsnəyən|əsnəyən üz|yorğun|yorğun üz|yuxu vaxtı|yuxulu üz
😤;burnundan tüstü çıxan üz;burnundan tüstü çıxan üz|əsəbi üz|qalib|qəzəbli üz|üz|zəfər
😡;acıqlı üz;acıq etmək|acıqlı|əsəbi üz|hirsli|qəzəb|qəzəbli üz|qırmızı|üz
😠;hirsli üz;acıqlı|əsəbi üz|hirsli|üz
🤬;ağızda simvolları olan üz;ağızda simvolları olan üz|lənətləyən üz|söyən üz|söymək
😈;buynuzlu gülən üz;buynuz|buynuz çıxararaq gülən şeytan|buynuzlu gülən üz|fantastika|mərdimazar|nağıl|pisniyyətli|şeytan|təbəssüm|üz
👿;şeytan;buynuz çıxarmış şeytan|fantastika|iblis|nağıl|şeytan|üz
💀;kəllə;kəllə|monstr|nağıl|ölüm|üz
☠️;kəllə və sümüklər;kəllə|kəllə və sümüklər|monstr|ölüm|təhlükə işarəsi|üz
💩;pox;iyrənc|kakaşka|komik|monstr|peyin|pox|tullantı|üz
🤡;kloun üzü;kloun|kloun üzü|üz
👹;div;div|fantastika|məxluq|monstr|nağıl|şeytan|üz|yapon
👺;qoblin;əsəbi|fantastika|maska|məxluq|monstr|nağıl|qoblin|üz|yapon
👻;ruh;fantastika|məxluq|monstr|nağıl|ruh|üz
👽;yadplanetli;fantastika|kosmos|monstr|yadplanetli
👾;yadplanetli monstr;fantastika|kosmos|monstr|yadplanetli
🤖;robot üz;monstr|robot|üz
😺;ağzı açıq gülən pişik üzü;açıq|ağız|ağzı açıq gülən pişik üzü|dişlərini ağardaraq gülən pişik|pişik|təbəssüm|üz
😸;gözləri gülən dişini ağardan pişik üzü;dişini ağardaraq gülən pişik|dişini ağartmaq|göz|gözləri gülən dişini ağardan pişik üzü|pişik|təbəssüm|üz
😹;sevinc göz yaşları olan pişik üzü;göz yaşı|gülməkdən gözü yaşaran pişik|pişik|sevinc|sevinc göz yaşları axıdan pişik|sevinc göz yaşları olan pişik üzü|üz
😻;ürək formalı gözləri olan gülən pişik üzü;göz|pişik|sevgi|təbəssüm|ürək|ürək formalı gözləri olan gülən pişik üzü|üz
😼;əyri-əyri gülən pişik üzü;dodağını büzmüş pişik|əyri|əyri-əyri gülən pişik üzü|kinayə ilə baxan pişik|kinayəli|pişik|təbəssüm|üz
😽;bağlı gözlərlə öpən pişik üzü;bağlı gözlərlə öpən pişik üzü|göz|gözü bağlı öpüş göndərən pişik|öpüş|pişik|üz
🙀;təəccüblənmiş pişik üzü;əzgin|oh|pişik|təəccüblənmiş|təəccüblənmiş pişik üzü|üz
😿;ağlayan pişik üzü;ağlamaq|ağlayan pişik|ağlayan pişik üzü|göz yaşı|göz yaşı axıtmaq|kədərli|pişik|qəmli|üz
😾;acıqlı pişik üzü;acıq etmək|acıqlı pişik üzü|pişik|üz
🙈;pisliyi görümürəm;aman allah|baxmaq|jest|meymun|pis şeyləri görmürəm|pisliyi görümürəm|qadağa|utancaq meymun
🙉;pisliyi eşitmirəm;eşitmək|jest|meymun|pis sözləri eşitmirəm|pisliyi eşitmirəm|qadağa|qulaqlarını bağlamış meymun
🙊;pis danışmıram;ağzını tutmuş meymun|danışmaq|jest|meymun|pis danışmıram|pis sözlər danışmıram|qadağa
💌;sevgi məktubu;məktub|poçt|romantika|sevgi|sevgi məktubu|ürək
💘;oxlu ürək;amur|ox|oxlu ürək|romantika|ürək
💝;lentli ürək;lent|lentli ürək|sevgi|ürək|valentin
💖;qığılcımlı ürək;həyəcanlı|işıq saçan ürək|qığılcım|qığılcımlı ürək|sevgi|ürək
💗;böyüyıb ürək;böyümək|böyüyıb ürək|həyəcanlı|nervous|ürək|ürək döyüntüsü
💓;döyünən ürək;döyünən ürək|döyünmək|sevgi|ürək|ürək döyüntüsü
💞;fırlanan ürəklr;143|fırlanan|fırlanan ürəklr|iki ürək|mələk nömrəsi|ürək
💕;iki ürək;hisslər|iki ürək|sevgi|ürək
💟;ürək bəzəyi;143|mələk nömrəsi|ürək|ürək bəzəyi
❣️;ürək nida işarəsi ornamenti;durğu işarəsi|işarə|nida|ürək|ürək formalı nida işarəsi|ürək nida işarəsi ornamenti
💔;sınmış ürək;parçalanmış ürək|sındırılmış|sındırmaq|sınmış ürək|ürək
❤️‍🔥;alovlu ürək;alovlu ürək|müqəddəs ürək|sevgi|şəhvət|ürək|yanmaq
❤️‍🩹;yara bandlı ürək;özünə gəlmək|sağalma|sağlam|yara bandı bağlamaq|yara bandlı ürək
❤️;qırmızı ürək;qırmızı ürək|sevgi|ürək
🩷;çəhrayı ürək;çəhrayı|emosiya|sevgi|şirin|ürək|xoş|xoşlamaq
🧡;narıncı ürək;narıncı|narıncı ürək
💛;sarı ürək;emosiya|sarı|ürək
💚;yaşıl ürək;ürək|yaşıl
💙;mavi ürək;mavi|ürək
🩵;açıq mavi ürək;açıq mavi|açıq mavi ürək|emosiya|mavi|ördəkbaşı|sevgi|səma mavisi|ürək|xoşlamaq
💜;bənövşəyi ürək;bənövşəyi|sevgi|ürək
🤎;qəhvəyi ürək;qəhvəyi|ürək
🖤;qara-ürək adam;pis|qara|qara-ürək adam|ürək|xislət
🩶;boz ürək;boz|gümüş|sevgi|şifer|ürək|xüsusi şəxs
🤍;ağ ürək;ağ|ürək
💋;öpüş işarəsi;dodaq|işarə|öpüş|öpüş işarəsi|romantika|ürək
💯;100 xal;100|hundqırmızı|tam|tam razılaşmaq|xal|yüz xal
💢;qəzəb simvolu;acıqlı|hirsli|komik|qəzəb simvolu
🫯;savaş buludu;arqument|dava|debat|döyüş|fikir ayrılığı|güləş|təlaş
💥;toqquşma;bum|komik|partlamaq|partlayış|toqquşma
💫;başgicəllənməsi;başgicəllənməsi|komik|parıldamaq|parlaq ulduz|ulduz
💦;tər damcıları;komik|sıçramaq|su|su damcısı|tər|tər damcıları
💨;sürətli hərəkət;komik|qaçış|sürətli hərəkət|tez getmək
🕳️;deşik;deşik|dəlik
💬;nitq şarı;danışmaq|dialoq|komik|köpük|nitq|nitq şarı|şar
👁️‍🗨️;tanıq işarəsi;göz|nitq qabarcığı|şahid|tanıq işarəsi
🗨️;boş nitq şarı;boş nitq şarı|dialoq|nitq
🗯️;sağ qəzəb şarı;acıqlı|əsəbi nitq şarı|hirsli|köpük|sağ qəzəb şarı|şar
💭;düşüncə şarı;bulud|düşüncə|düşüncə şarı|düşüncələrə qərq olmaq|fikirlər|ideyalar|komik|köpük|şar
💤;zzz;komik|yatmaq|yorğun|yuxulu|zzz

[people_body]
👋;əl sallayan əllər;əl|əl sallamaq|əl sallayan əllər|orqan|sağ ol|sağollaşmaq işarəsi|yelləmə|yelləmək
	👋🏻;əl sallayan əllər: açıq dəri tonu;açıq dəri tonu|əl|əl sallamaq|əl sallayan əllər|orqan|sağ ol|sağollaşmaq işarəsi|yelləmə|yelləmək
	👋🏼;əl sallayan əllər: orta-açıq dəri tonu;əl|əl sallamaq|əl sallayan əllər|orqan|orta-açıq dəri tonu|sağ ol|sağollaşmaq işarəsi|yelləmə|yelləmək
	👋🏽;əl sallayan əllər: orta dəri tonu;əl|əl sallamaq|əl sallayan əllər|orqan|orta dəri tonu|sağ ol|sağollaşmaq işarəsi|yelləmə|yelləmək
	👋🏾;əl sallayan əllər: orta-tünd dəri tonu;əl|əl sallamaq|əl sallayan əllər|orqan|orta-tünd dəri tonu|sağ ol|sağollaşmaq işarəsi|yelləmə|yelləmək
	👋🏿;əl sallayan əllər: tünd dəri tonu;əl|əl sallamaq|əl sallayan əllər|orqan|sağ ol|sağollaşmaq işarəsi|tünd dəri tonu|yelləmə|yelləmək
🤚;yuxarı qalxan əl arxası;arxa|əl|qaldırmaq|yuxarı|yuxarı qalxan əl arxası
	🤚🏻;yuxarı qalxan əl arxası: açıq dəri tonu;açıq dəri tonu|arxa|əl|qaldırmaq|yuxarı|yuxarı qalxan əl arxası
	🤚🏼;yuxarı qalxan əl arxası: orta-açıq dəri tonu;arxa|əl|orta-açıq dəri tonu|qaldırmaq|yuxarı|yuxarı qalxan əl arxası
	🤚🏽;yuxarı qalxan əl arxası: orta dəri tonu;arxa|əl|orta dəri tonu|qaldırmaq|yuxarı|yuxarı qalxan əl arxası
	🤚🏾;yuxarı qalxan əl arxası: orta-tünd dəri tonu;arxa|əl|orta-tünd dəri tonu|qaldırmaq|yuxarı|yuxarı qalxan əl arxası
	🤚🏿;yuxarı qalxan əl arxası: tünd dəri tonu;arxa|əl|qaldırmaq|tünd dəri tonu|yuxarı|yuxarı qalxan əl arxası
🖐️;barmaqları aralı şəkildə qaldırılmış əl;aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|əl|orqan|stop
	🖐🏻;barmaqları aralı şəkildə qaldırılmış əl: açıq dəri tonu;açıq dəri tonu|aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|əl|orqan|stop
	🖐🏼;barmaqları aralı şəkildə qaldırılmış əl: orta-açıq dəri tonu;aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|əl|orqan|orta-açıq dəri tonu|stop
	🖐🏽;barmaqları aralı şəkildə qaldırılmış əl: orta dəri tonu;aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|əl|orqan|orta dəri tonu|stop
	🖐🏾;barmaqları aralı şəkildə qaldırılmış əl: orta-tünd dəri tonu;aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|əl|orqan|orta-tünd dəri tonu|stop
	🖐🏿;barmaqları aralı şəkildə qaldırılmış əl: tünd dəri tonu;aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|əl|orqan|stop|tünd dəri tonu
✋;qaldırımış əl;beş|əl|əl ilə salamlamaq|əl qaldırmaq|əl sallamaq|orqan|qaldırımış əl
	✋🏻;qaldırımış əl: açıq dəri tonu;açıq dəri tonu|beş|əl|əl ilə salamlamaq|əl qaldırmaq|əl sallamaq|orqan|qaldırımış əl
	✋🏼;qaldırımış əl: orta-açıq dəri tonu;beş|əl|əl ilə salamlamaq|əl qaldırmaq|əl sallamaq|orqan|orta-açıq dəri tonu|qaldırımış əl
	✋🏽;qaldırımış əl: orta dəri tonu;beş|əl|əl ilə salamlamaq|əl qaldırmaq|əl sallamaq|orqan|orta dəri tonu|qaldırımış əl
	✋🏾;qaldırımış əl: orta-tünd dəri tonu;beş|əl|əl ilə salamlamaq|əl qaldırmaq|əl sallamaq|orqan|orta-tünd dəri tonu|qaldırımış əl
	✋🏿;qaldırımış əl: tünd dəri tonu;beş|əl|əl ilə salamlamaq|əl qaldırmaq|əl sallamaq|orqan|qaldırımış əl|tünd dəri tonu
🖖;vulkan salamı;barmaq|əl|orqan|spok|vulkan|vulkan salamı|vulkan salamlaması
	🖖🏻;vulkan salamı: açıq dəri tonu;açıq dəri tonu|barmaq|əl|orqan|spok|vulkan|vulkan salamı|vulkan salamlaması
	🖖🏼;vulkan salamı: orta-açıq dəri tonu;barmaq|əl|orqan|orta-açıq dəri tonu|spok|vulkan|vulkan salamı|vulkan salamlaması
	🖖🏽;vulkan salamı: orta dəri tonu;barmaq|əl|orqan|orta dəri tonu|spok|vulkan|vulkan salamı|vulkan salamlaması
	🖖🏾;vulkan salamı: orta-tünd dəri tonu;barmaq|əl|orqan|orta-tünd dəri tonu|spok|vulkan|vulkan salamı|vulkan salamlaması
	🖖🏿;vulkan salamı: tünd dəri tonu;barmaq|əl|orqan|spok|tünd dəri tonu|vulkan|vulkan salamı|vulkan salamlaması
🫱;sağ əl;əl|əl çatma|əl sıxma|əl sıxmaq|sağ|sağa|tutmaq
	🫱🏻;sağ əl: açıq dəri tonu;açıq dəri tonu|əl|əl çatma|əl sıxma|əl sıxmaq|sağ|sağa|tutmaq
	🫱🏼;sağ əl: orta-açıq dəri tonu;əl|əl çatma|əl sıxma|əl sıxmaq|orta-açıq dəri tonu|sağ|sağa|tutmaq
	🫱🏽;sağ əl: orta dəri tonu;əl|əl çatma|əl sıxma|əl sıxmaq|orta dəri tonu|sağ|sağa|tutmaq
	🫱🏾;sağ əl: orta-tünd dəri tonu;əl|əl çatma|əl sıxma|əl sıxmaq|orta-tünd dəri tonu|sağ|sağa|tutmaq
	🫱🏿;sağ əl: tünd dəri tonu;əl|əl çatma|əl sıxma|əl sıxmaq|sağ|sağa|tünd dəri tonu|tutmaq
🫲;sol əl;əl|əl çatma|əl sıxma|əl sıxmaq|sol|sola|tutmaq
	🫲🏻;sol əl: açıq dəri tonu;açıq dəri tonu|əl|əl çatma|əl sıxma|əl sıxmaq|sol|sola|tutmaq
	🫲🏼;sol əl: orta-açıq dəri tonu;əl|əl çatma|əl sıxma|əl sıxmaq|orta-açıq dəri tonu|sol|sola|tutmaq
	🫲🏽;sol əl: orta dəri tonu;əl|əl çatma|əl sıxma|əl sıxmaq|orta dəri tonu|sol|sola|tutmaq
	🫲🏾;sol əl: orta-tünd dəri tonu;əl|əl çatma|əl sıxma|əl sıxmaq|orta-tünd dəri tonu|sol|sola|tutmaq
	🫲🏿;sol əl: tünd dəri tonu;əl|əl çatma|əl sıxma|əl sıxmaq|sol|sola|tünd dəri tonu|tutmaq
🫳;aşağı əl;aşağı|damla|düşmə|əl|kənarlaşdırma|seçmək|şu|tutmaq
	🫳🏻;aşağı əl: açıq dəri tonu;açıq dəri tonu|aşağı|damla|düşmə|əl|kənarlaşdırma|seçmək|şu|tutmaq
	🫳🏼;aşağı əl: orta-açıq dəri tonu;aşağı|damla|düşmə|əl|kənarlaşdırma|orta-açıq dəri tonu|seçmək|şu|tutmaq
	🫳🏽;aşağı əl: orta dəri tonu;aşağı|damla|düşmə|əl|kənarlaşdırma|orta dəri tonu|seçmək|şu|tutmaq
	🫳🏾;aşağı əl: orta-tünd dəri tonu;aşağı|damla|düşmə|əl|kənarlaşdırma|orta-tünd dəri tonu|seçmək|şu|tutmaq
	🫳🏿;aşağı əl: tünd dəri tonu;aşağı|damla|düşmə|əl|kənarlaşdırma|seçmək|şu|tünd dəri tonu|tutmaq
🫴;yuxarı əl;bilmirəm|əl|gəl|işarə|mənə de|qaldırmaq|təklif|tut|tutmaq|yuxarı əl
	🫴🏻;yuxarı əl: açıq dəri tonu;açıq dəri tonu|bilmirəm|əl|gəl|işarə|mənə de|qaldırmaq|təklif|tut|tutmaq|yuxarı əl
	🫴🏼;yuxarı əl: orta-açıq dəri tonu;bilmirəm|əl|gəl|işarə|mənə de|orta-açıq dəri tonu|qaldırmaq|təklif|tut|tutmaq|yuxarı əl
	🫴🏽;yuxarı əl: orta dəri tonu;bilmirəm|əl|gəl|işarə|mənə de|orta dəri tonu|qaldırmaq|təklif|tut|tutmaq|yuxarı əl
	🫴🏾;yuxarı əl: orta-tünd dəri tonu;bilmirəm|əl|gəl|işarə|mənə de|orta-tünd dəri tonu|qaldırmaq|təklif|tut|tutmaq|yuxarı əl
	🫴🏿;yuxarı əl: tünd dəri tonu;bilmirəm|əl|gəl|işarə|mənə de|qaldırmaq|təklif|tünd dəri tonu|tut|tutmaq|yuxarı əl
🫷;sola itələyən əl;beş vurmaq|dayan|əl|gözləmək|imtina|itələmək|sola|sola itələyən əl
	🫷🏻;sola itələyən əl: açıq dəri tonu;açıq dəri tonu|beş vurmaq|dayan|əl|gözləmək|imtina|itələmək|sola|sola itələyən əl
	🫷🏼;sola itələyən əl: orta-açıq dəri tonu;beş vurmaq|dayan|əl|gözləmək|imtina|itələmək|orta-açıq dəri tonu|sola|sola itələyən əl
	🫷🏽;sola itələyən əl: orta dəri tonu;beş vurmaq|dayan|əl|gözləmək|imtina|itələmək|orta dəri tonu|sola|sola itələyən əl
