# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|にっこり|にっこり笑う|笑う|笑顔|顔
💞;回転するハート;かわいい|ハート|回転するハート
💕;2つのハート;2つのハート|ハート|ラブ
💟;ハートデコ;ハート|ハートデコ|ハートデコレーション
❣️;ハートのびっくり;エクスクラメーションマーク|ハート|ハートのびっくり|びっくりマーク
💔;割れたハート;ハート|別れた|割れたハート|失恋
❤️‍🔥;燃えるハート;ハート|愛|火の付いた|炎|燃えるハート|聖なる心臓
❤️‍🩹;包帯を巻いたハート;ケガ|ハート|傷ついた|傷心|包帯|包帯を巻いたハート
❤️;赤いハート;ハート|赤いハート
🩷;ピンクのハート;かわいい|ハート|ピンク|ピンクのハート|ラブ|好き
🧡;オレンジのハート;オレンジのハート|ハート
💛;黄色のハート;ハート|黄色のハート
💚;緑のハート;ハート|緑のハート
💙;青いハート;ハート|青いハート
🩵;薄い青のハート;シアン|ティールブルー|ハート|薄い青|薄い青のハート
💜;紫のハート;ハート|紫のハート
🤎;茶色いハート;ハート|茶色いハート
🖤;黒いハート;ハート|黒いハート
🩶;灰色のハート;スレートグレー|ハート|灰色|灰色のハート|銀色
🤍;白いハート;ハート|白いハート
💋;キスマーク;キス|キスマーク|ちゅっ|唇
💯;100点満点;100|100点|100点満点|全問正解|満点
💢;むかっ;＃|むかっ|怒り
💥;衝突;どんっ|衝撃|衝突
💫;くらくら;くらくら|星|目が回る
💦;あせあせ;あせあせ|汗
💨;ダッシュ;ダッシュ|急ぐ|急げ|走る
🕳️;穴;穴
💬;会話の吹き出し;セリフ|会話|会話の吹き出し|吹き出し
👁️‍🗨️;吹き出しの目;吹き出し|吹き出しの目|目|目撃
🗨️;吹き出し左;セリフ|会話|吹き出し|吹き出し左
🗯️;怒りの吹き出し;吹き出し|怒りの吹き出し
💭;雲形の吹き出し;もくもく|吹き出し|考え事|雲形の吹き出し
💤;グーグー;zzz|いびき|グーグー|寝る

[people_body]
👋;手を振る;バイバイ|手|手を振る
	👋🏻;手を振る: 薄い肌色;バイバイ|手|手を振る|手を振る: 薄い肌色|薄い肌色
	👋🏼;手を振る: やや薄い肌色;バイバイ|やや薄い肌色|手|手を振る|手を振る: やや薄い肌色
	👋🏽;手を振る: 中間の肌色;バイバイ|中間の肌色|手|手を振る|手を振る: 中間の肌色
	👋🏾;手を振る: やや濃い肌色;バイバイ|やや濃い肌色|手|手を振る|手を振る: やや濃い肌色
	👋🏿;手を振る: 濃い肌色;バイバイ|手|手を振る|手を振る: 濃い肌色|濃い肌色
🤚;手の甲;手|手の甲
	🤚🏻;手の甲: 薄い肌色;手|手の甲|手の甲: 薄い肌色|薄い肌色
	🤚🏼;手の甲: やや薄い肌色;やや薄い肌色|手|手の甲|手の甲: やや薄い肌色
	🤚🏽;手の甲: 中間の肌色;中間の肌色|手|手の甲|手の甲: 中間の肌色
	🤚🏾;手の甲: やや濃い肌色;やや濃い肌色|手|手の甲|手の甲: やや濃い肌色
	🤚🏿;手の甲: 濃い肌色;手|手の甲|手の甲: 濃い肌色|濃い肌色
🖐️;開いた手;パー|手|開いた手
	🖐🏻;開いた手: 薄い肌色;パー|手|薄い肌色|開いた手|開いた手: 薄い肌色
	🖐🏼;開いた手: やや薄い肌色;パー|やや薄い肌色|手|開いた手|開いた手: やや薄い肌色
	🖐🏽;開いた手: 中間の肌色;パー|中間の肌色|手|開いた手|開いた手: 中間の肌色
	🖐🏾;開いた手: やや濃い肌色;パー|やや濃い肌色|手|開いた手|開いた手: やや濃い肌色
	🖐🏿;開いた手: 濃い肌色;パー|手|濃い肌色|開いた手|開いた手: 濃い肌色
✋;挙手;パー|手|挙手
	✋🏻;挙手: 薄い肌色;パー|手|挙手|挙手: 薄い肌色|薄い肌色
	✋🏼;挙手: やや薄い肌色;パー|やや薄い肌色|手|挙手|挙手: やや薄い肌色
	✋🏽;挙手: 中間の肌色;パー|中間の肌色|手|挙手|挙手: 中間の肌色
	✋🏾;挙手: やや濃い肌色;パー|やや濃い肌色|手|挙手|挙手: やや濃い肌色
	✋🏿;挙手: 濃い肌色;パー|手|挙手|挙手: 濃い肌色|濃い肌色
🖖;バルカンの挨拶;スポック|バルカンの挨拶|バルカン人|手
	🖖🏻;バルカンの挨拶: 薄い肌色;スポック|バルカンの挨拶|バルカンの挨拶: 薄い肌色|バルカン人|手|薄い肌色
	🖖🏼;バルカンの挨拶: やや薄い肌色;スポック|バルカンの挨拶|バルカンの挨拶: やや薄い肌色|バルカン人|やや薄い肌色|手
	🖖🏽;バルカンの挨拶: 中間の肌色;スポック|バルカンの挨拶|バルカンの挨拶: 中間の肌色|バルカン人|中間の肌色|手
	🖖🏾;バルカンの挨拶: やや濃い肌色;スポック|バルカンの挨拶|バルカンの挨拶: やや濃い肌色|バルカン人|やや濃い肌色|手
	🖖🏿;バルカンの挨拶: 濃い肌色;スポック|バルカンの挨拶|バルカンの挨拶: 濃い肌色|バルカン人|手|濃い肌色
🫱;右に向けた手;右に向けた手|右側|手|方向
	🫱🏻;右に向けた手: 薄い肌色;右に向けた手|右に向けた手: 薄い肌色|右側|手|方向|薄い肌色
	🫱🏼;右に向けた手: やや薄い肌色;やや薄い肌色|右に向けた手|右に向けた手: やや薄い肌色|右側|手|方向
	🫱🏽;右に向けた手: 中間の肌色;中間の肌色|右に向けた手|右に向けた手: 中間の肌色|右側|手|方向
	🫱🏾;右に向けた手: やや濃い肌色;やや濃い肌色|右に向けた手|右に向けた手: やや濃い肌色|右側|手|方向
	🫱🏿;右に向けた手: 濃い肌色;右に向けた手|右に向けた手: 濃い肌色|右側|手|方向|濃い肌色
🫲;左に向けた手;左に向けた手|左側|手|方向
	🫲🏻;左に向けた手: 薄い肌色;左に向けた手|左に向けた手: 薄い肌色|左側|手|方向|薄い肌色
	🫲🏼;左に向けた手: やや薄い肌色;やや薄い肌色|左に向けた手|左に向けた手: やや薄い肌色|左側|手|方向
	🫲🏽;左に向けた手: 中間の肌色;中間の肌色|左に向けた手|左に向けた手: 中間の肌色|左側|手|方向
	🫲🏾;左に向けた手: やや濃い肌色;やや濃い肌色|左に向けた手|左に向けた手: やや濃い肌色|左側|手|方向
	🫲🏿;左に向けた手: 濃い肌色;左に向けた手|左に向けた手: 濃い肌色|左側|手|方向|濃い肌色
🫳;下に向けた手;下|下に向けた手|手|落とす
	🫳🏻;下に向けた手: 薄い肌色;下|下に向けた手|下に向けた手: 薄い肌色|手|落とす|薄い肌色
	🫳🏼;下に向けた手: やや薄い肌色;やや薄い肌色|下|下に向けた手|下に向けた手: やや薄い肌色|手|落とす
	🫳🏽;下に向けた手: 中間の肌色;下|下に向けた手|下に向けた手: 中間の肌色|中間の肌色|手|落とす
	🫳🏾;下に向けた手: やや濃い肌色;やや濃い肌色|下|下に向けた手|下に向けた手: やや濃い肌色|手|落とす
	🫳🏿;下に向けた手: 濃い肌色;下|下に向けた手|下に向けた手: 濃い肌色|手|濃い肌色|落とす
🫴;上に向けた手;上|上に向けた手|受ける|手
	🫴🏻;上に向けた手: 薄い肌色;上|上に向けた手|上に向けた手: 薄い肌色|受ける|手|薄い肌色
	🫴🏼;上に向けた手: やや薄い肌色;やや薄い肌色|上|上に向けた手|上に向けた手: やや薄い肌色|受ける|手
	🫴🏽;上に向けた手: 中間の肌色;上|上に向けた手|上に向けた手: 中間の肌色|中間の肌色|受ける|手
	🫴🏾;上に向けた手: やや濃い肌色;やや濃い肌色|上|上に向けた手|上に向けた手: やや濃い肌色|受ける|手
	🫴🏿;上に向けた手: 濃い肌色;上|上に向けた手|上に向けた手: 濃い肌色|受ける|手|濃い肌色
🫷;左向きに押している手;ストップ|ハイタッチ|左向き|左向きに押している手|待て|押す|断る
	🫷🏻;左向きに押している手: 薄い肌色;ストップ|ハイタッチ|左向き|左向きに押している手|左向きに押している手: 薄い肌色|待て|押す|断る|薄い肌色
	🫷🏼;左向きに押している手: やや薄い肌色;ストップ|ハイタッチ|やや薄い肌色|左向き|左向きに押している手|左向きに押している手: やや薄い肌色|待て|押す|断る
	🫷🏽;左向きに押している手: 中間の肌色;ストップ|ハイタッチ|中間の肌色|左向き|左向きに押している手|左向きに押している手: 中間の肌色|待て|押す|断る
	🫷🏾;左向きに押している手: やや濃い肌色;ストップ|ハイタッチ|やや濃い肌色|左向き|左向きに押している手|左向きに押している手: やや濃い肌色|待て|押す|断る
	🫷🏿;左向きに押している手: 濃い肌色;ストップ|ハイタッチ|左向き|左向きに押している手|左向きに押している手: 濃い肌色|待て|押す|断る|濃い肌色
🫸;右向きに押している手;ストップ|ハイタッチ|右向き|右向きに押している手|待て|押す|断る
	🫸🏻;右向きに押している手: 薄い肌色;ストップ|ハイタッチ|右向き|右向きに押している手|右向きに押している手: 薄い肌色|待て|押す|断る|薄い肌色
	🫸🏼;右向きに押している手: やや薄い肌色;ストップ|ハイタッチ|やや薄い肌色|右向き|右向きに押している手|右向きに押している手: やや薄い肌色|待て|押す|断る
	🫸🏽;右向きに押している手: 中間の肌色;ストップ|ハイタッチ|中間の肌色|右向き|右向きに押している手|右向きに押している手: 中間の肌色|待て|押す|断る
	🫸🏾;右向きに押している手: やや濃い肌色;ストップ|ハイタッチ|やや濃い肌色|右向き|右向きに押している手|右向きに押している手: やや濃い肌色|待て|押す|断る
	🫸🏿;右向きに押している手: 濃い肌色;ストップ|ハイタッチ|右向き|右向きに押している手|右向きに押している手: 濃い肌色|待て|押す|断る|濃い肌色
👌;OKの手;OK|OKの手|オーケー|オッケー|手
	👌🏻;OKの手: 薄い肌色;OK|OKの手|OKの手: 薄い肌色|オーケー|オッケー|手|薄い肌色
	👌🏼;OKの手: やや薄い肌色;OK|OKの手|OKの手: やや薄い肌色|オーケー|オッケー|やや薄い肌色|手
	👌🏽;OKの手: 中間の肌色;OK|OKの手|OKの手: 中間の肌色|オーケー|オッケー|中間の肌色|手
	👌🏾;OKの手: やや濃い肌色;OK|OKの手|OKの手: やや濃い肌色|オーケー|オッケー|やや濃い肌色|手
	👌🏿;OKの手: 濃い肌色;OK|OKの手|OKの手: 濃い肌色|オーケー|オッケー|手|濃い肌色
🤌;上向きにすぼめた手;ジェスチャー|すぼめる|上向きにすぼめた手|手|指
	🤌🏻;上向きにすぼめた手: 薄い肌色;ジェスチャー|すぼめる|上向きにすぼめた手|上向きにすぼめた手: 薄い肌色|手|指|薄い肌色
	🤌🏼;上向きにすぼめた手: やや薄い肌色;ジェスチャー|すぼめる|やや薄い肌色|上向きにすぼめた手|上向きにすぼめた手: やや薄い肌色|手|指
	🤌🏽;上向きにすぼめた手: 中間の肌色;ジェスチャー|すぼめる|上向きにすぼめた手|上向きにすぼめた手: 中間の肌色|中間の肌色|手|指
	🤌🏾;上向きにすぼめた手: やや濃い肌色;ジェスチャー|すぼめる|やや濃い肌色|上向きにすぼめた手|上向きにすぼめた手: やや濃い肌色|手|指
	🤌🏿;上向きにすぼめた手: 濃い肌色;ジェスチャー|すぼめる|上向きにすぼめた手|上向きにすぼめた手: 濃い肌色|手|指|濃い肌色
🤏;つまんでいる指;ちょっと|つまんでいる指|少しだけ|手|指
	🤏🏻;つまんでいる指: 薄い肌色;ちょっと|つまんでいる指|つまんでいる指: 薄い肌色|少しだけ|手|指|薄い肌色
	🤏🏼;つまんでいる指: やや薄い肌色;ちょっと|つまんでいる指|つまんでいる指: やや薄い肌色|やや薄い肌色|少しだけ|手|指
	🤏🏽;つまんでいる指: 中間の肌色;ちょっと|つまんでいる指|つまんでいる指: 中間の肌色|中間の肌色|少しだけ|手|指
	🤏🏾;つまんでいる指: やや濃い肌色;ちょっと|つまんでいる指|つまんでいる指: やや濃い肌色|やや濃い肌色|少しだけ|手|指
	🤏🏿;つまんでいる指: 濃い肌色;ちょっと|つまんでいる指|つまんでいる指: 濃い肌色|少しだけ|手|指|濃い肌色
✌️;Vサイン;Vサイン|チョキ|ピース|手
	✌🏻;Vサイン: 薄い肌色;Vサイン|Vサイン: 薄い肌色|チョキ|ピース|手|薄い肌色
	✌🏼;Vサイン: やや薄い肌色;Vサイン|Vサイン: やや薄い肌色|チョキ|ピース|やや薄い肌色|手
	✌🏽;Vサイン: 中間の肌色;Vサイン|Vサイン: 中間の肌色|チョキ|ピース|中間の肌色|手
	✌🏾;Vサイン: やや濃い肌色;Vサイン|Vサイン: やや濃い肌色|チョキ|ピース|やや濃い肌色|手
	✌🏿;Vサイン: 濃い肌色;Vサイン|Vサイン: 濃い肌色|チョキ|ピース|手|濃い肌色
🤞;指をクロス;手|指|指をクロス
	🤞🏻;指をクロス: 薄い肌色;手|指|指をクロス|指をクロス: 薄い肌色|薄い肌色
	🤞🏼;指をクロス: やや薄い肌色;やや薄い肌色|手|指|指をクロス|指をクロス: やや薄い肌色
	🤞🏽;指をクロス: 中間の肌色;中間の肌色|手|指|指をクロス|指をクロス: 中間の肌色
	🤞🏾;指をクロス: やや濃い肌色;やや濃い肌色|手|指|指をクロス|指をクロス: やや濃い肌色
	🤞🏿;指をクロス: 濃い肌色;手|指|指をクロス|指をクロス: 濃い肌色|濃い肌色
🫰;親指と人差し指をクロス;手|指|指をクロス|親指と人差し指をクロス
	🫰🏻;親指と人差し指をクロス: 薄い肌色;手|指|指をクロス|薄い肌色|親指と人差し指をクロス|親指と人差し指をクロス: 薄い肌色
	🫰🏼;親指と人差し指をクロス: やや薄い肌色;やや薄い肌色|手|指|指をクロス|親指と人差し指をクロス|親指と人差し指をクロス: やや薄い肌色
	🫰🏽;親指と人差し指をクロス: 中間の肌色;中間の肌色|手|指|指をクロス|親指と人差し指をクロス|親指と人差し指をクロス: 中間の肌色
	🫰🏾;親指と人差し指をクロス: やや濃い肌色;やや濃い肌色|手|指|指をクロス|親指と人差し指をクロス|親指と人差し指をクロス: やや濃い肌色
	🫰🏿;親指と人差し指をクロス: 濃い肌色;手|指|指をクロス|濃い肌色|親指と人差し指をクロス|親指と人差し指をクロス: 濃い肌色
🤟;アイラブユー;アイラブユー|愛してる|手
	🤟🏻;アイラブユー: 薄い肌色;アイラブユー|アイラブユー: 薄い肌色|愛してる|手|薄い肌色
	🤟🏼;アイラブユー: やや薄い肌色;アイラブユー|アイラブユー: やや薄い肌色|やや薄い肌色|愛してる|手
	🤟🏽;アイラブユー: 中間の肌色;アイラブユー|アイラブユー: 中間の肌色|中間の肌色|愛してる|手
	🤟🏾;アイラブユー: やや濃い肌色;アイラブユー|アイラブユー: やや濃い肌色|やや濃い肌色|愛してる|手
	🤟🏿;アイラブユー: 濃い肌色;アイラブユー|アイラブユー: 濃い肌色|愛してる|手|濃い肌色
🤘;角の指サイン;キツネ|手|角の指サイン
	🤘🏻;角の指サイン: 薄い肌色;キツネ|手|薄い肌色|角の指サイン|角の指サイン: 薄い肌色
	🤘🏼;角の指サイン: やや薄い肌色;キツネ|やや薄い肌色|手|角の指サイン|角の指サイン: やや薄い肌色
	🤘🏽;角の指サイン: 中間の肌色;キツネ|中間の肌色|手|角の指サイン|角の指サイン: 中間の肌色
	🤘🏾;角の指サイン: やや濃い肌色;キツネ|やや濃い肌色|手|角の指サイン|角の指サイン: やや濃い肌色
	🤘🏿;角の指サイン: 濃い肌色;キツネ|手|濃い肌色|角の指サイン|角の指サイン: 濃い肌色
🤙;電話の合図;手|電話|電話のジェスチャー|電話の合図
	🤙🏻;電話の合図: 薄い肌色;手|薄い肌色|電話|電話のジェスチャー|電話の合図|電話の合図: 薄い肌色
	🤙🏼;電話の合図: やや薄い肌色;やや薄い肌色|手|電話|電話のジェスチャー|電話の合図|電話の合図: やや薄い肌色
	🤙🏽;電話の合図: 中間の肌色;中間の肌色|手|電話|電話のジェスチャー|電話の合図|電話の合図: 中間の肌色
	🤙🏾;電話の合図: やや濃い肌色;やや濃い肌色|手|電話|電話のジェスチャー|電話の合図|電話の合図: やや濃い肌色
	🤙🏿;電話の合図: 濃い肌色;手|濃い肌色|電話|電話のジェスチャー|電話の合図|電話の合図: 濃い肌色
👈;左指差し;左|左指差し|手|指差し
	👈🏻;左指差し: 薄い肌色;左|左指差し|左指差し: 薄い肌色|手|指差し|薄い肌色
	👈🏼;左指差し: やや薄い肌色;やや薄い肌色|左|左指差し|左指差し: やや薄い肌色|手|指差し
	👈🏽;左指差し: 中間の肌色;中間の肌色|左|左指差し|左指差し: 中間の肌色|手|指差し
	👈🏾;左指差し: やや濃い肌色;やや濃い肌色|左|左指差し|左指差し: やや濃い肌色|手|指差し
	👈🏿;左指差し: 濃い肌色;左|左指差し|左指差し: 濃い肌色|手|指差し|濃い肌色
👉;右指差し;右|右指差し|手|指差し
	👉🏻;右指差し: 薄い肌色;右|右指差し|右指差し: 薄い肌色|手|指差し|薄い肌色
	👉🏼;右指差し: やや薄い肌色;やや薄い肌色|右|右指差し|右指差し: やや薄い肌色|手|指差し
	👉🏽;右指差し: 中間の肌色;中間の肌色|右|右指差し|右指差し: 中間の肌色|手|指差し
	👉🏾;右指差し: やや濃い肌色;やや濃い肌色|右|右指差し|右指差し: やや濃い肌色|手|指差し
	👉🏿;右指差し: 濃い肌色;右|右指差し|右指差し: 濃い肌色|手|指差し|濃い肌色
👆;手の甲上指差し;上|手|手の甲上指差し|指差し
	👆🏻;手の甲上指差し: 薄い肌色;上|手|手の甲上指差し|手の甲上指差し: 薄い肌色|指差し|薄い肌色
	👆🏼;手の甲上指差し: やや薄い肌色;やや薄い肌色|上|手|手の甲上指差し|手の甲上指差し: やや薄い肌色|指差し
	👆🏽;手の甲上指差し: 中間の肌色;上|中間の肌色|手|手の甲上指差し|手の甲上指差し: 中間の肌色|指差し
	👆🏾;手の甲上指差し: やや濃い肌色;やや濃い肌色|上|手|手の甲上指差し|手の甲上指差し: やや濃い肌色|指差し
	👆🏿;手の甲上指差し: 濃い肌色;上|手|手の甲上指差し|手の甲上指差し: 濃い肌色|指差し|濃い肌色
🖕;立てた中指;上|中指|手|指差し|立てた中指
	🖕🏻;立てた中指: 薄い肌色;上|中指|手|指差し|立てた中指|立てた中指: 薄い肌色|薄い肌色
	🖕🏼;立てた中指: やや薄い肌色;やや薄い肌色|上|中指|手|指差し|立てた中指|立てた中指: やや薄い肌色
	🖕🏽;立てた中指: 中間の肌色;上|中指|中間の肌色|手|指差し|立てた中指|立てた中指: 中間の肌色
	🖕🏾;立てた中指: やや濃い肌色;やや濃い肌色|上|中指|手|指差し|立てた中指|立てた中指: やや濃い肌色
	🖕🏿;立てた中指: 濃い肌色;上|中指|手|指差し|濃い肌色|立てた中指|立てた中指: 濃い肌色
👇;下指差し;下|下指差し|手|指差し
	👇🏻;下指差し: 薄い肌色;下|下指差し|下指差し: 薄い肌色|手|指差し|薄い肌色
