[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
🫢;açıq gözlü üz və ağzı tutmuş əl;açıq gözlü üz və ağzı tutmuş əl|heyrət|inamsızlıq|qorxu|qorxuram|sürpriz|xəcalətli
🫣;baxan gözlə üz;baxan gözlə üz|baxış|biip|əsir
🤫;tərpənən sifət;sakit|tərpənən|tərpənən sifət
🤔;düşünən üz;düşünən üz|düşünür|üz
🫡;salamlayan üz;bəli|günəşli|qoşunlar|salam|salamlayan üz|tamam
🤐;ağzı bağlanmış üz;ağız|ağzı bağlanmış üz|üz|zəncirbənd
🤨;qaşları qalxmış üz;inamsız|qaşları qalxmış üz|skeptik
😐;neytral üz;neytral|soyuqqanlı|üz
😑;ifadəsiz üz;donuq|durğun|ifadəsiz|üz
😶;ağızsız üz;ağız|ağızsız üz|sakit|səssiz|üz
🫥;nöqtəli xətli üz;depressiya|gizlət|görünməz|introvert|nöqtəli xətli üz|yox olmaq
😶‍🌫️;buludlu üz;bulud|buludlu baş|buludlu üz
😏;özündən razı gülümsəyən üz;özündən razı gülümsəmək|özündən razı gülümsəyən üz|üz
😒;kefsiz üz;kefsiz|narazı|üz
🙄;gözlərini fırladan üz;fırlatmaq|göz|gözlərini fırladan üz|üz
😬;üz-gözünü turşudan üz;üz|üz-gözünü turşudan üz|üz-gözünü turşutmaq
😮‍💨;nəfəs alan üz;ciyərəçəkmə|nəfəs alan üz|nəfəsalma|pıçıldama
🤥;yalançı adam üzü;adam|üzü|yalançı
🫨;silkələnən üz;silkələmək|silkələnən üz|şok|titrəmək|üz|zəlzələ
🙂‍↔️;başı üfüqi silkələmək;başı üfüqi silkələmək|silkələmək|yox
🙂‍↕️;başı şaquli silkələmək;başı şaquli silkələmək|hə|silkələmək
😌;rahat üz;rahat üz|üz|yüngülləşmiş
😔;fikirli üz;fikirli|məyus|üz
😪;yuxulu üz;üz|yatmaq|yuxulu üz
🤤;ağız sulanan üz;ağız|ağız sulanan üz|sulanmaq|üz
😴;yatan üz;üz|yatan üz|yatmaq|zzz
😷;tibbi maskalı üz;həkim|maska|naxoş|soyuq|tibb|tibbi maskalı üz|üz
🤒;termometrli;naxoş|termometr|termometrli|üz|xəstə
🤕;baş sarğılı üz;baş sarğılı üz|sarğı|üz|xəsarət|zədə
🤢;iyrənən üz;iyrənən üz|iyrənmək|üz
🤮;qusan üz;qusan üz|qusmaq|xəstə
🤧;asqıran üz;asqıran üz|asqırmaq|qrip|sifət|üz
🥵;pörtləmiş üz;hot|istivurma|pörtləmiş üz|qızarmış üz|qızdırma|tərləmə
🥶;donmuş üz;buz|donmuş|donmuş üz|donvurma|göy üz|soyuq
🥴;gicəllənən üz;birtəhər|çəp gözlər|əyri ağız|gicəllənən|gicəllənən üz|sərxoş
😵;başıgicəllənən üz;başgicəllənmə|başıgicəllənən üz|üz
😵‍💫;spiral gözlü üz;başgicəllənmə|hipnozlanmış|problem|spiral|spiral gözlü üz
🤯;partlayan baş;partlayan baş|şoka düşmüş
🤠;papaqlı qaqaş üzü;papaqlı|papaqlı qaqaş üzü|qaqaş|üz
🥳;parti edən üz;bayram etmək|buynuz|papaq|parti|parti edən üz
🥸;maskalanmış üz;burun|eynəklər|inkoqnito|maskalama|maskalanmış üz|üz
😎;gün eynəyi ilə gülən üz;eynək|göz|gün eynəyi|gün eynəyi ilə gülən üz|günəş
🤓;axmaq üz;axmaq|gicbəsər|üz
🧐;monokllu üz;monokllu üz|stuffy
😕;çaşqın üz;çaşqın|üz
🫤;diaqonal ağızlı üz;diaqonal ağızlı üz|meh|məyus|qeyri-əmin|skeptik
😟;narahat üz;narahat|üz
🙁;bir az qaşqabaqlı üz;bir az qaşqabaqlı üz|qaşqabaqlı|üz
☹️;qaşqabaqlı üz;qaşqabaqlı|üz
😮;ağzı açıq üz;açıq|ağız|ağzı açıq üz|simpatiya|üz
😯;heyrətlənmiş üz;heyrətlənmiş|susmuş|təəccüblənmiş|üz
😲;təəccüblənmiş üz;şoka düşmüş|tamamilə|təəccüblənmiş|üz
😳;qızarmış üz;karıxmış|qızarmış|üz
🥺;yalvaran üz;mərhəmət|nəm gözlər|yalvaran üz|yalvarış
🥹;dolmuş gözləri olan üz;ağlamaq|dolmuş gözləri olan üz|hirsli|müqavimət|qəmli|qürurlu
😦;ağzı açıq qaşqabaqlı üz;açıq|ağız|ağzı açıq qaşqabaqlı üz|qaşqabaqlı|üz
😧;kədərli üz;kədərli|üz
😨;qorxmuş üz;qorxmuş üz|qorxu|qorxulu|ürkmüş|üz
😰;ağzı açıq və soyuq tər olan üz;açıq|ağız|ağzı açıq və soyuq tər olan üz|mavi|soyuq
😥;məyus lakin rahat üz;hmm|məyus lakin rahat üz|qəmli|üz|yüngülləşmiş
😢;ağlayan üz;ağlamaq|ağlayan üz|göz yaşı|qəmli|üz
😭;bərkdən ağlayan üz;ağlamaq|bərkdən ağlayan üz|göz yaşı|hönkürtü|qəmli|üz
😱;qorxudan çığıran üz;çeynəmək|çığırmaq|qorxu|qorxudan çığıran üz|qorxulu|ürkmüş|üz
😖;utanan üz;utanan|üz
😣;inadkar üz;inadkar|üz
😞;məyus üz;məyus|üz
😓;soyuq tərli üz;soyuq|soyuq tərli üz|tər|üz
😩;yorulmuş üz;əzgin|usanmış|üz|yorulmuş üz
😫;yorğun üz;üz|yorğun
🥱;əsnəyən üz;bezmiş|əsnəyən|əsnəyən üz|yorğun
😤;burnundan tüstü çıxan üz;burnundan tüstü çıxan üz|qalib|üz|zəfər
😡;acıqlı üz;acıq etmək|acıqlı|hirsli|qəzəb|qırmızı|üz
😠;hirsli üz;acıqlı|hirsli|üz
🤬;ağızda simvolları olan üz;ağızda simvolları olan üz|söymək
😈;buynuzlu gülən üz;buynuz|buynuzlu gülən üz|fantastika|nağıl|təbəssüm|üz
👿;şeytan;fantastika|iblis|nağıl|şeytan|üz
💀;kəllə;kəllə|monstr|nağıl|ölüm|üz
☠️;kəllə və sümüklər;kəllə|kəllə və sümüklər|monstr|ölüm|təhlükə işarəsi|üz
💩;pox;kakaşka|komik|monstr|peyin|pox|üz
🤡;kloun üzü;kloun|kloun üzü|üz
👹;div;div|fantastika|məxluq|monstr|nağıl|üz|yapon
👺;qoblin;fantastika|məxluq|monstr|nağıl|qoblin|üz|yapon
👻;ruh;fantastika|məxluq|monstr|nağıl|ruh|üz
👽;yadplanetli;fantastika|kosmos|monstr|yadplanetli
👾;yadplanetli monstr;fantastika|kosmos|monstr|yadplanetli
🤖;robot üz;monstr|robot|üz
😺;ağzı açıq gülən pişik üzü;açıq|ağız|ağzı açıq gülən pişik üzü|pişik|təbəssüm|üz
😸;gözləri gülən dişini ağardan pişik üzü;dişini ağartmaq|göz|gözləri gülən dişini ağardan pişik üzü|pişik|təbəssüm|üz
😹;sevinc göz yaşları olan pişik üzü;göz yaşı|pişik|sevinc|sevinc göz yaşları olan pişik üzü|üz
😻;ürək formalı gözləri olan gülən pişik üzü;göz|pişik|sevgi|təbəssüm|ürək|ürək formalı gözləri olan gülən pişik üzü|üz
😼;əyri-əyri gülən pişik üzü;əyri|əyri-əyri gülən pişik üzü|kinayəli|pişik|təbəssüm|üz
😽;bağlı gözlərlə öpən pişik üzü;bağlı gözlərlə öpən pişik üzü|göz|öpüş|pişik|üz
🙀;təəccüblənmiş pişik üzü;əzgin|oh|pişik|təəccüblənmiş|təəccüblənmiş pişik üzü|üz
😿;ağlayan pişik üzü;ağlamaq|ağlayan pişik üzü|göz yaşı|pişik|qəmli|üz
😾;acıqlı pişik üzü;acıq etmək|acıqlı pişik üzü|pişik|üz
🙈;pisliyi görümürəm;baxmaq|jest|meymun|pisliyi görümürəm|qadağa
🙉;pisliyi eşitmirəm;eşitmək|jest|meymun|pisliyi eşitmirəm|qadağa
🙊;pis danışmıram;danışmaq|jest|meymun|pis danışmıram|qadağa
💌;sevgi məktubu;məktub|poçt|romantika|sevgi|sevgi məktubu|ürək
💘;oxlu ürək;amur|ox|oxlu ürək|romantika|ürək
💝;lentli ürək;lent|lentli ürək|ürək|valentin
💖;qığılcımlı ürək;həyəcanlı|qığılcım|qığılcımlı ürək|ürək
💗;böyüyıb ürək;böyümək|böyüyıb ürək|həyəcanlı|nervous|ürək|ürək döyüntüsü
💓;döyünən ürək;döyünən ürək|döyünmək|ürək|ürək döyüntüsü
💞;fırlanan ürəklr;fırlanan|fırlanan ürəklr|ürək
💕;iki ürək;iki ürək|sevgi|ürək
💟;ürək bəzəyi;ürək|ürək bəzəyi
❣️;ürək nida işarəsi ornamenti;durğu işarəsi|işarə|nida|ürək|ürək nida işarəsi ornamenti
💔;sınmış ürək;sındırılmış|sındırmaq|sınmış ürək|ürək
❤️‍🔥;alovlu ürək;alovlu ürək|müqəddəs ürək|sevgi|şəhvət|ürək|yanmaq
❤️‍🩹;yara bandlı ürək;özünə gəlmək|sağalma|sağlam|yara bandı bağlamaq|yara bandlı ürək
❤️;qırmızı ürək;qırmızı ürək|ürək
🩷;çəhrayı ürək;çəhrayı|sevgi|şirin|ürək|xoş
🧡;narıncı ürək;narıncı|narıncı ürək
💛;sarı ürək;sarı|ürək
💚;yaşıl ürək;ürək|yaşıl
💙;mavi ürək;mavi|ürək
🩵;açıq mavi ürək;açıq mavi|açıq mavi ürək|mavi|ördəkbaşı|ürək
💜;bənövşəyi ürək;bənövşəyi|ürək
🤎;qəhvəyi ürək;qəhvəyi|ürək
🖤;qara-ürək adam;pis|qara|qara-ürək adam|ürək|xislət
🩶;boz ürək;boz|gümüş|şifer|ürək
🤍;ağ ürək;ağ|ürək
💋;öpüş işarəsi;dodaq|işarə|öpüş|öpüş işarəsi|romantika|ürək
💯;100 xal;100|hundqırmızı|tam|xal
💢;qəzəb simvolu;acıqlı|hirsli|komik|qəzəb simvolu
💥;toqquşma;bum|komik|toqquşma
💫;başgicəllənməsi;başgicəllənməsi|komik|ulduz
💦;tər damcıları;komik|sıçramaq|tər|tər damcıları
💨;sürətli hərəkət;komik|qaçış|sürətli hərəkət|tez getmək
🕳️;deşik;deşik
💬;nitq şarı;dialoq|komik|köpük|nitq|nitq şarı|şar
👁️‍🗨️;tanıq işarəsi;göz|nitq qabarcığı|şahid|tanıq işarəsi
🗨️;boş nitq şarı;boş nitq şarı|dialoq|nitq
🗯️;sağ qəzəb şarı;acıqlı|hirsli|köpük|sağ qəzəb şarı|şar
💭;düşüncə şarı;düşüncə|düşüncə şarı|komik|köpük|şar
💤;zzz;komik|yatmaq|zzz

[people_body]
👋;əl sallayan əllər;əl|əl sallayan əllər|orqan|yelləmə|yelləmək
	👋🏻;əl sallayan əllər: açıq dəri tonu;açıq dəri tonu|əl|əl sallayan əllər|əl sallayan əllər: açıq dəri tonu|orqan|yelləmə|yelləmək
	👋🏼;əl sallayan əllər: orta-açıq dəri tonu;əl|əl sallayan əllər|əl sallayan əllər: orta-açıq dəri tonu|orqan|orta-açıq dəri tonu|yelləmə|yelləmək
	👋🏽;əl sallayan əllər: orta dəri tonu;əl|əl sallayan əllər|əl sallayan əllər: orta dəri tonu|orqan|orta dəri tonu|yelləmə|yelləmək
	👋🏾;əl sallayan əllər: orta-tünd dəri tonu;əl|əl sallayan əllər|əl sallayan əllər: orta-tünd dəri tonu|orqan|orta-tünd dəri tonu|yelləmə|yelləmək
	👋🏿;əl sallayan əllər: tünd dəri tonu;əl|əl sallayan əllər|əl sallayan əllər: tünd dəri tonu|orqan|tünd dəri tonu|yelləmə|yelləmək
🤚;yuxarı qalxan əl arxası;arxa|əl|qaldırmaq|yuxarı|yuxarı qalxan əl arxası
	🤚🏻;yuxarı qalxan əl arxası: açıq dəri tonu;açıq dəri tonu|arxa|əl|qaldırmaq|yuxarı|yuxarı qalxan əl arxası|yuxarı qalxan əl arxası: açıq dəri tonu
	🤚🏼;yuxarı qalxan əl arxası: orta-açıq dəri tonu;arxa|əl|orta-açıq dəri tonu|qaldırmaq|yuxarı|yuxarı qalxan əl arxası|yuxarı qalxan əl arxası: orta-açıq dəri tonu
	🤚🏽;yuxarı qalxan əl arxası: orta dəri tonu;arxa|əl|orta dəri tonu|qaldırmaq|yuxarı|yuxarı qalxan əl arxası|yuxarı qalxan əl arxası: orta dəri tonu
	🤚🏾;yuxarı qalxan əl arxası: orta-tünd dəri tonu;arxa|əl|orta-tünd dəri tonu|qaldırmaq|yuxarı|yuxarı qalxan əl arxası|yuxarı qalxan əl arxası: orta-tünd dəri tonu
	🤚🏿;yuxarı qalxan əl arxası: tünd dəri tonu;arxa|əl|qaldırmaq|tünd dəri tonu|yuxarı|yuxarı qalxan əl arxası|yuxarı qalxan əl arxası: tünd dəri tonu
🖐️;barmaqları aralı şəkildə qaldırılmış əl;aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|əl|orqan
	🖐🏻;barmaqları aralı şəkildə qaldırılmış əl: açıq dəri tonu;açıq dəri tonu|aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|barmaqları aralı şəkildə qaldırılmış əl: açıq dəri tonu|əl|orqan
	🖐🏼;barmaqları aralı şəkildə qaldırılmış əl: orta-açıq dəri tonu;aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|barmaqları aralı şəkildə qaldırılmış əl: orta-açıq dəri tonu|əl|orqan|orta-açıq dəri tonu
	🖐🏽;barmaqları aralı şəkildə qaldırılmış əl: orta dəri tonu;aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|barmaqları aralı şəkildə qaldırılmış əl: orta dəri tonu|əl|orqan|orta dəri tonu
	🖐🏾;barmaqları aralı şəkildə qaldırılmış əl: orta-tünd dəri tonu;aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|barmaqları aralı şəkildə qaldırılmış əl: orta-tünd dəri tonu|əl|orqan|orta-tünd dəri tonu
	🖐🏿;barmaqları aralı şəkildə qaldırılmış əl: tünd dəri tonu;aralı|barmaq|barmaqları aralı şəkildə qaldırılmış əl|barmaqları aralı şəkildə qaldırılmış əl: tünd dəri tonu|əl|orqan|tünd dəri tonu
✋;qaldırımış əl;əl|orqan|qaldırımış əl
	✋🏻;qaldırımış əl: açıq dəri tonu;açıq dəri tonu|əl|orqan|qaldırımış əl|qaldırımış əl: açıq dəri tonu
	✋🏼;qaldırımış əl: orta-açıq dəri tonu;əl|orqan|orta-açıq dəri tonu|qaldırımış əl|qaldırımış əl: orta-açıq dəri tonu
	✋🏽;qaldırımış əl: orta dəri tonu;əl|orqan|orta dəri tonu|qaldırımış əl|qaldırımış əl: orta dəri tonu
	✋🏾;qaldırımış əl: orta-tünd dəri tonu;əl|orqan|orta-tünd dəri tonu|qaldırımış əl|qaldırımış əl: orta-tünd dəri tonu
	✋🏿;qaldırımış əl: tünd dəri tonu;əl|orqan|qaldırımış əl|qaldırımış əl: tünd dəri tonu|tünd dəri tonu
🖖;vulkan salamı;barmaq|əl|orqan|spok|vulkan|vulkan salamı
	🖖🏻;vulkan salamı: açıq dəri tonu;açıq dəri tonu|barmaq|əl|orqan|spok|vulkan|vulkan salamı|vulkan salamı: açıq dəri tonu
	🖖🏼;vulkan salamı: orta-açıq dəri tonu;barmaq|əl|orqan|orta-açıq dəri tonu|spok|vulkan|vulkan salamı|vulkan salamı: orta-açıq dəri tonu
	🖖🏽;vulkan salamı: orta dəri tonu;barmaq|əl|orqan|orta dəri tonu|spok|vulkan|vulkan salamı|vulkan salamı: orta dəri tonu
	🖖🏾;vulkan salamı: orta-tünd dəri tonu;barmaq|əl|orqan|orta-tünd dəri tonu|spok|vulkan|vulkan salamı|vulkan salamı: orta-tünd dəri tonu
	🖖🏿;vulkan salamı: tünd dəri tonu;barmaq|əl|orqan|spok|tünd dəri tonu|vulkan|vulkan salamı|vulkan salamı: tünd dəri tonu
🫱;sağ əl;əl|sağ|sağa
	🫱🏻;sağ əl: açıq dəri tonu;açıq dəri tonu|əl|sağ|sağ əl: açıq dəri tonu|sağa
	🫱🏼;sağ əl: orta-açıq dəri tonu;əl|orta-açıq dəri tonu|sağ|sağ əl: orta-açıq dəri tonu|sağa
	🫱🏽;sağ əl: orta dəri tonu;əl|orta dəri tonu|sağ|sağ əl: orta dəri tonu|sağa
	🫱🏾;sağ əl: orta-tünd dəri tonu;əl|orta-tünd dəri tonu|sağ|sağ əl: orta-tünd dəri tonu|sağa
	🫱🏿;sağ əl: tünd dəri tonu;əl|sağ|sağ əl: tünd dəri tonu|sağa|tünd dəri tonu
🫲;sol əl;əl|sol|sola
	🫲🏻;sol əl: açıq dəri tonu;açıq dəri tonu|əl|sol|sol əl: açıq dəri tonu|sola
	🫲🏼;sol əl: orta-açıq dəri tonu;əl|orta-açıq dəri tonu|sol|sol əl: orta-açıq dəri tonu|sola
	🫲🏽;sol əl: orta dəri tonu;əl|orta dəri tonu|sol|sol əl: orta dəri tonu|sola
	🫲🏾;sol əl: orta-tünd dəri tonu;əl|orta-tünd dəri tonu|sol|sol əl: orta-tünd dəri tonu|sola
	🫲🏿;sol əl: tünd dəri tonu;əl|sol|sol əl: tünd dəri tonu|sola|tünd dəri tonu
🫳;aşağı əl;aşağı əl|damla|kənarlaşdırma|şu
	🫳🏻;aşağı əl: açıq dəri tonu;açıq dəri tonu|aşağı əl|aşağı əl: açıq dəri tonu|damla|kənarlaşdırma|şu
	🫳🏼;aşağı əl: orta-açıq dəri tonu;aşağı əl|aşağı əl: orta-açıq dəri tonu|damla|kənarlaşdırma|orta-açıq dəri tonu|şu
	🫳🏽;aşağı əl: orta dəri tonu;aşağı əl|aşağı əl: orta dəri tonu|damla|kənarlaşdırma|orta dəri tonu|şu
	🫳🏾;aşağı əl: orta-tünd dəri tonu;aşağı əl|aşağı əl: orta-tünd dəri tonu|damla|kənarlaşdırma|orta-tünd dəri tonu|şu
	🫳🏿;aşağı əl: tünd dəri tonu;aşağı əl|aşağı əl: tünd dəri tonu|damla|kənarlaşdırma|şu|tünd dəri tonu
🫴;yuxarı əl;gəl|işarə|təklif|tutmaq|yuxarı əl
	🫴🏻;yuxarı əl: açıq dəri tonu;açıq dəri tonu|gəl|işarə|təklif|tutmaq|yuxarı əl|yuxarı əl: açıq dəri tonu
	🫴🏼;yuxarı əl: orta-açıq dəri tonu;gəl|işarə|orta-açıq dəri tonu|təklif|tutmaq|yuxarı əl|yuxarı əl: orta-açıq dəri tonu
	🫴🏽;yuxarı əl: orta dəri tonu;gəl|işarə|orta dəri tonu|təklif|tutmaq|yuxarı əl|yuxarı əl: orta dəri tonu
	🫴🏾;yuxarı əl: orta-tünd dəri tonu;gəl|işarə|orta-tünd dəri tonu|təklif|tutmaq|yuxarı əl|yuxarı əl: orta-tünd dəri tonu
	🫴🏿;yuxarı əl: tünd dəri tonu;gəl|işarə|təklif|tünd dəri tonu|tutmaq|yuxarı əl|yuxarı əl: tünd dəri tonu
🫷;sola itələyən əl;beş vurmaq|dayan|gözləmək|imtina|itələmək|sola|sola itələyən əl
	🫷🏻;sola itələyən əl: açıq dəri tonu;açıq dəri tonu|beş vurmaq|dayan|gözləmək|imtina|itələmək|sola|sola itələyən əl|sola itələyən əl: açıq dəri tonu
	🫷🏼;sola itələyən əl: orta-açıq dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|orta-açıq dəri tonu|sola|sola itələyən əl|sola itələyən əl: orta-açıq dəri tonu
	🫷🏽;sola itələyən əl: orta dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|orta dəri tonu|sola|sola itələyən əl|sola itələyən əl: orta dəri tonu
	🫷🏾;sola itələyən əl: orta-tünd dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|orta-tünd dəri tonu|sola|sola itələyən əl|sola itələyən əl: orta-tünd dəri tonu
	🫷🏿;sola itələyən əl: tünd dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|sola|sola itələyən əl|sola itələyən əl: tünd dəri tonu|tünd dəri tonu
🫸;sağa basan əl;beş vurmaq|dayan|gözləmək|imtina|itələmək|sağa|sağa basan əl
	🫸🏻;sağa basan əl: açıq dəri tonu;açıq dəri tonu|beş vurmaq|dayan|gözləmək|imtina|itələmək|sağa|sağa basan əl|sağa basan əl: açıq dəri tonu
	🫸🏼;sağa basan əl: orta-açıq dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|orta-açıq dəri tonu|sağa|sağa basan əl|sağa basan əl: orta-açıq dəri tonu
	🫸🏽;sağa basan əl: orta dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|orta dəri tonu|sağa|sağa basan əl|sağa basan əl: orta dəri tonu
	🫸🏾;sağa basan əl: orta-tünd dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|orta-tünd dəri tonu|sağa|sağa basan əl|sağa basan əl: orta-tünd dəri tonu
	🫸🏿;sağa basan əl: tünd dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|sağa|sağa basan əl|sağa basan əl: tünd dəri tonu|tünd dəri tonu
👌;ok işarəsi;əl|ok|ok işarəsi|orqan
	👌🏻;ok işarəsi: açıq dəri tonu;açıq dəri tonu|əl|ok|ok işarəsi|ok işarəsi: açıq dəri tonu|orqan
	👌🏼;ok işarəsi: orta-açıq dəri tonu;əl|ok|ok işarəsi|ok işarəsi: orta-açıq dəri tonu|orqan|orta-açıq dəri tonu
	👌🏽;ok işarəsi: orta dəri tonu;əl|ok|ok işarəsi|ok işarəsi: orta dəri tonu|orqan|orta dəri tonu
	👌🏾;ok işarəsi: orta-tünd dəri tonu;əl|ok|ok işarəsi|ok işarəsi: orta-tünd dəri tonu|orqan|orta-tünd dəri tonu
	👌🏿;ok işarəsi: tünd dəri tonu;əl|ok|ok işarəsi|ok işarəsi: tünd dəri tonu|orqan|tünd dəri tonu
🤌;çimdik;barmaqlar|çimdik|əl jesti|sarkastik|sorğu-sual
	🤌🏻;çimdik: açıq dəri tonu;açıq dəri tonu|barmaqlar|çimdik|çimdik: açıq dəri tonu|əl jesti|sarkastik|sorğu-sual
	🤌🏼;çimdik: orta-açıq dəri tonu;barmaqlar|çimdik|çimdik: orta-açıq dəri tonu|əl jesti|orta-açıq dəri tonu|sarkastik|sorğu-sual
	🤌🏽;çimdik: orta dəri tonu;barmaqlar|çimdik|çimdik: orta dəri tonu|əl jesti|orta dəri tonu|sarkastik|sorğu-sual
	🤌🏾;çimdik: orta-tünd dəri tonu;barmaqlar|çimdik|çimdik: orta-tünd dəri tonu|əl jesti|orta-tünd dəri tonu|sarkastik|sorğu-sual
	🤌🏿;çimdik: tünd dəri tonu;barmaqlar|çimdik|çimdik: tünd dəri tonu|əl jesti|sarkastik|sorğu-sual|tünd dəri tonu
🤏;sıxan əl;kiçik say|sıxan əl
	🤏🏻;sıxan əl: açıq dəri tonu;açıq dəri tonu|kiçik say|sıxan əl|sıxan əl: açıq dəri tonu
	🤏🏼;sıxan əl: orta-açıq dəri tonu;kiçik say|orta-açıq dəri tonu|sıxan əl|sıxan əl: orta-açıq dəri tonu
	🤏🏽;sıxan əl: orta dəri tonu;kiçik say|orta dəri tonu|sıxan əl|sıxan əl: orta dəri tonu
	🤏🏾;sıxan əl: orta-tünd dəri tonu;kiçik say|orta-tünd dəri tonu|sıxan əl|sıxan əl: orta-tünd dəri tonu
	🤏🏿;sıxan əl: tünd dəri tonu;kiçik say|sıxan əl|sıxan əl: tünd dəri tonu|tünd dəri tonu
✌️;qələbə işarəsi;əl|orqan|qələbə|qələbə işarəsi|v
	✌🏻;qələbə işarəsi: açıq dəri tonu;açıq dəri tonu|əl|orqan|qələbə|qələbə işarəsi|qələbə işarəsi: açıq dəri tonu|v
	✌🏼;qələbə işarəsi: orta-açıq dəri tonu;əl|orqan|orta-açıq dəri tonu|qələbə|qələbə işarəsi|qələbə işarəsi: orta-açıq dəri tonu|v
	✌🏽;qələbə işarəsi: orta dəri tonu;əl|orqan|orta dəri tonu|qələbə|qələbə işarəsi|qələbə işarəsi: orta dəri tonu|v
	✌🏾;qələbə işarəsi: orta-tünd dəri tonu;əl|orqan|orta-tünd dəri tonu|qələbə|qələbə işarəsi|qələbə işarəsi: orta-tünd dəri tonu|v
	✌🏿;qələbə işarəsi: tünd dəri tonu;əl|orqan|qələbə|qələbə işarəsi|qələbə işarəsi: tünd dəri tonu|tünd dəri tonu|v
🤞;ümid edirəm;inam|ümid|ümid edirəm
	🤞🏻;ümid edirəm: açıq dəri tonu;açıq dəri tonu|inam|ümid|ümid edirəm|ümid edirəm: açıq dəri tonu
	🤞🏼;ümid edirəm: orta-açıq dəri tonu;inam|orta-açıq dəri tonu|ümid|ümid edirəm|ümid edirəm: orta-açıq dəri tonu
	🤞🏽;ümid edirəm: orta dəri tonu;inam|orta dəri tonu|ümid|ümid edirəm|ümid edirəm: orta dəri tonu
