[smileys_emotion]
😀;mặt cười toe toét;cười toe toét|mặt|mặt cười toe toét
🤔;mặt suy nghĩ;đang suy nghĩ|mặt|mặt suy nghĩ
🫡;mặt chào;chào|mặt chào|nắng|nhà binh|ok|quân đội|vâng
🤐;mặt có miệng bị kéo khóa;khóa kéo|mặt|mặt có miệng bị kéo khóa|miệng
🤨;mặt với lông mày rướn lên;hoài nghi|mặt với lông mày rướn lên|ngờ vực
😐;mặt trung lập;mặt|mặt ngây ra bất động|mặt trung lập|trung lập
😑;mặt vô cảm;không diễn cảm|mặt|mặt vô cảm|thản nhiên|vô cảm
😶;mặt không có miệng;ít nói|mặt|mặt không có miệng|miệng|yên lặng
🫥;mặt có đường viền chấm chấm;ẩn|biến mất|chán nản|hướng nội|mặt có đường viền chấm chấm|thất vọng|vô hình
😶‍🌫️;mặt trong đám mây;đãng trí|đầu trong đám mây|mặt trong đám mây|mặt trong sương mù
😏;mặt cười khẩy;cười khẩy|mặt|mặt cười khẩy
😒;mặt buồn;buồn|không vui|mặt
🙄;mặt có mắt đu đưa;đu đưa|mắt|mặt|mặt có mắt đu đưa
😬;mặt nhăn nhó;mặt|mặt nhăn nhó|nhăn nhó
😮‍💨;mặt thở ra;huýt sáo|mặt thở ra|rên rỉ|thì thầm|thở hổn hển|thở ra
🤥;mặt nói dối;mặt|mặt nói dối|nói dối|pinocchio
🫨;mặt lắc;động đất|lắc|mặt|rung|sốc
🙂‍↔️;lắc đầu;không|lắc|lắc đầu
🙂‍↕️;gật đầu;có|gật|gật đầu
😌;mặt nhẹ nhõm;mặt|mặt nhẹ nhõm|nhẹ nhõm
😔;mặt trầm ngâm;mặt|mặt trầm ngâm|thất vọng|trầm ngâm
😪;mặt buồn ngủ;buồn ngủ|mặt|mặt buồn ngủ
🤤;mặt chảy dãi;chảy dãi|mặt|mặt chảy dãi
😴;mặt đang ngủ;mặt|mặt đang ngủ|ngủ|zzz
😷;mặt đeo khẩu trang y tế;bác sĩ|lạnh|mặt|mặt đeo khẩu trang y tế|mặt nạ|ốm
🤒;mặt có miệng ngậm nhiệt kế;mặt|mặt có miệng ngậm nhiệt kế|mệt|nhiệt kế|ốm
🤕;mặt đeo băng đầu;băng|đau|mặt|mặt đeo băng đầu|vết thương
🤢;mặt buồn nôn;buồn nôn|mặt|mặt buồn nôn|nôn mửa
🤮;mặt nôn mửa;mặt nôn mửa|nôn mửa|ốm
🤧;mặt hắt hơi;hắt hơi|mặt|mặt hắt hơi|sức khỏe
🥵;mặt nóng;đỏ mặt|đổ mồ hôi|mặt nóng|nóng|sốc nhiệt|sốt
🥶;mặt lạnh;đóng băng|lạnh|lạnh cứng|mặt lạnh|mặt xanh|tê cóng
🥴;mặt choáng váng;chếnh choáng|chóng mặt|mặt choáng váng|mắt đảo điên|miệng uốn lượn|say xỉn
😵;mặt chóng mặt;chóng mặt|mặt|mặt chóng mặt
😵‍💫;mặt có đôi mắt xoắn ốc;chóng mặt|mặt có đôi mắt xoắn ốc|rắc rối|thôi miên|xoắn ốc
🤯;đầu nổ tung;bị sốc|đầu nổ tung
🤠;mặt đội mũ cao bồi;cao bồi|mặt|mặt đội mũ cao bồi|mũ|nữ cao bồi
🥳;mặt tiệc tùng;buổi tiệc|lễ kỷ niệm|mặt tiệc tùng|mũ|sừng
🥸;mặt trá hình;ẩn danh|kính|mặt|mặt trá hình|mũi|ngụy trang
😎;mặt cười đeo kính;kính|mặt|mặt cười đeo kính|mặt trời|phong cách|sáng
🤓;mặt mọt sách;đam mê|mặt|mặt mọt sách|mọt sách
🧐;mặt với kính một mắt;mặt với kính một mắt|ngột ngạt
😕;mặt bối rối;bối rối|mặt|mặt bối rối
🫤;mặt có miệng xiên;buồn chán|hoài nghi|không chắc chắn|mặt có miệng xiên|thất vọng
😟;mặt lo lắng;lo lắng|mặt|mặt lo lắng
🙁;mặt hơi cau mày;cau mày|mặt|mặt hơi cau mày
☹️;mặt cau mày;cau mày|mặt|mặt cau mày
😮;mặt có miệng há;mặt|mặt có miệng há|miệng|mở|thông cảm
😯;mặt làm thinh;choáng váng|làm thinh|mặt|mặt làm thinh|ngạc nhiên
😲;mặt kinh ngạc;hoàn toàn|kinh ngạc|mặt|mặt kinh ngạc|sốc
😳;mặt đỏ ửng;choáng váng|đỏ mặt|mặt|mặt đỏ ửng
🥺;mặt cầu xin;lòng thương|mặt cầu xin|mắt cún con|xin xỏ
🥹;mặt kìm nén nước mắt;buồn|chịu đựng|giận giữ|khóc|mặt kìm nén nước mắt|tự hào
😦;mặt cau miệng há;mặt|mặt cau miệng há|miệng|mở|nhăn mặt
😧;mặt đau khổ;đau khổ|mặt|mặt đau khổ
😨;mặt sợ hãi;kinh hãi|mặt|mặt sợ hãi|sợ|sợ hãi
😰;mặt lo lắng và toát mồ hôi;lạnh|mặt|mặt lo lắng và toát mồ hôi|mặt lo lắng và toát mồ hôi mồ hôi|vội vã|xanh da trời
😥;mặt thất vọng nhưng nhẹ nhõm;mặt|mặt thất vọng nhưng nhẹ nhõm|ngạc nhiên|nhẹ nhõm|thất vọng
😢;mặt khóc;buồn|khóc|mặt|nước mắt
😭;mặt khóc to;buồn|khóc|mặt|mặt khóc to|nước mắt|thổn thức
😱;mặt la hét kinh hãi;kinh sợ|la hét|mặt|mặt la hét kinh hãi|sợ|sợ hãi
😖;mặt xấu hổ;mặt|mặt xấu hổ|xấu hổ
😣;mặt kiên nhẫn;kiên nhẫn|mặt|mặt kiên nhẫn
😞;mặt thất vọng;mặt|mặt thất vọng|thất vọng
😓;mặt chán nản với mồ hôi;lạnh|mặt|mặt chán nản với mồ hôi|mồ hôi
😩;mặt kiệt sức;kiệt sức|mặt|mặt kiệt sức|mệt mỏi
😫;mặt mệt mỏi;mặt|mặt mệt mỏi|mệt mỏi
🥱;mặt đang ngáp;chán|mặt đang ngáp|mệt mỏi|ngáp
😤;mặt có mũi đang phì hơi;chiến thắng|hân hoan|mặt|mặt có mũi đang phì hơi
😡;mặt hờn dỗi;cơn thịnh nộ|điên|đỏ|hờn dỗi|mặt|mặt hờn dỗi|tức giận
😠;mặt giận giữ;điên|mặt|mặt giận giữ|tức giận
🤬;mặt có các ký hiệu trên miệng;chửi rủa|mặt có các ký hiệu trên miệng
😈;mặt cười có sừng;cười|mặt|mặt cười có sừng|sừng|truyện cổ tích|tưởng tượng
👿;mặt giận giữ có sừng;ma quỷ|mặt|mặt giận dữ có sừng|mặt giận giữ có sừng|quỷ|tiểu yêu|tưởng tượng
💀;đầu lâu;cái chết|đầu lâu|mặt|quái vật|truyện cổ tích
☠️;đầu lâu xương chéo;cái chết|đầu lâu|đầu lâu xương chéo|mặt|quái vật|xương chéo
💩;đống phân;chất thải|đống phân|hài hước|khuôn mặt|phân|quái vật
🤡;mặt hề;hề|mặt
👹;mặt quỷ;mặt|mặt quỷ|quái vật|quỷ ăn thịt người|sinh vật|truyện cổ tích|tưởng tượng
👺;yêu tinh;mặt|quái vật|sinh vật|truyện cổ tích|tưởng tượng|yêu tinh
👻;ma;ma|mặt|quái vật|sinh vật|truyện cổ tích|tưởng tượng
👽;người ngoài hành tinh;đĩa bay|giả tưởng|khuôn mặt|ngoài trái đất|người ngoài hành tinh|sinh vật
👾;quái vật ngoài hành tinh;đĩa bay|khuôn mặt|ngoài trái đất|người ngoài hành tinh|quái vật|quái vật ngoài hành tinh|sinh vật
🤖;mặt rô-bốt;mặt|quỷ|rô-bốt
😺;mặt mèo cười tươi;con mèo|khuôn mặt|mặt mèo cười miệng há|mặt mèo cười tươi|miệng|mở ra|nụ cười
😸;mặt mèo cười tươi với hai mắt híp lại;cười|cười toét|mắt|mặt|mặt mèo cười toét mắt cười|mặt mèo cười tươi với hai mắt híp lại|mèo
😹;mặt mèo có nước mắt vui sướng;mặt|mặt mèo có nước mắt vui sướng|mèo|niềm vui|nước mắt
😻;mặt mèo cười mắt hình trái tim;con mèo|hình trái tim|khuôn mặt|mắt|mặt mèo cười mắt hình trái tim|nụ cười|thân ái
😼;mặt mèo cười gượng;châm biếm|con mèo|khuôn mặt|mặt mèo cười gượng|mỉa mai|nụ cười
😽;mặt mèo hôn mắt nhắm;con mèo|hôn|khuôn mặt|mắt|mặt mèo hôn mắt nhắm
🙀;mặt mèo mệt lử;mặt|mặt mèo mệt lử|mèo|mệt mỏi|ngạc nhiên|ôi
😿;mặt mèo đang khóc;buồn|khóc|mặt|mặt mèo đang khóc|mèo|nước mắt
😾;mặt mèo hờn dỗi;hờn dỗi|mặt|mặt mèo hờn dỗi|mèo
🙈;khỉ không nhìn điều xấu;cấm|điều xấu|khỉ|khỉ không nhìn điều xấu|mặt|nhìn
🙉;khỉ không nghe điều xấu;cấm|điều xấu|khỉ|khỉ không nghe điều xấu|mặt|nghe
🙊;khỉ không nói điều xấu;cấm|điều xấu|khỉ|khỉ không nói điều xấu|mặt|nói
💌;thư tình;lá thư|thư|thư tình|trái tim|yêu
💘;trái tim với mũi tên;mũi tên|thần tình yêu|trái tim với mũi tên
💝;trái tim với ruy băng;lễ tình yêu|ruy băng|trái tim|trái tim với ruy băng
💖;trái tim lấp lánh;bị kích thích|lấp lánh|trái tim lấp lánh
💗;trái tim lớn dần;bị kích thích|lo lắng|nhịp tim|phát triển|trái tim lớn dần
💓;trái tim đang đập;dao động|đập|nhịp tim|trái tim đang đập
💞;trái tim xoay vòng;đang quay|trái tim xoay vòng
💕;hai trái tim;hai trái tim|yêu
💟;hình trang trí trái tim;hình trang trí trái tim|trái tim
❣️;dấu chấm than hình trái tim đậm;cảm thán|chấm câu|dấu|dấu chấm than hình trái tim đậm
💔;trái tim tan vỡ;bị vỡ|trái tim tan vỡ|vỡ
❤️‍🔥;trái tim bốc lửa;bốc lửa|cháy|thèm khát|tình yêu|trái tim|trái tim bốc lửa|trái tim linh thiêng
❤️‍🩹;trái tim đang lành;cải thiện|đang lành|hồi phục|khỏe mạnh hơn|phục hồi|trái tim đang lành
❤️;trái tim màu đỏ;trái tim|trái tim màu đỏ
🩷;trái tim màu hồng;dễ thương|hồng|thích|trái tim|trái tim màu hồng|yêu
🧡;trái tim màu cam;màu cam|trái tim màu cam
💛;trái tim màu vàng;màu vàng|trái tim màu vàng
💚;trái tim màu lục;màu lục|trái tim màu lục
💙;trái tim màu lam;màu lam|trái tim màu lam
🩵;trái tim màu xanh dương nhạt;trái tim|trái tim màu xanh dương nhạt|xanh dương nhạt|xanh lơ|xanh mòng két
💜;trái tim tím;tím|trái tim tím
🤎;trái tim màu nâu;màu nâu|trái tim|trái tim màu nâu
🖤;tim đen;đen|điều ác|tim đen|xấu
🩶;trái tim màu xám;bạc|trái tim|trái tim màu xám|xám|xám đen
🤍;trái tim màu trắng;màu trắng|trái tim|trái tim màu trắng
💋;dấu nụ hôn;dấu nụ hôn|hôn|môi
💯;100 điểm;100|điểm|một trăm|toàn bộ
💢;biểu tượng giận giữ;biểu tượng giận giữ|điên|hài hước|tức giận
💥;va chạm;bùng nổ|hài hước|va chạm
💫;choáng váng;choáng váng|hài hước|ngôi sao
💦;giọt mồ hôi;bắn tung tóe|giọt mồ hôi|hài hước|mồ hôi
💨;chớp nhoáng;chạy|chớp nhoáng|hài hước|lao|lao đi
🕳️;lỗ;lỗ
💬;bong bóng lời nói;bài diễn văn|bóng|bong bóng|bong bóng lời nói|hài hước|thoại
👁️‍🗨️;mắt trong bong bóng lời nói;bong bóng lời nói|mắt|mắt trong bong bóng lời nói|nhân chứng
🗨️;bong bóng lời nói trái;bài diễn văn|bong bóng lời nói trái|thoại
🗯️;bong bóng góc phải;bong bóng|bong bóng góc phải|điên|khí cầu|tức giận
💭;bong bóng suy nghĩ;bong bóng|bong bóng suy nghĩ|hài hước|khí cầu|nghĩ
💤;buồn ngủ;buồn ngủ|hài hước|ngủ

[people_body]
👋;vẫy tay;đang vẫy|tay|vẫy
	👋🏻;vẫy tay: màu da sáng;đang vẫy|màu da sáng|tay|vẫy|vẫy tay: màu da sáng
	👋🏼;vẫy tay: màu da sáng trung bình;đang vẫy|màu da sáng trung bình|tay|vẫy|vẫy tay: màu da sáng trung bình
	👋🏽;vẫy tay: màu da trung bình;đang vẫy|màu da trung bình|tay|vẫy|vẫy tay: màu da trung bình
	👋🏾;vẫy tay: màu da tối trung bình;đang vẫy|màu da tối trung bình|tay|vẫy|vẫy tay: màu da tối trung bình
	👋🏿;vẫy tay: màu da tối;đang vẫy|màu da tối|tay|vẫy|vẫy tay: màu da tối
🤚;mu bàn tay giơ lên;giơ lên|mu bàn tay|mu bàn tay giơ lên
	🤚🏻;mu bàn tay giơ lên: màu da sáng;giơ lên|màu da sáng|mu bàn tay|mu bàn tay giơ lên|mu bàn tay giơ lên: màu da sáng
	🤚🏼;mu bàn tay giơ lên: màu da sáng trung bình;giơ lên|màu da sáng trung bình|mu bàn tay|mu bàn tay giơ lên|mu bàn tay giơ lên: màu da sáng trung bình
	🤚🏽;mu bàn tay giơ lên: màu da trung bình;giơ lên|màu da trung bình|mu bàn tay|mu bàn tay giơ lên|mu bàn tay giơ lên: màu da trung bình
	🤚🏾;mu bàn tay giơ lên: màu da tối trung bình;giơ lên|màu da tối trung bình|mu bàn tay|mu bàn tay giơ lên|mu bàn tay giơ lên: màu da tối trung bình
	🤚🏿;mu bàn tay giơ lên: màu da tối;giơ lên|màu da tối|mu bàn tay|mu bàn tay giơ lên|mu bàn tay giơ lên: màu da tối
🖐️;tay xòe ngón giơ lên;ngón tay|tay|tay xòe ngón giơ lên|xòe
	🖐🏻;tay xòe ngón giơ lên: màu da sáng;màu da sáng|ngón tay|tay|tay xòe ngón giơ lên|tay xòe ngón giơ lên: màu da sáng|xòe
	🖐🏼;tay xòe ngón giơ lên: màu da sáng trung bình;màu da sáng trung bình|ngón tay|tay|tay xòe ngón giơ lên|tay xòe ngón giơ lên: màu da sáng trung bình|xòe
	🖐🏽;tay xòe ngón giơ lên: màu da trung bình;màu da trung bình|ngón tay|tay|tay xòe ngón giơ lên|tay xòe ngón giơ lên: màu da trung bình|xòe
	🖐🏾;tay xòe ngón giơ lên: màu da tối trung bình;màu da tối trung bình|ngón tay|tay|tay xòe ngón giơ lên|tay xòe ngón giơ lên: màu da tối trung bình|xòe
	🖐🏿;tay xòe ngón giơ lên: màu da tối;màu da tối|ngón tay|tay|tay xòe ngón giơ lên|tay xòe ngón giơ lên: màu da tối|xòe
✋;bàn tay giơ lên;bàn tay giơ lên|tay
	✋🏻;bàn tay giơ lên: màu da sáng;bàn tay giơ lên|bàn tay giơ lên: màu da sáng|màu da sáng|tay
	✋🏼;bàn tay giơ lên: màu da sáng trung bình;bàn tay giơ lên|bàn tay giơ lên: màu da sáng trung bình|màu da sáng trung bình|tay
	✋🏽;bàn tay giơ lên: màu da trung bình;bàn tay giơ lên|bàn tay giơ lên: màu da trung bình|màu da trung bình|tay
	✋🏾;bàn tay giơ lên: màu da tối trung bình;bàn tay giơ lên|bàn tay giơ lên: màu da tối trung bình|màu da tối trung bình|tay
	✋🏿;bàn tay giơ lên: màu da tối;bàn tay giơ lên|bàn tay giơ lên: màu da tối|màu da tối|tay
🖖;tay thần lửa;ngón tay|spock|tay|tay thần lửa|thần lửa
	🖖🏻;tay thần lửa: màu da sáng;màu da sáng|ngón tay|spock|tay|tay thần lửa|tay thần lửa: màu da sáng|thần lửa
	🖖🏼;tay thần lửa: màu da sáng trung bình;màu da sáng trung bình|ngón tay|spock|tay|tay thần lửa|tay thần lửa: màu da sáng trung bình|thần lửa
	🖖🏽;tay thần lửa: màu da trung bình;màu da trung bình|ngón tay|spock|tay|tay thần lửa|tay thần lửa: màu da trung bình|thần lửa
	🖖🏾;tay thần lửa: màu da tối trung bình;màu da tối trung bình|ngón tay|spock|tay|tay thần lửa|tay thần lửa: màu da tối trung bình|thần lửa
	🖖🏿;tay thần lửa: màu da tối;màu da tối|ngón tay|spock|tay|tay thần lửa|tay thần lửa: màu da tối|thần lửa
🫱;bàn tay hướng sang bên phải;bàn tay|bàn tay hướng sang bên phải|bên phải|sang phải
	🫱🏻;bàn tay hướng sang bên phải: màu da sáng;bàn tay|bàn tay hướng sang bên phải|bàn tay hướng sang bên phải: màu da sáng|bên phải|màu da sáng|sang phải
	🫱🏼;bàn tay hướng sang bên phải: màu da sáng trung bình;bàn tay|bàn tay hướng sang bên phải|bàn tay hướng sang bên phải: màu da sáng trung bình|bên phải|màu da sáng trung bình|sang phải
	🫱🏽;bàn tay hướng sang bên phải: màu da trung bình;bàn tay|bàn tay hướng sang bên phải|bàn tay hướng sang bên phải: màu da trung bình|bên phải|màu da trung bình|sang phải
	🫱🏾;bàn tay hướng sang bên phải: màu da tối trung bình;bàn tay|bàn tay hướng sang bên phải|bàn tay hướng sang bên phải: màu da tối trung bình|bên phải|màu da tối trung bình|sang phải
	🫱🏿;bàn tay hướng sang bên phải: màu da tối;bàn tay|bàn tay hướng sang bên phải|bàn tay hướng sang bên phải: màu da tối|bên phải|màu da tối|sang phải
🫲;bàn tay hướng sang bên trái;bàn tay|bàn tay hướng sang bên trái|bên trái|sang trái
	🫲🏻;bàn tay hướng sang bên trái: màu da sáng;bàn tay|bàn tay hướng sang bên trái|bàn tay hướng sang bên trái: màu da sáng|bên trái|màu da sáng|sang trái
	🫲🏼;bàn tay hướng sang bên trái: màu da sáng trung bình;bàn tay|bàn tay hướng sang bên trái|bàn tay hướng sang bên trái: màu da sáng trung bình|bên trái|màu da sáng trung bình|sang trái
	🫲🏽;bàn tay hướng sang bên trái: màu da trung bình;bàn tay|bàn tay hướng sang bên trái|bàn tay hướng sang bên trái: màu da trung bình|bên trái|màu da trung bình|sang trái
	🫲🏾;bàn tay hướng sang bên trái: màu da tối trung bình;bàn tay|bàn tay hướng sang bên trái|bàn tay hướng sang bên trái: màu da tối trung bình|bên trái|màu da tối trung bình|sang trái
	🫲🏿;bàn tay hướng sang bên trái: màu da tối;bàn tay|bàn tay hướng sang bên trái|bàn tay hướng sang bên trái: màu da tối|bên trái|màu da tối|sang trái
🫳;bàn tay có lòng bàn tay hướng xuống;bàn tay có lòng bàn tay hướng xuống|đuổi|thả|xua|xuỵt
	🫳🏻;bàn tay có lòng bàn tay hướng xuống: màu da sáng;bàn tay có lòng bàn tay hướng xuống|bàn tay có lòng bàn tay hướng xuống: màu da sáng|đuổi|màu da sáng|thả|xua|xuỵt
	🫳🏼;bàn tay có lòng bàn tay hướng xuống: màu da sáng trung bình;bàn tay có lòng bàn tay hướng xuống|bàn tay có lòng bàn tay hướng xuống: màu da sáng trung bình|đuổi|màu da sáng trung bình|thả|xua|xuỵt
	🫳🏽;bàn tay có lòng bàn tay hướng xuống: màu da trung bình;bàn tay có lòng bàn tay hướng xuống|bàn tay có lòng bàn tay hướng xuống: màu da trung bình|đuổi|màu da trung bình|thả|xua|xuỵt
	🫳🏾;bàn tay có lòng bàn tay hướng xuống: màu da tối trung bình;bàn tay có lòng bàn tay hướng xuống|bàn tay có lòng bàn tay hướng xuống: màu da tối trung bình|đuổi|màu da tối trung bình|thả|xua|xuỵt
	🫳🏿;bàn tay có lòng bàn tay hướng xuống: màu da tối;bàn tay có lòng bàn tay hướng xuống|bàn tay có lòng bàn tay hướng xuống: màu da tối|đuổi|màu da tối|thả|xua|xuỵt
🫴;bàn tay có lòng bàn tay hướng lên;bàn tay có lòng bàn tay hướng lên|bắt|đến|mời gọi|vẫy gọi
	🫴🏻;bàn tay có lòng bàn tay hướng lên: màu da sáng;bàn tay có lòng bàn tay hướng lên|bàn tay có lòng bàn tay hướng lên: màu da sáng|bắt|đến|màu da sáng|mời gọi|vẫy gọi
	🫴🏼;bàn tay có lòng bàn tay hướng lên: màu da sáng trung bình;bàn tay có lòng bàn tay hướng lên|bàn tay có lòng bàn tay hướng lên: màu da sáng trung bình|bắt|đến|màu da sáng trung bình|mời gọi|vẫy gọi
	🫴🏽;bàn tay có lòng bàn tay hướng lên: màu da trung bình;bàn tay có lòng bàn tay hướng lên|bàn tay có lòng bàn tay hướng lên: màu da trung bình|bắt|đến|màu da trung bình|mời gọi|vẫy gọi
	🫴🏾;bàn tay có lòng bàn tay hướng lên: màu da tối trung bình;bàn tay có lòng bàn tay hướng lên|bàn tay có lòng bàn tay hướng lên: màu da tối trung bình|bắt|đến|màu da tối trung bình|mời gọi|vẫy gọi
	🫴🏿;bàn tay có lòng bàn tay hướng lên: màu da tối;bàn tay có lòng bàn tay hướng lên|bàn tay có lòng bàn tay hướng lên: màu da tối|bắt|đến|màu da tối|mời gọi|vẫy gọi
🫷;bàn tay đẩy sang trái;bàn tay đẩy sang trái|chờ|đập tay|đẩy|dừng lại|sang trái|từ chối
	🫷🏻;bàn tay đẩy sang trái: màu da sáng;bàn tay đẩy sang trái|bàn tay đẩy sang trái: màu da sáng|chờ|đập tay|đẩy|dừng lại|màu da sáng|sang trái|từ chối
	🫷🏼;bàn tay đẩy sang trái: màu da sáng trung bình;bàn tay đẩy sang trái|bàn tay đẩy sang trái: màu da sáng trung bình|chờ|đập tay|đẩy|dừng lại|màu da sáng trung bình|sang trái|từ chối
	🫷🏽;bàn tay đẩy sang trái: màu da trung bình;bàn tay đẩy sang trái|bàn tay đẩy sang trái: màu da trung bình|chờ|đập tay|đẩy|dừng lại|màu da trung bình|sang trái|từ chối
	🫷🏾;bàn tay đẩy sang trái: màu da tối trung bình;bàn tay đẩy sang trái|bàn tay đẩy sang trái: màu da tối trung bình|chờ|đập tay|đẩy|dừng lại|màu da tối trung bình|sang trái|từ chối
	🫷🏿;bàn tay đẩy sang trái: màu da tối;bàn tay đẩy sang trái|bàn tay đẩy sang trái: màu da tối|chờ|đập tay|đẩy|dừng lại|màu da tối|sang trái|từ chối
🫸;bàn tay đẩy sang phải;bàn tay đẩy sang phải|chờ|đập tay|đẩy|dừng lại|sang phải|từ chối
	🫸🏻;bàn tay đẩy sang phải: màu da sáng;bàn tay đẩy sang phải|bàn tay đẩy sang phải: màu da sáng|chờ|đập tay|đẩy|dừng lại|màu da sáng|sang phải|từ chối
	🫸🏼;bàn tay đẩy sang phải: màu da sáng trung bình;bàn tay đẩy sang phải|bàn tay đẩy sang phải: màu da sáng trung bình|chờ|đập tay|đẩy|dừng lại|màu da sáng trung bình|sang phải|từ chối
	🫸🏽;bàn tay đẩy sang phải: màu da trung bình;bàn tay đẩy sang phải|bàn tay đẩy sang phải: màu da trung bình|chờ|đập tay|đẩy|dừng lại|màu da trung bình|sang phải|từ chối
	🫸🏾;bàn tay đẩy sang phải: màu da tối trung bình;bàn tay đẩy sang phải|bàn tay đẩy sang phải: màu da tối trung bình|chờ|đập tay|đẩy|dừng lại|màu da tối trung bình|sang phải|từ chối
	🫸🏿;bàn tay đẩy sang phải: màu da tối;bàn tay đẩy sang phải|bàn tay đẩy sang phải: màu da tối|chờ|đập tay|đẩy|dừng lại|màu da tối|sang phải|từ chối
👌;bàn tay làm dấu OK;bàn tay làm dấu OK|ok|tay
	👌🏻;bàn tay làm dấu OK: màu da sáng;bàn tay làm dấu OK|bàn tay làm dấu OK: màu da sáng|màu da sáng|ok|tay
	👌🏼;bàn tay làm dấu OK: màu da sáng trung bình;bàn tay làm dấu OK|bàn tay làm dấu OK: màu da sáng trung bình|màu da sáng trung bình|ok|tay
	👌🏽;bàn tay làm dấu OK: màu da trung bình;bàn tay làm dấu OK|bàn tay làm dấu OK: màu da trung bình|màu da trung bình|ok|tay
	👌🏾;bàn tay làm dấu OK: màu da tối trung bình;bàn tay làm dấu OK|bàn tay làm dấu OK: màu da tối trung bình|màu da tối trung bình|ok|tay
	👌🏿;bàn tay làm dấu OK: màu da tối;bàn tay làm dấu OK|bàn tay làm dấu OK: màu da tối|màu da tối|ok|tay
🤌;ngón tay khum lại;cử chỉ tay|khum lại|mỉa mai|ngón tay|ngón tay khum lại|thẩm vấn
	🤌🏻;ngón tay khum lại: màu da sáng;cử chỉ tay|khum lại|màu da sáng|mỉa mai|ngón tay|ngón tay khum lại|ngón tay khum lại: màu da sáng|thẩm vấn
	🤌🏼;ngón tay khum lại: màu da sáng trung bình;cử chỉ tay|khum lại|màu da sáng trung bình|mỉa mai|ngón tay|ngón tay khum lại|ngón tay khum lại: màu da sáng trung bình|thẩm vấn
	🤌🏽;ngón tay khum lại: màu da trung bình;cử chỉ tay|khum lại|màu da trung bình|mỉa mai|ngón tay|ngón tay khum lại|ngón tay khum lại: màu da trung bình|thẩm vấn
