# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara moi riseira;cara|cara moi riseira|sorriso
🤭;cara rindo disimuladamente;cara rindo disimuladamente|disimulada|man|risa
🫢;cara cos ollos abertos e a man na boca;asombro|cara cos ollos abertos e a man na boca|incredulidade|sorpresa|susto|vergoña
🫣;cara cun ollo asomando;cara cun ollo asomando|cativado|man|mirada|ollada|ollo asomando
🤫;cara de mandar calar;calada|calado|calar|cara de mandar calar|silencio
🤔;cara pensativa;cara|cara pensativa|pensar
🫡;cara saudando;cara saudando|saúdo|si|solleiro|tropas
🤐;cara coa boca pechada cunha cremalleira;boca|cara|cara coa boca pechada cunha cremalleira|cremalleira|silencio
🤨;cara cunha cella levantada;cara cunha cella levantada|cella levantada|desconfianza|escepticismo
😐;cara neutra;cara|neutra
😑;cara inexpresiva;cara|inexpresiva
😶;cara sen boca;boca|calar|cara|cara sen boca|silencio
🫥;cara de liñas punteadas;cara de liñas punteadas|deprimido|desaparecer|introvertido|invisible|ocultarse
😶‍🌫️;cara nas nubes;apampado|cara nas nubes|distraído|nas nubes
😏;cara con sorriso malicioso;cara|cara con sorriso malicioso|malicia|sorriso
😒;cara de que non ten graza;aburrido|cara|cara de que non ten graza|desagrado|desaprobación
🙄;cara cos ollos en branco;cara|cara cos ollos en branco|ollos en branco
😬;cara apertando os dentes;cara|cara apertando os dentes|dentes|nervios
😮‍💨;cara exhalando;alivio|asubiar|bafexar|cara exhalando|folguexar|resollar|respirar
🤥;cara de mentirán;cara de mentirán|mentireiro|nariz|Pinocchio
🫨;cara tremente;cara tremente|choque|terremoto|tremor|trémulo|vibración
🙂‍↔️;cabeza abaneándose horizontalmente;abanear|cabeza abaneándose horizontalmente|negar|non
🙂‍↕️;cabeza abaneándose verticalmente;abanear|asentir|cabeza abaneándose verticalmente|si
😌;cara de alivio;alivio|cara|cara de alivio
😔;cara desanimada;cara|cara desanimada|desánimo|pensativo|triste
😪;cara de sono;cara|cara de sono|sono
🤤;cara babexando;baba|babas|babexar|cara|cara babexando
😴;cara durmindo;cara|cara durmindo|durmir|sono
😷;cara con máscara médica;cara|cara con máscara médica|enferma|enfermo|máscara
🤒;cara con termómetro;cara|cara con termómetro|enferma|enfermo|termómetro
🤕;cara coa cabeza vendada;accidente|cara|cara coa cabeza vendada|ferido|venda
🤢;cara de mareo;cara de mareo|mareo|náuseas|vomitar
🤮;cara vomitando;cara|cara vomitando|noxo|vomitar|vómito
🤧;cara acatarrada;acatarrado|arrefriado|cara acatarrada|catarreira|mocos
🥵;cara de calor;cara de calor|febre|golpe de calor|suar
🥶;cara de frío;cara de frío|conxelado|frío|xeado
🥴;cara atordada;atordado|bébedo|borracho|cara atordada
😵;cara mareada;atordamento|cara mareada|mareo
😵‍💫;cara con ollos de espiral;alucinado|atordado|cara con ollos de espiral|desmaiado|espiral|hipnotizado
🤯;cara de estoupar a cabeza;cabeza|cara|cara de estoupar a cabeza|estoupar
🤠;sombreiro de vaqueiro;cara|sombreiro|sombreiro de vaqueiro|vaqueira|vaqueiro
🥳;cara de festa;alegría|aniversario|cara de festa|celebración|feliz|festa
🥸;cara disfrazada;cara disfrazada|disfrazarse|enmascarar|incógnito|lentes|nariz
😎;cara riseira con lentes de sol;cara|cara riseira con lentes de sol|lentes de sol|sorriso
🤓;cara de chapón;anteollos|cara|cara de chapón|chapón|estudar
🧐;cara con monóculo;cara|cara con monóculo|monóculo
😕;cara confusa;cara|confusa|confusión|confuso
🫤;cara coa boca en diagonal;cara coa boca en diagonal|decepcionado|escéptico|indiferente|inseguro
😟;cara de preocupación;cara de preocupación|preocupado
🙁;cara triste;cara|triste|tristeza
☹️;cara moi triste;cara|cara moi triste|decepción|triste|tristeza
😮;cara coa boca aberta;boca aberta|cara|cara coa boca aberta
😯;cara estupefacta;cara estupefacta|estupefacto|pasmo
😲;cara abraiada;abraio|asombro|cara abraiada
😳;cara arroibada;arroibado|cara|cara arroibada|vergoña
🥺;cara de súplica;cara de súplica|compaixón|implorar|pedir clemencia|suplicar
🥹;cara contendo as bágoas;cara contendo as bágoas|chorar|enfadado|orgulloso|resistir|triste
😦;cara triste coa boca aberta;aberta|boca|cara|cara triste coa boca aberta|triste
😧;cara de angustia;angustia|cara|cara de angustia|sufrimento
😨;cara de medo;cara|cara de medo|medo|terror
😰;cara coa boca aberta e suor fría;boca aberta|cara|cara coa boca aberta e suor fría|suor fría
😥;cara triste pero aliviada;agoniar|alivio|cara triste pero aliviada|decepción|estrés|pinga|suor
😢;cara chorando;bágoa|cara|cara chorando|chorar|triste
😭;cara chorando desconsoladamente;bágoas|cara|cara chorando desconsoladamente|chorar|desconsolo
😱;cara berrando de medo;aterrorizar|berrar|cara|cara berrando de medo|medo
😖;cara de frustración;cara de frustración|frustrado
😣;cara de estragalo todo;cara|cara de estragalo todo|estragar|perseverante
😞;cara de decepción;cara|cara de decepción|decepción|decepcionado|desilusión
😓;cara con suor fría;cara|cara con suor fría|suor fría
😩;cara de esgotamento;cansazo|cara|cara de esgotamento|esgotamento
😫;cara de cansazo;cansa|cansazo|canso|cara|cara de cansazo
🥱;cara bocexando;aburrimento|bocexo|canso|cara bocexando|sono
😤;cara botando fume;botar fume|cabreo|cara|cara botando fume|enfado
😡;cara furiosa;cara|cara furiosa|ira|rabia
😠;cara de cabreo;cabreo|cara|cara de cabreo|enfado
🤬;cara insultando;cabreo|cara|cara insultando|insultar|insulto
😈;cara de demo riseiro;cara|cara de demo riseiro|demo|maldade|sorriso
👿;cara de demo;cara|cara de demo|demo|pillabán|pillabana
💀;caveira;caveira|morte
☠️;caveira e osos;caveira|caveira e osos|morte|osos
💩;caca;caca|merda
🤡;cara de pallaso;cara|cara de pallaso|circo|pallasa|pallaso
👹;ogro xaponés;cara|ogro|xaponés
👺;demo xaponés;cara|demo|tengu|xaponés
👻;pantasma;fantasma|pantasma|susto
👽;extraterrestre;espazo|extraterrestre|ovni
👾;monstro extraterrestre;espazo|extraterrestre|monstro|ovni
🤖;robot;cara|cara de robot|robot
😺;gato moi riseiro;alegre|contento|feliz|gato moi riseiro|sorriso
😸;gato moi riseiro cos ollos alegres;alegre|contento|feliz|gato moi riseiro cos ollos alegres|sorriso
😹;gato chorando de risa;bágoas|chorar de risa|escachar|feliz|gato chorando de risa
😻;gato con ollos en forma de corazón;corazóns|encántame|gato con ollos en forma de corazón|namorado|sorriso
😼;gato con sorriso irónico;astucia|gato con sorriso irónico|ironía|pillabán|sorriso irónico
😽;gato dando un bico;amoroso|dar un bico|gato dando un bico|ollos pechados
🙀;gato con cara de esgotamento;esgotado|gato con cara de esgotamento|sorpresa|susto
😿;gato chorando;bágoa|chorar|gato chorando|triste
😾;gato furioso;gato|gato furioso|ira|rabia
🙈;mono cos ollos tapados;cara|mono|mono cos ollos tapados|ollos|tapados
🙉;mono coas orellas tapadas;cara|mono|mono coas orellas tapadas|orellas|tapadas
🙊;mono coa boca tapada;boca|cara|mono|mono coa boca tapada|tapada
💌;carta de amor;amor|carta|carta de amor|corazón|correo
💘;corazón con frecha;amor|corazón|corazón con frecha|cupido|frecha
💝;corazón cun lazo;corazón|corazón cun lazo|lazo|San Valentín
💖;corazón escintilante;amor|corazón|corazón escintilante|escintilar
💗;corazón crecendo;amor|corazón|corazón crecendo|emoción|entusiasmo
💓;corazón latexando;amor|corazón|corazón latexando|latexo
💞;corazóns voando;corazóns|corazóns voando|voar
💕;dous corazóns;amor|corazóns|dous corazóns
💟;decoración en forma de corazón;corazón|decoración|decoración en forma de corazón
❣️;exclamación en forma de corazón;admiración|corazón|exclamación en forma de corazón|puntuación|signo de exclamación
💔;corazón roto;corazón|desamor|romper o corazón|roto
❤️‍🔥;corazón en chamas;amor|chamas|corazón en chamas|desexo|luxuria|paixón
❤️‍🩹;corazón curándose;corazón curándose|curar|desamor|mellorar|recuperación|sandar
❤️;corazón;amor|corazón
🩷;corazón rosa;amor|corazón rosa|gustar|rosa
🧡;corazón laranxa;corazón|laranxa
💛;corazón amarelo;amarelo|corazón
💚;corazón verde;corazón|verde
💙;corazón azul;azul|corazón
🩵;corazón azul claro;azul|celeste|cián|claro|corazón azul claro
💜;corazón violeta;corazón|violeta
🤎;corazón marrón;castaño|corazón|marrón
🖤;corazón negro;corazón|maldade|malvado|negro
🩶;corazón gris;corazón gris|gris|pedra|prata|prateado
🤍;corazón branco;branco|corazón
💋;marca de bico;beizos|bico|labios|marca|marca de bico
💯;100 puntos;100|cen|puntos|puntuación
💢;símbolo de enfado;cómic|enfado|símbolo de enfado
💥;explosión;colisión|cómic|explosión
💫;símbolo de atordamento;atordamento|cómic|estrelas|mareo|símbolo de atordamento
💦;pingas de suor;cómic|pingas de suor|salpicadura|salpicar|suor
💨;símbolo de saír correndo;cómic|escapar|saír correndo|símbolo de saír correndo
🕳️;burato;buraco|burato
💬;globo de diálogo á esquerda;cómic|diálogo|falar|globo|globo de diálogo á esquerda
👁️‍🗨️;globo de diálogo en forma de ollo;globo|globo de diálogo en forma de ollo|ollo|testemuña
🗨️;globo de diálogo á dereita;cómic|diálogo|falar|globo|globo de diálogo á dereita
🗯️;globo de diálogo enfadado;berrar|cómic|diálogo|globo|globo de diálogo enfadado
💭;globo de pensamento;cómic|globo|globo de pensamento|pensamento
💤;símbolo de estar durmindo;boas noites|cómic|durmir|símbolo de estar durmindo|sono|zzz

[people_body]
👋;man saudando;man|man saudando|saudar|saúdo
	👋🏻;man saudando: ton de pel moi claro;man|man saudando|man saudando: ton de pel moi claro|saudar|saúdo|ton de pel moi claro
	👋🏼;man saudando: ton de pel claro;man|man saudando|man saudando: ton de pel claro|saudar|saúdo|ton de pel claro
	👋🏽;man saudando: ton de pel medio;man|man saudando|man saudando: ton de pel medio|saudar|saúdo|ton de pel medio
	👋🏾;man saudando: ton de pel escuro;man|man saudando|man saudando: ton de pel escuro|saudar|saúdo|ton de pel escuro
	👋🏿;man saudando: ton de pel moi escuro;man|man saudando|man saudando: ton de pel moi escuro|saudar|saúdo|ton de pel moi escuro
🤚;palma da man;deter|man|palma|palma da man
	🤚🏻;palma da man: ton de pel moi claro;deter|man|palma|palma da man|palma da man: ton de pel moi claro|ton de pel moi claro
	🤚🏼;palma da man: ton de pel claro;deter|man|palma|palma da man|palma da man: ton de pel claro|ton de pel claro
	🤚🏽;palma da man: ton de pel medio;deter|man|palma|palma da man|palma da man: ton de pel medio|ton de pel medio
	🤚🏾;palma da man: ton de pel escuro;deter|man|palma|palma da man|palma da man: ton de pel escuro|ton de pel escuro
	🤚🏿;palma da man: ton de pel moi escuro;deter|man|palma|palma da man|palma da man: ton de pel moi escuro|ton de pel moi escuro
🖐️;man aberta;aberta|man
	🖐🏻;man aberta: ton de pel moi claro;aberta|man|man aberta: ton de pel moi claro|ton de pel moi claro
	🖐🏼;man aberta: ton de pel claro;aberta|man|man aberta: ton de pel claro|ton de pel claro
	🖐🏽;man aberta: ton de pel medio;aberta|man|man aberta: ton de pel medio|ton de pel medio
	🖐🏾;man aberta: ton de pel escuro;aberta|man|man aberta: ton de pel escuro|ton de pel escuro
	🖐🏿;man aberta: ton de pel moi escuro;aberta|man|man aberta: ton de pel moi escuro|ton de pel moi escuro
✋;man levantada;levantada|man
	✋🏻;man levantada: ton de pel moi claro;levantada|man|man levantada: ton de pel moi claro|ton de pel moi claro
	✋🏼;man levantada: ton de pel claro;levantada|man|man levantada: ton de pel claro|ton de pel claro
	✋🏽;man levantada: ton de pel medio;levantada|man|man levantada: ton de pel medio|ton de pel medio
	✋🏾;man levantada: ton de pel escuro;levantada|man|man levantada: ton de pel escuro|ton de pel escuro
	✋🏿;man levantada: ton de pel moi escuro;levantada|man|man levantada: ton de pel moi escuro|ton de pel moi escuro
🖖;saúdo vulcaniano;man|saúdo|saúdo vulcaniano|Spock|Star Trek
	🖖🏻;saúdo vulcaniano: ton de pel moi claro;man|saúdo|saúdo vulcaniano|saúdo vulcaniano: ton de pel moi claro|Spock|Star Trek|ton de pel moi claro
	🖖🏼;saúdo vulcaniano: ton de pel claro;man|saúdo|saúdo vulcaniano|saúdo vulcaniano: ton de pel claro|Spock|Star Trek|ton de pel claro
	🖖🏽;saúdo vulcaniano: ton de pel medio;man|saúdo|saúdo vulcaniano|saúdo vulcaniano: ton de pel medio|Spock|Star Trek|ton de pel medio
	🖖🏾;saúdo vulcaniano: ton de pel escuro;man|saúdo|saúdo vulcaniano|saúdo vulcaniano: ton de pel escuro|Spock|Star Trek|ton de pel escuro
	🖖🏿;saúdo vulcaniano: ton de pel moi escuro;man|saúdo|saúdo vulcaniano|saúdo vulcaniano: ton de pel moi escuro|Spock|Star Trek|ton de pel moi escuro
🫱;man cara á dereita;cara á dereita|dar a man|dereita|man cara á dereita
	🫱🏻;man cara á dereita: ton de pel moi claro;cara á dereita|dar a man|dereita|man cara á dereita|man cara á dereita: ton de pel moi claro|ton de pel moi claro
	🫱🏼;man cara á dereita: ton de pel claro;cara á dereita|dar a man|dereita|man cara á dereita|man cara á dereita: ton de pel claro|ton de pel claro
	🫱🏽;man cara á dereita: ton de pel medio;cara á dereita|dar a man|dereita|man cara á dereita|man cara á dereita: ton de pel medio|ton de pel medio
	🫱🏾;man cara á dereita: ton de pel escuro;cara á dereita|dar a man|dereita|man cara á dereita|man cara á dereita: ton de pel escuro|ton de pel escuro
	🫱🏿;man cara á dereita: ton de pel moi escuro;cara á dereita|dar a man|dereita|man cara á dereita|man cara á dereita: ton de pel moi escuro|ton de pel moi escuro
🫲;man cara á esquerda;cara á esquerda|dar a man|esquerda|man cara á esquerda
	🫲🏻;man cara á esquerda: ton de pel moi claro;cara á esquerda|dar a man|esquerda|man cara á esquerda|man cara á esquerda: ton de pel moi claro|ton de pel moi claro
	🫲🏼;man cara á esquerda: ton de pel claro;cara á esquerda|dar a man|esquerda|man cara á esquerda|man cara á esquerda: ton de pel claro|ton de pel claro
	🫲🏽;man cara á esquerda: ton de pel medio;cara á esquerda|dar a man|esquerda|man cara á esquerda|man cara á esquerda: ton de pel medio|ton de pel medio
	🫲🏾;man cara á esquerda: ton de pel escuro;cara á esquerda|dar a man|esquerda|man cara á esquerda|man cara á esquerda: ton de pel escuro|ton de pel escuro
	🫲🏿;man cara á esquerda: ton de pel moi escuro;cara á esquerda|dar a man|esquerda|man cara á esquerda|man cara á esquerda: ton de pel moi escuro|ton de pel moi escuro
🫳;man coa palma cara abaixo;deixar caer|facer calar|man coa palma cara abaixo|palma cara abaixo|refugar
	🫳🏻;man coa palma cara abaixo: ton de pel moi claro;deixar caer|facer calar|man coa palma cara abaixo|man coa palma cara abaixo: ton de pel moi claro|palma cara abaixo|refugar|ton de pel moi claro
	🫳🏼;man coa palma cara abaixo: ton de pel claro;deixar caer|facer calar|man coa palma cara abaixo|man coa palma cara abaixo: ton de pel claro|palma cara abaixo|refugar|ton de pel claro
	🫳🏽;man coa palma cara abaixo: ton de pel medio;deixar caer|facer calar|man coa palma cara abaixo|man coa palma cara abaixo: ton de pel medio|palma cara abaixo|refugar|ton de pel medio
	🫳🏾;man coa palma cara abaixo: ton de pel escuro;deixar caer|facer calar|man coa palma cara abaixo|man coa palma cara abaixo: ton de pel escuro|palma cara abaixo|refugar|ton de pel escuro
	🫳🏿;man coa palma cara abaixo: ton de pel moi escuro;deixar caer|facer calar|man coa palma cara abaixo|man coa palma cara abaixo: ton de pel moi escuro|palma cara abaixo|refugar|ton de pel moi escuro
🫴;man coa palma cara arriba;atraer|chamar|coller|man coa palma cara arriba|ofrecer|palma cara arriba
	🫴🏻;man coa palma cara arriba: ton de pel moi claro;atraer|chamar|coller|man coa palma cara arriba|man coa palma cara arriba: ton de pel moi claro|ofrecer|palma cara arriba|ton de pel moi claro
	🫴🏼;man coa palma cara arriba: ton de pel claro;atraer|chamar|coller|man coa palma cara arriba|man coa palma cara arriba: ton de pel claro|ofrecer|palma cara arriba|ton de pel claro
	🫴🏽;man coa palma cara arriba: ton de pel medio;atraer|chamar|coller|man coa palma cara arriba|man coa palma cara arriba: ton de pel medio|ofrecer|palma cara arriba|ton de pel medio
	🫴🏾;man coa palma cara arriba: ton de pel escuro;atraer|chamar|coller|man coa palma cara arriba|man coa palma cara arriba: ton de pel escuro|ofrecer|palma cara arriba|ton de pel escuro
	🫴🏿;man coa palma cara arriba: ton de pel moi escuro;atraer|chamar|coller|man coa palma cara arriba|man coa palma cara arriba: ton de pel moi escuro|ofrecer|palma cara arriba|ton de pel moi escuro
🫷;man empuxando cara á esquerda;chocar|cinco|esperar|esquerda|man empuxando cara á esquerda|parar|rexeitar
	🫷🏻;man empuxando cara á esquerda: ton de pel moi claro;chocar|cinco|esperar|esquerda|man empuxando cara á esquerda|man empuxando cara á esquerda: ton de pel moi claro|parar|rexeitar|ton de pel moi claro
	🫷🏼;man empuxando cara á esquerda: ton de pel claro;chocar|cinco|esperar|esquerda|man empuxando cara á esquerda|man empuxando cara á esquerda: ton de pel claro|parar|rexeitar|ton de pel claro
	🫷🏽;man empuxando cara á esquerda: ton de pel medio;chocar|cinco|esperar|esquerda|man empuxando cara á esquerda|man empuxando cara á esquerda: ton de pel medio|parar|rexeitar|ton de pel medio
	🫷🏾;man empuxando cara á esquerda: ton de pel escuro;chocar|cinco|esperar|esquerda|man empuxando cara á esquerda|man empuxando cara á esquerda: ton de pel escuro|parar|rexeitar|ton de pel escuro
	🫷🏿;man empuxando cara á esquerda: ton de pel moi escuro;chocar|cinco|esperar|esquerda|man empuxando cara á esquerda|man empuxando cara á esquerda: ton de pel moi escuro|parar|rexeitar|ton de pel moi escuro
🫸;man empuxando cara á dereita;chocar|cinco|dereita|empuxar|esperar|man empuxando cara á dereita|parar|rexeitar
	🫸🏻;man empuxando cara á dereita: ton de pel moi claro;chocar|cinco|dereita|empuxar|esperar|man empuxando cara á dereita|man empuxando cara á dereita: ton de pel moi claro|parar|rexeitar|ton de pel moi claro
	🫸🏼;man empuxando cara á dereita: ton de pel claro;chocar|cinco|dereita|empuxar|esperar|man empuxando cara á dereita|man empuxando cara á dereita: ton de pel claro|parar|rexeitar|ton de pel claro
	🫸🏽;man empuxando cara á dereita: ton de pel medio;chocar|cinco|dereita|empuxar|esperar|man empuxando cara á dereita|man empuxando cara á dereita: ton de pel medio|parar|rexeitar|ton de pel medio
	🫸🏾;man empuxando cara á dereita: ton de pel escuro;chocar|cinco|dereita|empuxar|esperar|man empuxando cara á dereita|man empuxando cara á dereita: ton de pel escuro|parar|rexeitar|ton de pel escuro
	🫸🏿;man empuxando cara á dereita: ton de pel moi escuro;chocar|cinco|dereita|empuxar|esperar|man empuxando cara á dereita|man empuxando cara á dereita: ton de pel moi escuro|parar|rexeitar|ton de pel moi escuro
👌;xesto de “OK”;man|OK|perfecto|xesto de “OK”
	👌🏻;xesto de “OK”: ton de pel moi claro;man|OK|perfecto|ton de pel moi claro|xesto de “OK”|xesto de “OK”: ton de pel moi claro
	👌🏼;xesto de “OK”: ton de pel claro;man|OK|perfecto|ton de pel claro|xesto de “OK”|xesto de “OK”: ton de pel claro
	👌🏽;xesto de “OK”: ton de pel medio;man|OK|perfecto|ton de pel medio|xesto de “OK”|xesto de “OK”: ton de pel medio
	👌🏾;xesto de “OK”: ton de pel escuro;man|OK|perfecto|ton de pel escuro|xesto de “OK”|xesto de “OK”: ton de pel escuro
	👌🏿;xesto de “OK”: ton de pel moi escuro;man|OK|perfecto|ton de pel moi escuro|xesto de “OK”|xesto de “OK”: ton de pel moi escuro
🤌;xesto de &quot;ateigado&quot;;a tope|ateigado|de bote en bote|petado|xesto de &quot;ateigado&quot;
	🤌🏻;xesto de &quot;ateigado&quot;: ton de pel moi claro;a tope|ateigado|de bote en bote|petado|ton de pel moi claro|xesto de &quot;ateigado&quot;|xesto de &quot;ateigado&quot;: ton de pel moi claro
	🤌🏼;xesto de &quot;ateigado&quot;: ton de pel claro;a tope|ateigado|de bote en bote|petado|ton de pel claro|xesto de &quot;ateigado&quot;|xesto de &quot;ateigado&quot;: ton de pel claro
	🤌🏽;xesto de &quot;ateigado&quot;: ton de pel medio;a tope|ateigado|de bote en bote|petado|ton de pel medio|xesto de &quot;ateigado&quot;|xesto de &quot;ateigado&quot;: ton de pel medio
	🤌🏾;xesto de &quot;ateigado&quot;: ton de pel escuro;a tope|ateigado|de bote en bote|petado|ton de pel escuro|xesto de &quot;ateigado&quot;|xesto de &quot;ateigado&quot;: ton de pel escuro
	🤌🏿;xesto de &quot;ateigado&quot;: ton de pel moi escuro;a tope|ateigado|de bote en bote|petado|ton de pel moi escuro|xesto de &quot;ateigado&quot;|xesto de &quot;ateigado&quot;: ton de pel moi escuro
🤏;xesto de &quot;un chisco&quot;;chisco|miga|pouquiño|xesto de &quot;un chisco&quot;
	🤏🏻;xesto de &quot;un chisco&quot;: ton de pel moi claro;chisco|miga|pouquiño|ton de pel moi claro|xesto de &quot;un chisco&quot;|xesto de &quot;un chisco&quot;: ton de pel moi claro
	🤏🏼;xesto de &quot;un chisco&quot;: ton de pel claro;chisco|miga|pouquiño|ton de pel claro|xesto de &quot;un chisco&quot;|xesto de &quot;un chisco&quot;: ton de pel claro
	🤏🏽;xesto de &quot;un chisco&quot;: ton de pel medio;chisco|miga|pouquiño|ton de pel medio|xesto de &quot;un chisco&quot;|xesto de &quot;un chisco&quot;: ton de pel medio
	🤏🏾;xesto de &quot;un chisco&quot;: ton de pel escuro;chisco|miga|pouquiño|ton de pel escuro|xesto de &quot;un chisco&quot;|xesto de &quot;un chisco&quot;: ton de pel escuro
	🤏🏿;xesto de &quot;un chisco&quot;: ton de pel moi escuro;chisco|miga|pouquiño|ton de pel moi escuro|xesto de &quot;un chisco&quot;|xesto de &quot;un chisco&quot;: ton de pel moi escuro
✌️;xesto de vitoria;man|triunfo|vitoria|xesto|xesto de vitoria
	✌🏻;xesto de vitoria: ton de pel moi claro;man|ton de pel moi claro|triunfo|vitoria|xesto|xesto de vitoria|xesto de vitoria: ton de pel moi claro
	✌🏼;xesto de vitoria: ton de pel claro;man|ton de pel claro|triunfo|vitoria|xesto|xesto de vitoria|xesto de vitoria: ton de pel claro
	✌🏽;xesto de vitoria: ton de pel medio;man|ton de pel medio|triunfo|vitoria|xesto|xesto de vitoria|xesto de vitoria: ton de pel medio
	✌🏾;xesto de vitoria: ton de pel escuro;man|ton de pel escuro|triunfo|vitoria|xesto|xesto de vitoria|xesto de vitoria: ton de pel escuro
	✌🏿;xesto de vitoria: ton de pel moi escuro;man|ton de pel moi escuro|triunfo|vitoria|xesto|xesto de vitoria|xesto de vitoria: ton de pel moi escuro
🤞;dedos cruzados;cruzar|dedos|dedos cruzados|man|sorte
	🤞🏻;dedos cruzados: ton de pel moi claro;cruzar|dedos|dedos cruzados|dedos cruzados: ton de pel moi claro|man|sorte|ton de pel moi claro
	🤞🏼;dedos cruzados: ton de pel claro;cruzar|dedos|dedos cruzados|dedos cruzados: ton de pel claro|man|sorte|ton de pel claro
	🤞🏽;dedos cruzados: ton de pel medio;cruzar|dedos|dedos cruzados|dedos cruzados: ton de pel medio|man|sorte|ton de pel medio
	🤞🏾;dedos cruzados: ton de pel escuro;cruzar|dedos|dedos cruzados|dedos cruzados: ton de pel escuro|man|sorte|ton de pel escuro
	🤞🏿;dedos cruzados: ton de pel moi escuro;cruzar|dedos|dedos cruzados|dedos cruzados: ton de pel moi escuro|man|sorte|ton de pel moi escuro
🫰;man cos dedos índice e polgar cruzados;caro|chascar|corazón|diñeiro|man cos dedos índice e polgar cruzados
	🫰🏻;man cos dedos índice e polgar cruzados: ton de pel moi claro;caro|chascar|corazón|diñeiro|man cos dedos índice e polgar cruzados|man cos dedos índice e polgar cruzados: ton de pel moi claro|ton de pel moi claro
	🫰🏼;man cos dedos índice e polgar cruzados: ton de pel claro;caro|chascar|corazón|diñeiro|man cos dedos índice e polgar cruzados|man cos dedos índice e polgar cruzados: ton de pel claro|ton de pel claro
	🫰🏽;man cos dedos índice e polgar cruzados: ton de pel medio;caro|chascar|corazón|diñeiro|man cos dedos índice e polgar cruzados|man cos dedos índice e polgar cruzados: ton de pel medio|ton de pel medio
	🫰🏾;man cos dedos índice e polgar cruzados: ton de pel escuro;caro|chascar|corazón|diñeiro|man cos dedos índice e polgar cruzados|man cos dedos índice e polgar cruzados: ton de pel escuro|ton de pel escuro
	🫰🏿;man cos dedos índice e polgar cruzados: ton de pel moi escuro;caro|chascar|corazón|diñeiro|man cos dedos índice e polgar cruzados|man cos dedos índice e polgar cruzados: ton de pel moi escuro|ton de pel moi escuro
🤟;xesto das iniciais de &quot;I Love You&quot;;I Love You|ILY|man|xesto|xesto das iniciais de &quot;I Love You&quot;
	🤟🏻;xesto das iniciais de &quot;I Love You&quot;: ton de pel moi claro;I Love You|ILY|man|ton de pel moi claro|xesto|xesto das iniciais de &quot;I Love You&quot;|xesto das iniciais de &quot;I Love You&quot;: ton de pel moi claro
	🤟🏼;xesto das iniciais de &quot;I Love You&quot;: ton de pel claro;I Love You|ILY|man|ton de pel claro|xesto|xesto das iniciais de &quot;I Love You&quot;|xesto das iniciais de &quot;I Love You&quot;: ton de pel claro
