# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;嘿嘿;嘿嘿|笑脸|脸
😎;墨镜笑脸;太阳镜|眼镜|酷|墨镜|墨镜笑脸
🤓;书呆子脸;书呆子脸|奇葩|脸
🧐;带单片眼镜的脸;古板|带单片眼镜的脸
😕;困扰;不懂|困惑|困扰|疑惑|脸
🫤;郁闷;不确定|失望|怀疑|无聊|郁闷
😟;担心;不高兴|伤心|担心|担忧|焦虑|脸
🙁;微微不满;不开心|不高兴|委屈|微微不满|心情不好|脸
☹️;不满;不满|不爽|不高兴|皱眉|脸
😮;吃惊;吃惊|同情|啊|脸
😯;缄默;吃惊|缄默|脸
😲;震惊;惊|惊讶|脸|震惊
😳;脸红;困惑|害羞|羞涩|脸|脸红|茫然|迷茫
🥺;恳求的脸;可怜兮兮的眼神|怜悯|恳求的脸|祈求
🥹;忍住泪水;哭泣|忍住泪水|悲伤|抗拒|生气|自豪
😦;啊;啊|惊讶|目瞪口呆|脸
😧;极度痛苦;极度痛苦|痛|脸|难受
😨;害怕;害怕|怕|恐怖|恐惧|脸
😰;冷汗;冷汗|无语|汗|焦虑|紧张|脸
😥;失望但如释重负;失望|失望但如释重负|如释重负|脸
😢;哭;伤心|哭|泪|脸
😭;放声大哭;哭|大哭|放声大哭|泪|痛哭|脸
😱;吓死了;吓死|吓死了|害怕|尖叫|恐怖|脸
😖;困惑;困惑|焦头烂额|纠结|脸
😣;痛苦;忍耐|痛苦|脸|难受
😞;失望;不高兴|失望|脸|难过
😓;汗;冷|尴尬|汗|脸
😩;累死了;疲倦|疲劳|疲惫|累|累死了|脸
😫;累;疲倦|疲劳|疲惫|累|脸
🥱;打呵欠;呵欠|哈欠|困|打呵欠|无聊|累
😤;傲慢;傲慢|胜利|自负|赢|趾高气昂
😡;怒火中烧;发火|发飙|怒|怒火中烧|生气|脸
😠;生气;怒|愤怒|生气|脸
🤬;嘴上有符号的脸;发誓|咒骂|嘴上有符号的脸|脸
😈;恶魔微笑;幻想|恶魔微笑|犄角|神话故事|脸
👿;生气的恶魔;幻想|生气的恶魔|顽童
💀;头骨;头骨|妖怪|死亡|神话故事|脸
☠️;骷髅;头骨|妖怪|死亡|脸|骨头|骷髅
💩;大便;大便|屎|怪物|粑粑|脸
🤡;小丑脸;小丑|小丑脸|脸
👹;食人魔;妖怪|幻想|神话故事|脸|食人魔|鬼
👺;小妖精;妖怪|小妖精|幻想|神话故事|脸
👻;鬼;妖怪|幻想|幽灵|神话故事|脸|鬼
👽;外星人;ufo|外星|外星人|太空|幻想|星际|脸
👾;外星怪物;ufo|外星|外星怪物|太空|怪物|星际|脸|飞碟
🤖;机器人;怪物|机器人
😺;大笑的猫;哈哈|大笑的猫|猫脸|笑|脸
😸;微笑的猫;呵呵|微笑的猫|猫脸|笑|脸
😹;笑出眼泪的猫;喜极而泣|快乐|猫脸|眼泪|笑出眼泪的猫|脸
😻;花痴的猫;喜欢|心|猫脸|脸|花痴|花痴的猫
😼;奸笑的猫;奸笑|奸笑的猫|猫脸|脸|讽刺
😽;亲亲猫;亲亲|亲亲猫|吻|猫脸|脸
🙀;疲倦的猫;惊讶|猫脸|疲倦|疲倦的猫|累|脸
😿;哭泣的猫;哭|哭泣的猫|猫脸|眼泪|脸|难过
😾;生气的猫;猫脸|生气|生气的猫|脸
🙈;非礼勿视;脸|蒙住眼睛|蒙眼|非礼勿视
🙉;非礼勿听;堵上耳朵|堵耳|脸|非礼勿听
🙊;非礼勿言;捂上嘴巴|捂嘴|脸|非礼勿言
💌;情书;信|情书|邮件
💘;心中箭了;丘比特|心中箭了|浪漫|爱情|箭|红心
💝;系有缎带的心;爱的礼物|系有缎带的心|送你一颗心
💖;闪亮的心;激动|红心|闪亮|闪亮的心
💗;搏动的心;搏动|搏动的心|激动|紧张|红心
💓;心跳;心动|心跳|爱
💞;舞动的心;旋转|涌动|舞动的心|跃动
💕;两颗心;两颗心|爱情
💟;心型装饰;心型装饰|装饰
❣️;心叹号;叹号|心动|心叹号
💔;心碎;伤心|心碎
❤️‍🔥;火上之心;渴望|火上之心|燃烧|爱
❤️‍🩹;修复受伤的心灵;修复受伤的心灵|修补|恢复|痊愈
❤️;红心;心|爱|红心
🩷;粉红色的心;可爱|喜欢|心|爱|粉红|粉红色的心
🧡;橙心;橙|橙心
💛;黄心;黄|黄心
💚;绿心;绿|绿心
💙;蓝心;蓝|蓝心
🩵;浅蓝色的心;心|浅蓝|浅蓝色的心|蓝绿|青色
💜;紫心;紫|紫心
🤎;棕心;心|心形|棕|棕心
🖤;黑心;心|邪恶|黑心|黑色
🩶;灰心;心|暗灰|灰|灰心|银
🤍;白心;心|心形|白|白心
💋;唇印;吻|唇|唇印|浪漫
💯;一百分;一百分|满分|考试
💢;怒;怒|火大|生气|青筋
💥;爆炸;炸|爆|爆炸
💫;头晕;头晕|头晕目眩
💦;汗滴;汗|汗滴
💨;尾气;尾气|疾驰而去|飞奔而去
🕳️;洞;坑|洞|陷阱
💬;话语气泡;发言|对话框|气泡|话语气泡
👁️‍🗨️;眼睛对话框;对话框|眼睛|眼睛对话框
🗨️;朝左的话语气泡;对话框|朝左的话语气泡|话语
🗯️;愤怒话语气泡;对话框|愤怒|愤怒话语气泡
💭;内心活动气泡;内心活动气泡|对话框|思想活动|气泡
💤;睡着;呼噜|打呼|睡着

[people_body]
👋;挥手;你好|再见|挥手
	👋🏻;挥手: 较浅肤色;你好|再见|挥手|挥手: 较浅肤色|较浅肤色
	👋🏼;挥手: 中等-浅肤色;中等-浅肤色|你好|再见|挥手|挥手: 中等-浅肤色
	👋🏽;挥手: 中等肤色;中等肤色|你好|再见|挥手|挥手: 中等肤色
	👋🏾;挥手: 中等-深肤色;中等-深肤色|你好|再见|挥手|挥手: 中等-深肤色
	👋🏿;挥手: 较深肤色;你好|再见|挥手|挥手: 较深肤色|较深肤色
🤚;立起的手背;手|手背|立起|立起的手背
	🤚🏻;立起的手背: 较浅肤色;手|手背|立起|立起的手背|立起的手背: 较浅肤色|较浅肤色
	🤚🏼;立起的手背: 中等-浅肤色;中等-浅肤色|手|手背|立起|立起的手背|立起的手背: 中等-浅肤色
	🤚🏽;立起的手背: 中等肤色;中等肤色|手|手背|立起|立起的手背|立起的手背: 中等肤色
	🤚🏾;立起的手背: 中等-深肤色;中等-深肤色|手|手背|立起|立起的手背|立起的手背: 中等-深肤色
	🤚🏿;立起的手背: 较深肤色;手|手背|立起|立起的手背|立起的手背: 较深肤色|较深肤色
🖐️;手掌;击掌|布|手|手掌|禁止
	🖐🏻;手掌: 较浅肤色;击掌|布|手|手掌|手掌: 较浅肤色|禁止|较浅肤色
	🖐🏼;手掌: 中等-浅肤色;中等-浅肤色|击掌|布|手|手掌|手掌: 中等-浅肤色|禁止
	🖐🏽;手掌: 中等肤色;中等肤色|击掌|布|手|手掌|手掌: 中等肤色|禁止
	🖐🏾;手掌: 中等-深肤色;中等-深肤色|击掌|布|手|手掌|手掌: 中等-深肤色|禁止
	🖐🏿;手掌: 较深肤色;击掌|布|手|手掌|手掌: 较深肤色|禁止|较深肤色
✋;举起手;举手|举起手|手
	✋🏻;举起手: 较浅肤色;举手|举起手|举起手: 较浅肤色|手|较浅肤色
	✋🏼;举起手: 中等-浅肤色;中等-浅肤色|举手|举起手|举起手: 中等-浅肤色|手
	✋🏽;举起手: 中等肤色;中等肤色|举手|举起手|举起手: 中等肤色|手
	✋🏾;举起手: 中等-深肤色;中等-深肤色|举手|举起手|举起手: 中等-深肤色|手
	✋🏿;举起手: 较深肤色;举手|举起手|举起手: 较深肤色|手|较深肤色
🖖;瓦肯举手礼;手|敬礼|斯波克|星际迷航|瓦肯|瓦肯举手礼
	🖖🏻;瓦肯举手礼: 较浅肤色;手|敬礼|斯波克|星际迷航|瓦肯|瓦肯举手礼|瓦肯举手礼: 较浅肤色|较浅肤色
	🖖🏼;瓦肯举手礼: 中等-浅肤色;中等-浅肤色|手|敬礼|斯波克|星际迷航|瓦肯|瓦肯举手礼|瓦肯举手礼: 中等-浅肤色
	🖖🏽;瓦肯举手礼: 中等肤色;中等肤色|手|敬礼|斯波克|星际迷航|瓦肯|瓦肯举手礼|瓦肯举手礼: 中等肤色
	🖖🏾;瓦肯举手礼: 中等-深肤色;中等-深肤色|手|敬礼|斯波克|星际迷航|瓦肯|瓦肯举手礼|瓦肯举手礼: 中等-深肤色
	🖖🏿;瓦肯举手礼: 较深肤色;手|敬礼|斯波克|星际迷航|瓦肯|瓦肯举手礼|瓦肯举手礼: 较深肤色|较深肤色
🫱;向右的手;右|向右|向右的手|手
	🫱🏻;向右的手: 较浅肤色;右|向右|向右的手|向右的手: 较浅肤色|手|较浅肤色
	🫱🏼;向右的手: 中等-浅肤色;中等-浅肤色|右|向右|向右的手|向右的手: 中等-浅肤色|手
	🫱🏽;向右的手: 中等肤色;中等肤色|右|向右|向右的手|向右的手: 中等肤色|手
	🫱🏾;向右的手: 中等-深肤色;中等-深肤色|右|向右|向右的手|向右的手: 中等-深肤色|手
	🫱🏿;向右的手: 较深肤色;右|向右|向右的手|向右的手: 较深肤色|手|较深肤色
🫲;向左的手;向左|向左的手|左|手
	🫲🏻;向左的手: 较浅肤色;向左|向左的手|向左的手: 较浅肤色|左|手|较浅肤色
	🫲🏼;向左的手: 中等-浅肤色;中等-浅肤色|向左|向左的手|向左的手: 中等-浅肤色|左|手
	🫲🏽;向左的手: 中等肤色;中等肤色|向左|向左的手|向左的手: 中等肤色|左|手
	🫲🏾;向左的手: 中等-深肤色;中等-深肤色|向左|向左的手|向左的手: 中等-深肤色|左|手
	🫲🏿;向左的手: 较深肤色;向左|向左的手|向左的手: 较深肤色|左|手|较深肤色
🫳;掌心向下的手;下投|掌心向下的手|解散|驱赶
	🫳🏻;掌心向下的手: 较浅肤色;下投|掌心向下的手|掌心向下的手: 较浅肤色|解散|较浅肤色|驱赶
	🫳🏼;掌心向下的手: 中等-浅肤色;下投|中等-浅肤色|掌心向下的手|掌心向下的手: 中等-浅肤色|解散|驱赶
	🫳🏽;掌心向下的手: 中等肤色;下投|中等肤色|掌心向下的手|掌心向下的手: 中等肤色|解散|驱赶
	🫳🏾;掌心向下的手: 中等-深肤色;下投|中等-深肤色|掌心向下的手|掌心向下的手: 中等-深肤色|解散|驱赶
	🫳🏿;掌心向下的手: 较深肤色;下投|掌心向下的手|掌心向下的手: 较深肤色|解散|较深肤色|驱赶
🫴;掌心向上的手;召唤|掌心向上的手|接住|提供|过来
	🫴🏻;掌心向上的手: 较浅肤色;召唤|掌心向上的手|掌心向上的手: 较浅肤色|接住|提供|较浅肤色|过来
	🫴🏼;掌心向上的手: 中等-浅肤色;中等-浅肤色|召唤|掌心向上的手|掌心向上的手: 中等-浅肤色|接住|提供|过来
	🫴🏽;掌心向上的手: 中等肤色;中等肤色|召唤|掌心向上的手|掌心向上的手: 中等肤色|接住|提供|过来
	🫴🏾;掌心向上的手: 中等-深肤色;中等-深肤色|召唤|掌心向上的手|掌心向上的手: 中等-深肤色|接住|提供|过来
	🫴🏿;掌心向上的手: 较深肤色;召唤|掌心向上的手|掌心向上的手: 较深肤色|接住|提供|较深肤色|过来
🫷;向左推;停止|击掌|向左|向左推|拒绝|推|等等
	🫷🏻;向左推: 较浅肤色;停止|击掌|向左|向左推|向左推: 较浅肤色|拒绝|推|等等|较浅肤色
	🫷🏼;向左推: 中等-浅肤色;中等-浅肤色|停止|击掌|向左|向左推|向左推: 中等-浅肤色|拒绝|推|等等
	🫷🏽;向左推: 中等肤色;中等肤色|停止|击掌|向左|向左推|向左推: 中等肤色|拒绝|推|等等
	🫷🏾;向左推: 中等-深肤色;中等-深肤色|停止|击掌|向左|向左推|向左推: 中等-深肤色|拒绝|推|等等
	🫷🏿;向左推: 较深肤色;停止|击掌|向左|向左推|向左推: 较深肤色|拒绝|推|等等|较深肤色
🫸;向右推;停止|击掌|向右|向右推|拒绝|推|等等
	🫸🏻;向右推: 较浅肤色;停止|击掌|向右|向右推|向右推: 较浅肤色|拒绝|推|等等|较浅肤色
	🫸🏼;向右推: 中等-浅肤色;中等-浅肤色|停止|击掌|向右|向右推|向右推: 中等-浅肤色|拒绝|推|等等
	🫸🏽;向右推: 中等肤色;中等肤色|停止|击掌|向右|向右推|向右推: 中等肤色|拒绝|推|等等
	🫸🏾;向右推: 中等-深肤色;中等-深肤色|停止|击掌|向右|向右推|向右推: 中等-深肤色|拒绝|推|等等
	🫸🏿;向右推: 较深肤色;停止|击掌|向右|向右推|向右推: 较深肤色|拒绝|推|等等|较深肤色
👌;OK;OK|手
	👌🏻;OK: 较浅肤色;OK|OK: 较浅肤色|手|较浅肤色
	👌🏼;OK: 中等-浅肤色;OK|OK: 中等-浅肤色|中等-浅肤色|手
	👌🏽;OK: 中等肤色;OK|OK: 中等肤色|中等肤色|手
	👌🏾;OK: 中等-深肤色;OK|OK: 中等-深肤色|中等-深肤色|手
	👌🏿;OK: 较深肤色;OK|OK: 较深肤色|手|较深肤色
🤌;捏手指;匮乏|审讯|手势|手指|挖苦|捏手指
	🤌🏻;捏手指: 较浅肤色;匮乏|审讯|手势|手指|挖苦|捏手指|捏手指: 较浅肤色|较浅肤色
	🤌🏼;捏手指: 中等-浅肤色;中等-浅肤色|匮乏|审讯|手势|手指|挖苦|捏手指|捏手指: 中等-浅肤色
	🤌🏽;捏手指: 中等肤色;中等肤色|匮乏|审讯|手势|手指|挖苦|捏手指|捏手指: 中等肤色
	🤌🏾;捏手指: 中等-深肤色;中等-深肤色|匮乏|审讯|手势|手指|挖苦|捏手指|捏手指: 中等-深肤色
	🤌🏿;捏手指: 较深肤色;匮乏|审讯|手势|手指|挖苦|捏手指|捏手指: 较深肤色|较深肤色
🤏;捏合的手势;一点|小|少量|捏合的手势
	🤏🏻;捏合的手势: 较浅肤色;一点|小|少量|捏合的手势|捏合的手势: 较浅肤色|较浅肤色
	🤏🏼;捏合的手势: 中等-浅肤色;一点|中等-浅肤色|小|少量|捏合的手势|捏合的手势: 中等-浅肤色
	🤏🏽;捏合的手势: 中等肤色;一点|中等肤色|小|少量|捏合的手势|捏合的手势: 中等肤色
	🤏🏾;捏合的手势: 中等-深肤色;一点|中等-深肤色|小|少量|捏合的手势|捏合的手势: 中等-深肤色
	🤏🏿;捏合的手势: 较深肤色;一点|小|少量|捏合的手势|捏合的手势: 较深肤色|较深肤色
✌️;胜利手势;V|成功|手|胜利|胜利手势
	✌🏻;胜利手势: 较浅肤色;V|成功|手|胜利|胜利手势|胜利手势: 较浅肤色|较浅肤色
	✌🏼;胜利手势: 中等-浅肤色;V|中等-浅肤色|成功|手|胜利|胜利手势|胜利手势: 中等-浅肤色
	✌🏽;胜利手势: 中等肤色;V|中等肤色|成功|手|胜利|胜利手势|胜利手势: 中等肤色
	✌🏾;胜利手势: 中等-深肤色;V|中等-深肤色|成功|手|胜利|胜利手势|胜利手势: 中等-深肤色
	✌🏿;胜利手势: 较深肤色;V|成功|手|胜利|胜利手势|胜利手势: 较深肤色|较深肤色
🤞;交叉的手指;交叉|交叉的手指|幸运|手|手指
	🤞🏻;交叉的手指: 较浅肤色;交叉|交叉的手指|交叉的手指: 较浅肤色|幸运|手|手指|较浅肤色
	🤞🏼;交叉的手指: 中等-浅肤色;中等-浅肤色|交叉|交叉的手指|交叉的手指: 中等-浅肤色|幸运|手|手指
	🤞🏽;交叉的手指: 中等肤色;中等肤色|交叉|交叉的手指|交叉的手指: 中等肤色|幸运|手|手指
	🤞🏾;交叉的手指: 中等-深肤色;中等-深肤色|交叉|交叉的手指|交叉的手指: 中等-深肤色|幸运|手|手指
	🤞🏿;交叉的手指: 较深肤色;交叉|交叉的手指|交叉的手指: 较深肤色|幸运|手|手指|较深肤色
🫰;食指与拇指交叉的手;响指|心|昂贵|爱|金钱|食指与拇指交叉的手
	🫰🏻;食指与拇指交叉的手: 较浅肤色;响指|心|昂贵|爱|较浅肤色|金钱|食指与拇指交叉的手|食指与拇指交叉的手: 较浅肤色
	🫰🏼;食指与拇指交叉的手: 中等-浅肤色;中等-浅肤色|响指|心|昂贵|爱|金钱|食指与拇指交叉的手|食指与拇指交叉的手: 中等-浅肤色
	🫰🏽;食指与拇指交叉的手: 中等肤色;中等肤色|响指|心|昂贵|爱|金钱|食指与拇指交叉的手|食指与拇指交叉的手: 中等肤色
	🫰🏾;食指与拇指交叉的手: 中等-深肤色;中等-深肤色|响指|心|昂贵|爱|金钱|食指与拇指交叉的手|食指与拇指交叉的手: 中等-深肤色
	🫰🏿;食指与拇指交叉的手: 较深肤色;响指|心|昂贵|爱|较深肤色|金钱|食指与拇指交叉的手|食指与拇指交叉的手: 较深肤色
🤟;爱你的手势;我爱你|手|爱你的手势
	🤟🏻;爱你的手势: 较浅肤色;我爱你|手|爱你的手势|爱你的手势: 较浅肤色|较浅肤色
	🤟🏼;爱你的手势: 中等-浅肤色;中等-浅肤色|我爱你|手|爱你的手势|爱你的手势: 中等-浅肤色
	🤟🏽;爱你的手势: 中等肤色;中等肤色|我爱你|手|爱你的手势|爱你的手势: 中等肤色
	🤟🏾;爱你的手势: 中等-深肤色;中等-深肤色|我爱你|手|爱你的手势|爱你的手势: 中等-深肤色
	🤟🏿;爱你的手势: 较深肤色;我爱你|手|爱你的手势|爱你的手势: 较深肤色|较深肤色
🤘;摇滚;手|摇滚|角|金属礼
	🤘🏻;摇滚: 较浅肤色;手|摇滚|摇滚: 较浅肤色|角|较浅肤色|金属礼
	🤘🏼;摇滚: 中等-浅肤色;中等-浅肤色|手|摇滚|摇滚: 中等-浅肤色|角|金属礼
	🤘🏽;摇滚: 中等肤色;中等肤色|手|摇滚|摇滚: 中等肤色|角|金属礼
	🤘🏾;摇滚: 中等-深肤色;中等-深肤色|手|摇滚|摇滚: 中等-深肤色|角|金属礼
	🤘🏿;摇滚: 较深肤色;手|摇滚|摇滚: 较深肤色|角|较深肤色|金属礼
🤙;给我打电话;手|电话|给我打电话
	🤙🏻;给我打电话: 较浅肤色;手|电话|给我打电话|给我打电话: 较浅肤色|较浅肤色
	🤙🏼;给我打电话: 中等-浅肤色;中等-浅肤色|手|电话|给我打电话|给我打电话: 中等-浅肤色
	🤙🏽;给我打电话: 中等肤色;中等肤色|手|电话|给我打电话|给我打电话: 中等肤色
	🤙🏾;给我打电话: 中等-深肤色;中等-深肤色|手|电话|给我打电话|给我打电话: 中等-深肤色
	🤙🏿;给我打电话: 较深肤色;手|电话|给我打电话|给我打电话: 较深肤色|较深肤色
👈;反手食指向左指;反手|反手食指向左指|向左指|手|指左|食指
	👈🏻;反手食指向左指: 较浅肤色;反手|反手食指向左指|反手食指向左指: 较浅肤色|向左指|手|指左|较浅肤色|食指
	👈🏼;反手食指向左指: 中等-浅肤色;中等-浅肤色|反手|反手食指向左指|反手食指向左指: 中等-浅肤色|向左指|手|指左|食指
	👈🏽;反手食指向左指: 中等肤色;中等肤色|反手|反手食指向左指|反手食指向左指: 中等肤色|向左指|手|指左|食指
	👈🏾;反手食指向左指: 中等-深肤色;中等-深肤色|反手|反手食指向左指|反手食指向左指: 中等-深肤色|向左指|手|指左|食指
	👈🏿;反手食指向左指: 较深肤色;反手|反手食指向左指|反手食指向左指: 较深肤色|向左指|手|指左|较深肤色|食指
👉;反手食指向右指;反手|反手食指向右指|向右指|手|指右|食指
	👉🏻;反手食指向右指: 较浅肤色;反手|反手食指向右指|反手食指向右指: 较浅肤色|向右指|手|指右|较浅肤色|食指
	👉🏼;反手食指向右指: 中等-浅肤色;中等-浅肤色|反手|反手食指向右指|反手食指向右指: 中等-浅肤色|向右指|手|指右|食指
	👉🏽;反手食指向右指: 中等肤色;中等肤色|反手|反手食指向右指|反手食指向右指: 中等肤色|向右指|手|指右|食指
	👉🏾;反手食指向右指: 中等-深肤色;中等-深肤色|反手|反手食指向右指|反手食指向右指: 中等-深肤色|向右指|手|指右|食指
	👉🏿;反手食指向右指: 较深肤色;反手|反手食指向右指|反手食指向右指: 较深肤色|向右指|手|指右|较深肤色|食指
👆;反手食指向上指;反手|反手食指向上指|向上指|手|指上|食指
	👆🏻;反手食指向上指: 较浅肤色;反手|反手食指向上指|反手食指向上指: 较浅肤色|向上指|手|指上|较浅肤色|食指
	👆🏼;反手食指向上指: 中等-浅肤色;中等-浅肤色|反手|反手食指向上指|反手食指向上指: 中等-浅肤色|向上指|手|指上|食指
	👆🏽;反手食指向上指: 中等肤色;中等肤色|反手|反手食指向上指|反手食指向上指: 中等肤色|向上指|手|指上|食指
	👆🏾;反手食指向上指: 中等-深肤色;中等-深肤色|反手|反手食指向上指|反手食指向上指: 中等-深肤色|向上指|手|指上|食指
	👆🏿;反手食指向上指: 较深肤色;反手|反手食指向上指|反手食指向上指: 较深肤色|向上指|手|指上|较深肤色|食指
🖕;竖中指;中指|反手|手|竖中指
	🖕🏻;竖中指: 较浅肤色;中指|反手|手|竖中指|竖中指: 较浅肤色|较浅肤色
	🖕🏼;竖中指: 中等-浅肤色;中指|中等-浅肤色|反手|手|竖中指|竖中指: 中等-浅肤色
	🖕🏽;竖中指: 中等肤色;中指|中等肤色|反手|手|竖中指|竖中指: 中等肤色
	🖕🏾;竖中指: 中等-深肤色;中指|中等-深肤色|反手|手|竖中指|竖中指: 中等-深肤色
	🖕🏿;竖中指: 较深肤色;中指|反手|手|竖中指|竖中指: 较深肤色|较深肤色
👇;反手食指向下指;反手|反手食指向下指|向下指|手|指下|食指
	👇🏻;反手食指向下指: 较浅肤色;反手|反手食指向下指|反手食指向下指: 较浅肤色|向下指|手|指下|较浅肤色|食指
	👇🏼;反手食指向下指: 中等-浅肤色;中等-浅肤色|反手|反手食指向下指|反手食指向下指: 中等-浅肤色|向下指|手|指下|食指
	👇🏽;反手食指向下指: 中等肤色;中等肤色|反手|反手食指向下指|反手食指向下指: 中等肤色|向下指|手|指下|食指
	👇🏾;反手食指向下指: 中等-深肤色;中等-深肤色|反手|反手食指向下指|反手食指向下指: 中等-深肤色|向下指|手|指下|食指
	👇🏿;反手食指向下指: 较深肤色;反手|反手食指向下指|反手食指向下指: 较深肤色|向下指|手|指下|较深肤色|食指
☝️;食指向上指;向上指|手|指上|食指|食指向上指
	☝🏻;食指向上指: 较浅肤色;向上指|手|指上|较浅肤色|食指|食指向上指|食指向上指: 较浅肤色
	☝🏼;食指向上指: 中等-浅肤色;中等-浅肤色|向上指|手|指上|食指|食指向上指|食指向上指: 中等-浅肤色
	☝🏽;食指向上指: 中等肤色;中等肤色|向上指|手|指上|食指|食指向上指|食指向上指: 中等肤色
	☝🏾;食指向上指: 中等-深肤色;中等-深肤色|向上指|手|指上|食指|食指向上指|食指向上指: 中等-深肤色
	☝🏿;食指向上指: 较深肤色;向上指|手|指上|较深肤色|食指|食指向上指|食指向上指: 较深肤色
🫵;指向观察者的食指;你|指向|指向观察者的食指
	🫵🏻;指向观察者的食指: 较浅肤色;你|指向|指向观察者的食指|指向观察者的食指: 较浅肤色|较浅肤色
	🫵🏼;指向观察者的食指: 中等-浅肤色;中等-浅肤色|你|指向|指向观察者的食指|指向观察者的食指: 中等-浅肤色
	🫵🏽;指向观察者的食指: 中等肤色;中等肤色|你|指向|指向观察者的食指|指向观察者的食指: 中等肤色
	🫵🏾;指向观察者的食指: 中等-深肤色;中等-深肤色|你|指向|指向观察者的食指|指向观察者的食指: 中等-深肤色
	🫵🏿;指向观察者的食指: 较深肤色;你|指向|指向观察者的食指|指向观察者的食指: 较深肤色|较深肤色
👍;拇指向上;同意|手|拇指向上|真棒|赞成|顶一下
