[smileys_emotion]
😀;활짝 웃는 얼굴;미소|스마일|얼굴|웃음|활짝 웃는 얼굴
🤭;손으로 입을 가린 얼굴;손으로 입을 가린 얼굴|앗
🫢;눈을 뜨고 손으로 입을 가린 얼굴;감탄|깜짝 놀란 열굴|놀라움|눈을 뜨고 손으로 입을 가린 얼굴|당황|믿기지 않음|서프라이즈
🫣;한쪽 눈을 가리고 훔쳐보는 얼굴;매료됨|빤히 쳐다보기|한쪽 눈을 가리고 훔쳐보는 얼굴|훔쳐보기
🤫;쉿 하는 얼굴;쉿|쉿 하는 얼굴|조용
🤔;생각하는 얼굴;생각 중|생각에 잠긴 얼굴|생각하는 얼굴|얼굴
🫡;경례하는 얼굴;경례|경례하는 얼굴|군대|네|알았어|응|화창
🤐;지퍼로 입을 잠근 얼굴;비밀|얼굴|입|지퍼|지퍼로 입을 잠근 얼굴
🤨;눈썹을 치켜올린 얼굴;눈썹을 치켜올린 얼굴|불신|의심
😐;덤덤한 얼굴;덤덤한 얼굴|얼굴
😑;무표정한 얼굴;무표정한 얼굴|얼굴|포커페이스|표정 없는 얼굴
😶;입이 없는 얼굴;얼굴|입 없음|입이 없는 얼굴
🫥;테두리가 점선으로 된 얼굴;내성적|보이지 않음|사라짐|숨기|우울|좌절|테두리가 점선으로 된 얼굴
😶‍🌫️;공상에 잠긴 얼굴;공상에 잠긴 얼굴|멍|멍청한 얼굴|멍함|안개 속 얼굴|엉뚱한 생각에 잠긴 얼굴
😏;히죽거리는 얼굴;웃는 얼굴|히죽거리는 얼굴|히죽히죽
😒;지루해하는 얼굴;얼굴|재미 없어 하는 얼굴|지루함|지루해하는 얼굴
🙄;눈을 굴리고 있는 얼굴;눈 굴리기|눈을 굴리고 있는 얼굴|얼굴
😬;찌푸린 얼굴;얼굴|찌푸린 얼굴|찡그림
😮‍💨;날숨 쉬는 얼굴;날숨|날숨 쉬는 얼굴|속삭임|안도|한숨|휘파람
🤥;거짓말하는 얼굴;거짓말|거짓말쟁이|거짓말하는 얼굴|얼굴|피노키오
🫨;요동치는 얼굴;떨고 있음|얼굴|요동치는 얼굴|요동침|지진|충격
🙂‍↔️;도리도리;고개를 흔들다|도리도리|부정|아니요
🙂‍↕️;끄덕끄덕;고개를 끄덕이다|긍정|끄덕끄덕|예|주억거리다
😌;안심한 얼굴;안도|안심한 얼굴|얼굴|표정
😔;수심 어린 얼굴;낙담|낙담한 얼굴|수심 어린 얼굴|수심에 찬 얼굴|얼굴
😪;졸린 얼굴;얼굴|졸린 얼굴|졸림
🤤;침 흘리는 얼굴;얼굴|주르륵|침|침 흘리는 얼굴|침흘리기
😴;졸고 있는 얼굴;얼굴|자고 있는 얼굴|졸고 있는 얼굴
😷;마스크 낀 얼굴;감기|마스크|마스크 낀 얼굴|얼굴|황사
🤒;체온계를 물고 있는 얼굴;병|아픔|얼굴|체온계|체온계를 물고 있는 얼굴
🤕;머리에 붕대를 감은 얼굴;머리에 붕대를 감은 얼굴|부상|붕대|상처|얼굴
🤢;구역질을 하는 얼굴;구역질을 하는 얼굴|구토|속 울렁거림|얼굴|토하기
🤮;토하는 얼굴;토|토하는 얼굴
🤧;재채기하는 얼굴;얼굴|에취|재채기|재채기하는 얼굴|휴지
🥵;더운 얼굴;더운|더운 얼굴|더위 먹은|땀 흘리는|빨개진|열나는
🥶;추워하는 얼굴;고드름|동상|새파랗게 질린|얼어붙은|추운|추워하는 얼굴
🥴;헤롱헤롱 얼굴;맛이 간|비뚤거리는 입|어지러운|취한|헤롱거리는|헤롱헤롱 얼굴
😵;어지러운 얼굴;어지러운 얼굴|어지러움|얼굴
😵‍💫;현기증 난 얼굴;나선형 눈|어지럼증|현기증|현기증 난 얼굴
🤯;폭발하는 얼굴;뚜껑 열린 머리|머리 폭발|충격|폭발하는 얼굴
🤠;카우보이 모자 쓴 얼굴;모자|얼굴|카우보이|카우보이 모자 쓴 얼굴
🥳;파티하는 얼굴;고깔모자|나팔|축하|파티|파티하는 얼굴
🥸;변장한 얼굴;가면|변장|변장한 얼굴|안경|얼굴|코
😎;선글라스 낀 얼굴;멋짐|선글라스|선글라스 낀 얼굴|얼굴
🤓;모범생 얼굴;공부벌레|괴짜|모범생|범생이|얼굴
🧐;단안경을 쓴 얼굴;단안경을 쓴 얼굴
😕;혼란스러워하는 얼굴;얼굴|헷갈림|혼란스러워하는 얼굴
🫤;입이 한쪽으로 올라간 얼굴;별로|실망|의심|입이 한쪽으로 올라간 얼굴|확신이 없음
😟;걱정스러운 얼굴;걱정|걱정스러운 얼굴|얼굴
🙁;살짝 찡그린 얼굴;살짝 찡그린 얼굴|얼굴|찡그림
☹️;찡그린 얼굴;얼굴|찡그린 얼굴|찡그림
😮;입벌린 얼굴;얼굴|입벌린 얼굴|입벌림
😯;숨죽인 얼굴;숨죽인 얼굴|숨죽임|얼굴
😲;깜짝 놀란 얼굴;깜짝 놀란 얼굴|놀라움|놀란 얼굴|얼굴|충격
😳;상기된 얼굴;달아오른 얼굴|붉힌 얼굴|상기된 얼굴|얼굴|얼굴 붉힘
🥺;애원하는 얼굴;글썽이는 눈|애원하는|애원하는 얼굴|자비를 구하는
🥹;눈물을 참는 얼굴;눈물을 참는 얼굴|슬픔|울음|자랑스러움|참음|화난
😦;입 벌리고 찌푸린 얼굴;얼굴|입 벌리고 찌푸린 얼굴|찌푸린 얼굴
😧;괴로워하는 얼굴;괴로움|괴로워하는 얼굴|얼굴
😨;두려워하는 얼굴;공포|공포에 가득찬 얼굴|두려움|두려워하는 얼굴|얼굴
😰;땀 흘리며 불안해하는 얼굴;땀 흘리며 불안해하는 얼굴|식은땀|얼굴
😥;실망했지만 안도하는 얼굴;실망감|실망하는 얼굴|실망했지만 안도하는 얼굴|안도감|얼굴|휴
😢;우는 얼굴;눈물|얼굴|우는 얼굴|울음
😭;엉엉 우는 얼굴;눈물|대성통곡|얼굴|엉엉 우는 얼굴
😱;공포에 절규하는 얼굴;공포|공포에 절규하는 얼굴|비명|소리 지르는 얼굴|얼굴
😖;당혹한 얼굴;당혹한 얼굴|당혹함|얼굴
😣;참아내는 얼굴;실수한 후 얼굴|얼굴|얼빠짐|참아내는 얼굴
😞;실망한 얼굴;실망|실망한 얼굴|얼굴
😓;식은땀 흘리는 얼굴;식은땀|식은땀 흘리는 얼굴|얼굴
😩;지친 얼굴;얼굴|지친 얼굴|지침
😫;피곤한 얼굴;얼굴|피곤한 얼굴|피곤함
🥱;하품하는 얼굴;지루함|피곤함|하품|하품하는 얼굴
😤;화내며 씩씩거리는 얼굴;승리감|얼굴|이겼다|화내며 씩씩거리는 얼굴
😡;뾰로통한 얼굴;뾰로통한 얼굴|뾰로통함|얼굴
😠;화난 얼굴;분노|얼굴|화|화난 얼굴
🤬;욕하는 얼굴;욕|욕하는 얼굴
😈;머리에 뿔이 달린 웃는 얼굴;머리에 뿔이 달린 웃는 얼굴|미소|스마일|얼굴|웃는 얼굴
👿;머리에 뿔이 달린 화난 얼굴;꼬마 악마|머리에 뿔이 달린 화난 얼굴
💀;해골;해골|해골 바가지
☠️;해골과 뼈다귀;뼈다귀|해골|해골과 뼈다귀
💩;똥;똥|똥무더기
🤡;어릿광대 얼굴;광대|어릿광대|얼굴
👹;도깨비 가면;가면|도깨비
👺;코주부 도깨비 가면;가면|코주부 도깨비|코주부 도깨비 가면
👻;유령;고스트|귀신|유령
👽;외계인;UFO|에일리언|왕눈이|외계인
👾;에일리언;UFO|몬스터|에일리언|외계 괴물|외계인|우주생명체
🤖;로봇 얼굴;로봇|얼굴
😺;활짝 웃는 고양이 얼굴;고양이|입벌리고 활짝 웃는 고양이|활짝 웃는 고양이 얼굴
😸;미소 짓는 눈으로 활짝 웃는 고양이 얼굴;고양이|미소 짓는 눈으로 활짝 웃는 고양이 얼굴
😹;기쁨의 눈물을 흘리는 고양이 얼굴;고양이|기뻐하면서 우는 고양이|기쁨의 눈물|기쁨의 눈물을 흘리는 고양이 얼굴
😻;하트 눈 고양이 얼굴;고양이|사랑에 빠진 고양이|하트 눈 고양이 얼굴
😼;썩소 짓는 고양이;고소하다는 웃음 짓는 고양이|고양이|쌤통|썩소 짓는 고양이
😽;키스하는 고양이 얼굴;고양이|눈 감고 뽀뽀하는 고양이|뽀뽀|키스|키스하는 고양이 얼굴
🙀;절규하는 고양이 얼굴;고양이|맙소사|절규하는 고양이 얼굴
😿;울고 있는 고양이 얼굴;고양이|눈물 흘리는 고양이|울고 있는 고양이|울고 있는 고양이 얼굴|훌쩍
😾;뾰로통한 고양이 얼굴;고양이|뾰로통한 고양이 얼굴|토라짐
🙈;눈을 가리고 있는 원숭이;눈을 가리고 있는 원숭이|손으로 눈을 가린 원숭이|아무것도 안 보려는 원숭이
🙉;귀를 막고 있는 원숭이;귀를 막고 있는 원숭이|손으로 귀를 가린 원숭이|아무것도 안 들리는 원숭이
🙊;입을 막고 있는 원숭이;손으로 입을 가린 원숭이|아무것도 말할 수 없는 원숭이|입을 막고 있는 원숭이
💌;러브레터;러브레터|사랑 고백|연애 편지
💘;화살이 꽂힌 하트;사랑|큐피드|화살이 꽂힌 하트
💝;리본 달린 하트;리본|리본 달린 하트|발렌타인 초콜렛 상자|사랑|선물 상자|하트
💖;빛나는 하트;기쁨으로 가득찬 마음|두근거림|빛나는 하트|사랑|사랑의 기쁨|설렘
💗;커지는 하트;깊어지는 마음|깊어지는 사랑|사랑|커지는 마음|커지는 하트
💓;두근거리는 하트;두근거리는 마음|두근거리는 하트|두근두근|떨리는 마음|사랑
💞;회전하는 하트;귀여움|빙글빙글 하트|사랑|사랑스러움|하트|회전하는 하트
💕;하트 두 개;사랑|연인|하트 두 개
💟;하트 장식;하트|하트 장식
❣️;하트 모양 느낌표;느낌표|하트|하트 모양 느낌표
💔;깨진 하트;결별|깨진 하트|이별|이별의 고통|이별의 아픔|헤어짐
❤️‍🔥;불 난 하트;마음|불 난 하트|불타는 사랑|사랑|하트
❤️‍🩹;낫고 있는 하트;개선|건강|낫고 있는 하트|치유|회복|힐링
❤️;빨간색 하트;마음|빨간색 하트|하트
🩷;분홍색 하트;귀여움|분홍색|사랑해|좋아해|하트
🧡;주황색 하트;주황색 하트
💛;노란색 하트;노란 하트|노란색 하트|사랑|하트
💚;초록색 하트;녹색 하트|사랑|초록색 하트|하트
💙;파란색 하트;사랑|파란 하트|파란색 하트|하트
🩵;밝은 파란색 하트;밝은 파란색|밝은 파란색 하트|청록색|푸른|하트
💜;보라색 하트;보라색 하트|사랑|하트
🤎;갈색 하트;갈색|하트
🖤;검은색 하트;검은색 하트|검정|블랙|악|하트
🩶;회색 하트;슬레이트색|은색|하트|회색
🤍;흰색 하트;하트|흰색
💋;입술;뽀뽀|입술|쪼옥|쪽|키스
💯;백점;백점|백점 표시
💢;화남;울컥|화|화남
💥;충돌;꽝|충돌|쾅
💫;어지러움;띠용|별|어지러움|어질어질
💦;땀;곤란|당황|땀|삐질삐질
💨;달려나감;달려나감|슝|후다닥
🕳️;구멍;검은 구멍|구멍
💬;말풍선;대화|대화창|말풍선
👁️‍🗨️;말풍선 속 눈;눈|말풍선|말풍선 속 눈
🗨️;왼쪽 말풍선;말|말풍선|왼쪽 말풍선
🗯️;화난 표현의 오른쪽 말풍선;말풍선|화난|화난 표현의 오른쪽 말풍선
💭;생각 풍선;생각|생각 풍선
💤;졸림;수면|자고 있음|졸림|쿨쿨

[people_body]
👋;흔드는 손;펼친 손|흔드는 손
	👋🏻;흔드는 손: 하얀 피부;펼친 손|하얀 피부|흔드는 손|흔드는 손: 하얀 피부
	👋🏼;흔드는 손: 연한 갈색 피부;연한 갈색 피부|펼친 손|흔드는 손|흔드는 손: 연한 갈색 피부
	👋🏽;흔드는 손: 갈색 피부;갈색 피부|펼친 손|흔드는 손|흔드는 손: 갈색 피부
	👋🏾;흔드는 손: 진한 갈색 피부;진한 갈색 피부|펼친 손|흔드는 손|흔드는 손: 진한 갈색 피부
	👋🏿;흔드는 손: 검은색 피부;검은색 피부|펼친 손|흔드는 손|흔드는 손: 검은색 피부
🤚;손등;들어보이기|손등|손바닥
	🤚🏻;손등: 하얀 피부;들어보이기|손등|손등: 하얀 피부|손바닥|하얀 피부
	🤚🏼;손등: 연한 갈색 피부;들어보이기|손등|손등: 연한 갈색 피부|손바닥|연한 갈색 피부
	🤚🏽;손등: 갈색 피부;갈색 피부|들어보이기|손등|손등: 갈색 피부|손바닥
	🤚🏾;손등: 진한 갈색 피부;들어보이기|손등|손등: 진한 갈색 피부|손바닥|진한 갈색 피부
	🤚🏿;손등: 검은색 피부;검은색 피부|들어보이기|손등|손등: 검은색 피부|손바닥
🖐️;쫙 편 손바닥;손바닥|안녕|인사|쫙 편 손바닥
	🖐🏻;쫙 편 손바닥: 하얀 피부;손바닥|안녕|인사|쫙 편 손바닥|쫙 편 손바닥: 하얀 피부|하얀 피부
	🖐🏼;쫙 편 손바닥: 연한 갈색 피부;손바닥|안녕|연한 갈색 피부|인사|쫙 편 손바닥|쫙 편 손바닥: 연한 갈색 피부
	🖐🏽;쫙 편 손바닥: 갈색 피부;갈색 피부|손바닥|안녕|인사|쫙 편 손바닥|쫙 편 손바닥: 갈색 피부
	🖐🏾;쫙 편 손바닥: 진한 갈색 피부;손바닥|안녕|인사|진한 갈색 피부|쫙 편 손바닥|쫙 편 손바닥: 진한 갈색 피부
	🖐🏿;쫙 편 손바닥: 검은색 피부;검은색 피부|손바닥|안녕|인사|쫙 편 손바닥|쫙 편 손바닥: 검은색 피부
✋;손바닥;보|보자기|손바닥
	✋🏻;손바닥: 하얀 피부;보|보자기|손바닥|손바닥: 하얀 피부|하얀 피부
	✋🏼;손바닥: 연한 갈색 피부;보|보자기|손바닥|손바닥: 연한 갈색 피부|연한 갈색 피부
	✋🏽;손바닥: 갈색 피부;갈색 피부|보|보자기|손바닥|손바닥: 갈색 피부
	✋🏾;손바닥: 진한 갈색 피부;보|보자기|손바닥|손바닥: 진한 갈색 피부|진한 갈색 피부
	✋🏿;손바닥: 검은색 피부;검은색 피부|보|보자기|손바닥|손바닥: 검은색 피부
🖖;벌칸식 인사;경례|벌칸식 인사|손 모양
	🖖🏻;벌칸식 인사: 하얀 피부;경례|벌칸식 인사|벌칸식 인사: 하얀 피부|손 모양|하얀 피부
	🖖🏼;벌칸식 인사: 연한 갈색 피부;경례|벌칸식 인사|벌칸식 인사: 연한 갈색 피부|손 모양|연한 갈색 피부
	🖖🏽;벌칸식 인사: 갈색 피부;갈색 피부|경례|벌칸식 인사|벌칸식 인사: 갈색 피부|손 모양
	🖖🏾;벌칸식 인사: 진한 갈색 피부;경례|벌칸식 인사|벌칸식 인사: 진한 갈색 피부|손 모양|진한 갈색 피부
	🖖🏿;벌칸식 인사: 검은색 피부;검은색 피부|경례|벌칸식 인사|벌칸식 인사: 검은색 피부|손 모양
🫱;오른쪽으로 향하는 손등;손|오른쪽|오른쪽 방향|오른쪽으로 향하는 손등|우측|우측 방향
	🫱🏻;오른쪽으로 향하는 손등: 하얀 피부;손|오른쪽|오른쪽 방향|오른쪽으로 향하는 손등|오른쪽으로 향하는 손등: 하얀 피부|우측|우측 방향|하얀 피부
	🫱🏼;오른쪽으로 향하는 손등: 연한 갈색 피부;손|연한 갈색 피부|오른쪽|오른쪽 방향|오른쪽으로 향하는 손등|오른쪽으로 향하는 손등: 연한 갈색 피부|우측|우측 방향
	🫱🏽;오른쪽으로 향하는 손등: 갈색 피부;갈색 피부|손|오른쪽|오른쪽 방향|오른쪽으로 향하는 손등|오른쪽으로 향하는 손등: 갈색 피부|우측|우측 방향
	🫱🏾;오른쪽으로 향하는 손등: 진한 갈색 피부;손|오른쪽|오른쪽 방향|오른쪽으로 향하는 손등|오른쪽으로 향하는 손등: 진한 갈색 피부|우측|우측 방향|진한 갈색 피부
	🫱🏿;오른쪽으로 향하는 손등: 검은색 피부;검은색 피부|손|오른쪽|오른쪽 방향|오른쪽으로 향하는 손등|오른쪽으로 향하는 손등: 검은색 피부|우측|우측 방향
🫲;왼쪽으로 향하는 손바닥;손|왼쪽|왼쪽 방향|왼쪽으로 향하는 손바닥|좌측|좌측 방향
	🫲🏻;왼쪽으로 향하는 손바닥: 하얀 피부;손|왼쪽|왼쪽 방향|왼쪽으로 향하는 손바닥|왼쪽으로 향하는 손바닥: 하얀 피부|좌측|좌측 방향|하얀 피부
	🫲🏼;왼쪽으로 향하는 손바닥: 연한 갈색 피부;손|연한 갈색 피부|왼쪽|왼쪽 방향|왼쪽으로 향하는 손바닥|왼쪽으로 향하는 손바닥: 연한 갈색 피부|좌측|좌측 방향
	🫲🏽;왼쪽으로 향하는 손바닥: 갈색 피부;갈색 피부|손|왼쪽|왼쪽 방향|왼쪽으로 향하는 손바닥|왼쪽으로 향하는 손바닥: 갈색 피부|좌측|좌측 방향
	🫲🏾;왼쪽으로 향하는 손바닥: 진한 갈색 피부;손|왼쪽|왼쪽 방향|왼쪽으로 향하는 손바닥|왼쪽으로 향하는 손바닥: 진한 갈색 피부|좌측|좌측 방향|진한 갈색 피부
	🫲🏿;왼쪽으로 향하는 손바닥: 검은색 피부;검은색 피부|손|왼쪽|왼쪽 방향|왼쪽으로 향하는 손바닥|왼쪽으로 향하는 손바닥: 검은색 피부|좌측|좌측 방향
🫳;손바닥을 아래로 향한 손;그만두라는 손|물러나|손바닥을 아래로 향한 손|저리 가
	🫳🏻;손바닥을 아래로 향한 손: 하얀 피부;그만두라는 손|물러나|손바닥을 아래로 향한 손|손바닥을 아래로 향한 손: 하얀 피부|저리 가|하얀 피부
	🫳🏼;손바닥을 아래로 향한 손: 연한 갈색 피부;그만두라는 손|물러나|손바닥을 아래로 향한 손|손바닥을 아래로 향한 손: 연한 갈색 피부|연한 갈색 피부|저리 가
	🫳🏽;손바닥을 아래로 향한 손: 갈색 피부;갈색 피부|그만두라는 손|물러나|손바닥을 아래로 향한 손|손바닥을 아래로 향한 손: 갈색 피부|저리 가
	🫳🏾;손바닥을 아래로 향한 손: 진한 갈색 피부;그만두라는 손|물러나|손바닥을 아래로 향한 손|손바닥을 아래로 향한 손: 진한 갈색 피부|저리 가|진한 갈색 피부
	🫳🏿;손바닥을 아래로 향한 손: 검은색 피부;검은색 피부|그만두라는 손|물러나|손바닥을 아래로 향한 손|손바닥을 아래로 향한 손: 검은색 피부|저리 가
🫴;손바닥을 위로 향한 손;부르는 손|손바닥을 위로 향한 손|이리 와|잡기|제안
	🫴🏻;손바닥을 위로 향한 손: 하얀 피부;부르는 손|손바닥을 위로 향한 손|손바닥을 위로 향한 손: 하얀 피부|이리 와|잡기|제안|하얀 피부
	🫴🏼;손바닥을 위로 향한 손: 연한 갈색 피부;부르는 손|손바닥을 위로 향한 손|손바닥을 위로 향한 손: 연한 갈색 피부|연한 갈색 피부|이리 와|잡기|제안
	🫴🏽;손바닥을 위로 향한 손: 갈색 피부;갈색 피부|부르는 손|손바닥을 위로 향한 손|손바닥을 위로 향한 손: 갈색 피부|이리 와|잡기|제안
	🫴🏾;손바닥을 위로 향한 손: 진한 갈색 피부;부르는 손|손바닥을 위로 향한 손|손바닥을 위로 향한 손: 진한 갈색 피부|이리 와|잡기|제안|진한 갈색 피부
	🫴🏿;손바닥을 위로 향한 손: 검은색 피부;검은색 피부|부르는 손|손바닥을 위로 향한 손|손바닥을 위로 향한 손: 검은색 피부|이리 와|잡기|제안
🫷;왼쪽으로 밀치는 손;거절|그만|기다려|밀치기|왼쪽 방향|왼쪽으로 밀치는 손|하이 파이브
	🫷🏻;왼쪽으로 밀치는 손: 하얀 피부;거절|그만|기다려|밀치기|왼쪽 방향|왼쪽으로 밀치는 손|왼쪽으로 밀치는 손: 하얀 피부|하얀 피부|하이 파이브
	🫷🏼;왼쪽으로 밀치는 손: 연한 갈색 피부;거절|그만|기다려|밀치기|연한 갈색 피부|왼쪽 방향|왼쪽으로 밀치는 손|왼쪽으로 밀치는 손: 연한 갈색 피부|하이 파이브
	🫷🏽;왼쪽으로 밀치는 손: 갈색 피부;갈색 피부|거절|그만|기다려|밀치기|왼쪽 방향|왼쪽으로 밀치는 손|왼쪽으로 밀치는 손: 갈색 피부|하이 파이브
	🫷🏾;왼쪽으로 밀치는 손: 진한 갈색 피부;거절|그만|기다려|밀치기|왼쪽 방향|왼쪽으로 밀치는 손|왼쪽으로 밀치는 손: 진한 갈색 피부|진한 갈색 피부|하이 파이브
	🫷🏿;왼쪽으로 밀치는 손: 검은색 피부;거절|검은색 피부|그만|기다려|밀치기|왼쪽 방향|왼쪽으로 밀치는 손|왼쪽으로 밀치는 손: 검은색 피부|하이 파이브
🫸;오른쪽으로 밀치는 손;거절|그만|기다려|밀치기|오른쪽 방향|오른쪽으로 밀치는 손|하이 파이브
	🫸🏻;오른쪽으로 밀치는 손: 하얀 피부;거절|그만|기다려|밀치기|오른쪽 방향|오른쪽으로 밀치는 손|오른쪽으로 밀치는 손: 하얀 피부|하얀 피부|하이 파이브
	🫸🏼;오른쪽으로 밀치는 손: 연한 갈색 피부;거절|그만|기다려|밀치기|연한 갈색 피부|오른쪽 방향|오른쪽으로 밀치는 손|오른쪽으로 밀치는 손: 연한 갈색 피부|하이 파이브
	🫸🏽;오른쪽으로 밀치는 손: 갈색 피부;갈색 피부|거절|그만|기다려|밀치기|오른쪽 방향|오른쪽으로 밀치는 손|오른쪽으로 밀치는 손: 갈색 피부|하이 파이브
	🫸🏾;오른쪽으로 밀치는 손: 진한 갈색 피부;거절|그만|기다려|밀치기|오른쪽 방향|오른쪽으로 밀치는 손|오른쪽으로 밀치는 손: 진한 갈색 피부|진한 갈색 피부|하이 파이브
	🫸🏿;오른쪽으로 밀치는 손: 검은색 피부;거절|검은색 피부|그만|기다려|밀치기|오른쪽 방향|오른쪽으로 밀치는 손|오른쪽으로 밀치는 손: 검은색 피부|하이 파이브
👌;오케이를 표시한 손;돈|오케이 신호|오케이를 표시한 손
	👌🏻;오케이를 표시한 손: 하얀 피부;돈|오케이 신호|오케이를 표시한 손|오케이를 표시한 손: 하얀 피부|하얀 피부
	👌🏼;오케이를 표시한 손: 연한 갈색 피부;돈|연한 갈색 피부|오케이 신호|오케이를 표시한 손|오케이를 표시한 손: 연한 갈색 피부
	👌🏽;오케이를 표시한 손: 갈색 피부;갈색 피부|돈|오케이 신호|오케이를 표시한 손|오케이를 표시한 손: 갈색 피부
	👌🏾;오케이를 표시한 손: 진한 갈색 피부;돈|오케이 신호|오케이를 표시한 손|오케이를 표시한 손: 진한 갈색 피부|진한 갈색 피부
	👌🏿;오케이를 표시한 손: 검은색 피부;검은색 피부|돈|오케이 신호|오케이를 표시한 손|오케이를 표시한 손: 검은색 피부
🤌;꼬집는 손가락;꼬집는|빈정대는|손가락|손동작|질문
	🤌🏻;꼬집는 손가락: 하얀 피부;꼬집는|꼬집는 손가락: 하얀 피부|빈정대는|손가락|손동작|질문|하얀 피부
	🤌🏼;꼬집는 손가락: 연한 갈색 피부;꼬집는|꼬집는 손가락: 연한 갈색 피부|빈정대는|손가락|손동작|연한 갈색 피부|질문
	🤌🏽;꼬집는 손가락: 갈색 피부;갈색 피부|꼬집는|꼬집는 손가락: 갈색 피부|빈정대는|손가락|손동작|질문
	🤌🏾;꼬집는 손가락: 진한 갈색 피부;꼬집는|꼬집는 손가락: 진한 갈색 피부|빈정대는|손가락|손동작|진한 갈색 피부|질문
	🤌🏿;꼬집는 손가락: 검은색 피부;검은색 피부|꼬집는|꼬집는 손가락: 검은색 피부|빈정대는|손가락|손동작|질문
🤏;꼬집는 손;꼬집는 손|적은 양을 나타내는 손
	🤏🏻;꼬집는 손: 하얀 피부;꼬집는 손|꼬집는 손: 하얀 피부|적은 양을 나타내는 손|하얀 피부
	🤏🏼;꼬집는 손: 연한 갈색 피부;꼬집는 손|꼬집는 손: 연한 갈색 피부|연한 갈색 피부|적은 양을 나타내는 손
	🤏🏽;꼬집는 손: 갈색 피부;갈색 피부|꼬집는 손|꼬집는 손: 갈색 피부|적은 양을 나타내는 손
	🤏🏾;꼬집는 손: 진한 갈색 피부;꼬집는 손|꼬집는 손: 진한 갈색 피부|적은 양을 나타내는 손|진한 갈색 피부
	🤏🏿;꼬집는 손: 검은색 피부;검은색 피부|꼬집는 손|꼬집는 손: 검은색 피부|적은 양을 나타내는 손
✌️;브이 표시;가위|브이 표시|찌
