# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
🫢;פרצוף עם יד על הפה ועיניים פעורות;הַפתָעָה|חוסר אמון|יראה|מביך|מפחד|פנים עם עיניים פקוחות ויד על הפה|פרצוף עם יד על הפה ועיניים פעורות|תדהמה
🫣;פרצוף מציץ עם יד על העיניים;הצצה|פרצוף מציץ עם יד על העיניים|שקוע במשהו
🤫;פרצוף עושה סימן לשקט;פרצוף עושה סימן לשקט|שקט|ששש
🤔;פרצוף חושב;חושב|מהרהר|פרצוף|תוהה
🫡;פרצוף מצדיע;הצדעה|חם כאן|כן המפקד/ת|פרצוף מצדיע|צבא
🤐;פרצוף עם פה סגור ברוכסן;סגור|פה|פרצוף|פרצוף עם פה סגור ברוכסן|רוכסן|ריצ׳רץ׳
🤨;פרצוף עם גבות מורמות;לא מאמין|מטיל ספק|ספקן|פקפקן|פרצוף עם גבות מורמות
😐;פרצוף חסר הבעה;חסר הבעה|פרצוף|פרצוף חסר הבעה
😑;פרצוף חסר הבעה ועיניים סגורות;חסר הבעה|פרצוף|פרצוף חסר הבעה ועיניים סגורות
😶;פרצוף ללא פה;פה|פרצוף|פרצוף בלי פה|פרצוף ללא פה|שותק|שקט
🫥;פרצוף עם קו מקווקו;בלתי נראה|מדוכא|מופנם|מחבוא|נעלם|פרצוף עם קו מקווקו
😶‍🌫️;פרצוף בעננים;בעננים|בערפל|חולמני|מפוזר|פרצוף בעננים|ראש בעננים
😏;פרצוף זחוח;זחוח|פרצוף
😒;פרצוף לא מתרשם;לא משועשע|לא מתרשם|פרצוף|פרצוף לא מתרשם
🙄;פרצוף מגלגל עיניים;למעלה|מגלגל|עיניים|פרצוף
😬;פרצוף עם חיוך מלא שיניים;חיוך|מבוכה|מוטרד|מחייך|פרצוף|פרצוף עם חיוך מלא שיניים|שיניים|שיניים חשוקות
😮‍💨;פרצוף נושף;הפתעה|לוחש|משתנק|מתנשם|נושף|פרצוף נושף
🤥;פרצוף עם אף פינוקיו;אף ארוך|פינוקיו|פרצוף עם אף פינוקיו|שקר|שקרן
🫨;פרצוף רועד;פרצוף|רוטט|רועד|רטט|רעידות|רעידת אדמה
🙂‍↔️;מנענע ראש מצד לצד;לא|מנענע|מנענע ראש מצד לצד
🙂‍↕️;מנענע ראש מלמעלה למטה;כן|מנענע ראש מלמעלה למטה|נד
😌;פרצוף של אנחת רווחה;הקלה|מחייך|עיניים|עצומות|פרצוף|פרצוף של אנחת רווחה|רגוע
😔;פרצוף מהורהר;מהורהר|עיניים עצומות|פרצוף
😪;פרצוף ישנוני;ישנוני|פרצוף
🤤;פרצוף מזיל ריר;מזיל|מרייר|פרצוף|ריר
😴;פרצוף ישן;ישן|נוחר|פרצוף
😷;פרצוף עם מסיכת מנתח;זיהום אוויר|חולה|מנתח|מסיכה|עשן|פרצוף|פרצוף עם מסיכת מנתח
🤒;פרצוף עם מדחום;חולה|חום|מדחום|פרצוף|פרצוף עם מדחום
🤕;פרצוף עם תחבושת ראש;כואב|פרצוף|פרצוף עם תחבושת ראש|תחבושת ראש
🤢;פרצוף סובל מבחילה;בחילה|הקאה|פרצוף|פרצוף סובל מבחילה
🤮;פרצוף מקיא;בחילה|הקאה|פרצוף מקיא
🤧;פרצוף מקנח אף;אף|מקנח|מתעטש|פרצוף
🥵;מת מחום;חולה|מזיע|מכת חום|מת מחום|פרצוף אדום
🥶;למות מקור;למות מקור|מת מקור|פרצוף קר|קופא|קרח
🥴;שיכור;מבולבל|מסוחרר|סחרחורת|שיכור
😵;פרצוף עם סחרחורת;מסוחרר|פרצוף|פרצוף עם סחרחורת
😵‍💫;פרצוף עם עיני ספירלה;בצרה|היפנוזה|מסוחרר|פרצוף|פרצוף עם עיני ספירלה
🤯;ראש מתפוצץ;המום|ראש מתפוצץ
🤠;פרצוף עם כובע בוקרים;בוקרים|כובע|פרצוף|פרצוף עם כובע בוקרים|קאובוי
🥳;חגיגה;חגיגה|יום הולדת|מסיבה|פרצוף חוגג
🥸;פרצוף עם תחפושת;הסוואה|מסיכה|משקפיים|פרצוף|פרצוף עם תחפושת|שפם|תחפושת
😎;פרצוף מחייך עם משקפי שמש;חיוך|מחייך|משקפיים|פרצוף|פרצוף מחייך עם משקפי שמש|שמח|שמש
🤓;פרצוף של חנון;חנון|מחייך|משקפיים|פרצוף|פרצוף של חנון
🧐;פרצוף עם מונוקל;כבד|משעמם|פרצוף עם מונוקל
😕;פרצוף מבולבל;מבולבל|פרצוף
🫤;פרצוף מעקם את הפה;ככה ככה|לא בטוח|מאוכזב|מה|ספקן|פרצוף מעקם את הפה
😟;פרצוף מודאג;מודאג|פרצוף
🙁;פרצוף עם מבט עצוב;עצוב|פרצוף|פרצוף עם מבט עצוב
☹️;פרצוף עצוב;עצוב|פרצוף
😮;פרצוף עם פה פתוח;פה|פרצוף|פרצוף עם פה פתוח|פתוח
😯;פרצוף מופתע;המום|מופתע|פרצוף
😲;פרצוף נדהם;המום|נדהם|פה|פרצוף|פתוח
😳;פרצוף נדהם וסמוק;הלם|מסמיק|נדהם|עיניים|פרצוף נדהם וסמוק|שוק|תדהמה
🥺;מתחנן;מתחנן|עיניים מתחננות|פרצוף מתחנן|רחמים
🥹;פרצוף עם דמעות;בוכה|גאה|גאווה|כועס|מתנגד|נחת|עצוב|פרצוף עם דמעות
😦;פרצוף עצוב עם פה פתוח;עצוב|פה|פרצוף|פרצוף עצוב עם פה פתוח|פתוח
😧;פרצוף מיוסר;מיוסר|פרצוף
😨;פרצוף מפוחד;מפוחד|מפחד|פרצוף
😰;פרצוף מפחד עם זיעה קרה;זיעה קרה|מפוחד|מפחד|פרצוף|פרצוף מפחד עם זיעה קרה
😥;פרצוף מאוכזב עם דמעה;דמעה|מאוכזב|פרצוף|פרצוף מאוכזב עם דמעה
😢;פרצוף בוכה;בוכה|דמעה|עצוב|פרצוף
😭;פרצוף בוכה בקול;בוכה|בקול|דמעות|פרצוף
😱;פרצוף צורח בפחד;אימה|בהלה|מונק|פחד|פרצוף|פרצוף צורח בפחד|צועק|צורח
😖;פרצוף מתוסכל;מתוסכל|פרצוף
😣;פרצוף סובל;כאב|סובל|פרצוף
😞;פרצוף מאוכזב;מאוכזב|עצוב|פרצוף
😓;פרצוף עם זיעה קרה;זיעה קרה|טיפה|פרצוף|פרצוף עם זיעה קרה
😩;פרצוף מותש;מותש|עייף|פרצוף
😫;פרצוף עייף;מפהק|עייף|פרצוף
🥱;פרצוף מפהק;עייף|עייפות|פיהוק|פרצוף מפהק|שעמום
😤;פרצוף עם קיטור יוצא מהאף;אף|זועם|כועס|פרצוף|פרצוף עם קיטור יוצא מהאף|קיטור
😡;פרצוף זועף;זועם|זועף|כועס|פרצוף
😠;פרצוף כועס;זועם|זועף|כועס|פרצוף
🤬;פרצוף עם סמלים על הפה;מקלל|פרצוף עם סמלים על הפה
😈;פרצוף מחייך עם קרניים;אגדות|חיוך מרושע|פרצוף מחייך עם קרניים|קרניים|שד|שטן
👿;פרצוף כועס עם קרניים;זדוני|זועף|כועס|פרצוף|פרצוף כועס עם קרניים|קרניים|שטן
💀;גולגולת;גולגולת|מוות|מפחיד|פרצוף|שלד
☠️;סמל פיראטים;גולגולת|מוות|מסוכן|מפחיד|סמל פיראטים
💩;גוש קקי;גוש קקי|מגעיל|מסריח|צואה|קקי
🤡;פרצוף ליצן;ליצן|פרצוף
👹;מפלצת;אדום|יצור|מפחיד|מפלצת|עוג|פרצוף|קרניים
👺;גובלין;אדום|גובלין|יצור|מפחיד|מפלצת|פרצוף|קרניים
👻;רוח רפאים;יצור|לשון|מוות|מחייך|פרצוף|רוח רפאים
👽;חייזר;חוצן|חייזר|חלל|יצור|עב״מ|פרצוף
👾;מפלצת חייזרית;חוצן|חייזר|חלל|מפלצת חייזרית|עב״ם
🤖;רובוט;פרצוף|פרצוף של רובוט|רובוט
😺;חתול מחייך;חתול|מחייך|פה|פרצוף|פרצוף של חתול מחייך עם פה פתוח
😸;חתול מחייך עם עיניים מחייכות;חתול|חתול מחייך עם עיניים מחייכות|מחייך|עיניים|פה|פרצוף|פרצוף של חתול מחייך עם עיניים מחייכות
😹;חתול עם דמעות שמחה;דמעות|חתול|חתול עם דמעות שמחה|מחייך|פרצוף|פרצוף של חתול עם דמעות שמחה|שמחה
😻;חתול מחייך עם עיניים בצורת לב;אהבה|חתול|חתול מחייך עם עיניים בצורת לב|לבבות|מחייך|עיניים|פרצוף|פרצוף של חתול מחייך עם עיני לב
😼;חתול עם חיוך עקום;חיוך עקום|חתול|חתול עם חיוך עקום|פרצוף|פרצוף של חתול עם חיוך עקום
😽;חתול מנשק;חתול|מנשק|עיניים סגורות|פרצוף|פרצוף של חתול מנשק עם עיניים סגורות
🙀;חתול פוחד;חתול|חתול פוחד|מפחד|פחד|פרצוף|פרצוף של חתול פוחד
😿;חתול בוכה;בוכה|דמעה|חתול|פרצוף|פרצוף של חתול בוכה
😾;חתול זועף;זועף|חתול|כועס|פרצוף|פרצוף של חתול זועף
🙈;לא ראיתי;אסור|לא ראיתי|מכסה עיניים|פרצוף|קוף
🙉;לא שמעתי;אסור|לא שמעתי|מכסה אוזניים|פרצוף|קוף
🙊;לא דיברתי;אסור|לא דיברתי|מכסה פה|פרצוף|קוף
💌;מכתב אהבה;אהבה|דואר|לב|מכתב|מכתב חתום בלב|רומנטיקה
💘;לב עם חץ;אהבה|חץ|לב|לב עם חץ
💝;לב עם סרט מתנה;ולנטיין|חג האהבה|ט״ו באב|לב|לב עם סרט מתנה|מתנה|סרט
💖;לב מנצנץ;אהבה|לב|מנצנץ
💗;לב גדל;גדל|לב|מתרגש|מתרחב
💓;לב פועם;לב|פועם|פעימות
💞;לבבות נעים במעגל;אהבה|לבבות|לבבות מסתובבים|לבבות נעים במעגל|מעגל
💕;שני לבבות;אהבה|לבבות|שני לבבות
💟;לב בריבוע ורוד;לב|לב בריבוע ורוד
❣️;סימן קריאה בצורת לב;אהבה|לב|סימן קריאה|סימן קריאה בצורת לב
💔;לב שבור;אכזבה|לב|שבור
❤️‍🔥;לב בלהבות;לב|לב בלהבות|עולה באש|שורף|תשוקה
❤️‍🩹;לב שמשתקם;בריא יותר|לב שמשתקם|מחלים|משתפר|נרפא
❤️;לב אדום;אדום|לב
🩷;לב ורוד;אהבה|ורוד|חמוד|לב
🧡;לב כתום;כתום|לב כתום
💛;לב צהוב;לב|צהוב
💚;לב ירוק;ירוק|לב
💙;לב כחול;כחול|לב
🩵;לב תכלת;ירוק-כחול|כחול בהיר|לב|לב תכלת|ציאן
💜;לב סגול;לב|סגול
🤎;לב חום;חום|לב
🖤;לב שחור;אפל|כישוף|לב|מאגיה|שחור|שחורה
🩶;לב אפור;אפור|כסוף|לב
🤍;לב לבן;לב|לבן
💋;סימן נשיקה;נשיקה|סימן נשיקה|שפתיים
💯;ציון 100;100|מבחן|ניקוד|ציון
💢;סמל כעס;כעס|סמל כעס|פיצוץ
💥;פיצוץ;פיצוץ|פצצה
💫;כוכב נע במעגל;כוכב|כוכב נע במעגל|סחרחורת|קומיקס
💦;טיפות זיעה;זיעה|טיפות|מים
💨;ענן בתנועה מהירה;מהר|ענן|ענן בתנועה מהירה|ריצה
🕳️;חור;בור|חור
💬;בועת דיבור;בועה|בועת דיבור|בלון|דו-שיח|דיאלוג|שיחה
👁️‍🗨️;עין בבועת דיבור;בועת דיבור|עד|עין|עין בבועת דיבור
🗨️;בועת דיבור משמאל;בועה|בועת דיבור משמאל|דו-שיח|דיאלוג|דיבור|ענן
🗯️;בועת דיבור כועס מימין;בועה|בועת דיבור כועס מימין|דו-שיח|דיאלוג|דיבור|כועס|ענן
💭;בועת מחשבה;בועה|בועת מחשבה|מחשבה|רעיון
💤;סימן נחירה;נוחר|נחירה|נחירות|סימן נחירה|שינה

[people_body]
👋;יד מנופפת;ביי|יד|להתראות|מנופפת
	👋🏻;יד מנופפת: גוון עור בהיר;ביי|גוון עור בהיר|יד|יד מנופפת: גוון עור בהיר|להתראות|מנופפת
	👋🏼;יד מנופפת: גוון עור בהיר בינוני;ביי|גוון עור בהיר בינוני|יד|יד מנופפת: גוון עור בהיר בינוני|להתראות|מנופפת
	👋🏽;יד מנופפת: גוון עור בינוני;ביי|גוון עור בינוני|יד|יד מנופפת: גוון עור בינוני|להתראות|מנופפת
	👋🏾;יד מנופפת: גוון עור כהה בינוני;ביי|גוון עור כהה בינוני|יד|יד מנופפת: גוון עור כהה בינוני|להתראות|מנופפת
	👋🏿;יד מנופפת: גוון עור כהה;ביי|גוון עור כהה|יד|יד מנופפת: גוון עור כהה|להתראות|מנופפת
🤚;גב יד פרוש;גב יד|גב יד פרוש|כלפי מעלה
	🤚🏻;גב יד פרוש: גוון עור בהיר;גב יד|גב יד פרוש|גב יד פרוש: גוון עור בהיר|גוון עור בהיר|כלפי מעלה
	🤚🏼;גב יד פרוש: גוון עור בהיר בינוני;גב יד|גב יד פרוש|גב יד פרוש: גוון עור בהיר בינוני|גוון עור בהיר בינוני|כלפי מעלה
	🤚🏽;גב יד פרוש: גוון עור בינוני;גב יד|גב יד פרוש|גב יד פרוש: גוון עור בינוני|גוון עור בינוני|כלפי מעלה
	🤚🏾;גב יד פרוש: גוון עור כהה בינוני;גב יד|גב יד פרוש|גב יד פרוש: גוון עור כהה בינוני|גוון עור כהה בינוני|כלפי מעלה
	🤚🏿;גב יד פרוש: גוון עור כהה;גב יד|גב יד פרוש|גב יד פרוש: גוון עור כהה|גוון עור כהה|כלפי מעלה
🖐️;כף יד פתוחה מורמת;חמסה|יד|כיף|כף יד פתוחה מורמת|מורמת|פתוחה
	🖐🏻;כף יד פתוחה מורמת: גוון עור בהיר;גוון עור בהיר|חמסה|יד|כיף|כף יד פתוחה מורמת|כף יד פתוחה מורמת: גוון עור בהיר|מורמת|פתוחה
	🖐🏼;כף יד פתוחה מורמת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|חמסה|יד|כיף|כף יד פתוחה מורמת|כף יד פתוחה מורמת: גוון עור בהיר בינוני|מורמת|פתוחה
	🖐🏽;כף יד פתוחה מורמת: גוון עור בינוני;גוון עור בינוני|חמסה|יד|כיף|כף יד פתוחה מורמת|כף יד פתוחה מורמת: גוון עור בינוני|מורמת|פתוחה
	🖐🏾;כף יד פתוחה מורמת: גוון עור כהה בינוני;גוון עור כהה בינוני|חמסה|יד|כיף|כף יד פתוחה מורמת|כף יד פתוחה מורמת: גוון עור כהה בינוני|מורמת|פתוחה
	🖐🏿;כף יד פתוחה מורמת: גוון עור כהה;גוון עור כהה|חמסה|יד|כיף|כף יד פתוחה מורמת|כף יד פתוחה מורמת: גוון עור כהה|מורמת|פתוחה
✋;כף יד מורמת;יד|כף יד מורמת|מורמת|עצור
	✋🏻;כף יד מורמת: גוון עור בהיר;גוון עור בהיר|יד|כף יד מורמת|כף יד מורמת: גוון עור בהיר|מורמת|עצור
	✋🏼;כף יד מורמת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|יד|כף יד מורמת|כף יד מורמת: גוון עור בהיר בינוני|מורמת|עצור
	✋🏽;כף יד מורמת: גוון עור בינוני;גוון עור בינוני|יד|כף יד מורמת|כף יד מורמת: גוון עור בינוני|מורמת|עצור
	✋🏾;כף יד מורמת: גוון עור כהה בינוני;גוון עור כהה בינוני|יד|כף יד מורמת|כף יד מורמת: גוון עור כהה בינוני|מורמת|עצור
	✋🏿;כף יד מורמת: גוון עור כהה;גוון עור כהה|יד|כף יד מורמת|כף יד מורמת: גוון עור כהה|מורמת|עצור
🖖;הצדעה וולקנית;אצבעות|ברכת וולקנים|ברכת כהנים|הצדעה וולקנית|וולקן|וולקנים|יד|ספוק
	🖖🏻;הצדעה וולקנית: גוון עור בהיר;אצבעות|ברכת וולקנים|ברכת כהנים|גוון עור בהיר|הצדעה וולקנית|הצדעה וולקנית: גוון עור בהיר|וולקן|וולקנים|יד|ספוק
	🖖🏼;הצדעה וולקנית: גוון עור בהיר בינוני;אצבעות|ברכת וולקנים|ברכת כהנים|גוון עור בהיר בינוני|הצדעה וולקנית|הצדעה וולקנית: גוון עור בהיר בינוני|וולקן|וולקנים|יד|ספוק
	🖖🏽;הצדעה וולקנית: גוון עור בינוני;אצבעות|ברכת וולקנים|ברכת כהנים|גוון עור בינוני|הצדעה וולקנית|הצדעה וולקנית: גוון עור בינוני|וולקן|וולקנים|יד|ספוק
	🖖🏾;הצדעה וולקנית: גוון עור כהה בינוני;אצבעות|ברכת וולקנים|ברכת כהנים|גוון עור כהה בינוני|הצדעה וולקנית|הצדעה וולקנית: גוון עור כהה בינוני|וולקן|וולקנים|יד|ספוק
	🖖🏿;הצדעה וולקנית: גוון עור כהה;אצבעות|ברכת וולקנים|ברכת כהנים|גוון עור כהה|הצדעה וולקנית|הצדעה וולקנית: גוון עור כהה|וולקן|וולקנים|יד|ספוק
🫱;יד פונה ימינה;יד|יד פונה ימינה|ימינה|נעים להכיר
	🫱🏻;יד פונה ימינה: גוון עור בהיר;גוון עור בהיר|יד|יד פונה ימינה|יד פונה ימינה: גוון עור בהיר|ימינה|נעים להכיר
	🫱🏼;יד פונה ימינה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|יד|יד פונה ימינה|יד פונה ימינה: גוון עור בהיר בינוני|ימינה|נעים להכיר
	🫱🏽;יד פונה ימינה: גוון עור בינוני;גוון עור בינוני|יד|יד פונה ימינה|יד פונה ימינה: גוון עור בינוני|ימינה|נעים להכיר
	🫱🏾;יד פונה ימינה: גוון עור כהה בינוני;גוון עור כהה בינוני|יד|יד פונה ימינה|יד פונה ימינה: גוון עור כהה בינוני|ימינה|נעים להכיר
	🫱🏿;יד פונה ימינה: גוון עור כהה;גוון עור כהה|יד|יד פונה ימינה|יד פונה ימינה: גוון עור כהה|ימינה|נעים להכיר
🫲;יד פונה שמאלה;יד|יד פונה שמאלה|נעים להכיר|שמאלה
	🫲🏻;יד פונה שמאלה: גוון עור בהיר;גוון עור בהיר|יד|יד פונה שמאלה|יד פונה שמאלה: גוון עור בהיר|נעים להכיר|שמאלה
	🫲🏼;יד פונה שמאלה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|יד|יד פונה שמאלה|יד פונה שמאלה: גוון עור בהיר בינוני|נעים להכיר|שמאלה
	🫲🏽;יד פונה שמאלה: גוון עור בינוני;גוון עור בינוני|יד|יד פונה שמאלה|יד פונה שמאלה: גוון עור בינוני|נעים להכיר|שמאלה
	🫲🏾;יד פונה שמאלה: גוון עור כהה בינוני;גוון עור כהה בינוני|יד|יד פונה שמאלה|יד פונה שמאלה: גוון עור כהה בינוני|נעים להכיר|שמאלה
	🫲🏿;יד פונה שמאלה: גוון עור כהה;גוון עור כהה|יד|יד פונה שמאלה|יד פונה שמאלה: גוון עור כהה|נעים להכיר|שמאלה
🫳;כף יד פונה למטה;כף יד פונה למטה|לא משנה|לך מפה|קישטה
	🫳🏻;כף יד פונה למטה: גוון עור בהיר;גוון עור בהיר|כף יד פונה למטה|כף יד פונה למטה: גוון עור בהיר|לא משנה|לך מפה|קישטה
	🫳🏼;כף יד פונה למטה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|כף יד פונה למטה|כף יד פונה למטה: גוון עור בהיר בינוני|לא משנה|לך מפה|קישטה
	🫳🏽;כף יד פונה למטה: גוון עור בינוני;גוון עור בינוני|כף יד פונה למטה|כף יד פונה למטה: גוון עור בינוני|לא משנה|לך מפה|קישטה
	🫳🏾;כף יד פונה למטה: גוון עור כהה בינוני;גוון עור כהה בינוני|כף יד פונה למטה|כף יד פונה למטה: גוון עור כהה בינוני|לא משנה|לך מפה|קישטה
	🫳🏿;כף יד פונה למטה: גוון עור כהה;גוון עור כהה|כף יד פונה למטה|כף יד פונה למטה: גוון עור כהה|לא משנה|לך מפה|קישטה
🫴;כף יד פונה למעלה;בוא הנה|בקשה|הצעה|כף יד פונה למעלה|לתפוס|תפיסה
	🫴🏻;כף יד פונה למעלה: גוון עור בהיר;בוא הנה|בקשה|גוון עור בהיר|הצעה|כף יד פונה למעלה|כף יד פונה למעלה: גוון עור בהיר|לתפוס|תפיסה
	🫴🏼;כף יד פונה למעלה: גוון עור בהיר בינוני;בוא הנה|בקשה|גוון עור בהיר בינוני|הצעה|כף יד פונה למעלה|כף יד פונה למעלה: גוון עור בהיר בינוני|לתפוס|תפיסה
	🫴🏽;כף יד פונה למעלה: גוון עור בינוני;בוא הנה|בקשה|גוון עור בינוני|הצעה|כף יד פונה למעלה|כף יד פונה למעלה: גוון עור בינוני|לתפוס|תפיסה
	🫴🏾;כף יד פונה למעלה: גוון עור כהה בינוני;בוא הנה|בקשה|גוון עור כהה בינוני|הצעה|כף יד פונה למעלה|כף יד פונה למעלה: גוון עור כהה בינוני|לתפוס|תפיסה
	🫴🏿;כף יד פונה למעלה: גוון עור כהה;בוא הנה|בקשה|גוון עור כהה|הצעה|כף יד פונה למעלה|כף יד פונה למעלה: גוון עור כהה|לתפוס|תפיסה
🫷;יד דוחפת שמאלה;יד דוחפת שמאלה|כיף|לדחוף|לַחֲכוֹת|לסרב|עצור|שמאלה
	🫷🏻;יד דוחפת שמאלה: גוון עור בהיר;גוון עור בהיר|יד דוחפת שמאלה|יד דוחפת שמאלה: גוון עור בהיר|כיף|לדחוף|לַחֲכוֹת|לסרב|עצור|שמאלה
	🫷🏼;יד דוחפת שמאלה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|יד דוחפת שמאלה|יד דוחפת שמאלה: גוון עור בהיר בינוני|כיף|לדחוף|לַחֲכוֹת|לסרב|עצור|שמאלה
	🫷🏽;יד דוחפת שמאלה: גוון עור בינוני;גוון עור בינוני|יד דוחפת שמאלה|יד דוחפת שמאלה: גוון עור בינוני|כיף|לדחוף|לַחֲכוֹת|לסרב|עצור|שמאלה
	🫷🏾;יד דוחפת שמאלה: גוון עור כהה בינוני;גוון עור כהה בינוני|יד דוחפת שמאלה|יד דוחפת שמאלה: גוון עור כהה בינוני|כיף|לדחוף|לַחֲכוֹת|לסרב|עצור|שמאלה
	🫷🏿;יד דוחפת שמאלה: גוון עור כהה;גוון עור כהה|יד דוחפת שמאלה|יד דוחפת שמאלה: גוון עור כהה|כיף|לדחוף|לַחֲכוֹת|לסרב|עצור|שמאלה
🫸;יד דוחפת ימינה;דחיפה|יד דוחפת ימינה|ימינה|כיף|לך מפה|סירוב|עד כאן
	🫸🏻;יד דוחפת ימינה: גוון עור בהיר;גוון עור בהיר|דחיפה|יד דוחפת ימינה|יד דוחפת ימינה: גוון עור בהיר|ימינה|כיף|לך מפה|סירוב|עד כאן
	🫸🏼;יד דוחפת ימינה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|דחיפה|יד דוחפת ימינה|יד דוחפת ימינה: גוון עור בהיר בינוני|ימינה|כיף|לך מפה|סירוב|עד כאן
	🫸🏽;יד דוחפת ימינה: גוון עור בינוני;גוון עור בינוני|דחיפה|יד דוחפת ימינה|יד דוחפת ימינה: גוון עור בינוני|ימינה|כיף|לך מפה|סירוב|עד כאן
	🫸🏾;יד דוחפת ימינה: גוון עור כהה בינוני;גוון עור כהה בינוני|דחיפה|יד דוחפת ימינה|יד דוחפת ימינה: גוון עור כהה בינוני|ימינה|כיף|לך מפה|סירוב|עד כאן
	🫸🏿;יד דוחפת ימינה: גוון עור כהה;גוון עור כהה|דחיפה|יד דוחפת ימינה|יד דוחפת ימינה: גוון עור כהה|ימינה|כיף|לך מפה|סירוב|עד כאן
👌;יד מסמנת שהכל בסדר;ok|אוקיי|אישור|בסדר|יד|יד מסמנת שהכל בסדר
	👌🏻;יד מסמנת שהכל בסדר: גוון עור בהיר;ok|אוקיי|אישור|בסדר|גוון עור בהיר|יד|יד מסמנת שהכל בסדר|יד מסמנת שהכל בסדר: גוון עור בהיר
